synopsis : blond criminal psychologist sarah chooses to copulate with greasy tony the mysterious puerto rican rather than bearded cliff the wisecracking neighbor upstairs . 	Translation	Positive	Negative	EmotionRationale
a good chunk of never talk to strangers is spent upon sarah and tony . 	a good chunk of never talk to strangers is spent upon sarah and tony .	2	-1	 a[0] good[1] chunk[0] of[0] never[0] talk[0] to[0] strangers[0] is[0] spent[0] upon[0] sarah[0] and[0] tony[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why would the career-minded , professional sarah feel attracted to the walking steroid with a black hat called tony ? 	why would the career-minded , professional sarah feel attracted to the walking steroid with a black hat called tony ?	2	-1	 why[0] would[0] the[0] career[0] minded[0] professional[0] sarah[0] feel[0] attracted[1] to[0] the[0] walking[0] steroid[0] with[0] a[0] black[0] hat[0] called[0] tony[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's one of the film's mysteries which are never answered . 	that's one of the film's mysteries which are never answered .	1	-1	 that's[0] one[0] of[0] the[0] film's[0] mysteries[0] which[0] are[0] never[0] answered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regardless of motive , de mornay and banderas strip down and have sex several times in what passes for eroticism . 	regardless of motive , de mornay and banderas strip down and have sex several times in what passes for eroticism .	1	-2	 regardless[-1] of[0] motive[0] de[0] mornay[0] and[0] banderas[0] strip[0] down[0] and[0] have[0] sex[0] several[0] times[0] in[0] what[0] passes[0] for[0] eroticism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they also manage to go out before copulating occasionally -- in one of the stupidest scenes of the film , tony takes sarah to a carnival that's * right outside * his dingy apartment ( that way , they can hurry back and have sex quickly ) . 	they also manage to go out before copulating occasionally - in one of the stupidest scenes of the film , tony takes sarah to a carnival that's * right outside * his dingy apartment ( that way , they can hurry back and have sex quickly ) .	1	-2	 they[0] also[0] manage[0] to[0] go[0] out[0] before[0] copulating[0] occasionally[0] in[0] one[0] of[0] the[0] stupidest[-1] scenes[0] of[0] the[0] film[0] tony[0] takes[0] sarah[0] to[0] a[0] carnival[0] that's[0] right[0] outside[0] his[0] dingy[0] apartment[0] that[0] way[0] they[0] can[0] hurry[0] back[0] and[0] have[0] sex[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , apparently , the weather changes quickly in their locale : they're at this outdoor carnival one day before having sex ; the next day , they're out playing in the snow before having sex . 	also , apparently , the weather changes quickly in their locale : they're at this outdoor carnival one day before having sex ; the next day , they're out playing in the snow before having sex .	2	-1	 also[0] apparently[0] the[0] weather[0] changes[0] quickly[0] in[0] their[0] locale[0] they're[0] at[0] this[0] outdoor[0] carnival[0] one[0] day[0] before[0] having[0] sex[0] the[0] next[0] day[0] they're[0] out[0] playing[1] in[0] the[0] snow[0] before[0] having[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the filmmakers attempt to produce a suspenseful plot interspersed with tony and sarah's " character development . " 	the filmmakers attempt to produce a suspenseful plot interspersed with tony and sarah's " character development .<br> "	1	-1	 the[0] filmmakers[0] attempt[0] to[0] produce[0] a[0] suspenseful[0] plot[0] interspersed[0] with[0] tony[0] and[0] sarah's[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone is out to get poor sarah ( though most of the audience should have figured out who before any of this starts ) . 	someone is out to get poor sarah ( though most of the audience should have figured out who before any of this starts ) .	1	-2	 someone[0] is[0] out[0] to[0] get[0] poor[-1] sarah[0] though[0] most[0] of[0] the[0] audience[0] should[0] have[0] figured[0] out[0] who[0] before[0] any[0] of[0] this[0] starts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rotting flowers , a writeup in the obituary , and a beaten neighbor are just a few of the bad things which happen to her . 	rotting flowers , a writeup in the obituary , and a beaten neighbor are just a few of the bad things which happen to her .	1	-2	 rotting[0] flowers[0] a[0] writeup[0] in[0] the[0] obituary[0] and[0] a[0] beaten[0] neighbor[0] are[0] just[0] a[0] few[0] of[0] the[0] bad[-1] things[0] which[0] happen[0] to[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suspense cliche number one also occurs : whenever someone is stalked in thrillers , by any means , if the stalked has a pet , that pet will die . 	suspense cliche number one also occurs : whenever someone is stalked in thrillers , by any means , if the stalked has a pet , that pet will die .	2	-1	 suspense[0] cliche[0] number[0] one[0] also[0] occurs[0] whenever[0] someone[0] is[0] stalked[0] in[0] thrillers[1] by[0] any[0] means[0] if[0] the[0] stalked[0] has[0] a[0] pet[0] that[0] pet[0] will[0] die[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oftentimes , to even further the cliche , the murdered pet is a cat ( suspense filmmakers , for some reason , just don't like cats ) . 	oftentimes , to even further the cliche , the murdered pet is a cat ( suspense filmmakers , for some reason , just don't like cats ) .	1	-4	 oftentimes[0] to[0] even[0] further[0] the[0] cliche[0] the[0] murdered[-3] pet[0] is[0] a[0] cat[0] suspense[0] filmmakers[0] for[0] some[0] reason[0] just[0] don't[0] like[1][NegatedDueToPreviousWord] cats[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sarah , in never talk to strangers , receives a package and , lo and behold , discovers her mutilated cat within . 	sarah , in never talk to strangers , receives a package and , lo and behold , discovers her mutilated cat within .	1	-1	 sarah[0] in[0] never[0] talk[0] to[0] strangers[0] receives[0] a[0] package[0] and[0] lo[0] and[0] behold[0] discovers[0] her[0] mutilated[0] cat[0] within[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suspense at its very derivative ! 	suspense at its very derivative !	1	-1	 suspense[0] at[0] its[0] very[0] derivative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as stated before , never talk to strangers is a poor excuse for a film whose sole purpose seems to be exploiting banderas and de mornay's bodies as often as possible . 	as stated before , never talk to strangers is a poor excuse for a film whose sole purpose seems to be exploiting banderas and de mornay's bodies as often as possible .	1	-2	 as[0] stated[0] before[0] never[0] talk[0] to[0] strangers[0] is[0] a[0] poor[-1] excuse[0] for[0] a[0] film[0] whose[0] sole[0] purpose[0] seems[0] to[0] be[0] exploiting[0] banderas[0] and[0] de[0] mornay's[0] bodies[0] as[0] often[0] as[0] possible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comedian dennis miller is completely wasted here ( he's not given lines that are suitable for his persona ) and doesn't even appear all that much . 	comedian dennis miller is completely wasted here ( he's not given lines that are suitable for his persona ) and doesn't even appear all that much .	1	-3	 comedian[0] dennis[0] miller[0] is[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] here[0] he's[0] not[0] given[0] lines[0] that[0] are[0] suitable[0] for[0] his[0] persona[0] and[0] doesn't[0] even[0] appear[0] all[0] that[0] much[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe , in a way , he's lucky for that . 	maybe , in a way , he's lucky for that .	2	-1	 maybe[0] in[0] a[0] way[0] he's[0] lucky[1] for[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
early on in the movie , sarah tells tony , after meeting him in a supermarket , that she had been advised to never talk to strangers . 	early on in the movie , sarah tells tony , after meeting him in a supermarket , that she had been advised to never talk to strangers .	1	-1	 early[0] on[0] in[0] the[0] movie[0] sarah[0] tells[0] tony[0] after[0] meeting[0] him[0] in[0] a[0] supermarket[0] that[0] she[0] had[0] been[0] advised[0] to[0] never[0] talk[0] to[0] strangers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
allow me to advise that you never watch this stinker . 	allow me to advise that you never watch this stinker .	1	-3	 allow[0] me[0] to[0] advise[0] that[0] you[0] never[0] watch[0] this[0] stinker[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
