starring arnold schwarzenegger ; danny devito ; emma thompson & frank langella the only thing that you can say about junior is that it is a disappointment , and a big one at that . 	Translation	Positive	Negative	EmotionRationale
his part could have been played by any joker they pulled in off the street . 	his part could have been played by any joker they pulled in off the street .	2	-1	 his[0] part[0] could[0] have[0] been[0] played[0] by[0] any[0] joker[1] they[0] pulled[0] in[0] off[0] the[0] street[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( after seeing the movie , if i was devito , i probably would have wished they had pulled someone in off the street . ) 	 ( after seeing the movie , if i was devito , i probably would have wished they had pulled someone in off the street .<br> )	1	-1	 after[0] seeing[0] the[0] movie[0] if[0] i[0] was[0] devito[0] i[0] probably[0] would[0] have[0] wished[0] they[0] had[0] pulled[0] someone[0] in[0] off[0] the[0] street[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
emma thompson is wasted here as well . 	emma thompson is wasted here as well .	1	-2	 emma[0] thompson[0] is[0] wasted[-1] here[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while thompson is best known for her jane austin adaptations , she is also a fine comedian . 	while thompson is best known for her jane austin adaptations , she is also a fine comedian .	3	-1	 while[0] thompson[0] is[0] best[1] known[0] for[0] her[0] jane[0] austin[0] adaptations[0] she[0] is[0] also[0] a[0] fine[2] comedian[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
too bad she didn't get to use any of that talent here . 	too bad she didn't get to use any of that talent here .	2	-2	 too[0] bad[-1] she[0] didn't[0] get[0] to[0] use[0] any[0] of[0] that[0] talent[1] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
am i being too hard on this film ? 	am i being too hard on this film ?	1	-1	 am[0] i[0] being[0] too[0] hard[0] on[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't think so . 	i don't think so .	1	-1	 i[0] don't[0] think[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schwarzenegger and devito are two of my favorite actors in film today , and ivan reitman is one of the more talented directors in hollywood . 	schwarzenegger and devito are two of my favorite actors in film today , and ivan reitman is one of the more talented directors in hollywood .	2	-1	 schwarzenegger[0] and[0] devito[0] are[0] two[0] of[0] my[0] favorite[1] actors[0] in[0] film[0] today[0] and[0] ivan[0] reitman[0] is[0] one[0] of[0] the[0] more[0] talented[1] directors[0] in[0] hollywood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with a supporting cast of emma thompson and frank langella , the filmmakers really have to be trying hard to make a bad film . 	with a supporting cast of emma thompson and frank langella , the filmmakers really have to be trying hard to make a bad film .	2	-2	 with[0] a[0] supporting[1] cast[0] of[0] emma[0] thompson[0] and[0] frank[0] langella[0] the[0] filmmakers[0] really[0] have[0] to[0] be[0] trying[0] hard[0] to[0] make[0] a[0] bad[-1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they certainly managed here . 	they certainly managed here .	1	-1	 they[0] certainly[0] managed[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe it was well intentioned , but unfortunately this is a movie that never should have been made . 	maybe it was well intentioned , but unfortunately this is a movie that never should have been made .	1	-2	 maybe[0] it[0] was[0] well[0] intentioned[0] but[0] unfortunately[-1] this[0] is[0] a[0] movie[0] that[0] never[0] should[0] have[0] been[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you are tempted to see this film , do yourself a favor and go rent twins , a film that truly takes advantage of arnold schwarzenegger and danny devito's comedic talents . 	if you are tempted to see this film , do yourself a favor and go rent twins , a film that truly takes advantage of arnold schwarzenegger and danny devito's comedic talents .	2	-1	 if[0] you[0] are[0] tempted[0] to[0] see[0] this[0] film[0] do[0] yourself[0] a[0] favor[1] and[0] go[0] rent[0] twins[0] a[0] film[0] that[0] truly[1] takes[0] advantage[0] of[0] arnold[0] schwarzenegger[0] and[0] danny[0] devito's[0] comedic[0] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
