it's tough to be an aspiring superhero in champion city . 	Translation	Positive	Negative	EmotionRationale
in addition to those already mentioned , the credits include lena olin as frankenstein's evil shrink , comedian eddie izzard and the fugees' prakazrel michel as disco-themed thugs , singer tom waits as an inventor of superhero weapons , artie lange ( from " mad tv " ) as another thug , claire forlani ( from " meet joe black " ) as a waitress mr . furious is pursuing , louise lasser ( from " mary hartman , mary hartman " ) as the blue raja's mother , and actor/magician ricky jay as capt . amazing's manager . 	in addition to those already mentioned , the credits include lena olin as frankenstein's evil shrink , comedian eddie izard and the fugees' prakazrel michel as disco-themed thugs , singer tom waits as an inventor of superhero weapons , artie lange ( from " mad tv " ) as another thug , claire forlani ( from " meet joe black " ) as a waitress mr .<br> furious is pursuing , louise laser ( from " mary hartman , mary hartman " ) as the blue raja's mother , and actor/magician ricky jay as capt .<br> amazing's manager .	3	-4	 in[0] addition[0] to[0] those[0] already[0] mentioned[0] the[0] credits[0] include[0] lena[0] olin[0] as[0] frankenstein's[0] evil[-2] shrink[0] comedian[0] eddie[0] izzard/izard[0] and[0] the[0] fugees'[0] prakazrel[0] michel[0] as[0] disco[0] themed[0] thugs[0] singer[0] tom[0] waits[0] as[0] an[0] inventor[0] of[0] superhero[0] weapons[-1] artie[0] lange[0] from[0] mad[-1] tv[0] as[0] another[0] thug[0] claire[0] forlani[0] from[0] meet[0] joe[0] black[0] as[0] a[0] waitress[0] mr[0] [[Sentence=-3,1=word max, 1-5]] furious[-3] is[0] pursuing[0] louise[0] lasser/laser[0] from[0] mary[0] hartman[0] mary[0] hartman[0] as[0] the[0] blue[0] raja's[0] mother[0] and[0] actor/magician[0] ricky[0] jay[0] as[0] capt[0] [[Sentence=-4,1=word max, 1-5]] amazing's[2] manager[0] [[Sentence=-1,3=word max, 1-5]][[[3,-4 max of sentences]]]
the cast includes four oscar-nominated actors ! 	the cast includes four oscar-nominated actors !	1	-1	 the[0] cast[0] includes[0] four[0] oscar[0] nominated[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i saw the list of players early last year , i figured the result would be a can't-miss comedy . 	when i saw the list of players early last year , i figured the result would be a can't-miss comedy .	2	-1	 when[0] i[0] saw[0] the[0] list[0] of[0] players[0] early[0] last[0] year[0] i[0] figured[0] the[0] result[0] would[0] be[0] a[0] can't[0] miss[-1][NegatedDueToPreviousWord] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet , i must report disappointment . 	yet , i must report disappointment .	1	-2	 yet[0] i[0] must[0] report[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script is probably the worst of 1999 . 	the script is probably the worst of 199 .	1	-3	 the[0] script[0] is[0] probably[0] the[0] worst[-2] of[0] 1999/199[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nearly every joke misfires . 	nearly every joke misfires .	2	-1	 nearly[0] every[0] joke[1] misfires[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the stabs at comic books are too obvious to be funny . 	the stabs at comic books are too obvious to be funny .	2	-2	 the[0] stabs[-1] at[0] comic[0] books[0] are[0] too[0] obvious[0] to[0] be[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( for example , no one can recognize capt . amazing in his secret identity because he's wearing glasses . ) 	 ( for example , no one can recognize capt .<br> amazing in his secret identity because he's wearing glasses .<br> )	3	-1	 for[0] example[0] no[0] one[0] can[0] recognize[0] capt[0] [[Sentence=-1,1=word max, 1-5]] amazing[2] in[0] his[0] secret[0] identity[0] because[0] he's[0] wearing[0] glasses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fart jokes surrounding the spleen are surprisingly the only gags that work . 	the fart jokes surrounding the spleen are surprisingly the only gags that work .	2	-1	 the[0] fart[0] jokes[1] surrounding[0] the[0] spleen[0] are[0] surprisingly[0] the[0] only[0] gags[0] that[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast tries hard , especially hank azaria , whose character adopts an effete british accent while in costume , but the script is just too lame to run . 	the cast tries hard , especially hank azaria , whose character adopts an effete british accent while in costume , but the script is just too lame to run .	1	-3	 the[0] cast[0] tries[0] hard[0] especially[0] hank[0] azaria[0] whose[0] character[0] adopts[0] an[0] effete[0] british[0] accent[0] while[0] in[0] costume[0] but[0] the[0] script[0] is[0] just[0] too[0] lame[-2] to[0] run[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
