okay , okay . 	Translation	Positive	Negative	EmotionRationale
often , the villain saves the movie ; unfortunately , the villains here are cartoonish , stupid and unfunny , unmenacing . 	often , the villain saves the movie ; unfortunately , the villains here are cartoonish , stupid and unfunny , unmenacing .	2	-3	 often[0] the[0] villain[-2] saves[1] the[0] movie[0] unfortunately[-1] the[0] villains[-2] here[0] are[0] cartoonish[0] stupid[-1] and[0] unfunny[0] unmenacing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
how many movies have psycho ex-special forces bad guys ? 	how many movies have psycho ex-special forces bad guys ?	2	-2	 how[0] many[0] movies[0] have[0] psycho[0] ex[0] special[1] forces[0] bad[-1] guys[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
too many . 	too many .	1	-1	 too[0] many[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was able to predict the action all throughout the movie , including the moment where the sidekick saves the hero from certain death , the scene where the bad guy can kill the hero but proceeds to explain his plan to him , the scene where we are shown the hero's superiors are stupid , the scene where the bad guy loses his gun and has to fight the hero hand to hand , etc . . . 	i was able to predict the action all throughout the movie , including the moment where the sidekick saves the hero from certain death , the scene where the bad guy can kill the hero but proceeds to explain his plan to him , the scene where we are shown the hero's superiors are stupid , the scene where the bad guy loses his gun and has to fight the hero hand to hand , etc .<br> .<br> .	3	-3	 i[0] was[0] able[0] to[0] predict[0] the[0] action[0] all[0] throughout[0] the[0] movie[0] including[0] the[0] moment[0] where[0] the[0] sidekick[0] saves[1] the[0] hero[2] from[0] certain[0] death[-2] the[0] scene[0] where[0] the[0] bad[-1] guy[0] can[0] kill[-1] the[0] hero[2] but[0] proceeds[0] to[0] explain[0] his[0] plan[0] to[0] him[0] the[0] scene[0] where[0] we[0] are[0] shown[0] the[0] hero's[2] superiors[0] are[0] stupid[-1] the[0] scene[0] where[0] the[0] bad[-1] guy[0] loses[-1] his[0] gun[-1] and[0] has[0] to[0] fight[-2] the[0] hero[2] hand[0] to[0] hand[0] etc[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
simply said , this is movie-making by the numbers , boring , and potentially offensive in going for the lowest common denominator of the audience . 	simply said , this is movie-making by the numbers , boring , and potentially offensive in going for the lowest common denominator of the audience .	1	-3	 simply[0] said[0] this[0] is[0] movie[0] making[0] by[0] the[0] numbers[0] boring[-1] and[0] potentially[0] offensive[-2] in[0] going[0] for[0] the[0] lowest[-1] common[0] denominator[0] of[0] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
my recommendation : if you go see it , bring a watch . 	my recommendation : if you go see it , bring a watch .	1	-1	 my[0] recommendation[0] if[0] you[0] go[0] see[0] it[0] bring[0] a[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll be looking at it for most of the movie . 	you'll be looking at it for most of the movie .	1	-1	 you'll[0] be[0] looking[0] at[0] it[0] for[0] most[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my . 	my .	1	-1	 my[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rent die hard . 	rent die hard .	1	-1	 rent[0] die[0] hard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
read a book . 	read a book .	1	-1	 read[0] a[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stare at the sky . 	stare at the sky .	1	-1	 stare[0] at[0] the[0] sky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do not waste your time on this worthless piece of celluloid . 	do not waste your time on this worthless piece of celluloid .	2	-3	 do[0] not[0] waste[-1][NegatedDueToPreviousWord] your[0] time[0] on[0] this[0] worthless[-2] piece[0] of[0] celluloid[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the real sad thing is that there are a lot of movies out that i would rather have seen ; once again , dragged in by my friends , which by the way , liked the movie halfheartedly . 	the real sad thing is that there are a lot of movies out that i would rather have seen ; once again , dragged in by my friends , which by the way , liked the movie halfheartedly .	3	-4	 the[0] real[0] sad[-3] thing[0] is[0] that[0] there[0] are[0] a[0] lot[0] of[0] movies[0] out[0] that[0] i[0] would[0] rather[0] have[0] seen[0] once[0] again[0] dragged[0] in[0] by[0] my[0] friends[1] which[0] by[0] the[0] way[0] liked[2] the[0] movie[0] halfheartedly[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they probably like wrestling too : - ) . 	they probably like wrestling too : - ) .	2	-1	 they[0] probably[0] like[1] wrestling[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
