_dirty_work_ has a premise of deliciously mean-spirited potential . 	Translation	Positive	Negative	EmotionRationale
but the issue , of course , is not so much of taste as it is humor--as in , is it funny or not ? 	but the issue , of course , is not so much of taste as it is humor-as in , is it funny or not ?	3	-1	 but[0] the[0] issue[0] of[0] course[0] is[0] not[0] so[0] much[0] of[0] taste[0] as[0] it[0] is[0] humor[2] as[0] in[0] is[0] it[0] funny[1] or[0] not[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the answer is a resounding no . 	the answer is a resounding no .	1	-1	 the[0] answer[0] is[0] a[0] resounding[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not that macdonald isn't a funny guy . 	it's not that macdonald isn't a funny guy .	1	-2	 it's[0] not[0] that[0] macdonald[0] isn't[0] a[0] funny[1][NegatedDueToPreviousWord] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was one of the more consistently funny performers on _saturday_night_live_ before his much-talked-about firing , and his dry brand of smartass wit translates well to the big screen ; it also doesn't hurt that he's a natural , likable screen presence . 	he was one of the more consistently funny performers on _saturday_night_live_ before his much-talked-about firing , and his dry brand of smartass wit translates well to the big screen ; it also doesn't hurt that he's a natural , likable screen presence .	2	-3	 he[0] was[0] one[0] of[0] the[0] more[0] consistently[0] funny[1] performers[0] on[0] _saturday_night_live_[0] before[0] his[0] much[0] talked[0] about[0] firing[0] and[0] his[0] dry[0] brand[0] of[0] smartass[1] wit[0] translates[0] well[0] to[0] the[0] big[0] screen[0] it[0] also[0] doesn't[0] hurt[-2] that[0] he's[0] a[0] natural[0] likable[0] screen[0] presence[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is able to give some of his lines a nice acid touch , but , for the most part , the oneliners , as written , are flat , and the broad slapstick gags just don't work ( one running gag has him being literally tossed out of buildings--a real riot ) . 	he is able to give some of his lines a nice acid touch , but , for the most part , the oneliners , as written , are flat , and the broad slapstick gags just don't work ( one running gag has him being literally tossed out of buildings-a real riot ) .	2	-2	 he[0] is[0] able[0] to[0] give[0] some[0] of[0] his[0] lines[0] a[0] nice[1] acid[0] touch[0] but[0] for[0] the[0] most[0] part[0] the[0] oneliners[0] as[0] written[0] are[0] flat[0] and[0] the[0] broad[0] slapstick[-1] gags[0] just[0] don't[0] work[0] one[0] running[0] gag[0] has[0] him[0] being[0] literally[0] tossed[0] out[0] of[0] buildings[0] a[0] real[0] riot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , macdonald's few shining moments are just about the only moments the film has . 	still , macdonald's few shining moments are just about the only moments the film has .	1	-1	 still[0] macdonald's[0] few[0] shining[0] moments[0] are[0] just[0] about[0] the[0] only[0] moments[0] the[0] film[0] has[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the late chris farley , as hysterical as he ever was , is amusing in a cameo role , but , as a whole , the supporting players are amateurish and seemingly free from any directorial guidance . 	the late chris farley , as hysterical as he ever was , is amusing in a cameo role , but , as a whole , the supporting players are amateurish and seemingly free from any directorial guidance .	2	-2	 the[0] late[0] chris[0] farley[0] as[0] hysterical[-1] as[0] he[0] ever[0] was[0] is[0] amusing[1] in[0] a[0] cameo[0] role[0] but[0] as[0] a[0] whole[0] the[0] supporting[1] players[0] are[0] amateurish[0] and[0] seemingly[0] free[0] from[0] any[0] directorial[0] guidance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
saget tries to juice up the proceedings with kitschy cameos by gary coleman , adam sandler , and john goodman , but their minimal novelty value cannot prevent _dirty_work_ from sputtering to the end of its brief 81-minute running time . 	saget tries to juice up the proceedings with kitschy cameos by gary coleman , adam sandler , and john goodman , but their minimal novelty value cannot prevent _dirty_work_ from sputtering to the end of its brief 81-minute running time .	2	-2	 saget[-1] tries[0] to[0] juice[0] up[0] the[0] proceedings[0] with[0] kitschy[0] cameos[0] by[0] gary[0] coleman[0] adam[0] sandler[0] and[0] john[0] goodman[0] but[0] their[0] minimal[0] novelty[0] value[1] cannot[0] prevent[0] _dirty_work_[0] from[0] sputtering[-1] to[0] the[0] end[0] of[0] its[0] brief[0] 81[0] minute[0] running[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film closes on a sad note of desperation , an indulgent reel of outtakes from which only those involved in the production would derive any amusement . 	the film closes on a sad note of desperation , an indulgent reel of outtakes from which only those involved in the production would derive any amusement .	2	-4	 the[0] film[0] closes[0] on[0] a[0] sad[-3] note[0] of[0] desperation[-2] an[0] indulgent[0] reel[0] of[0] outtakes[0] from[0] which[0] only[0] those[0] involved[0] in[0] the[0] production[0] would[0] derive[0] any[0] amusement[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
come to think of it , i cannot imagine anyone but those involved in the production to find much amusement in the entirety of _dirty_work_ . 	come to think of it , i cannot imagine anyone but those involved in the production to find much amusement in the entirety of _dirty_work_ .	2	-1	 come[0] to[0] think[0] of[0] it[0] i[0] cannot[0] imagine[0] anyone[0] but[0] those[0] involved[0] in[0] the[0] production[0] to[0] find[0] much[0] amusement[1] in[0] the[0] entirety[0] of[0] _dirty_work_[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
