bruce willis needs to stay away from straightforward action pictures . 	Translation	Positive	Negative	EmotionRationale
i guess without a kid in jeopardy , there's not much of a movie here . 	i guess without a kid in jeopardy , there's not much of a movie here .	1	-2	 i[0] guess[0] without[0] a[0] kid[0] in[0] jeopardy[-1] there's[0] not[0] much[0] of[0] a[0] movie[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for all its faults , the film actually starts relatively well ( once you pass the painfully familiar teaser ) . 	for all its faults , the film actually starts relatively well ( once you pass the painfully familiar teaser ) .	1	-4	 for[0] all[0] its[0] faults[-1] the[0] film[0] actually[0] starts[0] relatively[0] well[0] once[0] you[0] pass[0] the[0] painfully[-3] familiar[0] teaser[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film flirts with developing real characters , and a semblance of a plot . . . then 	the film flirts with developing real characters , and a semblance of a plot .<br> .<br> .<br> then	2	-1	 the[0] film[0] flirts[1] with[0] developing[0] real[0] characters[0] and[0] a[0] semblance[0] of[0] a[0] plot[0] [[Sentence=-1,2=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
mr . terminator the hitman appears and everything begins going downhill . . . quickly . 	mr .<br> terminator the hitman appears and everything begins going downhill .<br> .<br> .<br> quickly .	1	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] terminator[0] the[0] hitman[0] appears[0] and[0] everything[0] begins[0] going[0] downhill[0] [[Sentence=-1,1=word max, 1-5]] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
miko hughes does a decent job , for his age , at creating a touching performance . 	miko hughes does a decent job , for his age , at creating a touching performance .	1	-1	 miko[0] hughes[0] does[0] a[0] decent[0] job[0] for[0] his[0] age[0] at[0] creating[0] a[0] touching[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , don't go to this film looking for any new insights into autism ( not that many people will ) . 	however , don't go to this film looking for any new insights into autism ( not that many people will ) .	1	-1	 however[0] don't[0] go[0] to[0] this[0] film[0] looking[0] for[0] any[0] new[0] insights[0] into[0] autism[0] not[0] that[0] many[0] people[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead he merely becomes the latest unique partner in a routine buddy-cop movie ( think cop and a half . . . with a twist ! ) 	instead he merely becomes the latest unique partner in a routine buddy-cop movie ( think cop and a half .<br> .<br> .<br> with a twist !<br> )	1	-1	 instead[0] he[0] merely[0] becomes[0] the[0] latest[0] unique[0] partner[0] in[0] a[0] routine[0] buddy[0] cop[0] movie[0] think[0] cop[0] and[0] a[0] half[0] [[Sentence=-1,1=word max, 1-5]] with[0] a[0] twist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willis and baldwin are just overplaying to type . 	willis and baldwin are just overplaying to type .	1	-1	 willis[0] and[0] baldwin[0] are[0] just[0] overplaying[0] to[0] type[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather than creating a nuanced character , baldwin simply oozes sliminess . 	rather than creating a nuanced character , baldwin simply oozes sliminess .	1	-1	 rather[0] than[0] creating[0] a[0] nuanced[0] character[0] baldwin[0] simply[0] oozes[0] sliminess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for willis' part , he simply recycles the stock role of the loner cop/fbi agent ( which he has honed in the die hard series ) . 	and for willis' part , he simply recycles the stock role of the loner cop/fbi agent ( which he has honed in the die hard series ) .	1	-2	 and[0] for[0] willis'[0] part[0] he[0] simply[0] recycles[0] the[0] stock[0] role[0] of[0] the[0] loner[-1] cop/fbi[0] agent[0] which[0] he[0] has[0] honed[0] in[0] the[0] die[0] hard[0] series[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as almost an afterthought , about halfway through , the film carelessly gives him a character trait ( an addiction ) , and then drops it in the next scene . 	as almost an afterthought , about halfway through , the film carelessly gives him a character trait ( an addiction ) , and then drops it in the next scene .	1	-2	 as[0] almost[0] an[0] afterthought[0] about[0] halfway[0] through[0] the[0] film[0] carelessly[-1] gives[0] him[0] a[0] character[0] trait[0] an[0] addiction[-1] and[0] then[0] drops[0] it[0] in[0] the[0] next[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the biggest problem with mercury rising is the screenplay . 	but the biggest problem with mercury rising is the screenplay .	1	-2	 but[0] the[0] biggest[0] problem[-1] with[0] mercury[0] rising[0] is[0] the[0] screenplay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film wasn't well thought out at all . 	this film wasn't well thought out at all .	1	-1	 this[0] film[0] wasn't[0] well[0] thought[0] out[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film goes to extraordinary lengths to pad in as many convenient coincidences as possible . 	the film goes to extraordinary lengths to pad in as many convenient coincidences as possible .	1	-1	 the[0] film[0] goes[0] to[0] extraordinary[0] lengths[0] to[0] pad[0] in[0] as[0] many[0] convenient[0] coincidences[0] as[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the carbon paper scene alone is unworthy of the most gullible audience member . 	the carbon paper scene alone is unworthy of the most gullible audience member .	1	-2	 the[0] carbon[0] paper[0] scene[0] alone[0] is[0] unworthy[-1] of[0] the[0] most[0] gullible[-1] audience[0] member[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first the bad scenes just trickle in , but by the gruesomely bad finale they're a veritable flood . 	at first the bad scenes just trickle in , but by the gruesomely bad finale they're a veritable flood .	1	-2	 at[0] first[0] the[0] bad[-1] scenes[0] just[0] trickle[-1][--1 LastWordBoosterStrength] in[0] but[0] by[0] the[0] gruesomely[0] bad[-1] finale[0] they're[0] a[0] veritable[0] flood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film's few decent moments come in the form of bad jokes ( mainly from the geeks who developed the supercode ) . 	the film's few decent moments come in the form of bad jokes ( mainly from the geeks who developed the supercode ) .	2	-2	 the[0] film's[0] few[0] decent[0] moments[0] come[0] in[0] the[0] form[0] of[0] bad[-1] jokes[1] mainly[0] from[0] the[0] geeks[0] who[0] developed[0] the[0] supercode[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but they're not nearly enough to make the film worthwhile . 	but they're not nearly enough to make the film worthwhile .	2	-1	 but[0] they're[0] not[0] nearly[0] enough[0] to[0] make[0] the[0] film[0] worthwhile[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mercury rising is a thriller that you're more likely to groan at than cheer . 	mercury rising is a thriller that you're more likely to groan at than cheer .	2	-1	 mercury[0] rising[0] is[0] a[0] thriller[1] that[0] you're[0] more[0] likely[0] to[0] groan[0] at[0] than[0] cheer[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
