the swirling sick feeling hit me just a few minutes into " heartbreakers . " 	Translation	Positive	Negative	EmotionRationale
 " heartbreakers " reeks of that stagnant mentality , from its lingering shots of jennifer love hewitt's vah-vah-voom breasts to its leaden screenplay , which paints women as haughty schemers and men as drooling buffoons too sex-obsessed to realize they are being manipulated . 	 " heartbreakers " reeks of that stagnant mentality , from its lingering shots of jennifer love hewitt's vah-vah-voom breasts to its leaden screenplay , which paints women as haughty schemers and men as drooling buffoons too sex-obsessed to realize they are being manipulated .	3	-4	 heartbreakers[-3] reeks[-2][-1 MultiplePositiveWords] of[0] that[0] stagnant[-1] mentality[0] from[0] its[0] lingering[0] shots[0] of[0] jennifer[0] love[2] hewitt's[0] vah[0] vah[0] voom[0] breasts[0] to[0] its[0] leaden[0] screenplay[0] which[0] paints[0] women[0] as[0] haughty[-1] schemers[0] and[0] men[0] as[0] drooling[0] buffoons[-1] too[0] sex[0] obsessed[-2] to[0] realize[0] they[0] are[0] being[0] manipulated[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in addition to liotta and hewitt , the cast includes sigourney weaver , gene hackman , jason lee , nora dunn and anne bancroft . 	in addition to liotta and hewitt , the cast includes sigourney weaver , gene hackman , jason lee , nora dun and anne bancroft .	1	-1	 in[0] addition[0] to[0] liotta[0] and[0] hewitt[0] the[0] cast[0] includes[0] sigourney[0] weaver[0] gene[0] hackman[0] jason[0] lee[0] nora[0] dunn/dun[0] and[0] anne[0] bancroft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't imagine what drew performers of their caliber to this project . 	i can't imagine what drew performers of their caliber to this project .	1	-1	 i[0] can't[0] imagine[0] what[0] drew[0] performers[0] of[0] their[0] caliber[0] to[0] this[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps they thought it was a parody of the sniggering sex comedies of the '60s . 	perhaps they thought it was a parody of the sniggering sex comedies of the '60s .	1	-1	 perhaps[0] they[0] thought[0] it[0] was[0] a[0] parody[0] of[0] the[0] sniggering[0] sex[0] comedies[0] of[0] the[0] '60s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if so , they were sadly mistaken . 	if so , they were sadly mistaken .	1	-2	 if[0] so[0] they[0] were[0] sadly[-1] mistaken[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story revolves around a mother-daughter con-team . 	the story revolves around a mother-daughter con-team .	1	-1	 the[0] story[0] revolves[0] around[0] a[0] mother[0] daughter[0] con[0] team[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it opens with the marriage of max ( weaver ) to dean ( liotta ) , a new jersey chop shop operator . 	it opens with the marriage of max ( weaver ) to dean ( liotta ) , a new jersey chop shop operator .	1	-1	 it[0] opens[0] with[0] the[0] marriage[0] of[0] max[0] weaver[0] to[0] dean[0] liotta[0] a[0] new[0] jersey[0] chop[0] shop[0] operator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having withheld sex until the honeymoon , max pretends to pass out on their wedding night . 	having witheld sex until the honeymoon , max pretends to pass out on their wedding night .	1	-1	 having[0] withheld/witheld[0] sex[0] until[0] the[0] honeymoon[0] max[0] pretends[0] to[0] pass[0] out[0] on[0] their[0] wedding[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next morning , she feigns illness , sending a very horny dean off to the office , where he ends up in the arms of his new secretary . 	the next morning , she feigns illness , sending a very horny dean off to the office , where he ends up in the arms of his new secretary .	1	-2	 the[0] next[0] morning[0] she[0] feigns[-1] illness[-1] sending[0] a[0] very[0] horny[0] dean[0] off[0] to[0] the[0] office[0] where[0] he[0] ends[0] up[0] in[0] the[0] arms[0] of[0] his[0] new[0] secretary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just as the two are about to get overtly physical , max bursts into the room and catches them . 	just as the two are about to get overtly physical , max bursts into the room and catches them .	1	-1	 just[0] as[0] the[0] two[0] are[0] about[0] to[0] get[0] overtly[0] physical[0] max[0] bursts[0] into[0] the[0] room[0] and[0] catches[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the " horrified " bride dissolves the union , garnering a healthy cash settlement along the way . 	the " horrified " bride dissolves the union , garnering a healthy cash settlement along the way .	1	-4	 the[0] horrified[-3] bride[0] dissolves[0] the[0] union[0] garnering[0] a[0] healthy[0] cash[0] settlement[0] along[0] the[0] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , the secretary was really her daughter page ( hewitt ) and the whole thing was a set-up . 	of course , the secretary was really her daughter page ( hewitt ) and the whole thing was a set-up .	1	-1	 of[0] course[0] the[0] secretary[0] was[0] really[0] her[0] daughter[0] page[0] hewitt[0] and[0] the[0] whole[0] thing[0] was[0] a[0] set[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the women move on , but an irs agent ( bancroft ) catches up with them and demands a huge amount of money to cover unpaid taxes . 	the women move on , but an irs agent ( bancroft ) catches up with them and demands a huge amount of money to cover unpaid taxes .	1	-2	 the[0] women[0] move[0] on[0] but[0] an[0] irs[0] agent[0] bancroft[0] catches[0] up[0] with[0] them[0] and[0] demands[0] a[0] huge[0] amount[0] of[0] money[0] to[0] cover[0] unpaid[0] taxes[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in desperate need of funds , max and page head for palm beach to replay the scam . 	in desperate need of funds , max and page head for palm beach to replay the scam .	1	-3	 in[0] desperate[-2] need[0] of[0] funds[0] max[0] and[0] page[0] head[0] for[0] palm[0] beach[0] to[0] replay[0] the[0] scam[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their mark this time is william b . tensy ( hackman , in hideous make-up ) , a decrepit tobacco tycoon obsessed with the joys of smoking . 	their mark this time is william b .<br> tensy ( hackman , in hideous make-up ) , a decrepit tobacco tycoon obsessed with the joys of smoking .	3	-3	 their[0] mark[0] this[0] time[0] is[0] william[0] b[0] [[Sentence=-1,1=word max, 1-5]] tensy[0] hackman[0] in[0] hideous[-1] make[0] up[0] a[0] decrepit[0] tobacco[0] tycoon[0] obsessed[-2] with[0] the[0] joys[2] of[0] smoking[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
max starts to put the game into action , but page is so repelled by the old man ( and angry with her mom ) that she slips off to enact her own score , targeting jack , a laid back young beach bar owner who is worth a fortune . 	max starts to put the game into action , but page is so repelled by the old man ( and angry with her mom ) that she slips off to enact her own score , targeting jack , a laid back young beach bar owner who is worth a fortune .	1	-4	 max[0] starts[0] to[0] put[0] the[0] game[0] into[0] action[0] but[0] page[0] is[0] so[0] repelled[0] by[0] the[0] old[0] man[0] and[0] angry[-3] with[0] her[0] mom[0] that[0] she[0] slips[0] off[0] to[0] enact[0] her[0] own[0] score[0] targeting[0] jack[0] a[0] laid[0] back[0] young[0] beach[0] bar[0] owner[0] who[0] is[0] worth[0] a[0] fortune[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
complications arise when page realizes that good-natured jack is stirring actual emotions in her steely little heart . 	complications arise when page realizes that good-natured jack is stirring actual emotions in her steely little heart .	2	-2	 complications[-1] arise[0] when[0] page[0] realizes[0] that[0] good[1] natured[0] jack[0] is[0] stirring[0] actual[0] emotions[0] in[0] her[0] steely[0] little[0] heart[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as if that wasn't enough , dean reappears on the scene with revenge on his mind . 	as if that wasn't enough , dean reappears on the scene with revenge on his mind .	1	-2	 as[0] if[0] that[0] wasn't[0] enough[0] dean[0] reappears[0] on[0] the[0] scene[0] with[0] revenge[-1] on[0] his[0] mind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the attempt to weld a romance onto a caper comedy served only to remind me of the infinitely superior " a fish called wanda . " 	the attempt to weld a romance onto a caper comedy served only to remind me of the infinitely superior " a fish called wanda .<br> "	4	-1	 the[0] attempt[0] to[0] weld[0] a[0] romance[3] onto[0] a[0] caper[0] comedy[0] served[0] only[0] to[0] remind[0] me[0] of[0] the[0] infinitely[0] superior[2] a[0] fish[0] called[0] wanda[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i won't bother to compare the two . 	i won't bother to compare the two .	2	-1	 i[0] won't[0] bother[-1][NegatedDueToPreviousWord] to[0] compare[0] the[0] two[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suffice to say that everything done right in " wanda " is done wrong here . 	suffice to say that everything done right in " wanda " is done wrong here .	1	-2	 suffice[0] to[0] say[0] that[0] everything[0] done[0] right[0] in[0] wanda[0] is[0] done[0] wrong[-1] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " heartbreakers " is soulless , inept and , at 123 minutes , at least a half-hour too long . 	 " heartbreakers " is soulless , inept and , at 123 minutes , at least a half-hour too long .	1	-4	 heartbreakers[-3] is[0] soulless[0] inept[0] and[0] at[0] 123[0] minutes[0] at[0] least[0] a[0] half[0] hour[0] too[0] long[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sigourney weaver and jennifer love hewitt throw themselves into their parts , but have nowhere to go with the metallic characters . 	sigourney weaver and jennifer love hewitt throw themselves into their parts , but have nowhere to go with the metallic characters .	3	-1	 sigourney[0] weaver[0] and[0] jennifer[0] love[2] hewitt[0] throw[0] themselves[0] into[0] their[0] parts[0] but[0] have[0] nowhere[0] to[0] go[0] with[0] the[0] metallic[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gene hackman is utterly wasted in a one-note , one-joke part that has him doing nothing but smoking , coughing and waxing rhapsodic about smoking and sex . 	gene hackman is utterly wasted in a one-note , one-joke part that has him doing nothing but smoking , coughing and waxing rhapsodic about smoking and sex .	2	-2	 gene[0] hackman[0] is[0] utterly[0] wasted[-1] in[0] a[0] one[0] note[0] one[0] joke[1] part[0] that[0] has[0] him[0] doing[0] nothing[0] but[0] smoking[0] coughing[0] and[0] waxing[0] rhapsodic[0] about[0] smoking[0] and[0] sex[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
poor jason lee is stuck in the ingenue role and the normally charismatic actor comes off as merely bland . 	poor jason lee is stuck in the ingenue role and the normally charismatic actor comes off as merely bland .	1	-2	 poor[-1] jason[0] lee[0] is[0] stuck[0] in[0] the[0] ingenue[0] role[0] and[0] the[0] normally[0] charismatic[0] actor[0] comes[0] off[0] as[0] merely[0] bland[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ray liotta manages to squeeze a tiny bit of humanity and humor into his walking clich ? , but only a bit . 	ray liotta manages to squeeze a tiny bit of humanity and humor into his walking clich ?<br> , but only a bit .	3	-1	 ray[0] liotta[0] manages[0] to[0] squeeze[0] a[0] tiny[0] bit[0] of[0] humanity[0] and[0] humor[2] into[0] his[0] walking[0] clich[0] [[Sentence=-1,3=word max, 1-5]] but[0] only[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the low point in the film has weaver employing a russian accent bad enough to make boris and natasha wince , while doing half-assed slapstick with a broken off penis from a statue . 	the low point in the film has weaver employing a russian accent bad enough to make boris and natasha wince , while doing half-assed slapstick with a broken off penis from a statue .	1	-2	 the[0] low[-1] point[0] in[0] the[0] film[0] has[0] weaver[0] employing[0] a[0] russian[0] accent[0] bad[-1] enough[0] to[0] make[0] boris[0] and[0] natasha[0] wince[-1] while[0] doing[0] half[0] assed[0] slapstick[-1] with[0] a[0] broken[-1] off[0] penis[0] from[0] a[0] statue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bear in mind , though , that this is merely the worst segment of a movie made up of nothing but low points . 	bear in mind , though , that this is merely the worst segment of a movie made up of nothing but low points .	1	-3	 bear[0] in[0] mind[0] though[0] that[0] this[0] is[0] merely[0] the[0] worst[-2] segment[0] of[0] a[0] movie[0] made[0] up[0] of[0] nothing[0] but[0] low[-1] points[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you remember bob hope specials with fondness , this might be your cup of tea . 	if you remember bob hope specials with fondness , this might be your cup of tea .	3	-1	 if[0] you[0] remember[0] bob[0] hope[2] specials[1] with[0] fondness[2] this[0] might[0] be[0] your[0] cup[0] of[0] tea[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for me , i'm going to watch " a fish called wanda " now and try to forget i ever saw " heartbreakers . " 	as for me , i'm going to watch " a fish called wanda " now and try to forget i ever saw " heartbreakers .<br> "	1	-4	 as[0] for[0] me[0] i'm[0] going[0] to[0] watch[0] a[0] fish[0] called[0] wanda[0] now[0] and[0] try[0] to[0] forget[0] i[0] ever[0] saw[0] heartbreakers[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
