when i watch a movie like mike nichols' what planet are you from ? 	Translation	Positive	Negative	EmotionRationale
granted , john goodman was in the flintstones , and greg kinnear has turned in some less-than-lackluster leading man performances in certified failures like a smile like yours , but even so , they've got proven power as excellent supporting players . 	granted , john goodman was in the flintstones , and greg kinnear has turned in some less-than-lackluster leading man performances in certified failures like a smile like yours , but even so , they've got proven power as excellent supporting players .	4	-3	 granted[0] john[0] goodman[0] was[0] in[0] the[0] flintstones[0] and[0] greg[0] kinnear[0] has[0] turned[0] in[0] some[0] less[0] than[0] lackluster[0] leading[0] man[0] performances[0] in[0] certified[0] failures[-2] like[1] a[0] smile[2] like[1] yours[0] but[0] even[0] so[0] they've[0] got[0] proven[0] power[0] as[0] excellent[3] supporting[1] players[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
garry shandling has two television classics under his belt , his ingenious little it's garry shandling's show and the larry sanders show . 	garry shandling has two television classics under his belt , his ingenious little it's garry shandling's show and the larry sanders show .	1	-1	 garry[0] shandling[0] has[0] two[0] television[0] classics[0] under[0] his[0] belt[0] his[0] ingenious[0] little[0] it's[0] garry[0] shandling's[0] show[0] and[0] the[0] larry[0] sanders[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for god's sake , mike nichols directed the graduate , and annette bening is just walking away from american beauty . 	and for god's sake , mike nichols directed the graduate , and annette bening is just walking away from american beauty .	3	-1	 and[0] for[0] god's[0] sake[0] mike[0] nichols[0] directed[0] the[0] graduate[0] and[0] annette[0] bening[0] is[0] just[0] walking[0] away[0] from[0] american[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so explain this . . . 	so explain this .<br> .<br> .	1	-1	 so[0] explain[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this . . . 	this .<br> .<br> .	1	-1	 this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thing . 	thing .	1	-1	 thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what planet are you from ? 	what planet are you from ?	1	-1	 what[0] planet[0] are[0] you[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
purports to be a comedy exploring the relationship between men and women satirizing the whole pop-psychology mars/venus phenomenon . 	purports to be a comedy exploring the relationship between men and women satirizing the whole pop-psychology mars/venus phenomenon .	1	-1	 purports[0] to[0] be[0] a[0] comedy[0] exploring[0] the[0] relationship[0] between[0] men[0] and[0] women[0] satirizing[0] the[0] whole[0] pop[0] psychology[0] mars/venus[0] phenomenon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what this movie winds up being is a collection of unfunny cringe-inducing moments coupled with uninsightful cringe-inducing moments ; the end result is , unsurprisingly , an unfunny , uninsightful , cringe-inducing , thoroughly icky embarrassment . 	but what this movie winds up being is a collection of unfunny cringe-inducing moments coupled with uninsightful cringe-inducing moments ; the end result is , unsurprisingly , an unfunny , uninsightful , cringe-inducing , thoroughly icky embarrassment .	1	-3	 but[0] what[0] this[0] movie[0] winds[0] up[0] being[0] is[0] a[0] collection[0] of[0] unfunny[0] cringe[-1] inducing[0] moments[0] coupled[0] with[0] uninsightful[0] cringe[-1] inducing[0] moments[0] the[0] end[0] result[0] is[0] unsurprisingly[0] an[0] unfunny[0] uninsightful[0] cringe[-1] inducing[0] thoroughly[0] icky[0] embarrassment[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
garry shandling plays an alien from a planet populated by technologically advanced but emotionally vacant males ( they reproduce through cloning , of course ) . 	garry shandling plays an alien from a planet populated by technologically advanced but emotionally vacant males ( they reproduce through cloning , of course ) .	2	-2	 garry[0] shandling[0] plays[1] an[0] alien[-1] from[0] a[0] planet[0] populated[0] by[0] technologically[0] advanced[0] but[0] emotionally[0] vacant[0] males[0] they[0] reproduce[0] through[0] cloning[0] of[0] course[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his leaders put a select group of males through a series of tests designed to determine which one is most fit to fly off to earth , find a female of the species , and impregnate her . 	his leaders put a select group of males through a series of tests designed to determine which one is most fit to fly off to earth , find a female of the species , and impregnate her .	1	-1	 his[0] leaders[0] put[0] a[0] select[0] group[0] of[0] males[0] through[0] a[0] series[0] of[0] tests[0] designed[0] to[0] determine[0] which[0] one[0] is[0] most[0] fit[0] to[0] fly[0] off[0] to[0] earth[0] find[0] a[0] female[0] of[0] the[0] species[0] and[0] impregnate[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're taught how to pretend that they're listening by nodding and saying " uh-huh , " and how to compliment shoes . 	they're taught how to pretend that they're listening by nodding and saying " uh-huh , " and how to compliment shoes .	2	-2	 they're[0] taught[0] how[0] to[0] pretend[-1] that[0] they're[0] listening[0] by[0] nodding[0] and[0] saying[0] uh[0] huh[0] and[0] how[0] to[0] compliment[1] shoes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
imagine my delighted surprise when , oh heavens , all their carefully practiced tactics turn out to fail miserably , producing comedic results ! 	imagine my delighted surprise when , oh heavens , all their carefully practiced tactics turn out to fail miserably , producing comedic results !	3	-4	 imagine[0] my[0] delighted[2] surprise[0] when[0] oh[0] heavens[1] all[0] their[0] carefully[0] practiced[0] tactics[0] turn[0] out[0] to[0] fail[-2] miserably[-2][-1 MultiplePositiveWords] producing[0] comedic[0] results[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the lucky winner is fitted with a penis ( since theirs , after generations of disuse have long since shrunk out of existence . . . 	the lucky winner is fitted with a penis ( since theirs , after generations of disuse have long since shrunk out of existence .<br> .<br> .	2	-1	 the[0] lucky[1] winner[1] is[0] fitted[0] with[0] a[0] penis[0] since[0] theirs[0] after[0] generations[0] of[0] disuse[0] have[0] long[0] since[0] shrunk[0] out[0] of[0] existence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i will restrain myself from mentioning the implausibility of such a scenario since the population has stopped evolving due to the fact that they're all just clones . . . 	i will restrain myself from mentioning the implausibility of such a scenario since the population has stopped evolving due to the fact that they're all just clones .<br> .<br> .	1	-1	 i[0] will[0] restrain[0] myself[0] from[0] mentioning[0] the[0] implausibility[0] of[0] such[0] a[0] scenario[0] since[0] the[0] population[0] has[0] stopped[0] evolving[0] due[0] to[0] the[0] fact[0] that[0] they're[0] all[0] just[0] clones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whoops , too late . ) 	whoops , too late .<br> )	1	-1	 whoops[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the penis , when aroused , tends to make a humming noise . 	the penis , when aroused , tends to make a humming noise .	1	-1	 the[0] penis[0] when[0] aroused[0] tends[0] to[0] make[0] a[0] humming[0] noise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the writers , when frequently strapped for ideas , tend to turn to this as a source of " comedy . " 	the writers , when frequently strapped for ideas , tend to turn to this as a source of " comedy .<br> "	1	-2	 the[0] writers[0] when[0] frequently[0] strapped[0] for[0] ideas[0] tend[0] to[0] turn[0] to[0] this[0] as[0] a[0] source[-1] of[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it isn't funny the first time . 	it isn't funny the first time .	1	-2	 it[0] isn't[0] funny[1][NegatedDueToPreviousWord] the[0] first[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it isn't funny the eighth time . 	it isn't funny the eighth time .	1	-2	 it[0] isn't[0] funny[1][NegatedDueToPreviousWord] the[0] eighth[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it isn't funny the eighteenth time . 	it isn't funny the eighteenth time .	1	-2	 it[0] isn't[0] funny[1][NegatedDueToPreviousWord] the[0] eighteenth[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if anything , it made me feel vaguely self-conscious . 	if anything , it made me feel vaguely self-conscious .	1	-2	 if[0] anything[0] it[0] made[0] me[0] feel[0] vaguely[-1] self[0] conscious[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
garry meets up with a coworker at a bank played by greg kinnear , who turns out to be a generic , unlikable scumbag . 	garry meets up with a coworker at a bank played by greg kinnear , who turns out to be a generic , unlikable scumbag .	1	-1	 garry[0] meets[0] up[0] with[0] a[0] coworker[0] at[0] a[0] bank[0] played[0] by[0] greg[0] kinnear[0] who[0] turns[0] out[0] to[0] be[0] a[0] generic[0] unlikable[0] scumbag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's meant to fill the part of unfortunate role model for shandling's alien character , but he's so flatly drawn that even the writers quickly give up and toss him aside . 	he's meant to fill the part of unfortunate role model for shandling's alien character , but he's so flatly drawn that even the writers quickly give up and toss him aside .	1	-2	 he's[0] meant[0] to[0] fill[0] the[0] part[0] of[0] unfortunate[-1] role[0] model[0] for[0] shandling's[0] alien[-1] character[0] but[0] he's[0] so[0] flatly[0] drawn[0] that[0] even[0] the[0] writers[0] quickly[0] give[0] up[0] and[0] toss[0] him[0] aside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kinnear's scumbagginess is demonstrated by the fact that he claims other peoples' work as his own to worm his way into a vice presidents' position and goes to aa meetings to pick up chicks . 	kinnear's scumbagginess is demonstrated by the fact that he claims other peoples' work as his own to worm his way into a vice presidents' position and goes to a meetings to pick up chicks .	1	-2	 kinnear's[0] scumbagginess[0] is[0] demonstrated[0] by[0] the[0] fact[0] that[0] he[0] claims[0] other[0] peoples'[0] work[0] as[0] his[0] own[0] to[0] worm[0] his[0] way[0] into[0] a[0] vice[-1] presidents'[0] position[0] and[0] goes[0] to[0] aa/a[0] meetings[0] to[0] pick[0] up[0] chicks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wow . 	wow .	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what a magnificent bastard . 	what a magnificent bastard .	4	-3	 what[0] a[0] magnificent[3] bastard[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
nearly every man in the movie , in fact , is played as the same sort of sex-driven slimeball . 	nearly every man in the movie , in fact , is played as the same sort of sex-driven slimeball .	1	-1	 nearly[0] every[0] man[0] in[0] the[0] movie[0] in[0] fact[0] is[0] played[0] as[0] the[0] same[0] sort[0] of[0] sex[0] driven[0] slimeball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when kinnear's wife walks into the office , there isn't a single guy who doesn't trip , bump into a wall , or otherwise pratfall as if they'd never seen a woman before . 	when kinnear's wife walks into the office , there isn't a single guy who doesn't trip , bump into a wall , or otherwise pratfall as if they'd never seen a woman before .	1	-1	 when[0] kinnear's[0] wife[0] walks[0] into[0] the[0] office[0] there[0] isn't[0] a[0] single[0] guy[0] who[0] doesn't[0] trip[0] bump[0] into[0] a[0] wall[0] or[0] otherwise[0] pratfall[0] as[0] if[0] they'd[0] never[0] seen[0] a[0] woman[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the few guys that aren't particularly slimeballs , such as john goodman's detective character , are simply uncommunicative workaholics . 	the few guys that aren't particularly slimeballs , such as john goodman's detective character , are simply uncommunicative workaholics .	1	-1	 the[0] few[0] guys[0] that[0] aren't[0] particularly[0] slimeballs[0] such[0] as[0] john[0] goodman's[0] detective[0] character[0] are[0] simply[0] uncommunicative[0] workaholics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shandling meets up with annette bening , who will inevitably prove to be the love he never knew existed , at one of kinnear's aa meetings . 	shandling meets up with annette bening , who will inevitably prove to be the love he never knew existed , at one of kinnear's a meetings .	3	-1	 shandling[0] meets[0] up[0] with[0] annette[0] bening[0] who[0] will[0] inevitably[0] prove[0] to[0] be[0] the[0] love[2] he[0] never[0] knew[0] existed[0] at[0] one[0] of[0] kinnear's[0] aa/a[0] meetings[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shandling's mission is to have a baby , and when he reveals his desires to her , bening instantly falls for him , and the next day . . . 	shandling's mission is to have a baby , and when he reveals his desires to her , bening instantly falls for him , and the next day .<br> .<br> .	2	-1	 shandling's[0] mission[0] is[0] to[0] have[0] a[0] baby[1] and[0] when[0] he[0] reveals[0] his[0] desires[0] to[0] her[0] bening[0] instantly[0] falls[0] for[0] him[0] and[0] the[0] next[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they get married . 	they get married .	1	-1	 they[0] get[0] married[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yup . 	yup .	1	-1	 yup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next day . 	the next day .	1	-1	 the[0] next[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cuz ya see , it turns out she wants a baby too ! 	cuz ya see , it turns out she wants a baby too !	2	-1	 cuz[0] ya[0] see[0] it[0] turns[0] out[0] she[0] wants[0] a[0] baby[1] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bening's character perhaps was the most difficult to watch , especially after seeing her come apart at the seams so effectively in american beauty . . . 	bening's character perhaps was the most difficult to watch , especially after seeing her come apart at the seams so effectively in american beauty .<br> .<br> .	3	-2	 bening's[0] character[0] perhaps[0] was[0] the[0] most[0] difficult[-1] to[0] watch[0] especially[0] after[0] seeing[0] her[0] come[0] apart[0] at[0] the[0] seams[0] so[0] effectively[0] in[0] american[0] beauty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if her character here is supposed to be representing the female of the species as a whole , then woe , i say , to the species . 	if her character here is supposed to be representing the female of the species as a whole , then woe , i say , to the species .	1	-3	 if[0] her[0] character[0] here[0] is[0] supposed[0] to[0] be[0] representing[0] the[0] female[0] of[0] the[0] species[0] as[0] a[0] whole[0] then[0] woe[-2] i[0] say[0] to[0] the[0] species[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she's unfathomably insecure , and succumbs so easily to all of shandling's lines and lies that it borders on tragic . 	she's unfathomably insecure , and succumbs so easily to all of shandling's lines and lies that it borders on tragic .	1	-3	 she's[0] unfathomably[0] insecure[-1] and[0] succumbs[-1] so[0] easily[0] to[0] all[0] of[0] shandling's[0] lines[0] and[0] lies[-2] that[0] it[0] borders[0] on[0] tragic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a point where , after thinking she may not be able to bear children , she learns that she is indeed pregnant . 	there's a point where , after thinking she may not be able to bear children , she learns that she is indeed pregnant .	1	-1	 there's[0] a[0] point[0] where[0] after[0] thinking[0] she[0] may[0] not[0] be[0] able[0] to[0] bear[0] children[0] she[0] learns[0] that[0] she[0] is[0] indeed[0] pregnant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when garry comes home after nearly cheating on her , she strolls into the kitchen and sings " high hopes " ( you know , the uplifting ant and the rubber tree plant song ) to deliver the news , and then says to him , " now you can't leave me . " 	when garry comes home after nearly cheating on her , she strolls into the kitchen and sings " high hopes " ( you know , the uplifting ant and the rubber tree plant song ) to deliver the news , and then says to him , " now you can't leave me .<br> "	2	-3	 when[0] garry[0] comes[0] home[0] after[0] nearly[0] cheating[-2] on[0] her[0] she[0] strolls[0] into[0] the[0] kitchen[0] and[0] sings[0] high[0] hopes[1] you[0] know[0] the[0] uplifting[0] ant[0] and[0] the[0] rubber[0] tree[0] plant[0] song[0] to[0] deliver[0] the[0] news[0] and[0] then[0] says[0] to[0] him[0] now[0] you[0] can't[0] leave[0] me[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we're supposed to empathize with shandling's discovery of the feeling of " guilt , " but instead i wanted to weep for bening that she was placing her entire life and soul firmly in the lap of a great big nothing . 	we're supposed to empathize with shandling's discovery of the feeling of " guilt , " but instead i wanted to weep for bening that she was placing her entire life and soul firmly in the lap of a great big nothing .	3	-4	 we're[0] supposed[0] to[0] empathize[0] with[0] shandling's[0] discovery[0] of[0] the[0] feeling[0] of[0] guilt[-3] but[0] instead[0] i[0] wanted[0] to[0] weep[-2] for[0] bening[0] that[0] she[0] was[0] placing[0] her[0] entire[0] life[0] and[0] soul[0] firmly[0] in[0] the[0] lap[0] of[0] a[0] great[2] big[0] nothing[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and eventually , shandling falls in love with her . . . 	and eventually , shandling falls in love with her .<br> .<br> .	3	-1	 and[0] eventually[0] shandling[0] falls[0] in[0] love[2] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for real , i suppose , though i'm not sure exactly what prompted it . 	for real , i suppose , though i'm not sure exactly what prompted it .	1	-1	 for[0] real[0] i[0] suppose[0] though[0] i'm[0] not[0] sure[0] exactly[0] what[0] prompted[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's the message i derive from all this ? 	what's the message i derive from all this ?	1	-1	 what's[0] the[0] message[0] i[0] derive[0] from[0] all[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
men are liars , inherently empty creatures , but if you hang around long enough . . . 	men are liars , inherently empty creatures , but if you hang around long enough .<br> .<br> .	1	-3	 men[0] are[0] liars[-2] inherently[0] empty[0] creatures[0] but[0] if[0] you[0] hang[-1] around[0] long[0] enough[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
well , maybe something will click . 	well , maybe something will click .	1	-1	 well[0] maybe[0] something[0] will[0] click[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ha ha . . . 	ha ha .<br> .<br> .	2	-1	 ha[1] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ha ? 	ha ?	2	-1	 ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm thankful such broad cynicism isn't frequently allowed to run so rampant . 	i'm thankful such broad cynicism isn't frequently allowed to run so rampant .	2	-2	 i'm[0] thankful[1] such[0] broad[0] cynicism[-1] isn't[0] frequently[0] allowed[0] to[0] run[0] so[0] rampant[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
let's all join hands and pray that the planet these folks are from is not this one . 	let's all join hands and pray that the planet these folks are from is not this one .	1	-1	 let's[0] all[0] join[0] hands[0] and[0] pray[0] that[0] the[0] planet[0] these[0] folks[0] are[0] from[0] is[0] not[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's also a subplot involving john goodman as an airline incident investigator that wades in the bog of stupidity . 	there's also a subplot involving john goodman as an airline incident investigator that wades in the bog of stupidity .	1	-2	 there's[0] also[0] a[0] subplot[0] involving[0] john[0] goodman[0] as[0] an[0] airline[0] incident[0] investigator[0] that[0] wades[0] in[0] the[0] bog[0] of[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
goodman , through a series of astoundingly implausible realizations , puts together the fact that shandling is a being from another world with a magic , vibrating penis . 	goodman , through a series of astoundingly implausible realizations , puts together the fact that shandling is a being from another world with a magic , vibrating penis .	1	-1	 goodman[0] through[0] a[0] series[0] of[0] astoundingly[0] implausible[0] realizations[0] puts[0] together[0] the[0] fact[0] that[0] shandling[0] is[0] a[0] being[0] from[0] another[0] world[0] with[0] a[0] magic[0] vibrating[0] penis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has all the makings for a subplot of having shandling be discovered , that , thankfully , never comes to the inevitable hackneyed fruition . 	it has all the makings for a subplot of having shandling be discovered , that , thankfully , never comes to the inevitable hackneyed fruition .	2	-1	 it[0] has[0] all[0] the[0] makings[0] for[0] a[0] subplot[0] of[0] having[0] shandling[0] be[0] discovered[0] that[0] thankfully[1] never[0] comes[0] to[0] the[0] inevitable[0] hackneyed[0] fruition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , it just dangles limply on the branch for a while , withers , and falls away . 	instead , it just dangles limply on the branch for a while , withers , and falls away .	1	-1	 instead[0] it[0] just[0] dangles[0] limply[0] on[0] the[0] branch[0] for[0] a[0] while[0] withers[0] and[0] falls[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
further proof that goodman should just stick to doing coen brothers movies . 	further proof that goodman should just stick to doing coen brothers movies .	1	-1	 further[0] proof[0] that[0] goodman[0] should[0] just[0] stick[0] to[0] doing[0] coen[0] brothers[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but let's not dwell on this any longer , i've already wasted plenty of your time and my own . 	but let's not dwell on this any longer , i've already wasted plenty of your time and my own .	1	-2	 but[0] let's[0] not[0] dwell[0] on[0] this[0] any[0] longer[0] i've[0] already[0] wasted[-1] plenty[0] of[0] your[0] time[0] and[0] my[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's move on , forget about what we've seen here , and get on with our lives . 	let's move on , forget about what we've seen here , and get on with our lives .	1	-1	 let's[0] move[0] on[0] forget[0] about[0] what[0] we've[0] seen[0] here[0] and[0] get[0] on[0] with[0] our[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and to help us out , let's end things on a happy note . . . 	and to help us out , let's end things on a happy note .<br> .<br> .	2	-1	 and[0] to[0] help[0] us[0] out[0] let's[0] end[0] things[0] on[0] a[0] happy[1] note[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
congratuations go out to annette bening , winner of this week's " title ! " 	congratuations go out to annette bening , winner of this week's " title !<br> "	2	-1	 congratuations[0] go[0] out[0] to[0] annette[0] bening[0] winner[1] of[0] this[0] week's[0] title[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
award , for delivering the awkward line of dialog containing the movie's name . 	award , for delivering the awkward line of dialog containing the movie's name .	1	-2	 award[0] for[0] delivering[0] the[0] awkward[-1] line[0] of[0] dialog[0] containing[0] the[0] movie's[0] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
