capsule : dumb dud of an entry in the body heat sweepstakes , and now something of a landmark for having spawned a jillion clones . 	Translation	Positive	Negative	EmotionRationale
joe eszterhas has written the screenplay , and he uses a device that he used before in the much better jagged edge : the killer's identity is kept a secret until the movie's final shot . 	joe eszterhas has written the screenplay , and he uses a device that he used before in the much better jagged edge : the killer's identity is kept a secret until the movie's final shot .	1	-2	 joe[0] eszterhas[0] has[0] written[0] the[0] screenplay[0] and[0] he[0] uses[0] a[0] device[0] that[0] he[0] used[0] before[0] in[0] the[0] much[0] better[0] jagged[0] edge[0] the[0] killer's[0] identity[0] is[0] kept[0] a[0] secret[0] until[0] the[0] movie's[0] final[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this isn't in itself a problem -- the problem is that up until that point , we've been given nothing to work with . 	this isn't in itself a problem - the problem is that up until that point , we've been given nothing to work with .	1	-2	 this[0] isn't[0] in[0] itself[0] a[0] problem[-1] the[0] problem[-1] is[0] that[0] up[0] until[0] that[0] point[0] we've[0] been[0] given[0] nothing[0] to[0] work[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every clue in the movie -- every clue -- is ambiguous . 	every clue in the movie - every clue - is ambiguous .	1	-2	 every[0] clue[0] in[0] the[0] movie[0] every[0] clue[0] is[0] ambiguous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole thriller aspect of the movie is a shill . 	the whole thriller aspect of the movie is a shill .	2	-1	 the[0] whole[0] thriller[1] aspect[0] of[0] the[0] movie[0] is[0] a[0] shill[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
red herrings , dead plot threads , violence , and kinky sexuality litter the movie like potholes in manhattan streets . 	red herrings , dead plot threads , violence , and kinky sexuality litter the movie like potholes in manhattan streets .	2	-4	 red[0] herrings[0] dead[-2] plot[0] threads[0] violence[-3] and[0] kinky[0] sexuality[0] litter[-1] the[0] movie[0] like[1] potholes[0] in[0] manhattan[0] streets[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they add up to zip , because they're not happening to people we care about . 	they add up to zip , because they're not happening to people we care about .	2	-1	 they[0] add[0] up[0] to[0] zip[0] because[0] they're[0] not[0] happening[0] to[0] people[0] we[0] care[1] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
douglas's character is foulmouthed and bitter and that's it ; stone's character has an iron-on smile that never changes ; the rest are forgettable . 	douglas's character is foulmouthed and bitter and that's it ; stone's character has an iron-on smile that never changes ; the rest are forgettable .	3	-2	 douglas's[0] character[0] is[0] foulmouthed[0] and[0] bitter[-1] and[0] that's[0] it[0] stone's[0] character[0] has[0] an[0] iron[0] on[0] smile[2] that[0] never[0] changes[0] the[0] rest[0] are[0] forgettable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when we don't even have the luxury of giving a damn about anyone in the movie , who cares what happens in it ? 	when we don't even have the luxury of giving a damn about anyone in the movie , who cares what happens in it ?	2	-2	 when[0] we[0] don't[0] even[0] have[0] the[0] luxury[0] of[0] giving[0] a[0] damn[-1] about[0] anyone[0] in[0] the[0] movie[0] who[0] cares[1] what[0] happens[0] in[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
especially with an ending that is not only unsatisfying , but in many ways inexplicable ? 	especially with an ending that is not only unsatisfying , but in many ways inexplicable ?	1	-2	 especially[0] with[0] an[0] ending[0] that[0] is[0] not[0] only[0] unsatisfying[0] but[0] in[0] many[0] ways[0] inexplicable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( a friend of mine once came up with a rule of thumb about movie characters : " if no one in the movie behaves like anyone you know , or would * care * to know , just leave ! " ) 	 ( a friend of mine once came up with a rule of thumb about movie characters : " if no one in the movie behaves like anyone you know , or would * care * to know , just leave !<br> " )	2	-1	 a[0] friend[1] of[0] mine[0] once[0] came[0] up[0] with[0] a[0] rule[0] of[0] thumb[0] about[0] movie[0] characters[0] if[0] no[0] one[0] in[0] the[0] movie[0] behaves[0] like[1] anyone[0] you[0] know[0] or[0] would[0] care[1][-1 LastWordBoosterStrength] to[0] know[0] just[0] leave[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the nastier things about the movie is the way it treats lesbianism not as an integral part of someone's life , but as a kind of kink -- something to thrill men with . 	one of the nastier things about the movie is the way it treats lesbianism not as an integral part of someone's life , but as a kind of kink - something to thrill men with .	4	-3	 one[0] of[0] the[0] nastier[-2] things[0] about[0] the[0] movie[0] is[0] the[0] way[0] it[0] treats[0] lesbianism[0] not[0] as[0] an[0] integral[0] part[0] of[0] someone's[0] life[0] but[0] as[0] a[0] kind[1] of[0] kink[0] something[0] to[0] thrill[3] men[0] with[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
i despair whenever i encounter this kind of stupidity in mainstream entertainment ; are we still so culturally neanderthal that the only way to include something like that in a big-budget hollywood film is as a hefnerism ? 	i despair whenever i encounter this kind of stupidity in mainstream entertainment ; are we still so culturally neanderthal that the only way to include something like that in a big-budget hollywood film is as a hefnerism ?	2	-4	 i[0] despair[-3] whenever[0] i[0] encounter[0] this[0] kind[1] of[0] stupidity[-1] in[0] mainstream[0] entertainment[0] are[0] we[0] still[0] so[0] culturally[0] neanderthal[0] that[0] the[0] only[0] way[0] to[0] include[0] something[0] like[1] that[0] in[0] a[0] big[0] budget[0] hollywood[0] film[0] is[0] as[0] a[0] hefnerism[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
