 " you damn dirty apes ! " 	Translation	Positive	Negative	EmotionRationale
but heston has already seen a cave that contains evidence that humans were originally the dominant species , before apes ever gained the ability to speak and run for president . 	but heston has already seen a cave that contains evidence that humans were originally the dominant species , before apes ever gained the ability to speak and run for president .	1	-1	 but[0] heston[0] has[0] already[0] seen[0] a[0] cave[0] that[0] contains[0] evidence[0] that[0] humans[0] were[0] originally[0] the[0] dominant[0] species[0] before[0] apes[0] ever[0] gained[0] the[0] ability[0] to[0] speak[0] and[0] run[0] for[0] president[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he takes them there , holding up a baby doll and yelling , " if humans couldn't speak , then how do you account for this talking doll ? ! " 	and he takes them there , holding up a baby doll and yelling , " if humans couldn't speak , then how do you account for this talking doll ?<br> !<br> "	2	-1	 and[0] he[0] takes[0] them[0] there[0] holding[0] up[0] a[0] baby[1] doll[0] and[0] yelling[0] if[0] humans[0] couldn't[0] speak[0] then[0] how[0] do[0] you[0] account[0] for[0] this[0] talking[0] doll[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and how do you account for your acting ability , mr . heston ? 	and how do you account for your acting ability , mr .<br> heston ?	1	-1	 and[0] how[0] do[0] you[0] account[0] for[0] your[0] acting[0] ability[0] mr[0] [[Sentence=-1,1=word max, 1-5]] heston[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the absolute most laughable scene comes with the movie's surprise conclusion . 	the absolute most laughable scene comes with the movie's surprise conclusion .	1	-2	 the[0] absolute[0] most[0] laughable[-1] scene[0] comes[0] with[0] the[0] movie's[0] surprise[0] conclusion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i won't reveal the details except to say it involves heston falling to his knees on a beach and yelling " god damn you all to hell ! " 	i won't reveal the details except to say it involves heston falling to his knees on a beach and yelling " god damn you all to hell !<br> "	1	-2	 i[0] won't[0] reveal[0] the[0] details[0] except[0] to[0] say[0] it[0] involves[0] heston[0] falling[0] to[0] his[0] knees[0] on[0] a[0] beach[0] and[0] yelling[0] god[0] damn[-1] you[0] all[0] to[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
several times in succession . 	several times in succession .	3	-1	 several[0] times[0] in[0] succession[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie is atrocious and should only be viewed by those members of society who like to watch bad movies and laugh at them . 	the movie is atrocious and should only be viewed by those members of society who like to watch bad movies and laugh at them .	2	-4	 the[0] movie[0] is[0] atrocious[-3] and[0] should[0] only[0] be[0] viewed[0] by[0] those[0] members[0] of[0] society[0] who[0] like[1] to[0] watch[0] bad[-1] movies[0] and[0] laugh[1] at[0] them[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what makes planet of the apes even more amusing is that it was supposed to function as some sort of social irony , a condemnation of fundamentals who reject the theories of evolution . 	what makes planet of the apes even more amusing is that it was supposed to function as some sort of social irony , a condemnation of fundamentals who reject the theories of evolution .	2	-2	 what[0] makes[0] planet[0] of[0] the[0] apes[0] even[0] more[0] amusing[1] is[0] that[0] it[0] was[0] supposed[0] to[0] function[0] as[0] some[0] sort[0] of[0] social[0] irony[-1] a[0] condemnation[-1] of[0] fundamentals[0] who[0] reject[-1] the[0] theories[0] of[0] evolution[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but let me tell you , if darwin could see the ape masks and hear the rotten dialogue exchanges ( heston [to female ape] : may i kiss you before i go ? 	but let me tell you , if darwin could see the ape masks and hear the rotten dialogue exchanges ( heston [to female ape] : may i kiss you before i go ?	3	-3	 but[0] let[0] me[0] tell[0] you[0] if[0] darwin[0] could[0] see[0] the[0] ape[0] masks[0] and[0] hear[0] the[0] rotten[-2] dialogue[0] exchanges[0] heston[0] [to[0] female[0] ape][0] may[0] i[0] kiss[2] you[0] before[0] i[0] go[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ape : but . . . 	ape : but .<br> .<br> .	1	-1	 ape[0] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you're so . . . 	you're so .<br> .<br> .	1	-1	 you're[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ugly . ) , he'd convert to creationism on the spot . 	ugly .<br> ) , he'd convert to creationism on the spot .	1	-3	 ugly[-2] [[Sentence=-3,1=word max, 1-5]] he'd[0] convert[0] to[0] creationism[0] on[0] the[0] spot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
luckily for us , science-fiction movies have evolved over time to the point at which some of them are actually good . 	luckily for us , science-fiction movies have evolved over time to the point at which some of them are actually good .	3	-1	 luckily[2] for[0] us[0] science[0] fiction[0] movies[0] have[0] evolved[0] over[0] time[0] to[0] the[0] point[0] at[0] which[0] some[0] of[0] them[0] are[0] actually[0] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
