well , as i check my score card for what i've done this holiday weekend , it reads good ideas : 0 and dumb ideas : 1 . 	Translation	Positive	Negative	EmotionRationale
however , as fate would have it , an accidental meeting with  what-ever-happened-to' richard grieco gives them the all-important ticket to get in . 	however , as fate would have it , an accidental meeting with  what-ever-happened-to' richard grieco gives them the all-important ticket to get in .	1	-2	 however[0] as[0] fate[0] would[0] have[0] it[0] an[0] accidental[-1] meeting[0] with[0] what[0] ever[0] happened[0] to'[0] richard[0] grieco[0] gives[0] them[0] the[0] all[0] important[0] ticket[0] to[0] get[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their sad lives take on a whole new direction . 	their sad lives take on a whole new direction .	1	-4	 their[0] sad[-3] lives[0] take[0] on[0] a[0] whole[0] new[0] direction[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they make an important contact with the club owner who believes that these two brothers have uncanny insight into the club scene . 	they make an important contact with the club owner who believes that these two brothers have uncanny insight into the club scene .	1	-1	 they[0] make[0] an[0] important[0] contact[0] with[0] the[0] club[0] owner[0] who[0] believes[0] that[0] these[0] two[0] brothers[0] have[0] uncanny[0] insight[0] into[0] the[0] club[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they are mistaken as rich swingers by two voluptuous young women . 	and they are mistaken as rich swingers by two voluptuous young women .	1	-2	 and[0] they[0] are[0] mistaken[-1] as[0] rich[0] swingers[0] by[0] two[0] voluptuous[0] young[0] women[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but their newfound popularity does not impress their father , who has other plans for them . 	but their newfound popularity does not impress their father , who has other plans for them .	2	-2	 but[0] their[0] newfound[0] popularity[1] does[0] not[0] impress[1][NegatedDueToPreviousWord] their[0] father[0] who[0] has[0] other[0] plans[0] for[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the unfortunate thing about this film is that this is a one-joke movie , and the brothers are the joke . 	the unfortunate thing about this film is that this is a one-joke movie , and the brothers are the joke .	2	-2	 the[0] unfortunate[-1] thing[0] about[0] this[0] film[0] is[0] that[0] this[0] is[0] a[0] one[0] joke[1] movie[0] and[0] the[0] brothers[0] are[0] the[0] joke[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
actually , there's about 10 mintues worth of tolerable stuff . 	actually , there's about 10 mintues worth of tolerable stuff .	1	-1	 actually[0] there's[0] about[0] 10[0] mintues[0] worth[0] of[0] tolerable[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alas , too long for tv and way too short for a feature-length film . 	alas , too long for tv and way too short for a feature-length film .	1	-2	 alas[-1] too[0] long[0] for[0] tv[0] and[0] way[0] too[0] short[0] for[0] a[0] feature[0] length[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thus , there just isn't enough material to sustain the 83-minute movie . 	thus , there just isn't enough material to sustain the 83-minute movie .	1	-1	 thus[0] there[0] just[0] isn't[0] enough[0] material[0] to[0] sustain[0] the[0] 83[0] minute[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no plot to be found and everything that these two do seem to culminate in an opportunity to execute their trademark move of snapping their heads in unison to the funky beat of haddaway's europop song , what is love . 	there's no plot to be found and everything that these two do seem to culminate in an opportunity to execute their trademark move of snapping their heads in unison to the funky beat of haddaway's europop song , what is love .	3	-2	 there's[0] no[0] plot[0] to[0] be[0] found[0] and[0] everything[0] that[0] these[0] two[0] do[0] seem[0] to[0] culminate[0] in[0] an[0] opportunity[0] to[0] execute[-1] their[0] trademark[0] move[0] of[0] snapping[0] their[0] heads[0] in[0] unison[0] to[0] the[0] funky[0] beat[0] of[0] haddaway's[0] europop[0] song[0] what[0] is[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i was amazed that none of the two suffered from whiplash . 	i was amazed that none of the two suffered from whiplash .	3	-4	 i[0] was[0] amazed[2] that[0] none[0] of[0] the[0] two[0] suffered[-3] from[0] whiplash[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
to take up more film time , there is a subplot involving the daughter of the businessman next door who wants to marry doug . 	to take up more film time , there is a subplot involving the daughter of the businessman next door who wants to marry doug .	1	-1	 to[0] take[0] up[0] more[0] film[0] time[0] there[0] is[0] a[0] subplot[0] involving[0] the[0] daughter[0] of[0] the[0] businessman[0] next[0] door[0] who[0] wants[0] to[0] marry[0] doug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this creates not only friction between the brothers , but their unlikely pairing will also agitate audience members as well . 	this creates not only friction between the brothers , but their unlikely pairing will also agitate audience members as well .	1	-2	 this[0] creates[0] not[0] only[0] friction[0] between[0] the[0] brothers[0] but[0] their[0] unlikely[0] pairing[0] will[0] also[0] agitate[-1] audience[0] members[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's educated and a forebearing witch . 	she's educated and a forebearing witch .	1	-1	 she's[0] educated[0] and[0] a[0] forebearing[0] witch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , doug is a complete loser . 	meanwhile , doug is a complete loser .	1	-4	 meanwhile[0] doug[0] is[0] a[0] complete[0] loser[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
how did these two ever get together ? 	how did these two ever get together ?	1	-1	 how[0] did[0] these[0] two[0] ever[0] get[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose that if i can ever figure out the answer to that question , i'll have figured out why i decided to go and see this movie . 	i suppose that if i can ever figure out the answer to that question , i'll have figured out why i decided to go and see this movie .	1	-1	 i[0] suppose[0] that[0] if[0] i[0] can[0] ever[0] figure[0] out[0] the[0] answer[0] to[0] that[0] question[0] i'll[0] have[0] figured[0] out[0] why[0] i[0] decided[0] to[0] go[0] and[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're looking for entertainment , you won't find it at the roxbury . 	if you're looking for entertainment , you won't find it at the roxbury .	1	-1	 if[0] you're[0] looking[0] for[0] entertainment[0] you[0] won't[0] find[0] it[0] at[0] the[0] roxbury[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
