i want to be involved in show business one day . 	Translation	Positive	Negative	EmotionRationale
his accent is so heavy , you can't understand what he says , and the trouble with action stars like him is they cannot act , and they know it , but they figure that if they flex their muscles , say a limited amount of stuff , and kill a bunch of guys , then they figure nobody'll notice . 	his accent is so heavy , you can't understand what he says , and the trouble with action stars like him is they cannot act , and they know it , but they figure that if they flex their muscles , say a limited amount of stuff , and kill a bunch of guys , then they figure nobody'll notice .	2	-2	 his[0] accent[0] is[0] so[0] heavy[0] you[0] can't[0] understand[0] what[0] he[0] says[0] and[0] the[0] trouble[-1] with[0] action[0] stars[0] like[1] him[0] is[0] they[0] cannot[0] act[0] and[0] they[0] know[0] it[0] but[0] they[0] figure[0] that[0] if[0] they[0] flex[0] their[0] muscles[0] say[0] a[0] limited[0] amount[0] of[0] stuff[0] and[0] kill[-1] a[0] bunch[0] of[0] guys[0] then[0] they[0] figure[0] nobody'll[0] notice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's the trouble with me , * i * notice . 	that's the trouble with me , * i * notice .	1	-2	 that's[0] the[0] trouble[-1] with[0] me[0] i[0] notice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
schwarzenegger does not deserve billing over clooney , or as much money as he got for this , but hollywood thinks he does . 	schwarzenegger does not deserve billing over clooney , or as much money as he got for this , but hollywood thinks he does .	1	-1	 schwarzenegger[0] does[0] not[0] deserve[0] billing[0] over[0] clooney[0] or[0] as[0] much[0] money[0] as[0] he[0] got[0] for[0] this[0] but[0] hollywood[0] thinks[0] he[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
patrick stewart was the person i'd heard that was considered to play freeze , and he would've been so much better . 	patrick stewart was the person i'd heard that was considered to play freeze , and he would've been so much better .	1	-1	 patrick[0] stewart[0] was[0] the[0] person[0] i'd[0] heard[0] that[0] was[0] considered[0] to[0] play[0] freeze[0] and[0] he[0] would've[0] been[0] so[0] much[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or sean connery , but not arnold " i'm not an actor , but i play one in real life " schwarzenegger . 	or sean connery , but not arnold " i'm not an actor , but i play one in real life " schwarzenegger .	1	-1	 or[0] sean[0] connery[0] but[0] not[0] arnold[0] i'm[0] not[0] an[0] actor[0] but[0] i[0] play[0] one[0] in[0] real[0] life[0] schwarzenegger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i realize that you must be a star to play a major role in a batman film , but it would've been nice if they'd casted a star that had talent for the role . 	i realize that you must be a star to play a major role in a batman film , but it would've been nice if they'd casted a star that had talent for the role .	2	-1	 i[0] realize[0] that[0] you[0] must[0] be[0] a[0] star[0] to[0] play[0] a[0] major[0] role[0] in[0] a[0] batman[0] film[0] but[0] it[0] would've[0] been[0] nice[1] if[0] they'd[0] casted[0] a[0] star[0] that[0] had[0] talent[1] for[0] the[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
akiva goldsmith's screenplay avoids some stuff that happens in a normal batman film . 	akiva goldsmith's screenplay avoids some stuff that happens in a normal batman film .	1	-2	 akiva[0] goldsmith's[0] screenplay[0] avoids[-1] some[0] stuff[0] that[0] happens[0] in[0] a[0] normal[0] batman[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a regular batman film , they'd concentrate on the relationship with the girlfriend a little more , but elle macpherson's julie madison is so limited here that we never get a real sense of who she is . 	in a regular batman film , they'd concentrate on the relationship with the girlfriend a little more , but elle macpherson's julie madison is so limited here that we never get a real sense of who she is .	1	-1	 in[0] a[0] regular[0] batman[0] film[0] they'd[0] concentrate[0] on[0] the[0] relationship[0] with[0] the[0] girlfriend[0] a[0] little[0] more[0] but[0] elle[0] macpherson's[0] julie[0] madison[0] is[0] so[0] limited[0] here[0] that[0] we[0] never[0] get[0] a[0] real[0] sense[0] of[0] who[0] she[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is talk of a fifth batman movie . 	there is talk of a fifth batman movie .	1	-1	 there[0] is[0] talk[0] of[0] a[0] fifth[0] batman[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my interest to see it is low , but i hope it's better than this . 	my interest to see it is low , but i hope it's better than this .	3	-2	 my[0] interest[1] to[0] see[0] it[0] is[0] low[-1] but[0] i[0] hope[2] it's[0] better[0] than[0] this[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if you don't want to waste your time , rent any of the other batman movies from blockbuster . 	if you don't want to waste your time , rent any of the other batman movies from blockbuster .	1	-2	 if[0] you[0] don't[0] want[0] to[0] waste[-1] your[0] time[0] rent[0] any[0] of[0] the[0] other[0] batman[0] movies[0] from[0] blockbuster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
any other . 	any other .	1	-1	 any[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
