not a great twelve months for either of the principals from this movie . 	Translation	Positive	Negative	EmotionRationale
plot : in order to escape major financial difficulties , a local weatherman hooks up with his ball-picking lotto girlfriend and rigs the state lottery . 	plot : in order to escape major financial difficulties , a local weatherman hooks up with his ball-picking lotto girlfriend and rigs the state lottery .	1	-2	 plot[0] in[0] order[0] to[0] escape[0] major[0] financial[0] difficulties[-1] a[0] local[0] weatherman[0] hooks[0] up[0] with[0] his[0] ball[0] picking[0] lotto[0] girlfriend[0] and[0] rigs[0] the[0] state[0] lottery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but as more and more people find out about their scheme , more and more people demand a part of their winnings , and more and more problems arise . 	but as more and more people find out about their scheme , more and more people demand a part of their winnings , and more and more problems arise .	2	-2	 but[0] as[0] more[0] and[0] more[0] people[0] find[0] out[0] about[0] their[0] scheme[0] more[0] and[0] more[0] people[0] demand[0] a[0] part[0] of[0] their[0] winnings[1] and[0] more[0] and[0] more[0] problems[-1] arise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
critique : simply stated , i didn't laugh once during this entire picture . 	critique : simply stated , i didn't laugh once during this entire picture .	2	-1	 critique[0] simply[0] stated[0] i[0] didn't[0] laugh[1] once[0] during[0] this[0] entire[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for a comedy , it offered me a few smiles , a bunch of nincompoops as characters , a miscast john travolta hamming it up and lisa kudrow , in what can only described as a " sluttier " version of her character of phoebe on tv's " friends " . 	for a comedy , it offered me a few smiles , a bunch of nincompoops as characters , a miscast john travolta hamming it up and lisa kudrow , in what can only described as a " sluttier " version of her character of phoebe on tv's " friends " .	3	-3	 for[0] a[0] comedy[0] it[0] offered[0] me[0] a[0] few[0] smiles[2] a[0] bunch[0] of[0] nincompoops[0] as[0] characters[0] a[0] miscast[0] john[0] travolta[0] hamming[0] it[0] up[0] and[0] lisa[0] kudrow[0] in[0] what[0] can[0] only[0] described[0] as[0] a[0] sluttier[-2] version[0] of[0] her[0] character[0] of[0] phoebe[0] on[0] tv's[0] friends[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this film was not as disastrous as i thought it would be , but it was pretty close . 	this film was not as disastrous as i thought it would be , but it was pretty close .	4	-1	 this[0] film[0] was[0] not[0] as[0] disastrous[-3][NegatedDueToPreviousWord] as[0] i[0] thought[0] it[0] would[0] be[0] but[0] it[0] was[0] pretty[2] close[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
thankfully , the clips of travolta dressed up in goofy outfits , dancing as the weatherman were left in the film's trailer , and not in this final cut . 	thankfully , the clips of travolta dressed up in goofy outfits , dancing as the weatherman were left in the film's trailer , and not in this final cut .	2	-1	 thankfully[1] the[0] clips[0] of[0] travolta[0] dressed[0] up[0] in[0] goofy[0] outfits[0] dancing[0] as[0] the[0] weatherman[0] were[0] left[0] in[0] the[0] film's[0] trailer[0] and[0] not[0] in[0] this[0] final[0] cut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and not unlike the worst movie of the year so far , beautiful , this film also managed to feature many unsympathetic , idiotic and just plain irritating characters in its cast . 	and not unlike the worst movie of the year so far , beautiful , this film also managed to feature many unsympathetic , idiotic and just plain irritating characters in its cast .	3	-3	 and[0] not[0] unlike[0] the[0] worst[-2] movie[0] of[0] the[0] year[0] so[0] far[0] beautiful[2] this[0] film[0] also[0] managed[0] to[0] feature[0] many[0] unsympathetic[0] idiotic[-2] and[0] just[0] plain[0] irritating[-2] characters[0] in[0] its[0] cast[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
foremost was travolta's character , who declined to give us any reason to care for him once in the entire movie . 	foremost was travolta's character , who declined to give us any reason to care for him once in the entire movie .	2	-2	 foremost[0] was[0] travolta's[0] character[0] who[0] declined[-1] to[0] give[0] us[0] any[0] reason[0] to[0] care[1] for[0] him[0] once[0] in[0] the[0] entire[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and for me , the casting choice of john travolta for this role was just plain wrong . 	and for me , the casting choice of john travolta for this role was just plain wrong .	1	-2	 and[0] for[0] me[0] the[0] casting[0] choice[0] of[0] john[0] travolta[0] for[0] this[0] role[0] was[0] just[0] plain[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he didn't fit the part . 	he didn't fit the part .	1	-1	 he[0] didn't[0] fit[0] the[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just saw him in get shorty the other day and thought about how perfect he was for that role . 	i just saw him in get shorty the other day and thought about how perfect he was for that role .	2	-1	 i[0] just[0] saw[0] him[0] in[0] get[0] shorty[0] the[0] other[0] day[0] and[0] thought[0] about[0] how[0] perfect[1] he[0] was[0] for[0] that[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a cool , calculating roughneck with a certain hip , suave " je ne sais quoi " . 	a cool , calculating roughneck with a certain hip , suave " je ne sais quoi " .	2	-2	 a[0] cool[1] calculating[0] roughneck[-1] with[0] a[0] certain[0] hip[0] suave[0] je[0] ne[0] sais[0] quoi[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in this film , he looks like he's trying to be funny , trying to be bad , trying to be good . 	in this film , he looks like he's trying to be funny , trying to be bad , trying to be good .	2	-2	 in[0] this[0] film[0] he[0] looks[0] like[1] he's[0] trying[0] to[0] be[0] funny[1] trying[0] to[0] be[0] bad[-1] trying[0] to[0] be[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we're not supposed to be able to notice that , and when we do , at least in my case , i consider it a wrong choice in casting . 	we're not supposed to be able to notice that , and when we do , at least in my case , i consider it a wrong choice in casting .	1	-2	 we're[0] not[0] supposed[0] to[0] be[0] able[0] to[0] notice[0] that[0] and[0] when[0] we[0] do[0] at[0] least[0] in[0] my[0] case[0] i[0] consider[0] it[0] a[0] wrong[-1] choice[0] in[0] casting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
add that to lisa kudrow , boring us with yet another one of her patented " dumb blonde " routines , but this time , dressed in sexier outfits . 	add that to lisa kudrow , boring us with yet another one of her patented " dumb blonde " routines , but this time , dressed in sexier outfits .	1	-2	 add[0] that[0] to[0] lisa[0] kudrow[0] boring[-1] us[0] with[0] yet[0] another[0] one[0] of[0] her[0] patented[0] dumb[-1] blonde[0] routines[0] but[0] this[0] time[0] dressed[0] in[0] sexier[0] outfits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael rapaport , stretching one small acting muscle to play the guy who isn't quite up at the same speed level as everyone else . 	michael rapaport , stretching one small acting muscle to play the guy who isn't quite up at the same speed level as everyone else .	1	-1	 michael[0] rapaport[0] stretching[0] one[0] small[0] acting[0] muscle[0] to[0] play[0] the[0] guy[0] who[0] isn't[0] quite[0] up[0] at[0] the[0] same[0] speed[0] level[0] as[0] everyone[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and a truckload of empty comedic bullet shells , and you've got yourself an extremely quiet audience anticipating punch lines that never quite materialize . 	and a truckload of empty comedic bullet shells , and you've got yourself an extremely quiet audience anticipating punch lines that never quite materialize .	1	-2	 and[0] a[0] truckload[0] of[0] empty[0] comedic[0] bullet[-1] shells[0] and[0] you've[0] got[0] yourself[0] an[0] extremely[0] quiet[0] audience[0] anticipating[0] punch[-1] lines[0] that[0] never[0] quite[0] materialize[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only real good thing that i could say about this film is that its story was actually half-interesting and never really bored me . 	the only real good thing that i could say about this film is that its story was actually half-interesting and never really bored me .	3	-1	 the[0] only[0] real[0] good[1] thing[0] that[0] i[0] could[0] say[0] about[0] this[0] film[0] is[0] that[0] its[0] story[0] was[0] actually[0] half[0] interesting[1] and[0] never[0] really[0] bored[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i also liked michael moore's perverted cousin character , and i loved , and i say it again , loved the character that bill pullman played . 	i also liked michael moore's perverted cousin character , and i loved , and i say it again , loved the character that bill pullman played .	4	-2	 i[0] also[0] liked[2] michael[0] moore's[0] perverted[-1] cousin[0] character[0] and[0] i[0] loved[3] and[0] i[0] say[0] it[0] again[0] loved[3] the[0] character[0] that[0] bill[0] pullman[0] played[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
give this dude his own movie ! 	give this dude his own movie !	1	-1	 give[0] this[0] dude[0] his[0] own[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he played a lazy cop , a man who tries everything not to do any real work . 	he played a lazy cop , a man who tries everything not to do any real work .	1	-2	 he[0] played[0] a[0] lazy[-1] cop[0] a[0] man[0] who[0] tries[0] everything[0] not[0] to[0] do[0] any[0] real[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he fakes injuries to get off duty , tries to avoid arrest situations so that he won't have to fill out any forms . . . now 	he fakes injuries to get off duty , tries to avoid arrest situations so that he won't have to fill out any forms .<br> .<br> .<br> now	1	-2	 he[0] fakes[-1] injuries[0] to[0] get[0] off[0] duty[-1] tries[0] to[0] avoid[-1] arrest[0] situations[0] so[0] that[0] he[0] won't[0] have[0] to[0] fill[0] out[0] any[0] forms[0] [[Sentence=-2,1=word max, 1-5]] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a base of humor . 	there's a base of humor .	3	-1	 there's[0] a[0] base[0] of[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sadly , the filmmakers decided to bring him into play with only about half an hour left in the film . 	sadly , the filmmakers decided to bring him into play with only about half an hour left in the film .	1	-2	 sadly[-1] the[0] filmmakers[0] decided[0] to[0] bring[0] him[0] into[0] play[0] with[0] only[0] about[0] half[0] an[0] hour[0] left[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and there's not much else i can say about this movie , folks . 	and there's not much else i can say about this movie , folks .	1	-1	 and[0] there's[0] not[0] much[0] else[0] i[0] can[0] say[0] about[0] this[0] movie[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the whole , it was lame , included a slew of unlikable characters fiddling around in a pool of unfunny lines , and very little of interest for any target audience . 	on the whole , it was lame , included a slew of unlikable characters fiddling around in a pool of unfunny lines , and very little of interest for any target audience .	2	-3	 on[0] the[0] whole[0] it[0] was[0] lame[-2] included[0] a[0] slew[0] of[0] unlikable[0] characters[0] fiddling[0] around[0] in[0] a[0] pool[0] of[0] unfunny[0] lines[0] and[0] very[0] little[0] of[0] interest[1] for[0] any[0] target[0] audience[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but get somebody to write up a movie featuring that lazy cop played by pullman and i'm there ! 	but get somebody to write up a movie featuring that lazy cop played by pullman and i'm there !	1	-2	 but[0] get[0] somebody[0] to[0] write[0] up[0] a[0] movie[0] featuring[0] that[0] lazy[-1] cop[0] played[0] by[0] pullman[0] and[0] i'm[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
