the spy game is up . 	Translation	Positive	Negative	EmotionRationale
of course , the rival wants control of his new personal identification system , which involves such latter-day buzzwords as gps , cellular tracking , and even mainframe . 	of course , the rival wants control of his new personal identification system , which involves such latter-day buzwords as gps , cellular tracking , and even mainframe .	1	-2	 of[0] course[0] the[0] rival[-1] wants[0] control[0] of[0] his[0] new[0] personal[0] identification[0] system[0] which[0] involves[0] such[0] latter[0] day[0] buzzwords/buzwords[0] as[0] gps[0] cellular[0] tracking[0] and[0] even[0] mainframe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the amazing crispin glover lends his acting chops as a crazed henchmen involved in all the nasty things that happen to the angels -- like battling each of them in many round-robin matrix rip-off ( again ) fight sequences and harboring a strange attraction to sliced-off locks of the angels' hair . 	the amazing crispin glover lends his acting chops as a crazed henchmen involved in all the nasty things that happen to the angels - like battling each of them in many round-robin matrix rip-off ( again ) fight sequences and harboring a strange attraction to sliced-off locks of the angels' hair .	3	-3	 the[0] amazing[2] crispin[0] glover[0] lends[0] his[0] acting[0] chops[0] as[0] a[0] crazed[0] henchmen[0] involved[0] in[0] all[0] the[0] nasty[-2] things[0] that[0] happen[0] to[0] the[0] angels[0] like[1] battling[0] each[0] of[0] them[0] in[0] many[0] round[0] robin[0] matrix[0] rip[-1] off[0] again[0] fight[-2] sequences[0] and[0] harboring[0] a[0] strange[0] attraction[1] to[0] sliced[0] off[0] locks[0] of[0] the[0] angels'[0] hair[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the coup de grace is bill murray as bosley , serving as charlie's manservant , or , more to the point , the angels' pimp . 	the coup de grace is bill murray as bosley , serving as charlie's manservant , or , more to the point , the angels' pimp .	3	-1	 the[0] coup[0] de[0] grace[2] is[0] bill[0] murray[0] as[0] bosley[0] serving[0] as[0] charlie's[0] manservant[0] or[0] more[0] to[0] the[0] point[0] the[0] angels'[0] pimp[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the rest of the movie comprises a revenge arc , enough costume changes to fill three productions of les miserables , carbon-copy fight sequences that would lend credible evidence to a jackie chan and the wachowski brothers lawsuit for intellectual property theft , and the strange transformation of sam rockwell into mickey rourke's long-lost brother . 	the rest of the movie comprises a revenge arc , enough costume changes to fill three productions of les miserables , carbon-copy fight sequences that would lend credible evidence to a jackie chan and the wachowski brothers lawsuit for intellectual property theft , and the strange transformation of sam rockwell into mickey rourke's long-lost brother .	1	-3	 the[0] rest[0] of[0] the[0] movie[0] comprises[0] a[0] revenge[-1] arc[0] enough[0] costume[0] changes[0] to[0] fill[0] three[0] productions[0] of[0] les[0] miserables[-2] carbon[0] copy[0] fight[-2] sequences[0] that[0] would[0] lend[0] credible[0] evidence[0] to[0] a[0] jackie[0] chan[0] and[0] the[0] wachowski[0] brothers[0] lawsuit[-1] for[0] intellectual[0] property[0] theft[-1] and[0] the[0] strange[0] transformation[0] of[0] sam[0] rockwell[0] into[0] mickey[0] rourke's[0] long[0] lost[0] brother[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
charlie's angels starts off with a bang and ends up being a soggy burrito left out overnight . 	charlie's angels starts off with a bang and ends up being a soggy burrito left out overnight .	1	-1	 charlie's[0] angels[0] starts[0] off[0] with[0] a[0] bang[0] and[0] ends[0] up[0] being[0] a[0] soggy[0] burrito[0] left[0] out[0] overnight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing is difficult , plausible , or believable in any of the angels' actions . 	nothing is difficult , plausible , or believable in any of the angels' actions .	1	-2	 nothing[0] is[0] difficult[-1] plausible[0] or[0] believable[0] in[0] any[0] of[0] the[0] angels'[0] actions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it feels like the matrix , mission : impossible 2 , and cleopatra jones and the casino of gold all rolled into one . 	it feels like the matrix , mission : impossible 2 , and cleopatra jones and the casino of gold all rolled into one .	2	-1	 it[0] feels[0] like[1] the[0] matrix[0] mission[0] impossible[0] 2[0] and[0] cleopatra[0] jones[0] and[0] the[0] casino[0] of[0] gold[0] all[0] rolled[0] into[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
diaz is a knucklehead . 	diaz is a knucklehead .	1	-1	 diaz[0] is[0] a[0] knucklehead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barrymore is the " dangerous one , " mean and tough and about as believable as katie holmes in the role . 	barrymore is the " dangerous one , " mean and tough and about as believable as katie holmes in the role .	1	-2	 barrymore[0] is[0] the[0] dangerous[-1] one[0] mean[0] and[0] tough[-1] and[0] about[0] as[0] believable[0] as[0] katie[0] holmes[0] in[0] the[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
liu is just . . . 	liu is just .<br> .<br> .	1	-1	 liu[0] is[0] just[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucy liu , looking good in a skin-tight black leather suit . 	lucy liu , looking good in a skin-tight black leather suit .	2	-1	 lucy[0] liu[0] looking[0] good[1] in[0] a[0] skin[0] tight[0] black[0] leather[0] suit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the list of movies from which charlie's angels is directly lifted is equally astonishing . 	the list of movies from which charlie's angels is directly lifted is equally astonishing .	1	-1	 the[0] list[0] of[0] movies[0] from[0] which[0] charlie's[0] angels[0] is[0] directly[0] lifted[0] is[0] equally[0] astonishing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the writers apparently ran the copier all night stealing scenes from armageddon , lethal weapon ii , all of jackie chan's movies , the great escape , saturday night fever , revenge of the nerds , payback , darkman , dr . no , the matrix ( as mentioned ) , and even tv's friends . 	the writers apparently ran the copier all night stealing scenes from armageddon , lethal weapon i , all of jackie chan's movies , the great escape , saturday night fever , revenge of the nerds , payback , darkman , dr .<br> no , the matrix ( as mentioned ) , and even tv's friends .	3	-3	 the[0] writers[0] apparently[0] ran[0] the[0] copier[0] all[0] night[0] stealing[-2] scenes[0] from[0] armageddon[0] lethal[0] weapon[-1] ii/i[0] all[0] of[0] jackie[0] chan's[0] movies[0] the[0] great[2] escape[0] saturday[0] night[0] fever[-1] revenge[-1] of[0] the[0] nerds[-2] payback[0] darkman[0] dr[0] [[Sentence=-3,3=word max, 1-5]] no[0] the[0] matrix[0] as[0] mentioned[0] and[0] even[0] tv's[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[3,-3 max of sentences]]]
it's a shame , too , because one of the many screenwriters , john august , was at the helm of last year's favorite , go . 	it's a shame , too , because one of the many screenwriters , john august , was at the helm of last year's favorite , go .	2	-3	 it's[0] a[0] shame[-2] too[0] because[0] one[0] of[0] the[0] many[0] screenwriters[0] john[0] august[0] was[0] at[0] the[0] helm[0] of[0] last[0] year's[0] favorite[1] go[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then again , what can you expect from a director known solely as " mcg . " 	then again , what can you expect from a director known solely as " mcg .<br> "	1	-1	 then[0] again[0] what[0] can[0] you[0] expect[0] from[0] a[0] director[0] known[0] solely[0] as[0] mcg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no camp value in the film , no interesting main characters , no invigorating action scenes , no reason at all to waste your time except to ogle the hot chicks and enjoy the performances of a few supporting players . 	there is no camp value in the film , no interesting main characters , no invigorating action scenes , no reason at all to waste your time except to ogle the hot chicks and enjoy the performances of a few supporting players .	3	-2	 there[0] is[0] no[0] camp[0] value[1] in[0] the[0] film[0] no[0] interesting[1] main[0] characters[0] no[0] invigorating[1] action[0] scenes[0] no[0] reason[0] at[0] all[0] to[0] waste[-1] your[0] time[0] except[0] to[0] ogle[0] the[0] hot[0] chicks[0] and[0] enjoy[2] the[0] performances[0] of[0] a[0] few[0] supporting[1] players[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
note to hollywood : next time , let's leave the tv shows on the tv . 	note to hollywood : next time , let's leave the tv shows on the tv .	1	-1	 note[0] to[0] hollywood[0] next[0] time[0] let's[0] leave[0] the[0] tv[0] shows[0] on[0] the[0] tv[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
