what are the warning signs of a * terrible * movie ? 	Translation	Positive	Negative	EmotionRationale
predictably , the man who knows nothing will fight against the odds and give the company it's most profitable and successful turnaround ever , all because he ran things by common sense and not greed . 	predictably , the man who knows nothing will fight against the odds and give the company it's most profitable and successful turnaround ever , all because he ran things by common sense and not greed .	3	-3	 predictably[0] the[0] man[0] who[0] knows[0] nothing[0] will[0] fight[-2] against[-1] the[0] odds[0] and[0] give[0] the[0] company[0] it's[0] most[0] profitable[1] and[0] successful[2] turnaround[0] ever[0] all[0] because[0] he[0] ran[0] things[0] by[0] common[0] sense[0] and[0] not[0] greed[-2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's as though writers turi meyer , al septien , and alex zamm ( meyer and septien also wrote leprechaun 2 together ! ) 	it's as though writers turi meyer , al septien , and alex zam ( meyer and septien also wrote leprechaun 2 together !<br> )	1	-1	 it's[0] as[0] though[0] writers[0] turi[0] meyer[0] al[0] septien[0] and[0] alex[0] zamm/zam[0] meyer[0] and[0] septien[0] also[0] wrote[0] leprechaun[0] 2[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pulled a plot out of a hat and worked carrot top into it . 	pulled a plot out of a hat and worked carrot top into it .	1	-1	 pulled[0] a[0] plot[0] out[0] of[0] a[0] hat[0] and[0] worked[0] carrot[0] top[0] into[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the jokes , the " surprises " , the developments - all of them run such a predictable path , it may only be carrot top's signature brazen red hairdo that sets this one apart from the myriad of similar films . 	the jokes , the " surprises " , the developments - all of them run such a predictable path , it may only be carrot top's signature brazen red hairdo that sets this one apart from the myriad of similar films .	2	-2	 the[0] jokes[1] the[0] surprises[0] the[0] developments[0] all[0] of[0] them[0] run[0] such[0] a[0] predictable[0] path[0] it[0] may[0] only[0] be[0] carrot[0] top's[0] signature[0] brazen[-1] red[0] hairdo[0] that[0] sets[0] this[0] one[0] apart[0] from[0] the[0] myriad[0] of[0] similar[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a movie this bad speaks for itself . 	a movie this bad speaks for itself .	1	-2	 a[0] movie[0] this[0] bad[-1] speaks[0] for[0] itself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's left to say when every element the movie possesses is a shameful retread of movies past ? 	what's left to say when every element the movie possesses is a shameful retread of movies past ?	1	-3	 what's[0] left[0] to[0] say[0] when[0] every[0] element[0] the[0] movie[0] possesses[0] is[0] a[0] shameful[-2] retread[0] of[0] movies[0] past[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script is 100% recycled , the direction is hokey , and the acting is absolutely horrible . 	the script is 100% recycled , the direction is hokey , and the acting is absolutely horrible .	1	-5	 the[0] script[0] is[0] 100%[0] recycled[0] the[0] direction[0] is[0] hokey[0] and[0] the[0] acting[0] is[0] absolutely[0] horrible[-3][-1 LastWordBoosterStrength] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
it is only thorne-smith who seems to take her job seriously , an accomplishment which surely deserves the medal of honor . 	it is only thorne-smith who seems to take her job seriously , an accomplishment which surely deserves the medal of honor .	2	-1	 it[0] is[0] only[0] thorne[0] smith[0] who[0] seems[0] to[0] take[0] her[0] job[0] seriously[0] an[0] accomplishment[1] which[0] surely[0] deserves[0] the[0] medal[0] of[0] honor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she certainly went beyond the call of duty - she has to kiss carrot top ! ! ! ! ! ! 	she certainly went beyond the call of duty - she has to kiss carrot top !<br> !<br> !<br> !<br> !<br> !	3	-2	 she[0] certainly[0] went[0] beyond[0] the[0] call[0] of[0] duty[-1] she[0] has[0] to[0] kiss[2] carrot[0] top[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( barf bag , please ! ) 	 ( barf bag , please !<br> )	2	-2	 barf[-1] bag[0] please[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
movies like this give the audience nothing to do but ponder just how many synonyms for " bad " there really are . 	movies like this give the audience nothing to do but ponder just how many synonyms for " bad " there really are .	2	-2	 movies[0] like[1] this[0] give[0] the[0] audience[0] nothing[0] to[0] do[0] but[0] ponder[0] just[0] how[0] many[0] synonyms[0] for[0] bad[-1] there[0] really[0] are[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
chairman of the board , without a doubt , deserves each and every one . 	chairman of the board , without a doubt , deserves each and every one .	1	-2	 chairman[0] of[0] the[0] board[0] without[0] a[0] doubt[-1] deserves[0] each[0] and[0] every[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only way this won't end up on everybody's " bottom ten of the year " list , is if they were lucky enough never to have seen it . 	the only way this won't end up on everybody's " bottom ten of the year " list , is if they were lucky enough never to have seen it .	2	-1	 the[0] only[0] way[0] this[0] won't[0] end[0] up[0] on[0] everybody's[0] bottom[0] ten[0] of[0] the[0] year[0] list[0] is[0] if[0] they[0] were[0] lucky[1] enough[0] never[0] to[0] have[0] seen[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just because you can't miss his outlandish fiery mane , don't skimp on avoiding this abhorrent feature . 	just because you can't miss his outlandish fiery mane , don't skimp on avoiding this abhorrent feature .	2	-4	 just[0] because[0] you[0] can't[0] miss[-1][NegatedDueToPreviousWord] his[0] outlandish[0] fiery[-1] mane[0] don't[0] skimp[0] on[0] avoiding[-1] this[0] abhorrent[-3] feature[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
