this is the first film in what would become the most successful series of horror films of all time . 	Translation	Positive	Negative	EmotionRationale
since i'm not going to do that , feel free to assume that if i did , it wouldn't be positive . 	since i'm not going to do that , feel free to assume that if i did , it wouldn't be positive .	1	-3	 since[0] i'm[0] not[0] going[0] to[0] do[0] that[0] feel[0] free[0] to[0] assume[0] that[0] if[0] i[0] did[0] it[0] wouldn't[0] be[0] positive[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i will say that this movie looks as if it was made for about a hundred bucks , and that includes the actors' salaries . 	i will say that this movie looks as if it was made for about a hundred bucks , and that includes the actors' salaries .	1	-1	 i[0] will[0] say[0] that[0] this[0] movie[0] looks[0] as[0] if[0] it[0] was[0] made[0] for[0] about[0] a[0] hundred[0] bucks[0] and[0] that[0] includes[0] the[0] actors'[0] salaries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you are used to recent horror films like scream , you are in for a bit of a surprise . 	if you are used to recent horror films like scream , you are in for a bit of a surprise .	2	-4	 if[0] you[0] are[0] used[0] to[0] recent[0] horror[-3] films[0] like[1] scream[-3] you[0] are[0] in[0] for[0] a[0] bit[0] of[0] a[0] surprise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the only saving grace for friday the 13th is that it was really the first of its kind , with the killer taking real pride in their work . 	the only saving grace for friday the 13th is that it was really the first of its kind , with the killer taking real pride in their work .	3	-2	 the[0] only[0] saving[0] grace[2] for[0] friday[0] the[0] 13th[0] is[0] that[0] it[0] was[0] really[0] the[0] first[0] of[0] its[0] kind[1] with[0] the[0] killer[-1] taking[0] real[0] pride[1] in[0] their[0] work[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
using as many methods of murder as they could . 	using as many methods of murder as they could .	1	-4	 using[0] as[0] many[0] methods[0] of[0] murder[-3] as[0] they[0] could[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
none of this single murder weapon stuff life that unimaginative leatherface in chainsaw massacre , or the creatively stifled imagination of halloween's michael myers who just used brute force or a really big kitchen knife . 	none of this single murder weapon stuff life that unimaginative leatherface in chainsaw massacre , or the creatively stifled imagination of halloween's michael myers who just used brute force or a really big kitchen knife .	1	-4	 none[0] of[0] this[0] single[0] murder[-3] weapon[-1] stuff[0] life[0] that[0] unimaginative[0] leatherface[0] in[0] chainsaw[0] massacre[-1] or[0] the[0] creatively[0] stifled[-1] imagination[0] of[0] halloween's[0] michael[0] myers[0] who[0] just[0] used[0] brute[-1] force[-1] or[0] a[0] really[0] big[0] kitchen[0] knife[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nope , in the friday the 13th movies , you can always count on the killer taking great pride in his work . 	nope , in the friday the 13th movies , you can always count on the killer taking great pride in his work .	3	-2	 nope[0] in[0] the[0] friday[0] the[0] 13th[0] movies[0] you[0] can[0] always[0] count[0] on[0] the[0] killer[-1] taking[0] great[2] pride[1] in[0] his[0] work[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one fun fact about this movie is that the cast includes a very young kevin bacon , although after this movie it is a wonder he ever worked again . 	one fun fact about this movie is that the cast includes a very young kevin bacon , although after this movie it is a wonder he ever worked again .	2	-1	 one[0] fun[1] fact[0] about[0] this[0] movie[0] is[0] that[0] the[0] cast[0] includes[0] a[0] very[0] young[0] kevin[0] bacon[0] although[0] after[0] this[0] movie[0] it[0] is[0] a[0] wonder[0] he[0] ever[0] worked[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the main reason to see friday the 13th is if you want to watch all of the series from the beginning . 	the main reason to see friday the 13th is if you want to watch all of the series from the beginning .	1	-1	 the[0] main[0] reason[0] to[0] see[0] friday[0] the[0] 13th[0] is[0] if[0] you[0] want[0] to[0] watch[0] all[0] of[0] the[0] series[0] from[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if not , stick with the later films with jason , everyone's favorite hockey fan . 	if not , stick with the later films with jason , everyone's favorite hockey fan .	2	-1	 if[0] not[0] stick[0] with[0] the[0] later[0] films[0] with[0] jason[0] everyone's[0] favorite[1] hockey[0] fan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
friday the 13th is the sort of movie that is fun to sit down and get a couple of scares from , just don't sit down expecting a whole lot . 	friday the 13th is the sort of movie that is fun to sit down and get a couple of scares from , just don't sit down expecting a whole lot .	2	-4	 friday[0] the[0] 13th[0] is[0] the[0] sort[0] of[0] movie[0] that[0] is[0] fun[1] to[0] sit[0] down[0] and[0] get[0] a[0] couple[0] of[0] scares[-3] from[0] just[0] don't[0] sit[0] down[0] expecting[0] a[0] whole[0] lot[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
