disney's " air bud " tells a boy-and-his-dog story with a twist -- the pooch is quite an accomplished basketball player . 	Translation	Positive	Negative	EmotionRationale
kevin , buddy . 	kevin , buddy .	1	-1	 kevin[0] buddy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once the dog proves his on-court prowess , kevin's self-esteem rockets . 	once the dog proves his on-court prowess , kevin's self-esteem rockets .	1	-1	 once[0] the[0] dog[0] proves[0] his[0] on[0] court[0] prowess[0] kevin's[0] self[0] esteem[0] rockets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they both win places in the school's basketball team , with the animal as their mascot . 	they both win places in the school's basketball team , with the animal as their mascot .	1	-1	 they[0] both[0] win[0] places[0] in[0] the[0] school's[0] basketball[0] team[0] with[0] the[0] animal[0] as[0] their[0] mascot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but before they can make it to the finals , snively surfaces to reclaim buddy . 	but before they can make it to the finals , snively surfaces to reclaim buddy .	1	-1	 but[0] before[0] they[0] can[0] make[0] it[0] to[0] the[0] finals[0] snively[0] surfaces[0] to[0] reclaim[0] buddy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything plays out just as one would think : heavy on predictability , light on an actual story . 	everything plays out just as one would think : heavy on predictability , light on an actual story .	2	-1	 everything[0] plays[1] out[0] just[0] as[0] one[0] would[0] think[0] heavy[0] on[0] predictability[0] light[0] on[0] an[0] actual[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie follows a calculated chain of events -- kevin's gloom fades , snively gets his comeuppance and buddy contracts rabies and must be executed old yeller-style . 	the movie follows a calculated chain of events - kevin's gloom fades , snively gets his comeuppance and buddy contracts rabies and must be executed old yeller-style .	1	-3	 the[0] movie[0] follows[0] a[0] calculated[0] chain[0] of[0] events[0] kevin's[0] gloom[-2] fades[0] snively[0] gets[0] his[0] comeuppance[0] and[0] buddy[0] contracts[0] rabies[0] and[0] must[0] be[0] executed[-1] old[0] yeller[0] style[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
okay , that last one's a lie , but at least it would have been a quicker send-off than " air bud " 's courtroom climax -- no joke ! 	okay , that last one's a lie , but at least it would have been a quicker send-off than " air bud " 's courtroom climax - no joke !	2	-1	 okay[0] that[0] last[0] one's[0] a[0] lie[0] but[0] at[0] least[0] it[0] would[0] have[0] been[0] a[0] quicker[0] send[0] off[0] than[0] air[0] bud[0] 's[0] courtroom[0] climax[0] no[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's even a faux-cute musical montage where a reluctant buddy gets cleaned-up to " splish splash . " 	there's even a faux-cute musical montage where a reluctant buddy gets cleaned-up to " splish splash .<br> "	2	-2	 there's[0] even[0] a[0] faux[0] cute[1] musical[0] montage[0] where[0] a[0] reluctant[-1] buddy[0] gets[0] cleaned[0] up[0] to[0] splish[0] splash[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
paint cans are spilled and newspapers are buried , all in the name of formula . 	paint cans are spilled and newspapers are buried , all in the name of formula .	1	-3	 paint[0] cans[0] are[0] spilled[-1] and[0] newspapers[0] are[0] buried[-2] all[0] in[0] the[0] name[0] of[0] formula[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the end credits note that " no special visual effects were used in the basketball sequences of this motion picture . " 	the end credits note that " no special visual effects were used in the basketball sequences of this motion picture .<br> "	2	-1	 the[0] end[0] credits[0] note[0] that[0] no[0] special[1] visual[0] effects[0] were[0] used[0] in[0] the[0] basketball[0] sequences[0] of[0] this[0] motion[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that very well may be true , and although to see a dog sink shots is quite a sight , a movie cannot exist on feat alone . 	that very well may be true , and although to see a dog sink shots is quite a sight , a movie cannot exist on feat alone .	2	-1	 that[0] very[0] well[0] may[0] be[0] true[1] and[0] although[0] to[0] see[0] a[0] dog[0] sink[0] shots[0] is[0] quite[0] a[0] sight[0] a[0] movie[0] cannot[0] exist[0] on[0] feat[0] alone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but " air bud " doesn't seem to be interested in anything else . 	but " air bud " doesn't seem to be interested in anything else .	2	-1	 but[0] air[0] bud[0] doesn't[0] seem[0] to[0] be[0] interested[1] in[0] anything[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a friend of mine insists he saw buddy a while back on a segment of david letterman's " stupid pet tricks . " 	a friend of mine insists he saw buddy a while back on a segment of david letterman's " stupid pet tricks .<br> "	2	-2	 a[0] friend[1] of[0] mine[0] insists[0] he[0] saw[0] buddy[0] a[0] while[0] back[0] on[0] a[0] segment[0] of[0] david[0] letterman's[0] stupid[-1] pet[0] tricks[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i can't think of a more appropriate connection -- this movie is a stupid pet trick . 	i can't think of a more appropriate connection - this movie is a stupid pet trick .	1	-2	 i[0] can't[0] think[0] of[0] a[0] more[0] appropriate[0] connection[0] this[0] movie[0] is[0] a[0] stupid[-1] pet[0] trick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
