birthdays often cause individuals to access their lives . 	Translation	Positive	Negative	EmotionRationale
murphy has changed his roles in recent years and not for the better . 	murphy has changed his roles in recent years and not for the better .	1	-1	 murphy[0] has[0] changed[0] his[0] roles[0] in[0] recent[0] years[0] and[0] not[0] for[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are hints of promise in this one . 	there are hints of promise in this one .	2	-1	 there[0] are[0] hints[0] of[0] promise[1] in[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only time the film picks up even a little is when his shaved-headed character in the long flowing white caftan shows up on screen . 	the only time the film picks up even a little is when his shaved-headed character in the long flowing white caftan shows up on screen .	1	-1	 the[0] only[0] time[0] the[0] film[0] picks[0] up[0] even[0] a[0] little[0] is[0] when[0] his[0] shaved[0] headed[0] character[0] in[0] the[0] long[0] flowing[0] white[0] caftan[0] shows[0] up[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the others are horrendous . 	the others are horrendous .	1	-4	 the[0] others[0] are[0] horrendous[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
goldblum has episodes of brilliance in his career , but here he seems to have been replaced with a lifeless pod from his " invasion of the body snatchers " . 	goldblum has episodes of brilliance in his career , but here he seems to have been replaced with a lifeless pod from his " invasion of the body snatchers " .	2	-2	 goldblum[0] has[0] episodes[0] of[0] brilliance[1] in[0] his[0] career[0] but[0] here[0] he[0] seems[0] to[0] have[0] been[0] replaced[0] with[0] a[0] lifeless[-1] pod[0] from[0] his[0] invasion[0] of[0] the[0] body[0] snatchers[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his relationship with kate makes no sense . 	his relationship with kate makes no sense .	1	-1	 his[0] relationship[0] with[0] kate[0] makes[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they move from antagonism to love somewhere off screen . 	they move from antagonism to love somewhere off screen .	3	-2	 they[0] move[0] from[0] antagonism[-1] to[0] love[2] somewhere[0] off[0] screen[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
preston is as uninteresting as she could possibly be . 	preston is as uninteresting as she could possibly be .	1	-1	 preston[0] is[0] as[0] uninteresting[0] as[0] she[0] could[0] possibly[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somewhere hidden deep inside of this film is about ten minutes of value . 	somewhere hidden deep inside of this film is about ten minutes of value .	2	-1	 somewhere[0] hidden[0] deep[0] inside[0] of[0] this[0] film[0] is[0] about[0] ten[0] minutes[0] of[0] value[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an attempt to satirize stupid television , we get a self-parody instead . 	an attempt to satirize stupid television , we get a self-parody instead .	1	-2	 an[0] attempt[0] to[0] satirize[0] stupid[-1] television[0] we[0] get[0] a[0] self[0] parody[0] instead[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
