the " fab 4 " of ronald reagan high are four stuck-up girls , played by rose mcgowan , rebecca gayheart , julie benz and charlotte roldan , who overdress like 4 posh spice wannabes . 	Translation	Positive	Negative	EmotionRationale
they eventually put her blue and bruised body into a sexual position and make it look like liz was the victim of a brutal rape . 	they eventually put her blue and bruised body into a sexual position and make it look like liz was the victim of a brutal rape .	2	-5	 they[0] eventually[0] put[0] her[0] blue[0] and[0] bruised[-1] body[0] into[0] a[0] sexual[0] position[0] and[0] make[0] it[0] look[0] like[1] liz[0] was[0] the[0] victim[-2] of[0] a[0] brutal[-2] rape[-3][-1 MultiplePositiveWords] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
these realistic and disgusting scenes of a dead , seminude teen have a pornographic feeling that is hard to forget and will likely turn the stomach of many a viewer . 	these realistic and disgusting scenes of a dead , seminude teen have a pornographic feeling that is hard to forget and will likely turn the stomach of many a viewer .	1	-4	 these[0] realistic[0] and[0] disgusting[-3] scenes[0] of[0] a[0] dead[-2] seminude[0] teen[0] have[0] a[0] pornographic[0] feeling[0] that[0] is[0] hard[0] to[0] forget[0] and[0] will[0] likely[0] turn[0] the[0] stomach[0] of[0] many[0] a[0] viewer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film's dialog not only isn't funny , it's trite . 	the film's dialog not only isn't funny , it's trite .	1	-3	 the[0] film's[0] dialog[0] not[0] only[0] isn't[0] funny[1][NegatedDueToPreviousWord] it's[0] trite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one nerdy young girl introduces herself with " my name is fern mayo , as in hold the mayo . " 	one nerdy young girl introduces herself with " my name is fern mayo , as in hold the mayo .<br> "	1	-3	 one[0] nerdy[-2] young[0] girl[0] introduces[0] herself[0] with[0] my[0] name[0] is[0] fern[0] mayo[0] as[0] in[0] hold[0] the[0] mayo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when fern discovers what has happened , the fab 3 make her an offer she can't refuse -- make-up ! 	when fern discovers what has happened , the fab 3 make her an offer she can't refuse - make-up !	3	-1	 when[0] fern[0] discovers[0] what[0] has[0] happened[0] the[0] fab[2] 3[0] make[0] her[0] an[0] offer[0] she[0] can't[0] refuse[-1][NegatedDueToPreviousWord] make[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they cake it on her and welcome her to the clan . 	they cake it on her and welcome her to the clan .	2	-1	 they[0] cake[0] it[0] on[0] her[0] and[0] welcome[1] her[0] to[0] the[0] clan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the parents in the movie brag about learning parenting skills from watching oprah . 	the parents in the movie brag about learning parenting skills from watching oprah .	1	-2	 the[0] parents[0] in[0] the[0] movie[0] brag[-1] about[0] learning[0] parenting[0] skills[0] from[0] watching[0] oprah[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the teachers fare no better , especially in the ridiculous lines they are given . 	the teachers fare no better , especially in the ridiculous lines they are given .	1	-3	 the[0] teachers[0] fare[0] no[0] better[0] especially[0] in[0] the[0] ridiculous[-2] lines[0] they[0] are[0] given[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " miss shayne , please cover your bosom , " one young teacher , who has been made up to look old and ugly , says without any conviction . 	 " miss shayne , please cover your bosom , " one young teacher , who has been made up to look old and ugly , says without any conviction .	2	-3	 miss[-1] shayne[0] please[1] cover[0] your[0] bosom[0] one[0] young[0] teacher[0] who[0] has[0] been[0] made[0] up[0] to[0] look[0] old[0] and[0] ugly[-2] says[0] without[0] any[0] conviction[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " this is a learning institution , not a brothel . " 	 " this is a learning institution , not a brothel .<br> "	1	-1	 this[0] is[0] a[0] learning[0] institution[0] not[0] a[0] brothel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besides the obvious question of why this movie was ever made , there is one other question that i'd like to ask the director . 	besides the obvious question of why this movie was ever made , there is one other question that i'd like to ask the director .	2	-1	 besides[0] the[0] obvious[0] question[0] of[0] why[0] this[0] movie[0] was[0] ever[0] made[0] there[0] is[0] one[0] other[0] question[0] that[0] i'd[0] like[1] to[0] ask[0] the[0] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why do you have a phone number start with 555 if you going to cover the rest of the number anyway ? 	why do you have a phone number start with 55 if you going to cover the rest of the number anyway ?	1	-1	 why[0] do[0] you[0] have[0] a[0] phone[0] number[0] start[0] with[0] 555/55[0] if[0] you[0] going[0] to[0] cover[0] the[0] rest[0] of[0] the[0] number[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a cameo , pam grier plays detective vera cruz , who investigates liz's murder . 	in a cameo , pam grier plays detective vera cruz , who investigates liz's murder .	2	-4	 in[0] a[0] cameo[0] pam[0] grier[0] plays[1] detective[0] vera[0] cruz[0] who[0] investigates[0] liz's[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as she interrogates the other people , she stares at them like they are all idiots , proving that she is the only one that gets it . 	as she interrogates the other people , she stares at them like they are all idiots , proving that she is the only one that gets it .	2	-3	 as[0] she[0] interrogates[0] the[0] other[0] people[0] she[0] stares[0] at[0] them[0] like[1] they[0] are[0] all[0] idiots[-2] proving[0] that[0] she[0] is[0] the[0] only[0] one[0] that[0] gets[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i am sure that if the hard nosed detective cruz were to see this movie , she'd walk out after about 5 minutes , and you'd be well advised to do the same if you should happen to find yourself in a theater showing it . 	i am sure that if the hard nosed detective cruz were to see this movie , she'd walk out after about 5 minutes , and you'd be well advised to do the same if you should happen to find yourself in a theater showing it .	1	-1	 i[0] am[0] sure[0] that[0] if[0] the[0] hard[0] nosed[0] detective[0] cruz[0] were[0] to[0] see[0] this[0] movie[0] she'd[0] walk[0] out[0] after[0] about[0] 5[0] minutes[0] and[0] you'd[0] be[0] well[0] advised[0] to[0] do[0] the[0] same[0] if[0] you[0] should[0] happen[0] to[0] find[0] yourself[0] in[0] a[0] theater[0] showing[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jawbreaker runs 1 : 27 . 	jawbreaker runs 1 : 27 .	1	-1	 jawbreaker[0] runs[0] 1[0] 27[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for violence , gore , profanity and sex . 	it is rated are for violence , gore , profanity and sex .	1	-4	 it[0] is[0] rated[0] r[0] for[0] violence[-3] gore[0] profanity[0] and[0] sex[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i would advise everyone to avoid it , but if teenagers go they should be older and mature . 	i would advise everyone to avoid it , but if teenagers go they should be older and mature .	1	-2	 i[0] would[0] advise[0] everyone[0] to[0] avoid[-1] it[0] but[0] if[0] teenagers[0] go[0] they[0] should[0] be[0] older[0] and[0] mature[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
