woof ! too bad that leap of faith was the title of a 1992 comedy starring steve martin and debra winger , because that's what's required to watch this incredulous howler starring bruce willis as--of all things--a psychologist . 	Translation	Positive	Negative	EmotionRationale
period . 	period .	1	-1	 period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
forget north , clifford , or , heaven help us , even on deadly ground . 	forget north , clifford , or , heaven help us , even on deadly ground .	2	-2	 forget[0] north[0] clifford[0] or[0] heaven[1] help[0] us[0] even[0] on[0] deadly[-1] ground[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here is a movie misfire so audaciously awful that you can't help but wonder how the actors all kept straight faces while filming . 	here is a movie misfire so audaciously awful that you can't help but wonder how the actors all kept straight faces while filming .	1	-4	 here[0] is[0] a[0] movie[0] misfire[0] so[0] audaciously[0] awful[-3] that[0] you[0] can't[0] help[0] but[0] wonder[0] how[0] the[0] actors[0] all[0] kept[0] straight[0] faces[0] while[0] filming[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for starters , the " group " is a collection of mixed nuts better suited to bob newhart than bruce willis . 	for starters , the " group " is a collection of mixed nuts better suited to bob newhart than bruce willis .	1	-1	 for[0] starters[0] the[0] group[0] is[0] a[0] collection[0] of[0] mixed[0] nuts[0] better[0] suited[0] to[0] bob[0] newhart[0] than[0] bruce[0] willis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are realistic portrayals of the mentally unhealthy ? 	these are realistic portrayals of the mentally unhealthy ?	1	-2	 these[0] are[0] realistic[0] portrayals[0] of[0] the[0] mentally[0] unhealthy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
playing a prissy obsessive/compulsive , cuckoos nest alumni brad dourif , alone , may set the psychology profession back ten years . 	playing a prissy obsessive/compulsive , cuckoos nest alumni brad dourif , alone , may set the psychology profession back ten years .	2	-3	 playing[1] a[0] prissy[0] obsessive/compulsive[-2] cuckoos[0] nest[0] alumni[0] brad[0] dourif[0] alone[0] may[0] set[0] the[0] psychology[0] profession[0] back[0] ten[0] years[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot's a wreck with laughable dialogue , pointless pov shifts , and the one big secret solvable in the first fifteen minutes . 	the plot's a wreck with laughable dialogue , pointless pov shifts , and the one big secret solvable in the first fifteen minutes .	1	-2	 the[0] plot's[0] a[0] wreck[-1] with[0] laughable[-1] dialogue[0] pointless[-1] pov[0] shifts[0] and[0] the[0] one[0] big[0] secret[0] solvable[0] in[0] the[0] first[0] fifteen[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director richard rush , who once helmed freebie and the bean , doesn't seem to mind . 	director richard rush , who once helmed freebie and the bean , doesn't seem to mind .	1	-1	 director[0] richard[0] rush[0] who[0] once[0] helmed[0] freebie[0] and[0] the[0] bean[0] doesn't[0] seem[0] to[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfazed by the nincompoop plot and cuckoo characterizations , he overfills the film with enough canny camera shots and zany set-pieces to make the effort almost worth watching . 	unfazed by the nincompoop plot and cuckoo characterizations , he overfills the film with enough canny camera shots and zany set-pieces to make the effort almost worth watching .	1	-2	 unfazed[0] by[0] the[0] nincompoop[-1] plot[0] and[0] cuckoo[0] characterizations[0] he[0] overfills[0] the[0] film[0] with[0] enough[0] canny[0] camera[0] shots[0] and[0] zany[0] set[0] pieces[0] to[0] make[0] the[0] effort[0] almost[0] worth[0] watching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his token freeway chase is ok , but the director has more fun with a vertiginous ending ala ( most recently ) fatal analysis . 	his token freeway chase is ok , but the director has more fun with a vertiginous ending ala ( most recently ) fatal analysis .	2	-3	 his[0] token[0] freeway[0] chase[-1] is[0] ok[0] but[0] the[0] director[0] has[0] more[0] fun[1] with[0] a[0] vertiginous[0] ending[0] ala[0] most[0] recently[0] fatal[-2] analysis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
acting credits are across-the-board awful . 	acting credits are across-the-board awful .	1	-4	 acting[0] credits[0] are[0] across[0] the[0] board[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
willis can be forgiven because he's filming die hard 3 as we speak . 	willis can be forgiven because he's filming die hard 3 as we speak .	2	-1	 willis[0] can[0] be[0] forgiven[1] because[0] he's[0] filming[0] die[0] hard[0] 3[0] as[0] we[0] speak[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what about ruben blades insulting presence as the cop ? 	but what about ruben blades insulting presence as the cop ?	1	-3	 but[0] what[0] about[0] ruben[0] blades[0] insulting[-2] presence[0] as[0] the[0] cop[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or lesley ann warren's stereotypical sex addict ? 	or lesley an warren's stereotypical sex addict ?	1	-2	 or[0] lesley[0] ann/an[0] warren's[0] stereotypical[0] sex[0] addict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or worst offender jane march as a mystery-girl-who's-no-real-mystery ? 	or worst offender jane march as a mystery-girl-who's-no-real-mystery ?	1	-3	 or[0] worst[-2] offender[-1] jane[0] march[0] as[0] a[0] mystery[0] girl[0] who's[0] no[0] real[0] mystery[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
shudder . 	shudder .	1	-1	 shudder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bottom line : how they all kept straight faces , i'll never know . 	bottom line : how they all kept straight faces , i'll never know .	1	-1	 bottom[0] line[0] how[0] they[0] all[0] kept[0] straight[0] faces[0] i'll[0] never[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
