carry on at your convenience is all about the goings-on in the factory of a toilet manufacturer , wc boggs ( kenneth williams ) . 	Translation	Positive	Negative	EmotionRationale
however , sole acting honours go to hattie jacques as beattie plummer . 	however , sole acting honours go to hattie jacques as beattie plummer .	1	-1	 however[0] sole[0] acting[0] honours[0] go[0] to[0] hattie[0] jacques[0] as[0] beattie[0] plummer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although her character is not directly involved with the main storyline , she manages to input a great deal of pathos and feeling into her character . 	although her character is not directly involved with the main storyline , she manages to input a great deal of pathos and feeling into her character .	3	-1	 although[0] her[0] character[0] is[0] not[0] directly[0] involved[0] with[0] the[0] main[0] storyline[0] she[0] manages[0] to[0] input[0] a[0] great[2] deal[0] of[0] pathos[0] and[0] feeling[0] into[0] her[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a marvellous performance from a marvellous actress . 	a marvellous performance from a marvellous actress .	1	-1	 a[0] marvellous[0] performance[0] from[0] a[0] marvellous[0] actress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film suffers from annoying performances by bernard bresslaw and especially kenneth cope . 	the film suffers from annoying performances by bernard bresslaw and especially kenneth cope .	1	-4	 the[0] film[0] suffers[-3] from[0] annoying[-2] performances[0] by[0] bernard[0] bresslaw[0] and[0] especially[0] kenneth[0] cope[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in his carry on debut , cope overdoes his role as spanner making him so annoying as to be unfunny . 	in his carry on debut , cope overdoes his role as spanner making him so annoying as to be unfunny .	1	-3	 in[0] his[0] carry[0] on[0] debut[0] cope[0] overdoes[0] his[0] role[0] as[0] spanner[0] making[0] him[0] so[0] annoying[-2] as[0] to[0] be[0] unfunny[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
joan sims returns as the love interest ( instead of barbara windsor ) . 	joan sims returns as the love interest ( instead of barbara windsor ) .	3	-1	 joan[0] sims[0] returns[0] as[0] the[0] love[2] interest[1] instead[0] of[0] barbara[0] windsor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sims' 'usual' part as the downtrodden wife was taken by hattie jacques . 	sims' 'usual' part as the downtrodden wife was taken by hattie jacques .	1	-1	 sims'[0] 'usual'[0] part[0] as[0] the[0] downtrodden[0] wife[0] was[0] taken[0] by[0] hattie[0] jacques[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
additionally , bill maynard as fred moore is very poor . 	additionally , bill maynard as fred more is very poor .	1	-3	 additionally[0] bill[0] maynard[0] as[0] fred[0] moore/more[0] is[0] very[0] poor[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this carry on movie tries it best to entertain the viewer : - the locations and wealth of characters are appealing . 	this carry on movie tries it best to entertain the viewer : - the locations and wealth of characters are appealing .	2	-1	 this[0] carry[0] on[0] movie[0] tries[0] it[0] best[1] to[0] entertain[0] the[0] viewer[0] the[0] locations[0] and[0] wealth[0] of[0] characters[0] are[0] appealing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the toilet humour becomes tiresome very quickly and some of the performances leave a lot to be desired . 	however , the toilet humour becomes tiresome very quickly and some of the performances leave a lot to be desired .	3	-2	 however[0] the[0] toilet[0] humour[2] becomes[0] tiresome[-1] very[0] quickly[0] and[0] some[0] of[0] the[0] performances[0] leave[0] a[0] lot[0] to[0] be[0] desired[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this movie does not know where it is going . 	this movie does not know where it is going .	1	-1	 this[0] movie[0] does[0] not[0] know[0] where[0] it[0] is[0] going[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was made in 1971 and talbot rothwell the scriptwriter seems to be in two minds whether to go for 'bluer' jokes or to maintain the 'innocent' jokes success of most of its predecessors . 	it was made in 1971 and talbot rothwell the scriptwriter seems to be in two minds whether to go for 'bluer' jokes or to maintain the 'innocent' jokes success of most of its predecessors .	3	-1	 it[0] was[0] made[0] in[0] 1971[0] and[0] talbot[0] rothwell[0] the[0] scriptwriter[0] seems[0] to[0] be[0] in[0] two[0] minds[0] whether[0] to[0] go[0] for[0] 'bluer'[0] jokes[1] or[0] to[0] maintain[0] the[0] 'innocent'[0] jokes[1] success[2] of[0] most[0] of[0] its[0] predecessors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that is why this film suffers . 	that is why this film suffers .	1	-4	 that[0] is[0] why[0] this[0] film[0] suffers[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a minor carry on film whose major asset is the performance by hattie jacques . 	a minor carry on film whose major asset is the performance by hattie jacques .	1	-1	 a[0] minor[0] carry[0] on[0] film[0] whose[0] major[0] asset[0] is[0] the[0] performance[0] by[0] hattie[0] jacques[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the new 'minor-regulars' such as o'callaghan and piper are not able to enliven the movie and the toilet humour becomes humourless after a while . 	the new 'minor-regulars' such as o'callaghan and piper are not able to enliven the movie and the toilet humour becomes humourless after a while .	3	-3	 the[0] new[0] 'minor[0] regulars'[0] such[0] as[0] o'callaghan[0] and[0] piper[0] are[0] not[0] able[0] to[0] enliven[0] the[0] movie[0] and[0] the[0] toilet[0] humour[2] becomes[0] humourless[-2] after[0] a[0] while[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
