director doug ellin's kissing a fool , released earlier this year , is an aptly titled comedy about two plastic couples housed in an artificial story . 	Translation	Positive	Negative	EmotionRationale
the idea of flirting with the beautiful sam makes jay so sick that he becomes unable to eat or work . 	the idea of flirting with the beautiful sam makes jay so sick that he becomes unable to eat or work .	3	-2	 the[0] idea[0] of[0] flirting[1] with[0] the[0] beautiful[2] sam[0] makes[0] jay[0] so[0] sick[-1] that[0] he[0] becomes[0] unable[0] to[0] eat[0] or[0] work[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
neither the script nor the actors make this test believable . 	neither the script nor the actors make this test believable .	1	-1	 neither[0] the[0] script[0] nor[0] the[0] actors[0] make[0] this[0] test[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the 64 , 000 question is : how do you know you're with the wrong person so you can avoid wreaking havoc on major parts of your life ? " 	 " the 64 , 00 question is : how do you know you're with the wrong person so you can avoid wreaking havoc on major parts of your life ?<br> "	1	-2	 the[0] 64[0] 000/00[0] question[0] is[0] how[0] do[0] you[0] know[0] you're[0] with[0] the[0] wrong[-1] person[0] so[0] you[0] can[0] avoid[-1] wreaking[0] havoc[-1] on[0] major[0] parts[0] of[0] your[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jay asks in one of the unsuccessful attempts at adding some seriousness to the film . 	jay asks in one of the unsuccessful attempts at adding some seriousness to the film .	1	-3	 jay[0] asks[0] in[0] one[0] of[0] the[0] unsuccessful[-2] attempts[0] at[0] adding[0] some[0] seriousness[-1][--1 LastWordBoosterStrength] to[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
finally , there is the film's attempt at physical comedy . 	finally , there is the film's attempt at physical comedy .	1	-1	 finally[0] there[0] is[0] the[0] film's[0] attempt[0] at[0] physical[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jay's ex-girlfriend natasha ( vanessa angel ) becomes infatuated with jay again once she thinks he is going out with someone else . 	jay's ex-girlfriend natasha ( vanessa angel ) becomes infatuated with jay again once she thinks he is going out with someone else .	1	-1	 jay's[0] ex[0] girlfriend[0] natasha[0] vanessa[0] angel[0] becomes[0] infatuated[0] with[0] jay[0] again[0] once[0] she[0] thinks[0] he[0] is[0] going[0] out[0] with[0] someone[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
natasha rips jay's shirt open after pushing him down onto the sofa . 	natasha rips jay's shirt open after pushing him down onto the sofa .	1	-1	 natasha[0] rips[0] jay's[0] shirt[0] open[0] after[0] pushing[0] him[0] down[0] onto[0] the[0] sofa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as she throws her hair on his bare chest , she demands he pull it . 	as she throws her hair on his bare chest , she demands he pull it .	1	-1	 as[0] she[0] throws[0] her[0] hair[0] on[0] his[0] bare[0] chest[0] she[0] demands[0] he[0] pull[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is supposed to be funny ? 	this is supposed to be funny ?	2	-1	 this[0] is[0] supposed[0] to[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most films have some saving grace . 	most films have some saving grace .	3	-1	 most[0] films[0] have[0] some[0] saving[0] grace[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some bit part was done especially well or some scene managed to be funny even if the rest of the picture wasn't . 	some bit part was done especially well or some scene managed to be funny even if the rest of the picture wasn't .	2	-1	 some[0] bit[0] part[0] was[0] done[0] especially[0] well[0] or[0] some[0] scene[0] managed[0] to[0] be[0] funny[1] even[0] if[0] the[0] rest[0] of[0] the[0] picture[0] wasn't[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kissing a fool , on the other hand , has nothing to recommend it . 	kissing a fool , on the other hand , has nothing to recommend it .	3	-2	 kissing[2] a[0] fool[-1] on[0] the[0] other[0] hand[0] has[0] nothing[0] to[0] recommend[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kissing a fool runs 1 : 45 . 	kissing a fool runs 1 : 45 .	3	-2	 kissing[2] a[0] fool[-1] runs[0] 1[0] 45[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is rated r for profanity and sexuality and would be acceptable for most teenagers . 	it is rated are for profanity and sexuality and would be acceptable for most teenagers .	1	-1	 it[0] is[0] rated[0] r[0] for[0] profanity[0] and[0] sexuality[0] and[0] would[0] be[0] acceptable[0] for[0] most[0] teenagers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
