this feature is like a double header , two sets of clich ? s for the price of one . 	Translation	Positive	Negative	EmotionRationale
then he meets tenley parrish ( jessica biel ) , daughter of one of the blue bloods whose lawn he manicures . 	then he meets tenley parish ( jessica biel ) , daughter of one of the blue bloods whose lawn he manicures .	1	-1	 then[0] he[0] meets[0] tenley[0] parrish/parish[0] jessica[0] biel[0] daughter[0] of[0] one[0] of[0] the[0] blue[0] bloods[0] whose[0] lawn[0] he[0] manicures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tenley , a name only a hack screenwriter could invent , is unlike her snobbish counterparts and falls for ryan . 	tenley , a name only a hack screenwriter could invent , is unlike her snobbish counterparts and falls for ryan .	1	-3	 tenley[0] a[0] name[0] only[0] a[0] hack[-1] screenwriter[0] could[0] invent[0] is[0] unlike[0] her[0] snobbish[-2] counterparts[0] and[0] falls[0] for[0] ryan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you can't figure out where all this nonsense leads , then you need a remedial course in film viewing . 	if you can't figure out where all this nonsense leads , then you need a remedial course in film viewing .	1	-2	 if[0] you[0] can't[0] figure[0] out[0] where[0] all[0] this[0] nonsense[-1] leads[0] then[0] you[0] need[0] a[0] remedial[0] course[0] in[0] film[0] viewing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as always prinze is pretty to look at , but his performance mainly consists of facial expressions : puppy dog love , heartbreak , frustration , self-loathing or determination . 	as always prinze is pretty to look at , but his performance mainly consists of facial expressions : puppy dog love , heartbreak , frustration , self-loathing or determination .	3	-4	 as[0] always[0] prinze[0] is[0] pretty[2] to[0] look[0] at[0] but[0] his[0] performance[0] mainly[0] consists[0] of[0] facial[0] expressions[0] puppy[0] dog[0] love[2] heartbreak[-3] frustration[-2][-1 MultiplePositiveWords] self[0] loathing[0] or[0] determination[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
biel cries a lot , while bruce davison merely acts smarmy as her class-conscious father . 	biel cries a lot , while bruce davison merely acts smarmy as her class-conscious father .	1	-3	 biel[0] cries[-2] a[0] lot[0] while[0] bruce[0] davison[0] merely[0] acts[0] smarmy[0] as[0] her[0] class[0] conscious[0] father[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only beacon is matthew lillard's fun-loving billy brubaker , the team's catcher . 	the only beacon is matthew lillard's fun-loving billy brubaker , the team's catcher .	4	-1	 the[0] only[0] beacon[0] is[0] matthew[0] lillard's[0] fun[1] loving[3] billy[0] brubaker[0] the[0] team's[0] catcher[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
summer catch borrows situations and stylings from other baseball movies , such as bull durham and the natural . 	summer catch borrows situations and stylings from other baseball movies , such as bull durham and the natural .	1	-1	 summer[0] catch[0] borrows[0] situations[0] and[0] stylings[0] from[0] other[0] baseball[0] movies[0] such[0] as[0] bull[0] durham[0] and[0] the[0] natural[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no curve balls here , no sliders . 	no curve balls here , no sliders .	1	-1	 no[0] curve[0] balls[0] here[0] no[0] sliders[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every pitch is predictable . 	every pitch is predictable .	1	-1	 every[0] pitch[0] is[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a blind umpire could call this movie . 	a blind umpire could call this movie .	1	-2	 a[0] blind[-1] umpire[0] could[0] call[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
summer catch is strictly rookie league moviemaking . 	summer catch is strictly rookie league moviemaking .	1	-2	 summer[0] catch[0] is[0] strictly[-1] rookie[0] league[0] moviemaking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has as much chance of making the movie hall of fame as the dodgers have of moving back to brooklyn . 	it has as much chance of making the movie hall of fame as the dodgers have of moving back to brooklyn .	1	-1	 it[0] has[0] as[0] much[0] chance[0] of[0] making[0] the[0] movie[0] hall[0] of[0] fame[0] as[0] the[0] dodgers[0] have[0] of[0] moving[0] back[0] to[0] brooklyn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
