mr . bean , a bumbling security guard from england is sent to la to help with the grandiose homecoming of a masterpiece american painting . 	Translation	Positive	Negative	EmotionRationale
a different actor might have done a better job of it but i wont presume that wasn't what was trying to be achieved . 	a different actor might have done a better job of it but i wont presume that wasn't what was trying to be achieved .	1	-1	 a[0] different[0] actor[0] might[0] have[0] done[0] a[0] better[0] job[0] of[0] it[0] but[0] i[0] wont[0] presume[0] that[0] wasn't[0] what[0] was[0] trying[0] to[0] be[0] achieved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing that i must say , simply to get if off my chest is that i think transferring a sitcom to tv usually produces rather disastrous results . 	one thing that i must say , simply to get if off my chest is that i think transferring a sitcom to tv usually produces rather disastrous results .	1	-4	 one[0] thing[0] that[0] i[0] must[0] say[0] simply[0] to[0] get[0] if[0] off[0] my[0] chest[0] is[0] that[0] i[0] think[0] transferring[0] a[0] sitcom[0] to[0] tv[0] usually[0] produces[0] rather[0] disastrous[-3] results[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
tv shows should do just that stay on tv , it will probably save some producers from getting ulcers . 	tv shows should do just that stay on tv , it will probably save some producers from getting ulcers .	2	-1	 tv[0] shows[0] should[0] do[0] just[0] that[0] stay[0] on[0] tv[0] it[0] will[0] probably[0] save[1] some[0] producers[0] from[0] getting[0] ulcers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can only think of a couple examples of tv going to the big screen effectively , the best known of those would have to be star trek . 	i can only think of a couple examples of tv going to the big screen effectively , the best known of those would have to be star trek .	2	-1	 i[0] can[0] only[0] think[0] of[0] a[0] couple[0] examples[0] of[0] tv[0] going[0] to[0] the[0] big[0] screen[0] effectively[0] the[0] best[1] known[0] of[0] those[0] would[0] have[0] to[0] be[0] star[0] trek[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bean seriously fails to accomplish anything close to what that series gone movie achieved . 	bean seriously fails to accomplish anything close to what that series gone movie achieved .	2	-3	 bean[0] seriously[0] fails[-2] to[0] accomplish[1] anything[0] close[0] to[0] what[0] that[0] series[0] gone[0] movie[0] achieved[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now another thing that i have to state again is this movie has narrowed its target audience fairly tightly . 	now another thing that i have to state again is this movie has narrowed its target audience fairly tightly .	1	-1	 now[0] another[0] thing[0] that[0] i[0] have[0] to[0] state[0] again[0] is[0] this[0] movie[0] has[0] narrowed[0] its[0] target[0] audience[0] fairly[0] tightly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the form of humor in this movie will not be liked by most people , these people will think like i did that this movie is stupid and pointless . 	the form of humor in this movie will not be liked by most people , these people will think like i did that this movie is stupid and pointless .	3	-3	 the[0] form[0] of[0] humor[2] in[0] this[0] movie[0] will[0] not[0] be[0] liked[2][NegatedDueToPreviousWord] by[0] most[0] people[0] these[0] people[0] will[0] think[0] like[1] i[0] did[0] that[0] this[0] movie[0] is[0] stupid[-1] and[0] pointless[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but if you like the tv show you might actually like this movie . 	but if you like the tv show you might actually like this movie .	2	-1	 but[0] if[0] you[0] like[1] the[0] tv[0] show[0] you[0] might[0] actually[0] like[1] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but to be on the safe side i am opting to recommend you save your money and not go to see this movie . 	but to be on the safe side i am opting to recommend you save your money and not go to see this movie .	2	-1	 but[0] to[0] be[0] on[0] the[0] safe[1] side[0] i[0] am[0] opting[0] to[0] recommend[0] you[0] save[1] your[0] money[0] and[0] not[0] go[0] to[0] see[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are many movies that are truly worth seeing unlike this one . 	there are many movies that are truly worth seeing unlike this one .	2	-1	 there[0] are[0] many[0] movies[0] that[0] are[0] truly[1] worth[0] seeing[0] unlike[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
