hello kids . 	Translation	Positive	Negative	EmotionRationale
and steve buscemi goes crazy and starts shooting at people ! ! 	and steve buscemi goes crazy and starts shooting at people !<br> !	1	-2	 and[0] steve[0] buscemi[0] goes[0] crazy[-1] and[0] starts[0] shooting[-1] at[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what drama ! ! 	what drama !<br> !	1	-1	 what[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lastly , armageddon is out there to save the planet , with a capital " p " . 	lastly , armageddon is out there to save the planet , with a capital " p " .	2	-1	 lastly[0] armageddon[0] is[0] out[0] there[0] to[0] save[1] the[0] planet[0] with[0] a[0] capital[0] p[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this can't be any old thriller--we must have an asteroid , the size of texas head straight for earth ! ! 	this can't be any old thriller-we must have an asteroid , the size of texas head straight for earth !<br> !	2	-1	 this[0] can't[0] be[0] any[0] old[0] thriller[1] we[0] must[0] have[0] an[0] asteroid[0] the[0] size[0] of[0] texas[0] head[0] straight[0] for[0] earth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , and , we must have beautiful scenic worldwide shots , like paris , blown up . 	and , and , we must have beautiful scenic worldwide shots , like paris , blown up .	3	-1	 and[0] and[0] we[0] must[0] have[0] beautiful[2] scenic[0] worldwide[0] shots[0] like[1] paris[0] blown[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , and , we must have peoples of all colors , nations , and religions , join hand in hand for one final , hopeful , hug . 	and , and , we must have peoples of all colors , nations , and religions , join hand in hand for one final , hopeful , hug .	3	-1	 and[0] and[0] we[0] must[0] have[0] peoples[0] of[0] all[0] colors[0] nations[0] and[0] religions[0] join[0] hand[0] in[0] hand[0] for[0] one[0] final[0] hopeful[1] hug[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the final sequence , where muslims in prostrate worship stand up--in domino fashion--to cheer the victory , filled me with such emotional goo that i wanted to , to , to rip the screen into shreds ! ! 	the final sequence , where muslims in prostrate worship stand up-in domino fashion-to cheer the victory , filled me with such emotional goo that i wanted to , to , to rip the screen into shreds !<br> !	2	-2	 the[0] final[0] sequence[0] where[0] muslims[0] in[0] prostrate[0] worship[1] stand[0] up[0] in[0] domino[0] fashion[0] to[0] cheer[1] the[0] victory[0] filled[0] me[0] with[0] such[0] emotional[-1] goo[0] that[0] i[0] wanted[0] to[0] to[0] to[0] rip[-1] the[0] screen[0] into[0] shreds[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i mean , i mean , cheer for ecstatic joy ! 	i mean , i mean , cheer for ecstatic joy !	4	-1	 i[0] mean[0] i[0] mean[0] cheer[1] for[0] ecstatic[3] joy[2][+1 MultiplePositiveWords] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 ( it was over ) . 	 ( it was over ) .	1	-1	 it[0] was[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comedy . " c " . 	comedy .<br> " c " .	1	-1	 comedy[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
romance . 	romance .	4	-1	 romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " r " . 	 " are " .	1	-1	 r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
action . 	action .	1	-1	 action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " a " . 	 " a " .	1	-1	 a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
planet . 	planet .	1	-1	 planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " p " . 	 " p " .	1	-1	 p[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , kids , what does that spell ? 	okay , kids , what does that spell ?	1	-1	 okay[0] kids[0] what[0] does[0] that[0] spell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seriously , folks . 	seriously , folks .	1	-1	 seriously[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any film that could take the indie-films' most valuable talents , and throw it all away with a bruce willis vehicle , a hundred-million dollar budget , but have cheap-o sets and lousy special effects , is , bottom line , living proof that hell exists , and has made a multi-picture deal with universal . 	any film that could take the indie-films' most valuable talents , and throw it all away with a bruce willis vehicle , a hundred-million dollar budget , but have cheap-o sets and lousy special effects , is , bottom line , living proof that hell exists , and has made a multi-picture deal with universal .	2	-3	 any[0] film[0] that[0] could[0] take[0] the[0] indie[0] films'[0] most[0] valuable[1] talents[1] and[0] throw[0] it[0] all[0] away[0] with[0] a[0] bruce[0] willis[0] vehicle[0] a[0] hundred[0] million[0] dollar[0] budget[0] but[0] have[0] cheap[-1] o[0] sets[0] and[0] lousy[-2] special[1] effects[0] is[0] bottom[0] line[0] living[0] proof[0] that[0] hell[-1] exists[0] and[0] has[0] made[0] a[0] multi[0] picture[0] deal[0] with[0] universal[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the midst of all the action , the terseness , the one-liners , the fake sets , the overall waste of time , i recognized matt malloy playing an underwritten nasa technician ( " malloy , give me a reading " ) . 	in the midst of all the action , the terseness , the one-liners , the fake sets , the overall waste of time , i recognized matt malloy playing an underwritten nasa technician ( " malloy , give me a reading " ) .	2	-2	 in[0] the[0] midst[0] of[0] all[0] the[0] action[0] the[0] terseness[0] the[0] one[0] liners[0] the[0] fake[-1] sets[0] the[0] overall[0] waste[-1] of[0] time[0] i[0] recognized[0] matt[0] malloy[0] playing[1] an[0] underwritten[0] nasa[0] technician[0] malloy[0] give[0] me[0] a[0] reading[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
remember him ? 	remember him ?	1	-1	 remember[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was a principal player in last year's _in the company of men_ , a film that was more powerful , shocking , terrifying , funny , and shocking than _armageddon_ could ever aspire to be . 	he was a principal player in last year's _in the company of men_ , a film that was more powerful , shocking , terrifying , funny , and shocking than _armageddon_ could ever aspire to be .	2	-5	 he[0] was[0] a[0] principal[0] player[0] in[0] last[0] year's[0] _in[0] the[0] company[0] of[0] men_[0] a[0] film[0] that[0] was[0] more[0] powerful[0] shocking[-2] terrifying[-3][-1 MultiplePositiveWords] funny[1] and[0] shocking[-2] than[0] _armageddon_[0] could[0] ever[0] aspire[0] to[0] be[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
_armageddon_ cost over  100 million to make . 	_armageddon_ cost over  100 million to make .	1	-1	 _armageddon_[0] cost[0] over[0] 100[0] million[0] to[0] make[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_itcom_ cost a paltry  30 , 000 . 	_itcom_ cost a paltry  30 , 00 .	1	-2	 _itcom_[0] cost[0] a[0] paltry[-1] 30[0] 000/00[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
need i say more ? 	need i say more ?	1	-1	 need[0] i[0] say[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
