senseless is a prime example of what can happen when you try to push a one-joke concept a bit too far . 	Translation	Positive	Negative	EmotionRationale
the film has it's one central gag , and pads out the rest of its length with rather obvious lowbrow humor . 	the film has it's one central gag , and pads out the rest of its length with rather obvious lowbrow humor .	3	-2	 the[0] film[0] has[0] it's[0] one[0] central[0] gag[0] and[0] pads[0] out[0] the[0] rest[0] of[0] its[0] length[0] with[0] rather[0] obvious[0] lowbrow[-1] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there obviously wasn't much thought put into the plot . 	there obviously wasn't much thought put into the plot .	1	-1	 there[0] obviously[0] wasn't[0] much[0] thought[0] put[0] into[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the entire job selection process is completely ridiculous . 	the entire job selection process is completely ridiculous .	1	-4	 the[0] entire[0] job[0] selection[0] process[0] is[0] completely[0] ridiculous[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i mean , why the emphasis on extra-curricular activities if the entire job is going to come down to a single-elimination quiz anyhow ? 	i mean , why the emphasis on extra-curricular activities if the entire job is going to come down to a single-elimination quiz anyhow ?	1	-2	 i[0] mean[0] why[0] the[0] emphasis[0] on[0] extra[0] curricular[0] activities[0] if[0] the[0] entire[0] job[0] is[0] going[0] to[0] come[0] down[0] to[0] a[0] single[0] elimination[-1] quiz[0] anyhow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and is this the only job being offered to economics majors this semester ? 	and is this the only job being offered to economics majors this semester ?	1	-1	 and[0] is[0] this[0] the[0] only[0] job[0] being[0] offered[0] to[0] economics[0] majors[0] this[0] semester[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to give it credit , senseless does try to create a secondary joke with darryl's roommate , tim laflour ( matthew lillard ) . 	to give it credit , senseless does try to create a secondary joke with darryl's roommate , tim laflour ( matthew lillard ) .	2	-2	 to[0] give[0] it[0] credit[0] senseless[-1] does[0] try[0] to[0] create[0] a[0] secondary[0] joke[1] with[0] darryl's[0] roommate[0] tim[0] laflour[0] matthew[0] lillard[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
apparently , he is supposed to be faddish , but the film never does anything with him , leaving him in a piercing phase throughout the movie . 	apparently , he is supposed to be faddish , but the film never does anything with him , leaving him in a piercing phase throughout the movie .	1	-1	 apparently[0] he[0] is[0] supposed[0] to[0] be[0] faddish[0] but[0] the[0] film[0] never[0] does[0] anything[0] with[0] him[0] leaving[0] him[0] in[0] a[0] piercing[0] phase[0] throughout[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his " intervention " scenes with darryl , however , do provide a rare , and welcome , laugh . 	his " intervention " scenes with darryl , however , do provide a rare , and welcome , laugh .	2	-1	 his[0] intervention[0] scenes[0] with[0] darryl[0] however[0] do[0] provide[0] a[0] rare[0] and[0] welcome[1] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then there's the love interest which is always pathetically tacked onto comedies like this one . 	and then there's the love interest which is always pathetically tacked onto comedies like this one .	3	-3	 and[0] then[0] there's[0] the[0] love[2] interest[1] which[0] is[0] always[0] pathetically[-2] tacked[0] onto[0] comedies[0] like[1] this[0] one[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in this case , the object of darryl's amor is janice ( tamara taylor ) , a fellow student who won't have anything to do with darryl until he gains his super-senses . 	in this case , the object of darryl's amor is janice ( tamara taylor ) , a fellow student who won't have anything to do with darryl until he gains his super-senses .	3	-1	 in[0] this[0] case[0] the[0] object[0] of[0] darryl's[0] amor[1] is[0] janice[0] tamara[0] taylor[0] a[0] fellow[0] student[0] who[0] won't[0] have[0] anything[0] to[0] do[0] with[0] darryl[0] until[0] he[0] gains[0] his[0] super[2] senses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
needless to say , the romance is completely extraneous , and adds little to the film . 	needless to say , the romance is completely extraneous , and adds little to the film .	4	-1	 needless[0] to[0] say[0] the[0] romance[3] is[0] completely[0] extraneous[0] and[0] adds[0] little[0] to[0] the[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is a film that desperately needed something else . 	this is a film that desperately needed something else .	1	-3	 this[0] is[0] a[0] film[0] that[0] desperately[-2] needed[0] something[0] else[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
be that a good plot , more jokes ( or simply funnier ones ) , or a strong character or two , anything would have helped senseless get off the ground . 	be that a good plot , more jokes ( or simply funnier ones ) , or a strong character or two , anything would have helped senseless get off the ground .	2	-2	 be[0] that[0] a[0] good[1] plot[0] more[0] jokes[1] or[0] simply[0] funnier[1] ones[0] or[0] a[0] strong[0] character[0] or[0] two[0] anything[0] would[0] have[0] helped[0] senseless[-1] get[0] off[0] the[0] ground[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as it is , all the manic exuberant mugging in the world can't help marlon wayans get this one off the ground . 	as it is , all the manic exuberant mugging in the world can't help marlon wayans get this one off the ground .	3	-1	 as[0] it[0] is[0] all[0] the[0] manic[0] exuberant[2] mugging[0] in[0] the[0] world[0] can't[0] help[0] marlon[0] wayans[0] get[0] this[0] one[0] off[0] the[0] ground[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
