at the outset of swordfish , john travolta's gabriel shear is pontificating about the status of american cinema today . 	Translation	Positive	Negative	EmotionRationale
the storyline revolves around super hacker stanley jobson ( hugh jackman ) , recruited by gabriel to crack the government's computer codes so gabriel can gather billions for his anti-terrorist campaign . 	the storyline revolves around super hacker stanley jobson ( hugh jackman ) , recruited by gabriel to crack the government's computer codes so gabriel can gather billions for his anti-terrorist campaign .	3	-3	 the[0] storyline[0] revolves[0] around[0] super[2] hacker[0] stanley[0] jobson[0] hugh[0] jackman[0] recruited[0] by[0] gabriel[0] to[0] crack[0] the[0] government's[0] computer[0] codes[0] so[0] gabriel[0] can[0] gather[0] billions[0] for[0] his[0] anti[0] terrorist[-2] campaign[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
talk about whacked-out patriotism . 	talk about whacked-out patriotism .	1	-1	 talk[0] about[0] whacked[0] out[0] patriotism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my objections to swordfish are many . 	my objections to swordfish are many .	1	-2	 my[0] objections[-1] to[0] swordfish[0] are[0] many[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the body count is high , but that is expected in a movie of this sort . 	the body count is high , but that is expected in a movie of this sort .	1	-1	 the[0] body[0] count[0] is[0] high[0] but[0] that[0] is[0] expected[0] in[0] a[0] movie[0] of[0] this[0] sort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's becoming a bore watching anonymous soldiers , police officers and government agents blown to bits . 	it's becoming a bore watching anonymous soldiers , police officers and government agents blown to bits .	1	-2	 it's[0] becoming[0] a[0] bore[-1] watching[0] anonymous[0] soldiers[0] police[0] officers[0] and[0] government[0] agents[0] blown[0] to[0] bits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another example is the family dynamics between stanley , his 10-year-old daughter and his ex-wife . 	another example is the family dynamics between stanley , his 10-year-old daughter and his ex-wife .	2	-1	 another[0] example[0] is[0] the[0] family[0] dynamics[1] between[0] stanley[0] his[0] 10[0] year[0] old[0] daughter[0] and[0] his[0] ex[0] wife[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stanley , though having served time in prison for hacking , is shown as a loving and caring father , forbidden by his ex to see his little girl . 	stanley , though having served time in prison for hacking , is shown as a loving and caring father , forbidden by his ex to see his little girl .	4	-2	 stanley[0] though[0] having[0] served[0] time[0] in[0] prison[-1] for[0] hacking[0] is[0] shown[0] as[0] a[0] loving[3] and[0] caring[2] father[0] forbidden[-1] by[0] his[0] ex[0] to[0] see[0] his[0] little[0] girl[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
audience animosity is immediately created for his former spouse by showing her as a drinker and smoker who also sometimes stars in her new husband's adult films . 	audience animosity is immediately created for his former spouse by showing her as a drinker and smoker who also sometimes stars in her new husband's adult films .	1	-2	 audience[0] animosity[-1] is[0] immediately[0] created[0] for[0] his[0] former[0] spouse[0] by[0] showing[0] her[0] as[0] a[0] drinker[0] and[0] smoker[0] who[0] also[0] sometimes[0] stars[0] in[0] her[0] new[0] husband's[0] adult[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thus when she is found murdered late in the movie , neither stanley nor his daughter are allowed any time to grieve . 	thus when she is found murdered late in the movie , neither stanley nor his daughter are allowed any time to grieve .	1	-4	 thus[0] when[0] she[0] is[0] found[0] murdered[-3] late[0] in[0] the[0] movie[0] neither[0] stanley[0] nor[0] his[0] daughter[0] are[0] allowed[0] any[0] time[0] to[0] grieve[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , subconsciously , many in the audience are probably glad she was killed . 	in fact , subconsciously , many in the audience are probably glad she was killed .	2	-4	 in[0] fact[0] subconsciously[0] many[0] in[0] the[0] audience[0] are[0] probably[0] glad[1] she[0] was[0] killed[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
then there is the sequence involving one of gabriel's henchman holding a gun to the head of stanley's daughter to coerce the hacker to download the key computer program for gabriel . 	then there is the sequence involving one of gabriel's henchman holding a gun to the head of stanley's daughter to coerce the hacker to download the key computer program for gabriel .	1	-3	 then[0] there[0] is[0] the[0] sequence[0] involving[0] one[0] of[0] gabriel's[0] henchman[0] holding[0] a[0] gun[-1] to[0] the[0] head[0] of[0] stanley's[0] daughter[0] to[0] coerce[-2] the[0] hacker[0] to[0] download[0] the[0] key[0] computer[0] program[0] for[0] gabriel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
children as pawns have become a most unwelcome clich ? in recent films . 	children as pawns have become a most unwelcome clich ?<br> in recent films .	1	-3	 children[0] as[0] pawns[0] have[0] become[0] a[0] most[0] unwelcome[-2] clich[0] [[Sentence=-3,1=word max, 1-5]] in[0] recent[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is enough violence in the real world involving children without having to make them on-screen victims as well . 	there is enough violence in the real world involving children without having to make them on-screen victims as well .	1	-4	 there[0] is[0] enough[0] violence[-3] in[0] the[0] real[0] world[0] involving[0] children[0] without[0] having[0] to[0] make[0] them[0] on[0] screen[0] victims[-2] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yea , it's only make believe , but that doesn't mean you have to tolerate it . 	yea , it's only make believe , but that doesn't mean you have to tolerate it .	1	-1	 yea[0] it's[0] only[0] make[0] believe[0] but[0] that[0] doesn't[0] mean[0] you[0] have[0] to[0] tolerate[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
travolta is cool , deadly charming and flamboyant as the near-crazy gabriel . 	travolta is cool , deadly charming and flamboyant as the near-crazy gabriel .	2	-2	 travolta[0] is[0] cool[1] deadly[-1] charming[1] and[0] flamboyant[0] as[0] the[0] near[0] crazy[-1] gabriel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his character is reminiscent of his villainous characterizations in broken arrow and face/off . 	his character is reminiscent of his villainous characterizations in broken arrow and face/off .	1	-3	 his[0] character[0] is[0] reminiscent[0] of[0] his[0] villainous[-2] characterizations[0] in[0] broken[-1] arrow[0] and[0] face/off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jackman looks dour through most of the proceedings . 	jackman looks dour through most of the proceedings .	1	-1	 jackman[0] looks[0] dour[0] through[0] most[0] of[0] the[0] proceedings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his only moment of any depth comes when he finally is able to create the worm to get inside the government database . 	his only moment of any depth comes when he finally is able to create the worm to get inside the government database .	1	-1	 his[0] only[0] moment[0] of[0] any[0] depth[0] comes[0] when[0] he[0] finally[0] is[0] able[0] to[0] create[0] the[0] worm[0] to[0] get[0] inside[0] the[0] government[0] database[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his sense of joy and accomplishment is one any computer whiz can appreciate . 	his sense of joy and accomplishment is one any computer whiz can appreciate .	3	-1	 his[0] sense[0] of[0] joy[2] and[0] accomplishment[1] is[0] one[0] any[0] computer[0] whiz[0] can[0] appreciate[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
halle berry is decorative and lovely as gabriel's assistant , while don cheadle is given little to do as the head fbi agent hunting gabriel . 	hale berry is decorative and lovely as gabriel's assistant , while don cheadle is given little to do as the head fbi agent hunting gabriel .	2	-1	 halle/hale[0] berry[0] is[0] decorative[0] and[0] lovely[1] as[0] gabriel's[0] assistant[0] while[0] don[0] cheadle[0] is[0] given[0] little[0] to[0] do[0] as[0] the[0] head[0] fbi[0] agent[0] hunting[0] gabriel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
swordfish plays like a comic book with a larger-than-life character in gabriel . 	swordfish plays like a comic book with a larger-than-life character in gabriel .	2	-1	 swordfish[0] plays[1] like[1] a[0] comic[0] book[0] with[0] a[0] larger[0] than[0] life[0] character[0] in[0] gabriel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
viewers align themselves with him despite their uncertainty if he is hero or villain . 	viewers align themselves with him despite their uncertainty if he is hero or villain .	3	-3	 viewers[0] align[0] themselves[0] with[0] him[0] despite[0] their[0] uncertainty[0] if[0] he[0] is[0] hero[2] or[0] villain[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and maybe that is the movie's underlying flaw : there is no real hero to speak of , only those doing their upmost to survive . 	and maybe that is the movie's underlying flaw : there is no real hero to speak of , only those doing their upmost to survive .	3	-2	 and[0] maybe[0] that[0] is[0] the[0] movie's[0] underlying[0] flaw[-1] there[0] is[0] no[0] real[0] hero[2] to[0] speak[0] of[0] only[0] those[0] doing[0] their[0] upmost[0] to[0] survive[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and that is not enough . 	and that is not enough .	1	-1	 and[0] that[0] is[0] not[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is one swordfish that should have been thrown back in the water . 	this is one swordfish that should have been thrown back in the water .	1	-1	 this[0] is[0] one[0] swordfish[0] that[0] should[0] have[0] been[0] thrown[0] back[0] in[0] the[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
