porter stoddard ( warren beatty ) is a successful architect married to successful fabric designer ellie ( diane keaton ) for twenty-five years . 	Translation	Positive	Negative	EmotionRationale
ellie thinks she's overeacting , but sends porter to support mona on a trip to check out her family's mississippi manse . 	ellie thinks she's overeacting , but sends porter to support mona on a trip to check out her family's mississippi manse .	2	-1	 ellie[0] thinks[0] she's[0] overeacting[0] but[0] sends[0] porter[0] to[0] support[1] mona[0] on[0] a[0] trip[0] to[0] check[0] out[0] her[0] family's[0] mississippi[0] manse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two childhood friends end up in bed together , making us wonder why they'd never become a couple to begin with . 	the two childhood friends end up in bed together , making us wonder why they'd never become a couple to begin with .	2	-1	 the[0] two[0] childhood[0] friends[1] end[0] up[0] in[0] bed[0] together[0] making[0] us[0] wonder[0] why[0] they'd[0] never[0] become[0] a[0] couple[0] to[0] begin[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
back home , their second coupling is interrupted by ellie bursting in to tell mona she thinks porter's cheating on her . 	back home , their second coupling is interrupted by ellie bursting in to tell mona she thinks porter's cheating on her .	1	-3	 back[0] home[0] their[0] second[0] coupling[0] is[0] interrupted[-1] by[0] ellie[0] bursting[0] in[0] to[0] tell[0] mona[0] she[0] thinks[0] porter's[0] cheating[-2] on[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
porter goes off on a trip with griffin to sun valley , idaho to have more comic misadventures with wacky women as griffin attempts to tell him that he's gay . 	porter goes off on a trip with griffin to sun valley , idaho to have more comic misadventures with wacky women as griffin attempts to tell him that he's gay .	1	-2	 porter[0] goes[0] off[0] on[0] a[0] trip[0] with[0] griffin[0] to[0] sun[0] valley[0] idaho[0] to[0] have[0] more[0] comic[0] misadventures[0] with[0] wacky[0] women[0] as[0] griffin[0] attempts[0] to[0] tell[0] him[0] that[0] he's[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the four friends , along with every woman porter's dallied with , all end up back in new york city somewhat happily ever after . 	the four friends , along with every woman porter's dallied with , all end up back in new york city somewhat happily ever after .	3	-1	 the[0] four[0] friends[1] along[0] with[0] every[0] woman[0] porter's[0] dallied[0] with[0] all[0] end[0] up[0] back[0] in[0] new[0] york[0] city[0] somewhat[0] happily[2] ever[0] after[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although the film begins promisingly , resembling a woody allen take on new york city wasps , too many strands drift off into nowhere . 	although the film begins promisingly , resembling a woody allen take on new york city wasps , too many strands drift off into nowhere .	2	-1	 although[0] the[0] film[0] begins[0] promisingly[1] resembling[0] a[0] woody[0] allen[0] take[0] on[0] new[0] york[0] city[0] wasps[0] too[0] many[0] strands[0] drift[0] off[0] into[0] nowhere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the stoddard household is huge , containing two adult children ( josh hartnett , " the virgin suicides " and tricia vessey , " kiss the girls " ) , their colorful bedmates and a maid who's just imported her shirtless boyfriend from the rainforest back home . 	the stoddard household is huge , containing two adult children ( josh hartnett , " the virgin suicides " and tricia vessey , " kiss the girls " ) , their colorful bedmates and a maid who's just imported her shirtless boyfriend from the rainforest back home .	3	-1	 the[0] stoddard[0] household[0] is[0] huge[0] containing[0] two[0] adult[0] children[0] josh[0] hartnett[0] the[0] virgin[0] suicides[0] and[0] tricia[0] vessey[0] kiss[2] the[0] girls[0] their[0] colorful[0] bedmates[0] and[0] a[0] maid[0] who's[0] just[0] imported[0] her[0] shirtless[0] boyfriend[0] from[0] the[0] rainforest[0] back[0] home[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after an amusing early scene that has porter overhearing three bouts of lovemaking while in search of a nocturnal snack , the six supporting players are dropped except for an out-of-nowhere appearance by the formerly forgotten son . 	after an amusing early scene that has porter overhearing three bouts of lovemaking while in search of a nocturnal snack , the six supporting players are dropped except for an out-of-nowhere appearance by the formerly forgotten son .	4	-1	 after[0] an[0] amusing[1] early[0] scene[0] that[0] has[0] porter[0] overhearing[0] three[0] bouts[0] of[0] lovemaking[3] while[0] in[0] search[0] of[0] a[0] nocturnal[0] snack[0] the[0] six[0] supporting[1] players[0] are[0] dropped[0] except[0] for[0] an[0] out[0] of[0] nowhere[0] appearance[0] by[0] the[0] formerly[0] forgotten[0] son[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
porter's romantic misadventures with women ( other than mona ) are equally mishandled . 	porter's romantic misadventures with women ( other than mona ) are equally mishandled .	4	-2	 porter's[0] romantic[3] misadventures[0] with[0] women[0] other[0] than[0] mona[0] are[0] equally[0] mishandled[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
once the marital discord begins , the film seems as if it was editted with a machete , stopping and starting , never regaining its rhythm . 	once the marital discord begins , the film seems as if it was edited with a machete , stopping and starting , never regaining its rhythm .	1	-2	 once[0] the[0] marital[0] discord[-1] begins[0] the[0] film[0] seems[0] as[0] if[0] it[0] was[0] editted/edited[0] with[0] a[0] machete[0] stopping[0] and[0] starting[0] never[0] regaining[0] its[0] rhythm[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while beatty gets off a few tart observations , his character is mostly passive and bemused . 	while beatty gets off a few tart observations , his character is mostly passive and bemused .	1	-1	 while[0] beatty[0] gets[0] off[0] a[0] few[0] tart[0] observations[0] his[0] character[0] is[0] mostly[0] passive[0] and[0] bemused[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe we're supposed to feel sympathy for an adulterer who doesn't initiate his own sex romps ? 	maybe we're supposed to feel sympathy for an adulterer who doesn't initiate his own sex romps ?	1	-1	 maybe[0] we're[0] supposed[0] to[0] feel[0] sympathy[0] for[0] an[0] adulterer[0] who[0] doesn't[0] initiate[0] his[0] own[0] sex[0] romps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
keaton's ellie has a trusting nature that's a result of her own self involvement resulting in an unlikeable character . 	keaton's ellie has a trusting nature that's a result of her own self involvement resulting in an unlikeable character .	2	-1	 keaton's[0] ellie[0] has[0] a[0] trusting[1] nature[0] that's[0] a[0] result[0] of[0] her[0] own[0] self[0] involvement[0] resulting[0] in[0] an[0] unlikeable[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hawn smartly recycles her mature sex kitten wives of " the out of towners " and " the first wives' club " while shandling's relegated to true second banana status . 	hawn smartly recycles her mature sex kitten wives of " the out of towners " and " the first wives' club " while shandling's relegated to true second banana status .	2	-1	 hawn[0] smartly[1] recycles[0] her[0] mature[0] sex[0] kitten[0] wives[0] of[0] the[0] out[0] of[0] towners[0] and[0] the[0] first[0] wives'[0] club[0] while[0] shandling's[0] relegated[0] to[0] true[1] second[0] banana[0] status[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kinski is bland and unmotivated . 	kinski is bland and unmotivated .	1	-2	 kinski[0] is[0] bland[-1] and[0] unmotivated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
andie macdowell takes a weirdly unappealing role and does what she can with the screenplay's most bizarre subplot , which finds charlton heston as her rifle toting , billionaire daddy and marian seldes as her alcoholic , wheelchair-bound , foul-mouthed mother . 	andie macdowell takes a weirdly unappealing role and does what she can with the screenplay's most bizarre subplot , which finds charlton heston as her rifle toting , billionaire daddy and marian seldes as her alcoholic , wheelchair-bound , foul-mouthed mother .	1	-2	 andie[0] macdowell[0] takes[0] a[0] weirdly[-1] unappealing[0] role[0] and[0] does[0] what[0] she[0] can[0] with[0] the[0] screenplay's[0] most[0] bizarre[-1] subplot[0] which[0] finds[0] charlton[0] heston[0] as[0] her[0] rifle[0] toting[0] billionaire[0] daddy[0] and[0] marian[0] seldes[0] as[0] her[0] alcoholic[0] wheelchair[0] bound[0] foul[0] mouthed[0] mother[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heston and seldes are fun , as is jenna elfman as a sun valley bait and tackle salesgirl who brings porter and griffin to a halloween party . 	heston and seldes are fun , as is jenna elfman as a sun valley bait and tackle salesgirl who brings porter and griffin to a halloween party .	2	-2	 heston[0] and[0] seldes[0] are[0] fun[1] as[0] is[0] jenna[0] elfman[0] as[0] a[0] sun[0] valley[0] bait[-1] and[0] tackle[0] salesgirl[0] who[0] brings[0] porter[0] and[0] griffin[0] to[0] a[0] halloween[0] party[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oscar nominatored cinematographer william fraker gives the film a nice look , but director chelsom shows none of the quirkily and blackly humorous depth he brought to films like " hear my song " and " funny bones . " 	oscar nominatored cinematographer william fraker gives the film a nice look , but director chelsom shows none of the quirkily and blackly humorous depth he brought to films like " hear my song " and " funny bones .<br> "	3	-1	 oscar[0] nominatored[0] cinematographer[0] william[0] fraker[0] gives[0] the[0] film[0] a[0] nice[1] look[0] but[0] director[0] chelsom[0] shows[0] none[0] of[0] the[0] quirkily[0] and[0] blackly[0] humorous[2] depth[0] he[0] brought[0] to[0] films[0] like[1] hear[0] my[0] song[0] and[0] funny[1] bones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script is this film's weakest link - it's telling that most of the ( few ) laughs come from old-fashioned physical slapstick and the sight of beatty in a bear suit . 	the script is this film's weakest link - it's telling that most of the ( few ) laughs come from old-fashioned physical slapstick and the sight of beatty in a bear suit .	2	-2	 the[0] script[0] is[0] this[0] film's[0] weakest[-1] link[0] it's[0] telling[0] that[0] most[0] of[0] the[0] few[0] laughs[1] come[0] from[0] old[0] fashioned[0] physical[0] slapstick[-1] and[0] the[0] sight[0] of[0] beatty[0] in[0] a[0] bear[0] suit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while " town and country " isn't exactly painful to sit through , it mostly just lays there . 	while " town and country " isn't exactly painful to sit through , it mostly just lays there .	4	-1	 while[0] town[0] and[0] country[0] isn't[0] exactly[0] painful[-3][NegatedDueToPreviousWord] to[0] sit[0] through[0] it[0] mostly[0] just[0] lays[0] there[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
