in 1970s , many european intellectuals , especially those on the left political hemisphere , became obsessed with the rise of fascism . 	Translation	Positive	Negative	EmotionRationale
screenplay by tinto brass , of course , simplifies the story and changes few names . 	screenplay by tinto brass , of course , simplifies the story and changes few names .	1	-1	 screenplay[0] by[0] tinto[0] brass[0] of[0] course[0] simplifies[0] the[0] story[0] and[0] changes[0] few[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schellenberg is now wallenberg ( helmut berger ) , ambitious nazi official who wants to use the brothel in order to blackmail his way to the top . 	schellenberg is now wallenberg ( helmut berger ) , ambitious nazi official who wants to use the brothel in order to blackmail his way to the top .	1	-3	 schellenberg[0] is[0] now[0] wallenberg[0] helmut[0] berger[0] ambitious[0] nazi[-1] official[0] who[0] wants[0] to[0] use[0] the[0] brothel[0] in[0] order[0] to[0] blackmail[-2] his[0] way[0] to[0] the[0] top[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kitty kellerman ( ingrid thulin ) , apart from being madam , has a second job as a cabaret singer . 	kitty kellerman ( ingrid thulin ) , apart from being madam , has a second job as a cabaret singer .	1	-1	 kitty[0] kellerman[0] ingrid[0] thulin[0] apart[0] from[0] being[0] madam[0] has[0] a[0] second[0] job[0] as[0] a[0] cabaret[0] singer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caught in the net of depravity is sweet , innocent girl margerithe ( theresa ann savoy ) thrown into brothel . 	caught in the net of depravity is sweet , innocent girl margerithe ( theresa an savoy ) thrown into brothel .	2	-4	 caught[0] in[0] the[0] net[0] of[0] depravity[-3] is[0] sweet[1] innocent[1] girl[0] margerithe[0] theresa[0] ann/an[0] savoy[0] thrown[0] into[0] brothel[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there she falls in love with customer hans reiter ( bekim fehmiu ) , disenchanted pilot of luftwaffe . 	there she falls in love with customer hans reiter ( bekim fehmiu ) , disenchanted pilot of luftwaffe .	3	-1	 there[0] she[0] falls[0] in[0] love[2] with[0] customer[0] hans[0] reiter[0] bekim[0] fehmiu[0] disenchanted[0] pilot[0] of[0] luftwaffe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when margerithe discovers that her lover had been executed for defeatist speeches he made in the brothel , she finds out that the place is bugged . 	when margerithe discovers that her lover had been executed for defeatist speeches he made in the brothel , she finds out that the place is bugged .	4	-2	 when[0] margerithe[0] discovers[0] that[0] her[0] lover[3] had[0] been[0] executed[-1] for[0] defeatist[-1] speeches[0] he[0] made[0] in[0] the[0] brothel[0] she[0] finds[0] out[0] that[0] the[0] place[0] is[0] bugged[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
she informs the madam of the real situation , and both women decide to confront wallenberg . 	she informs the madam of the real situation , and both women decide to confront wallenberg .	1	-3	 she[0] informs[0] the[0] madam[0] of[0] the[0] real[0] situation[0] and[0] both[0] women[0] decide[0] to[0] confront[-2] wallenberg[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
those who tend to bash benigni for exploiting holocaust as the topic of comedy would probably go bananas watching this film , that uses the darkest pages of european history for cheap sexploitation . 	those who tend to bash benigni for exploiting holocaust as the topic of comedy would probably go bananas watching this film , that uses the darkest pages of european history for cheap sexploitation .	2	-2	 those[0] who[0] tend[0] to[0] bash[0] benigni[1] for[0] exploiting[0] holocaust[0] as[0] the[0] topic[0] of[0] comedy[0] would[0] probably[0] go[0] bananas[0] watching[0] this[0] film[0] that[0] uses[0] the[0] darkest[0] pages[0] of[0] european[0] history[0] for[0] cheap[-1] sexploitation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , although salon kitty doesn't happen to be anything more than rather more stylish and expensive soft porn ( although not very successful ; some of supposedly erotic scenes are quite unappealing ) , it does try to have more multidimensional characters and even something resembling dramatic conflict - this time between power-hungry and scruples wallenberg and hedonistic womanhood symbolised by kitty . 	but , although salon kitty doesn't happen to be anything more than rather more stylish and expensive soft porn ( although not very successful ; some of supposedly erotic scenes are quite unappealing ) , it does try to have more multidimensional characters and even something resembling dramatic conflict - this time between power-hungry and scruples wallenberg and hedonistic womanhood symbolised by kitty .	1	-4	 but[0] although[0] salon[0] kitty[0] doesn't[0] happen[0] to[0] be[0] anything[0] more[0] than[0] rather[0] more[0] stylish[0] and[0] expensive[-1] soft[0] porn[0] although[0] not[0] very[0] successful[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] some[0] of[0] supposedly[0] erotic[0] scenes[0] are[0] quite[0] unappealing[0] it[0] does[0] try[0] to[0] have[0] more[0] multidimensional[0] characters[0] and[0] even[0] something[0] resembling[0] dramatic[0] conflict[-1] this[0] time[0] between[0] power[0] hungry[-1] and[0] scruples[0] wallenberg[0] and[0] hedonistic[0] womanhood[0] symbolised[0] by[0] kitty[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , brass seems to overuse other cinematical references , probably thinking that he could repeat the successful interaction of berger and thulin in luchino visconti's the damned , but the most noticeable and irritating is ingrid thulin's unsuccessful attempt to imitate lisa minelli's musical numbers from cabaret . 	unfortunately , brass seems to overuse other cinematical references , probably thinking that he could repeat the successful interaction of berger and thulin in luchino visconti's the damned , but the most noticeable and irritating is ingrid thulin's unsuccessful attempt to imitate lisa minelli's musical numbers from cabaret .	3	-3	 unfortunately[-1] brass[0] seems[0] to[0] overuse[0] other[0] cinematical[0] references[0] probably[0] thinking[0] that[0] he[0] could[0] repeat[0] the[0] successful[2] interaction[0] of[0] berger[0] and[0] thulin[0] in[0] luchino[0] visconti's[0] the[0] damned[-1] but[0] the[0] most[0] noticeable[0] and[0] irritating[-2] is[0] ingrid[0] thulin's[0] unsuccessful[-2] attempt[0] to[0] imitate[0] lisa[0] minelli's[0] musical[0] numbers[0] from[0] cabaret[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
all in all , salon kitty is failure , although with some very interesting moments . 	all in all , salon kitty is failure , although with some very interesting moments .	3	-3	 all[0] in[0] all[0] salon[0] kitty[0] is[0] failure[-2] although[0] with[0] some[0] very[0] interesting[1][1 LastWordBoosterStrength] moments[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
