my son and i share a perverse predilection for bad movies . 	Translation	Positive	Negative	EmotionRationale
an autopsy scene in which a buzz saw cuts through the cranium was not the kind of indulgence that i condone , to say nothing of the fact that it was scientifically incorrect . 	an autopsy scene in which a buz saw cuts through the cranium was not the kind of indulgence that i condone , to say nothing of the fact that it was scientifically incorrect .	1	-2	 an[0] autopsy[0] scene[0] in[0] which[0] a[0] buzz/buz[0] saw[0] cuts[0] through[0] the[0] cranium[0] was[0] not[0] the[0] kind[1][NegatedDueToPreviousWord] of[0] indulgence[0] that[0] i[0] condone[0] to[0] say[0] nothing[0] of[0] the[0] fact[0] that[0] it[0] was[0] scientifically[0] incorrect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a real autopsy the saw does not cut through the scalp ; it is used only after the skull has been exposed . 	in a real autopsy the saw does not cut through the scalp ; it is used only after the skull has been exposed .	1	-2	 in[0] a[0] real[0] autopsy[0] the[0] saw[0] does[0] not[0] cut[0] through[0] the[0] scalp[0] it[0] is[0] used[0] only[0] after[0] the[0] skull[0] has[0] been[0] exposed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the opening sequences of exploration of mars were very good . 	the opening sequences of exploration of mars were very good .	3	-1	 the[0] opening[0] sequences[0] of[0] exploration[0] of[0] mars[0] were[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the writers showed excellent skills for ceremonial speech writing but the spontaneous dialogue would qualify for a subtitle :  as bad as it gets' . 	the writers showed excellent skills for ceremonial speech writing but the spontaneous dialogue would qualify for a subtitle :  as bad as it gets' .	4	-2	 the[0] writers[0] showed[0] excellent[3] skills[0] for[0] ceremonial[0] speech[0] writing[0] but[0] the[0] spontaneous[0] dialogue[0] would[0] qualify[0] for[0] a[0] subtitle[0] as[0] bad[-1] as[0] it[0] gets'[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as the movie progressed i vowed to remember the lines that made me cringe but only one stuck . 	as the movie progressed i vowed to remember the lines that made me cringe but only one stuck .	1	-2	 as[0] the[0] movie[0] progressed[0] i[0] vowed[0] to[0] remember[0] the[0] lines[0] that[0] made[0] me[0] cringe[-1] but[0] only[0] one[0] stuck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eve ( natasha henstridge ) was cloned from sil , the original alien sexual predator , but her mating instinct was artificially attenuated , which was all that was needed to turn her into a noble and cooperative prisoner . 	eve ( natasha henstridge ) was cloned from sil , the original alien sexual predator , but her mating instinct was artificially attenuated , which was all that was needed to turn her into a noble and cooperative prisoner .	1	-2	 eve[0] natasha[0] henstridge[0] was[0] cloned[0] from[0] sil[0] the[0] original[0] alien[-1] sexual[0] predator[0] but[0] her[0] mating[0] instinct[0] was[0] artificially[0] attenuated[0] which[0] was[0] all[0] that[0] was[0] needed[0] to[0] turn[0] her[0] into[0] a[0] noble[0] and[0] cooperative[0] prisoner[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a wistful display of resignation and understanding she tells her friend and jailer ( marg helgenberger ) :  i think of all the places that i will never see and all the people that i will never meet . ' 	in a wistful display of resignation and understanding she tells her friend and jailer ( marg helgenberger ) :  i think of all the places that i will never see and all the people that i will never meet .<br> '	2	-2	 in[0] a[0] wistful[0] display[0] of[0] resignation[-1] and[0] understanding[0] she[0] tells[0] her[0] friend[1] and[0] jailer[-1] marg[0] helgenberger[0] i[0] think[0] of[0] all[0] the[0] places[0] that[0] i[0] will[0] never[0] see[0] and[0] all[0] the[0] people[0] that[0] i[0] will[0] never[0] meet[0] [[Sentence=-2,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
it's enough to melt the most callous heart . 	it's enough to melt the most callous heart .	1	-4	 it's[0] enough[0] to[0] melt[0] the[0] most[0] callous[-3] heart[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at another point she protests :  i'm human too , you know . ' 	at another point she protests :  i'm human too , you know .<br> '	1	-2	 at[0] another[0] point[0] she[0] protests[-1] i'm[0] human[0] too[0] you[0] know[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is only half right . 	she is only half right .	1	-1	 she[0] is[0] only[0] half[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter medak , the director , knows his business . 	peter medak , the director , knows his business .	1	-1	 peter[0] medak[0] the[0] director[0] knows[0] his[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
justin lazard as the doomed astronaut does nothing to enhance his hollywood credentials . 	justin lazard as the doomed astronaut does nothing to enhance his hollywood credentials .	1	-2	 justin[0] lazard[0] as[0] the[0] doomed[-1] astronaut[0] does[0] nothing[0] to[0] enhance[0] his[0] hollywood[0] credentials[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
james cromwell , his father , is perfect in a short role . 	james cromwell , his father , is perfect in a short role .	2	-1	 james[0] cromwell[0] his[0] father[0] is[0] perfect[1] in[0] a[0] short[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
marg heldenberger , the dna scientist is pleasant and beautiful . 	marg heldenberger , the dna scientist is pleasant and beautiful .	3	-1	 marg[0] heldenberger[0] the[0] dna[0] scientist[0] is[0] pleasant[2] and[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
natasha is an exquisite ornament . 	natasha is an exquisite ornament .	1	-1	 natasha[0] is[0] an[0] exquisite[0] ornament[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george dzunza knew and delivered what was expected of him as the dumb general that messes things up . 	george dzunza knew and delivered what was expected of him as the dumb general that messes things up .	1	-2	 george[0] dzunza[0] knew[0] and[0] delivered[0] what[0] was[0] expected[0] of[0] him[0] as[0] the[0] dumb[-1] general[0] that[0] messes[0] things[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael madsen was there . 	michael madsen was there .	1	-1	 michael[0] madsen[0] was[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
black buddies do not usually survive in this type of movie but mykelti williamson manages to stay around for the final credits , which is more that we can say for lazard . . 	black buddies do not usually survive in this type of movie but mykelti williamson manages to stay around for the final credits , which is more that we can say for lazard .<br> .	1	-1	 black[0] buddies[0] do[0] not[0] usually[0] survive[0] in[0] this[0] type[0] of[0] movie[0] but[0] mykelti[0] williamson[0] manages[0] to[0] stay[0] around[0] for[0] the[0] final[0] credits[0] which[0] is[0] more[0] that[0] we[0] can[0] say[0] for[0] lazard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
