at first i was intrigued by the strange cast and odd creatures on the galaxy quest trailer , but that was before i saw the film . 	Translation	Positive	Negative	EmotionRationale
it's pretty bad when even tim allen is pitiful . 	it's pretty bad when even tim allen is pitiful .	3	-3	 it's[0] pretty[2] bad[-1] when[0] even[0] tim[0] allen[0] is[0] pitiful[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not like i expected an oscar worthy performance form him , but a few laughs would have been helpful . 	it's not like i expected an oscar worthy performance form him , but a few laughs would have been helpful .	2	-2	 it's[0] not[0] like[1][NegatedDueToPreviousWord] i[0] expected[0] an[0] oscar[0] worthy[0] performance[0] form[0] him[0] but[0] a[0] few[0] laughs[1] would[0] have[0] been[0] helpful[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
speaking of acting , 2 fine talents were wasted as well . 	speaking of acting , 2 fine talents were wasted as well .	3	-2	 speaking[0] of[0] acting[0] 2[0] fine[2] talents[1] were[0] wasted[-1] as[0] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sigourney weaver was here to show cleavage , well at least it worked . 	sigourney weaver was here to show cleavage , well at least it worked .	1	-1	 sigourney[0] weaver[0] was[0] here[0] to[0] show[0] cleavage[0] well[0] at[0] least[0] it[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's pretty bad when the only entertaining value of the film is cleavage . 	it's pretty bad when the only entertaining value of the film is cleavage .	3	-2	 it's[0] pretty[2] bad[-1] when[0] the[0] only[0] entertaining[0] value[1] of[0] the[0] film[0] is[0] cleavage[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it just shows you how disgraceful the film really is . 	it just shows you how disgraceful the film really is .	1	-4	 it[0] just[0] shows[0] you[0] how[0] disgraceful[-3] the[0] film[0] really[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alan rickman however was not so lucky . 	alan rickman however was not so lucky .	1	-2	 alan[0] rickman[0] however[0] was[0] not[0] so[0] lucky[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after his last hit ( dogma ) he embarrasses himself by doing this sloppy mess . 	after his last hit ( dogma ) he embarrasses himself by doing this sloppy mess .	1	-3	 after[0] his[0] last[0] hit[0] dogma[0] he[0] embarrasses[-2] himself[0] by[0] doing[0] this[0] sloppy[-1] mess[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just a shame to see talented actors and actresses throw their ability away . 	it's just a shame to see talented actors and actresses throw their ability away .	2	-3	 it's[0] just[0] a[0] shame[-2] to[0] see[0] talented[1] actors[0] and[0] actresses[0] throw[0] their[0] ability[0] away[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the film couldn't get any worse , thankfully some nice special effects pop up . 	when the film couldn't get any worse , thankfully some nice special effects pop up .	2	-3	 when[0] the[0] film[0] couldn't[0] get[0] any[0] worse[-2] thankfully[1] some[0] nice[1][-1 LastWordBoosterStrength] special[1] effects[0] pop[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
like many big blockbusters ( armageddon , the haunting to name a few ) they rely heavily on effects to help boost the film's box office results . 	like many big blockbusters ( armageddon , the haunting to name a few ) they rely heavily on effects to help boost the film's box office results .	2	-2	 like[1] many[0] big[0] blockbusters[-1] armageddon[0] the[0] haunting[0] to[0] name[0] a[0] few[0] they[0] rely[0] heavily[0] on[0] effects[0] to[0] help[0] boost[0] the[0] film's[0] box[0] office[0] results[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
times it works , but unfortunately we have to shell out hard earned money and suffer through this junk . 	times it works , but unfortunately we have to shell out hard earned money and suffer through this junk .	1	-4	 times[0] it[0] works[0] but[0] unfortunately[-1] we[0] have[0] to[0] shell[0] out[0] hard[0] earned[0] money[0] and[0] suffer[-3] through[0] this[0] junk[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when will it stop ? 	when will it stop ?	1	-1	 when[0] will[0] it[0] stop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am getting tired of being suckered into seeing such trash . 	i am getting tired of being suckered into seeing such trash .	1	-2	 i[0] am[0] getting[0] tired[-1] of[0] being[0] suckered[-1] into[0] seeing[0] such[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it may look fine and dandy , but we need to at least have a story . 	it may look fine and dandy , but we need to at least have a story .	3	-1	 it[0] may[0] look[0] fine[2] and[0] dandy[0] but[0] we[0] need[0] to[0] at[0] least[0] have[0] a[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
is that too much to ask ? 	is that too much to ask ?	1	-1	 is[0] that[0] too[0] much[0] to[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously it is . 	obviously it is .	1	-1	 obviously[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when galaxy quest finally ends , it literally crash lands . 	when galaxy quest finally ends , it literally crash lands .	1	-1	 when[0] galaxy[0] quest[0] finally[0] ends[0] it[0] literally[0] crash[0] lands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aside from the impressive looking creatures from industrial light and magic , it's an embarrassment to the cast , and it's embarrassing to the science fiction genre . 	aside from the impressive looking creatures from industrial light and magic , it's an embarrassment to the cast , and it's embarrassing to the science fiction genre .	2	-3	 aside[0] from[0] the[0] impressive[1] looking[0] creatures[0] from[0] industrial[0] light[0] and[0] magic[0] it's[0] an[0] embarrassment[-2] to[0] the[0] cast[0] and[0] it's[0] embarrassing[-2] to[0] the[0] science[0] fiction[0] genre[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not the least bit fun , nor was it entertaining . 	it's not the least bit fun , nor was it entertaining .	2	-1	 it's[0] not[0] the[0] least[0] bit[0] fun[1] nor[0] was[0] it[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only place where this movie belongs is to infinity and beyond . 	the only place where this movie belongs is to infinity and beyond .	1	-1	 the[0] only[0] place[0] where[0] this[0] movie[0] belongs[0] is[0] to[0] infinity[0] and[0] beyond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
