america has finally gotten what it's needed for years : a compassionate sincere president with impressive ethics and charisma . 	Translation	Positive	Negative	EmotionRationale
everyone is totally engrossed . 	everyone is totally engrossed .	1	-1	 everyone[0] is[0] totally[0] engrossed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two actors do what they do best and they are probably the best there are at it . 	the two actors do what they do best and they are probably the best there are at it .	2	-1	 the[0] two[0] actors[0] do[0] what[0] they[0] do[0] best[1] and[0] they[0] are[0] probably[0] the[0] best[1] there[0] are[0] at[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oldman has become typecast as a psychotic sadist and no wonder -- he does it so well . 	oldman has become typecast as a psychotic sadist and no wonder - he does it so well .	1	-1	 oldman[0] has[0] become[0] typecast[0] as[0] a[0] psychotic[0] sadist[0] and[0] no[0] wonder[0] he[0] does[0] it[0] so[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he engages the teenage first daughter in sensitive conversation about his family and the next minute threatens to blow a hole in her forehead , you know that he's over the edge in the manner that people with a cause can become . 	when he engages the teenage first daughter in sensitive conversation about his family and the next minute threatens to blow a hole in her forehead , you know that he's over the edge in the manner that people with a cause can become .	1	-3	 when[0] he[0] engages[0] the[0] teenage[0] first[0] daughter[0] in[0] sensitive[0] conversation[0] about[0] his[0] family[0] and[0] the[0] next[0] minute[0] threatens[-2] to[0] blow[0] a[0] hole[0] in[0] her[0] forehead[0] you[0] know[0] that[0] he's[0] over[0] the[0] edge[0] in[0] the[0] manner[0] that[0] people[0] with[0] a[0] cause[0] can[0] become[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you are convinced that young alice could end up terminated at any time . 	you are convinced that young alice could end up terminated at any time .	1	-1	 you[0] are[0] convinced[0] that[0] young[0] alice[0] could[0] end[0] up[0] terminated[0] at[0] any[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when korshonov executes passengers , there is a frightening reality to it . 	when korshonov executes passengers , there is a frightening reality to it .	1	-4	 when[0] korshonov[0] executes[-1] passengers[0] there[0] is[0] a[0] frightening[-3] reality[0] to[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the guns in this film are deadly weapons , not cartoons . 	the guns in this film are deadly weapons , not cartoons .	1	-2	 the[0] guns[-1] in[0] this[0] film[0] are[0] deadly[-1] weapons[-1] not[0] cartoons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harrison ford has done one role for several years . 	harrison ford has done one role for several years .	1	-1	 harrison[0] ford[0] has[0] done[0] one[0] role[0] for[0] several[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his mastery of the man in the suit propelled into desperate action is in top form here . 	his mastery of the man in the suit propelled into desperate action is in top form here .	1	-3	 his[0] mastery[0] of[0] the[0] man[0] in[0] the[0] suit[0] propelled[0] into[0] desperate[-2] action[0] is[0] in[0] top[0] form[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
marshall is a medal of honor recipient who now has a desk job . 	marshal is a medal of honor recipient who now has a desk job .	1	-1	 marshall/marshal[0] is[0] a[0] medal[0] of[0] honor[0] recipient[0] who[0] now[0] has[0] a[0] desk[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
realistically , he's a man afraid , but not afraid to act . 	realistically , he's a man afraid , but not afraid to act .	4	-4	 realistically[0] he's[0] a[0] man[0] afraid[-3] but[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] act[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
ford is one of the few actors that could make us believe that the president of the united states could be an action hero . 	ford is one of the few actors that could make us believe that the president of the united states could be an action hero .	3	-1	 ford[0] is[0] one[0] of[0] the[0] few[0] actors[0] that[0] could[0] make[0] us[0] believe[0] that[0] the[0] president[0] of[0] the[0] united[0] states[0] could[0] be[0] an[0] action[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
indiana jones in the oval office . 	indiana jones in the oval office .	1	-1	 indiana[0] jones[0] in[0] the[0] oval[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he and oldman's archetypes match up perfectly . 	he and oldman's archetypes match up perfectly .	2	-1	 he[0] and[0] oldman's[0] archetypes[0] match[0] up[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other roles also go to accomplished actors . 	the other roles also go to accomplished actors .	2	-1	 the[0] other[0] roles[0] also[0] go[0] to[0] accomplished[1] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
glenn close as the determined but unsure vice-president is the picture of an executive forced into a position that she's not quite ready for . 	glen close as the determined but unsure vice-president is the picture of an executive forced into a position that she's not quite ready for .	1	-2	 glenn/glen[0] close[0] as[0] the[0] determined[0] but[0] unsure[0] vice[-1] president[0] is[0] the[0] picture[0] of[0] an[0] executive[0] forced[0] into[0] a[0] position[0] that[0] she's[0] not[0] quite[0] ready[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dean stockwell as defense secretary eager for the authority ( " i'm in charge here ! " ) 	dean stockwell as defense secretary eager for the authority ( " i'm in charge here !<br> " )	1	-2	 dean[0] stockwell[0] as[0] defense[0] secretary[0] eager[0] for[0] the[0] authority[0] i'm[0] in[0] charge[-1] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is her political nemesis and turns in a good alexander haig performance . 	is her political nemesis and turns in a good alexander haig performance .	2	-1	 is[0] her[0] political[0] nemesis[0] and[0] turns[0] in[0] a[0] good[1] alexander[0] haig[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course the politics are all wrong . 	of course the politics are all wrong .	1	-2	 of[0] course[0] the[0] politics[0] are[0] all[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a cowboy president ( even down to his name ) with big guns shoots his way through problems . 	a cowboy president ( even down to his name ) with big guns shoots his way through problems .	1	-2	 a[0] cowboy[0] president[0] even[0] down[0] to[0] his[0] name[0] with[0] big[0] guns[-1] shoots[-1] his[0] way[0] through[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much like the american collective memory of jfk's camelot , the image is wondrous if you don't look too deep . 	much like the american collective memory of jfk's camelot , the image is wondrous if you don't look too deep .	2	-1	 much[0] like[1] the[0] american[0] collective[0] memory[0] of[0] jfk's[0] camelot[0] the[0] image[0] is[0] wondrous[0] if[0] you[0] don't[0] look[0] too[0] deep[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the pulls on the patriotic heartstrings would be too much in any other film , but they work here . 	the pulls on the patriotic heartstrings would be too much in any other film , but they work here .	1	-1	 the[0] pulls[0] on[0] the[0] patriotic[0] heartstrings[0] would[0] be[0] too[0] much[0] in[0] any[0] other[0] film[0] but[0] they[0] work[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter what political spin you put on the story , the movie is an outstanding one . 	no matter what political spin you put on the story , the movie is an outstanding one .	3	-1	 no[0] matter[0] what[0] political[0] spin[0] you[0] put[0] on[0] the[0] story[0] the[0] movie[0] is[0] an[0] outstanding[2] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i left the theater feeling that there is hope for the country's future : not a common belief nowadays . 	i left the theater feeling that there is hope for the country's future : not a common belief nowadays .	3	-1	 i[0] left[0] the[0] theater[0] feeling[0] that[0] there[0] is[0] hope[2] for[0] the[0] country's[0] future[0] not[0] a[0] common[0] belief[0] nowadays[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now if we only can get ford to run for president . 	now if we only can get ford to run for president .	1	-1	 now[0] if[0] we[0] only[0] can[0] get[0] ford[0] to[0] run[0] for[0] president[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just because one actor didn't work out as chief executive doesn't mean that a different one couldn't . 	just because one actor didn't work out as chief executive doesn't mean that a different one couldn't .	1	-1	 just[0] because[0] one[0] actor[0] didn't[0] work[0] out[0] as[0] chief[0] executive[0] doesn't[0] mean[0] that[0] a[0] different[0] one[0] couldn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( michael redman has lost count of how many years he's been writing this column -- 21 years . . . 22 years -- while watching the sunflowers outside his window swaying in the cool breezes . ) 	 ( michael redman has lost count of how many years he's been writing this column - 21 years .<br> .<br> .<br> 22 years - while watching the sunflowers outside his window swaying in the cool breezes .<br> )	2	-1	 michael[0] redman[0] has[0] lost[0] count[0] of[0] how[0] many[0] years[0] he's[0] been[0] writing[0] this[0] column[0] 21[0] years[0] [[Sentence=-1,1=word max, 1-5]] 22[0] years[0] while[0] watching[0] the[0] sunflowers[0] outside[0] his[0] window[0] swaying[0] in[0] the[0] cool[1] breezes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
