a lot of times a three-star film will be my favorite . 	Translation	Positive	Negative	EmotionRationale
naturally nobody believes his story . 	naturally nobody believes his story .	1	-1	 naturally[0] nobody[0] believes[0] his[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
nobody that is , except for the top secret organization that not even the government is aware of . 	nobody that is , except for the top secret organization that not even the government is aware of .	1	-1	 nobody[0] that[0] is[0] except[0] for[0] the[0] top[0] secret[0] organization[0] that[0] not[0] even[0] the[0] government[0] is[0] aware[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edwards then meets agent kay , the man who never seems to crack a smile , and is introduced to the mib . 	edwards then meets agent kay , the man who never seems to crack a smile , and is introduced to the mib .	3	-1	 edwards[0] then[0] meets[0] agent[0] kay[0] the[0] man[0] who[0] never[0] seems[0] to[0] crack[0] a[0] smile[2] and[0] is[0] introduced[0] to[0] the[0] mib[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
edwards winds up joining the team and is stripped of anything that can point back to him ( birth certificate , drivers license , and even the literal removal of his fingerprints ) . 	edwards winds up joining the team and is stripped of anything that can point back to him ( birth certificate , drivers license , and even the literal removal of his fingerprints ) .	1	-1	 edwards[0] winds[0] up[0] joining[0] the[0] team[0] and[0] is[0] stripped[0] of[0] anything[0] that[0] can[0] point[0] back[0] to[0] him[0] birth[0] certificate[0] drivers[0] license[0] and[0] even[0] the[0] literal[0] removal[0] of[0] his[0] fingerprints[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james edwards no longer exists . 	james edwards no longer exists .	1	-1	 james[0] edwards[0] no[0] longer[0] exists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meet agent jay . 	meet agent jay .	1	-1	 meet[0] agent[0] jay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
agent kay takes the rookie jay under his wing as they go about " regular " duties . 	agent kay takes the rookie jay under his wing as they go about " regular " duties .	1	-1	 agent[0] kay[0] takes[0] the[0] rookie[0] jay[0] under[0] his[0] wing[0] as[0] they[0] go[0] about[0] regular[0] duties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually a far more treacherous event comes into play . 	eventually a far more treacherous event comes into play .	1	-3	 eventually[0] a[0] far[0] more[0] treacherous[-2] event[0] comes[0] into[0] play[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a " bug " has landed on earth and is going to wipe out mankind if these two don't ( or can't ) stop it . 	a " bug " has landed on earth and is going to wipe out mankind if these two don't ( or can't ) stop it .	1	-2	 a[0] bug[-1] has[0] landed[0] on[0] earth[0] and[0] is[0] going[0] to[0] wipe[0] out[0] mankind[0] if[0] these[0] two[0] don't[0] or[0] can't[0] stop[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot isn't exactly clear , but we know it has to do with a galaxy as big as a jewel or marble being sought after on earth , and that is crucial that the mib find it before the " bug " does . 	the plot isn't exactly clear , but we know it has to do with a galaxy as big as a jewel or marble being sought after on earth , and that is crucial that the mib find it before the " bug " does .	1	-2	 the[0] plot[0] isn't[0] exactly[0] clear[0] but[0] we[0] know[0] it[0] has[0] to[0] do[0] with[0] a[0] galaxy[0] as[0] big[0] as[0] a[0] jewel[0] or[0] marble[0] being[0] sought[0] after[0] on[0] earth[0] and[0] that[0] is[0] crucial[0] that[0] the[0] mib[0] find[0] it[0] before[0] the[0] bug[-1] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
barry sonnenfeld , who also did the addams family films , directs this nicely . 	barry sonnenfeld , who also did the addams family films , directs this nicely .	2	-1	 barry[0] sonnenfeld[0] who[0] also[0] did[0] the[0] addams[0] family[0] films[0] directs[0] this[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's fun , it's funny , it's action-packed . 	it's fun , it's funny , it's action-packed .	2	-1	 it's[0] fun[1] it's[0] funny[1] it's[0] action[0] packed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a nice summer blockbuster as it rightfully turned out to be . 	a nice summer blockbuster as it rightfully turned out to be .	2	-2	 a[0] nice[1] summer[0] blockbuster[-1] as[0] it[0] rightfully[0] turned[0] out[0] to[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is one of those movies that is just " fun " and can't really be summed up any nicer or clearer . 	this is one of those movies that is just " fun " and can't really be summed up any nicer or clearer .	2	-1	 this[0] is[0] one[0] of[0] those[0] movies[0] that[0] is[0] just[0] fun[1][-1 LastWordBoosterStrength] and[0] can't[0] really[0] be[0] summed[0] up[0] any[0] nicer[1] or[0] clearer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
will smith and tommy lee jones both do great jobs and both are a blast to watch . 	will smith and tommy lee jones both do great jobs and both are a blast to watch .	3	-1	 will[0] smith[0] and[0] tommy[0] lee[0] jones[0] both[0] do[0] great[2] jobs[0] and[0] both[0] are[0] a[0] blast[0] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
definitely one of the best films of the the summer of '97 , men in black comes highly recommeded from me ! 	definitely one of the best films of the the summer of '97 , men in black comes highly recommeded from me !	2	-1	 definitely[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] the[0] summer[0] of[0] '97[0] men[0] in[0] black[0] comes[0] highly[0] recommeded[0] from[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
