synopsis : rumored to be about a true person , the story of mulan has circulated in oral tradition for over a thousand years , and has inspired operas , literature , and even coinage . 	Translation	Positive	Negative	EmotionRationale
fearing for her father's life , the courageous mulan secretly cuts her hair , disguises herself as a man , and sneaks off to serve in the army in her father's stead . 	fearing for her father's life , the courageous mulan secretly cuts her hair , disguises herself as a man , and sneaks off to serve in the army in her father's stead .	2	-3	 fearing[-2] for[0] her[0] father's[0] life[0] the[0] courageous[1] mulan[0] secretly[0] cuts[0] her[0] hair[0] disguises[0] herself[0] as[0] a[0] man[0] and[0] sneaks[-1] off[0] to[0] serve[0] in[0] the[0] army[0] in[0] her[0] father's[0] stead[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
meanwhile mushu , the disgraced and demoted guardian dragon of the fa family , has been reduced to the size of a squirrel and the status of incense burner . 	meanwhile mushu , the disgraced and demoted guardian dragon of the fa family , has been reduced to the size of a squirrel and the status of incense burner .	1	-4	 meanwhile[0] mushu[0] the[0] disgraced[-3] and[0] demoted[0] guardian[0] dragon[0] of[0] the[0] fa[0] family[0] has[0] been[0] reduced[0] to[0] the[0] size[0] of[0] a[0] squirrel[0] and[0] the[0] status[0] of[0] incense[0] burner[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( his only duty is to ring a gong . ) 	 ( his only duty is to ring a gong .<br> )	1	-2	 his[0] only[0] duty[-1] is[0] to[0] ring[0] a[0] gong[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mushu hits upon a plan to redeem himself and regain his guardian status by helping the disguised mulan to become a macho male warrior hero . 	mushu hits upon a plan to redeem himself and regain his guardian status by helping the disguised mulan to become a macho male warrior hero .	3	-1	 mushu[0] hits[0] upon[0] a[0] plan[0] to[0] redeem[0] himself[0] and[0] regain[0] his[0] guardian[0] status[0] by[0] helping[0] the[0] disguised[0] mulan[0] to[0] become[0] a[0] macho[0] male[0] warrior[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with the help of mushu , a horse , and a lucky cricket , can army recruit mulan save china and bring honor to the fa family ? 	with the help of mushu , a horse , and a lucky cricket , can army recruit mulan save china and bring honor to the fa family ?	2	-1	 with[0] the[0] help[0] of[0] mushu[0] a[0] horse[0] and[0] a[0] lucky[1] cricket[0] can[0] army[0] recruit[0] mulan[0] save[1] china[0] and[0] bring[0] honor[0] to[0] the[0] fa[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
opinion : east meets west . 	opinion : east meets west .	1	-1	 opinion[0] east[0] meets[0] west[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know a chef in santa fe that does this sort of magic ; he combines asian culinary influences from the west coast with latin american from down south and european from the atlantic to concoct new creations that hit just the right combination of flavors . 	i know a chef in santa fe that does this sort of magic ; he combines asian culinary influences from the west coast with latin american from down south and european from the atlantic to concoct new creations that hit just the right combination of flavors .	1	-1	 i[0] know[0] a[0] chef[0] in[0] santa[0] fe[0] that[0] does[0] this[0] sort[0] of[0] magic[0] he[0] combines[0] asian[0] culinary[0] influences[0] from[0] the[0] west[0] coast[0] with[0] latin[0] american[0] from[0] down[0] south[0] and[0] european[0] from[0] the[0] atlantic[0] to[0] concoct[0] new[0] creations[0] that[0] hit[0] just[0] the[0] right[0] combination[0] of[0] flavors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from their state of the art animation studio in orlando , disney is hoping to work the same kind of east/west magic with mulan . 	from their state of the art animation studio in orlando , disney is hoping to work the same kind of east/west magic with mulan .	2	-1	 from[0] their[0] state[0] of[0] the[0] art[0] animation[0] studio[0] in[0] orlando[0] disney[0] is[0] hoping[1] to[0] work[0] the[0] same[0] kind[1] of[0] east/west[0] magic[0] with[0] mulan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i mean , what would you say if i told you that a new movie featured tang dynasty art , with donny osmond singing , ming-na wen acting , and eddie murphy playing a chinese dragon that makes pop references to batman and the reverend jessie jackson ? 	i mean , what would you say if i told you that a new movie featured tang dynasty art , with donny osmond singing , ming-na wen acting , and eddie murphy playing a chinese dragon that makes pop references to batman and the reverend jessie jackson ?	2	-1	 i[0] mean[0] what[0] would[0] you[0] say[0] if[0] i[0] told[0] you[0] that[0] a[0] new[0] movie[0] featured[0] tang[0] dynasty[0] art[0] with[0] donny[0] osmond[0] singing[0] ming[0] na[0] wen[0] acting[0] and[0] eddie[0] murphy[0] playing[1] a[0] chinese[0] dragon[0] that[0] makes[0] pop[0] references[0] to[0] batman[0] and[0] the[0] reverend[0] jessie[0] jackson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet this is the case in the disney's re-interpretation of the familiar chinese classic . 	yet this is the case in the disney's re-interpretation of the familiar chinese classic .	1	-1	 yet[0] this[0] is[0] the[0] case[0] in[0] the[0] disney's[0] re[0] interpretation[0] of[0] the[0] familiar[0] chinese[0] classic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the end result is spectacular ; mulan is one of disney's best movies ever . 	the end result is spectacular ; mulan is one of disney's best movies ever .	2	-1	 the[0] end[0] result[0] is[0] spectacular[0] mulan[0] is[0] one[0] of[0] disney's[0] best[1] movies[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
personally , i'm also glad to see the detestable american stereotype of the weak-willed subservient asian woman take a beating : mulan is portrayed as a normal , if spirited , compassionate gal capable of taking the initiative . 	personally , i'm also glad to see the detestable american stereotype of the weak-willed subservient asian woman take a beating : mulan is portrayed as a normal , if spirited , compassionate get a life� capable of taking the initiative .	2	-4	 personally[0] i'm[0] also[0] glad[1] to[0] see[0] the[0] detestable[-3] american[0] stereotype[0] of[0] the[0] weak[-1] willed[0] subservient[-1] asian[0] woman[0] take[0] a[0] beating[0] mulan[0] is[0] portrayed[0] as[0] a[0] normal[0] if[0] spirited[0] compassionate[1] gal[0] capable[0] of[0] taking[0] the[0] initiative[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
mulan is more than just eastern graphics and faces combined with westernized pop and disney . 	mulan is more than just eastern graphics and faces combined with westernized pop and disney .	1	-1	 mulan[0] is[0] more[0] than[0] just[0] eastern[0] graphics[0] and[0] faces[0] combined[0] with[0] westernized[0] pop[0] and[0] disney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kids of any age will like the family themes , and will understand the good guys versus bad guys thing . 	kids of any age will like the family themes , and will understand the good guys versus bad guys thing .	2	-2	 kids[0] of[0] any[0] age[0] will[0] like[1] the[0] family[0] themes[0] and[0] will[0] understand[0] the[0] good[1] guys[0] versus[0] bad[-1] guys[0] thing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and adolescent and preteen girls can appreciate the romance factor , while the boys admire the battles . 	and adolescent and preteen girls can appreciate the romance factor , while the boys admire the battles .	4	-2	 and[0] adolescent[0] and[0] preteen[0] girls[0] can[0] appreciate[1] the[0] romance[3] factor[0] while[0] the[0] boys[0] admire[2] the[0] battles[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and adults can admire those male/female nuances as well as the interplay between traditional notions of family , honor , and duty with industrial age notions of romantic love , gumption , and questioning . 	and adults can admire those male/female nuances as well as the interplay between traditional notions of family , honor , and duty with industrial age notions of romantic love , gumption , and questioning .	4	-2	 and[0] adults[0] can[0] admire[2] those[0] male/female[0] nuances[0] as[0] well[0] as[0] the[0] interplay[0] between[0] traditional[0] notions[0] of[0] family[0] honor[0] and[0] duty[-1] with[0] industrial[0] age[0] notions[0] of[0] romantic[3] love[2][+1 MultiplePositiveWords] gumption[0] and[0] questioning[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but even the tiniest details reveal quality . 	but even the tiniest details reveal quality .	1	-1	 but[0] even[0] the[0] tiniest[0] details[0] reveal[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's art supervisors spent three weeks in china researching the right look : negative spaces , positive detail , period clothing , and graphic designs typical of the time and place . 	the movie's art supervisors spent three weeks in china researching the right look : negative spaces , positive detail , period clothing , and graphic designs typical of the time and place .	3	-2	 the[0] movie's[0] art[0] supervisors[0] spent[0] three[0] weeks[0] in[0] china[0] researching[0] the[0] right[0] look[0] negative[-1] spaces[0] positive[2] detail[0] period[0] clothing[0] and[0] graphic[0] designs[0] typical[0] of[0] the[0] time[0] and[0] place[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
computers were used for crowd scenes of up to 30 , 000 people , and a special program called 'attila' was used for a spectacular sequence involving 2000 attacking huns on horseback . 	computers were used for crowd scenes of up to 30 , 00 people , and a special program called 'attila' was used for a spectacular sequence involving 200 attacking huns on horseback .	2	-3	 computers[0] were[0] used[0] for[0] crowd[0] scenes[0] of[0] up[0] to[0] 30[0] 000/00[0] people[0] and[0] a[0] special[1] program[0] called[0] 'attila'[0] was[0] used[0] for[0] a[0] spectacular[0] sequence[0] involving[0] 2000/200[0] attacking[-2] huns[0] on[0] horseback[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and singers osmond and salonga are at the top of their game . 	and singers osmond and salonga are at the top of their game .	1	-1	 and[0] singers[0] osmond[0] and[0] salonga[0] are[0] at[0] the[0] top[0] of[0] their[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
balance is crucial . 	balance is crucial .	1	-1	 balance[0] is[0] crucial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a movie about a chuckling lone dragon played by eddie murphy might not be disney's cup of tea , but if you use the character as a comic sidekick to balance a determined and spirited heroine , then , pow ! 	a movie about a chuckling lone dragon played by eddie murphy might not be disney's cup of tea , but if you use the character as a comic sidekick to balance a determined and spirited heroine , then , pow !	3	-2	 a[0] movie[0] about[0] a[0] chuckling[2] lone[-1] dragon[0] played[0] by[0] eddie[0] murphy[0] might[0] not[0] be[0] disney's[0] cup[0] of[0] tea[0] but[0] if[0] you[0] use[0] the[0] character[0] as[0] a[0] comic[0] sidekick[0] to[0] balance[0] a[0] determined[0] and[0] spirited[0] heroine[2] then[0] pow[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the dream team . 	the dream team .	1	-1	 the[0] dream[0] team[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the same token , a tale about a girl in the army might be a sober exercise in filial piety by itself , but toss the dragon in there and you've got enough wahoo individualism for a light hearted disney romp . 	by the same token , a tale about a girl in the army might be a sober exercise in filial piety by itself , but toss the dragon in there and you've got enough wahoo individualism for a light hearted disney romp .	1	-1	 by[0] the[0] same[0] token[0] a[0] tale[0] about[0] a[0] girl[0] in[0] the[0] army[0] might[0] be[0] a[0] sober[0] exercise[0] in[0] filial[0] piety[0] by[0] itself[0] but[0] toss[0] the[0] dragon[0] in[0] there[0] and[0] you've[0] got[0] enough[0] wahoo[0] individualism[0] for[0] a[0] light[0] hearted[0] disney[0] romp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's rare that a movie can seamlessly combine elements from both east and west , old and young , male and female into a cohesive and entertaining whole , but mulan hits the universal bullseye . 	it's rare that a movie can seamlessly combine elements from both east and west , old and young , male and female into a cohesive and entertaining whole , but mulan hits the universal bullseye .	1	-1	 it's[0] rare[0] that[0] a[0] movie[0] can[0] seamlessly[0] combine[0] elements[0] from[0] both[0] east[0] and[0] west[0] old[0] and[0] young[0] male[0] and[0] female[0] into[0] a[0] cohesive[0] and[0] entertaining[0] whole[0] but[0] mulan[0] hits[0] the[0] universal[0] bullseye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's movie for any age , creed , gender , or color . 	it's movie for any age , creed , gender , or color .	1	-1	 it's[0] movie[0] for[0] any[0] age[0] creed[0] gender[0] or[0] color[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
