a movie that's been as highly built up as the truman show , with reviews boasting , " the film of the decade ! " 	Translation	Positive	Negative	EmotionRationale
this is the first oscar-worthy film of not only this year , but of the last five years . 	this is the first oscar-worthy film of not only this year , but of the last five years .	1	-1	 this[0] is[0] the[0] first[0] oscar[0] worthy[0] film[0] of[0] not[0] only[0] this[0] year[0] but[0] of[0] the[0] last[0] five[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not since " schindler's list " has a movie captured human spirit and true despair so well . 	not since " schindler's list " has a movie captured human spirit and true despair so well .	2	-4	 not[0] since[0] schindler's[0] list[0] has[0] a[0] movie[0] captured[-1] human[0] spirit[0] and[0] true[1] despair[-3] so[0] well[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is a classic in the making , and ( to borrow a line from esquire's review ) it stars jim carrey . 	this is a classic in the making , and ( to borrow a line from esquire's review ) it stars jim carrey .	1	-1	 this[0] is[0] a[0] classic[0] in[0] the[0] making[0] and[0] to[0] borrow[0] a[0] line[0] from[0] esquire's[0] review[0] it[0] stars[0] jim[0] carrey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing in his career to date and nothing he can do in the future will ever be able to top his role as truman burbank ; mark my word . 	nothing in his career to date and nothing he can do in the future will ever be able to top his role as truman burbank ; mark my word .	1	-1	 nothing[0] in[0] his[0] career[0] to[0] date[0] and[0] nothing[0] he[0] can[0] do[0] in[0] the[0] future[0] will[0] ever[0] be[0] able[0] to[0] top[0] his[0] role[0] as[0] truman[0] burbank[0] mark[0] my[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for , as i said , this is the movie of a lifetime and the role is of the same calibre . 	for , as i said , this is the movie of a lifetime and the role is of the same calibre .	1	-1	 for[0] as[0] i[0] said[0] this[0] is[0] the[0] movie[0] of[0] a[0] lifetime[0] and[0] the[0] role[0] is[0] of[0] the[0] same[0] calibre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
forget special-effect ladden summer fodder . 	forget special-effect laden summer fodder .	2	-1	 forget[0] special[1] effect[0] ladden/laden[0] summer[0] fodder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
drop your romantic comedies in the trash . 	drop your romantic comedies in the trash .	4	-2	 drop[-1] your[0] romantic[3] comedies[0] in[0] the[0] trash[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
toss your thrillers and teen flicks on the pile . 	toss your thrillers and teen flicks on the pile .	2	-1	 toss[0] your[0] thrillers[1] and[0] teen[0] flicks[0] on[0] the[0] pile[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you need nothing more than " the truman show " to carry you through the summer , or for that matter , the year . 	you need nothing more than " the truman show " to carry you through the summer , or for that matter , the year .	1	-1	 you[0] need[0] nothing[0] more[0] than[0] the[0] truman[0] show[0] to[0] carry[0] you[0] through[0] the[0] summer[0] or[0] for[0] that[0] matter[0] the[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh ! and in case i don't see you , good afternoon , good evening , and goodnight . 	oh !<br> and in case i don't see you , good afternoon , good evening , and goodnight .	2	-1	 oh[0] [[Sentence=-1,1=word max, 1-5]] and[0] in[0] case[0] i[0] don't[0] see[0] you[0] good[1] afternoon[0] good[1] evening[0] and[0] goodnight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
