after watching " rat race " last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes . 	Translation	Positive	Negative	EmotionRationale
she finds that grown-up merrill ( lanai chapman ) is erudite , conservative and more than a little bit wary of this stranger trying to jump into her life . 	she finds that grown-up merrill ( lanai chapman ) is erudite , conservative and more than a little bit wary of this stranger trying to jump into her life .	2	-2	 she[0] finds[0] that[0] grown[0] up[0] merrill[1] lanai[0] chapman[0] is[0] erudite[0] conservative[0] and[0] more[0] than[0] a[0] little[0] bit[0] wary[-1] of[0] this[0] stranger[0] trying[0] to[0] jump[0] into[0] her[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thrown together , it becomes clear that both women share a fierce competitive nature . 	thrown together , it becomes clear that both women share a fierce competitive nature .	1	-3	 thrown[0] together[0] it[0] becomes[0] clear[0] that[0] both[0] women[0] share[0] a[0] fierce[-2] competitive[0] nature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
owen templeton ( cuba gooding jr . ) is currently the most hated man in america . 	owen templeton ( cuba gooding jr .<br> ) is currently the most hated man in america .	1	-4	 owen[0] templeton[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] is[0] currently[0] the[0] most[0] hated[-3] man[0] in[0] america[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
an nfl referee , he cost gamblers all over the country enormous amounts of money by blowing a call in a high-profile game . 	an nfl referee , he cost gamblers all over the country enormous amounts of money by blowing a call in a high-profile game .	1	-2	 an[0] nfl[0] referee[0] he[0] cost[0] gamblers[-1] all[0] over[0] the[0] country[0] enormous[0] amounts[0] of[0] money[0] by[0] blowing[0] a[0] call[0] in[0] a[0] high[0] profile[0] game[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after escaping from a vengeful cab driver , owen gets to new mexico by masquerading as the driver for a busload of lucy ricardo impersonators heading to a convention . 	after escaping from a vengeful cab driver , owen gets to new mexico by masquerading as the driver for a busload of lucy ricardo impersonators heading to a convention .	1	-1	 after[0] escaping[0] from[0] a[0] vengeful[0] cab[0] driver[0] owen[0] gets[0] to[0] new[0] mexico[0] by[0] masquerading[0] as[0] the[0] driver[0] for[0] a[0] busload[0] of[0] lucy[0] ricardo[0] impersonators[0] heading[0] to[0] a[0] convention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . pollini ( rowan atkinson ) is a cheerful , odd little italian man on holiday in america . 	mr .<br> pollini ( rowan atkinson ) is a cheerful , odd little italian man on holiday in america .	3	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] pollini[0] rowan[0] atkinson[0] is[0] a[0] cheerful[2] odd[0] little[0] italian[0] man[0] on[0] holiday[0] in[0] america[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he also is narcoleptic and falls asleep at the most inopportune times . 	he also is narcoleptic and falls asleep at the most inopportune times .	1	-1	 he[0] also[0] is[0] narcoleptic[0] and[0] falls[0] asleep[0] at[0] the[0] most[0] inopportune[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pollini hitches a ride with zack ( wayne knight ) , a hyper-tense ambulance driver carrying a human heart across country for a transplant operation . 	pollini hitches a ride with zack ( wayne knight ) , a hyper-tense ambulance driver carrying a human heart across country for a transplant operation .	1	-3	 pollini[0] hitches[0] a[0] ride[0] with[0] zack[0] wayne[0] knight[0] a[0] hyper[0] tense[-2] ambulance[0] driver[0] carrying[0] a[0] human[0] heart[0] across[0] country[0] for[0] a[0] transplant[0] operation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
randy pear ( jon lovitz ) promised his wife beverly ( kathy najimy ) and two kids a fun-filled vacation in las vegas . 	randy pear ( jon lovitz ) promised his wife beverly ( kathy najimy ) and two kids a fun-filled vacation in las vegas .	2	-1	 randy[0] pear[0] jon[0] lovitz[0] promised[1] his[0] wife[0] beverly[0] kathy[0] najimy[0] and[0] two[0] kids[0] a[0] fun[1] filled[0] vacation[0] in[0] las[0] vegas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fearful that beverly will be angry over his involvement in the race , he claims that he must travel to silver city for a job interview . 	fearful that beverly will be angry over his involvement in the race , he claims that he must travel to silver city for a job interview .	1	-4	 fearful[-2] that[0] beverly[0] will[0] be[0] angry[-3] over[0] his[0] involvement[0] in[0] the[0] race[0] he[0] claims[0] that[0] he[0] must[0] travel[0] to[0] silver[0] city[0] for[0] a[0] job[0] interview[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
beverly insists the family stay together , so they hop in the mini-van and tear off into the desert . 	beverly insists the family stay together , so they hop in the mini-van and tear off into the desert .	1	-2	 beverly[0] insists[0] the[0] family[0] stay[0] together[0] so[0] they[0] hop[0] in[0] the[0] mini[0] van[0] and[0] tear[-1] off[0] into[0] the[0] desert[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brothers duane ( seth green ) and blaine ( vince vieluf ) cody are young , crooked and stupid . 	brothers duane ( seth green ) and blaine ( vince vieluf ) cody are young , crooked and stupid .	1	-2	 brothers[0] duane[0] seth[0] green[0] and[0] blaine[0] vince[0] vieluf[0] cody[0] are[0] young[0] crooked[-1] and[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blaine has a speech impediment due to his poorly self-done tongue piercing , and duane is the only person who can come close to understanding him . 	blaine has a speech impediment due to his poorly self-done tongue piercing , and duane is the only person who can come close to understanding him .	1	-2	 blaine[0] has[0] a[0] speech[0] impediment[-1] due[0] to[0] his[0] poorly[-1] self[0] done[0] tongue[0] piercing[0] and[0] duane[0] is[0] the[0] only[0] person[0] who[0] can[0] come[0] close[0] to[0] understanding[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the boys will stop at nothing to reach their goal . 	the boys will stop at nothing to reach their goal .	1	-1	 the[0] boys[0] will[0] stop[0] at[0] nothing[0] to[0] reach[0] their[0] goal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , nick shaffer ( breckin meyer ) is a no-nonsense lawyer-in-training who recruits helicopter pilot tracy faucet ( amy smart ) for the journey . 	finally , nick shaffer ( breckin meyer ) is a no-nonsense lawyer-in-training who recruits helicopter pilot tracy faucet ( amy smart ) for the journey .	2	-2	 finally[0] nick[0] shaffer[0] breckin[0] meyer[0] is[0] a[0] no[0] nonsense[-1] lawyer[0] in[0] training[0] who[0] recruits[0] helicopter[0] pilot[0] tracy[0] faucet[0] amy[0] smart[1] for[0] the[0] journey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at first glance , they seem blandly wholesome , but all that changes when tracy buzzes the home of her boyfriend shawn ( dean cain ) and spies him swimming with another woman . 	at first glance , they seem blandly wholesome , but all that changes when tracy buzes the home of her boyfriend shawn ( dean cain ) and spies him swimming with another woman .	1	-1	 at[0] first[0] glance[0] they[0] seem[0] blandly[0] wholesome[0] but[0] all[0] that[0] changes[0] when[0] tracy[0] buzzes/buzes[0] the[0] home[0] of[0] her[0] boyfriend[0] shawn[0] dean[0] cain[0] and[0] spies[0] him[0] swimming[0] with[0] another[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director jerry zucker ( " airplane , " " ghost " ) leaps from racer to racer , periodically returning to las vegas where sinclair and mr . grisham ( dave thomas ) , his personality-impaired right hand man , continue cooking up bizarre bets for the gamblers . 	director jerry zucker ( " airplane , " " ghost " ) leaps from racer to racer , periodically returning to las vegas where sinclair and mr .<br> grisham ( dave thomas ) , his personality-impaired right hand man , continue cooking up bizarre bets for the gamblers .	1	-2	 director[0] jerry[0] zucker[0] airplane[0] ghost[0] leaps[0] from[0] racer[0] to[0] racer[0] periodically[0] returning[0] to[0] las[0] vegas[0] where[0] sinclair[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] grisham[0] dave[0] thomas[0] his[0] personality[0] impaired[-1] right[0] hand[0] man[0] continue[0] cooking[0] up[0] bizarre[-1] bets[0] for[0] the[0] gamblers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as with any zucker production , a few jokes fall flat , but the momentum of the comedy zooms past those missteps . 	as with any zucker production , a few jokes fall flat , but the momentum of the comedy zooms past those missteps .	2	-1	 as[0] with[0] any[0] zucker[0] production[0] a[0] few[0] jokes[1] fall[0] flat[0] but[0] the[0] momentum[0] of[0] the[0] comedy[0] zooms[0] past[0] those[0] missteps[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
high points for me include a bit involving kathy bates as a roadside squirrel salesperson and an intricately set up gag that carries jon lovitz and family from a bizarre museum to an outdoor rally , with an utterly tasteless and screamingly funny pay-off . 	high points for me include a bit involving kathy bates as a roadside squirrel salesperson and an intricately set up gag that carries jon lovitz and family from a bizarre museum to an outdoor rally , with an utterly tasteless and screamingly funny pay-off .	2	-4	 high[0] points[0] for[0] me[0] include[0] a[0] bit[0] involving[0] kathy[0] bates[0] as[0] a[0] roadside[0] squirrel[0] salesperson[0] and[0] an[0] intricately[0] set[0] up[0] gag[0] that[0] carries[0] jon[0] lovitz[0] and[0] family[0] from[0] a[0] bizarre[-1] museum[0] to[0] an[0] outdoor[0] rally[0] with[0] an[0] utterly[0] tasteless[0] and[0] screamingly[-3] funny[1] pay[0] off[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
had i been part of the filmmaking team , i would have ditched a joke where a key is dropped into a baby's clothes and instead had the key get lost in the cleavage of a dozing society matron . 	had i been part of the filmmaking team , i would have ditched a joke where a key is dropped into a baby's clothes and instead had the key get lost in the cleavage of a dozing society matron .	2	-1	 had[0] i[0] been[0] part[0] of[0] the[0] filmmaking[0] team[0] i[0] would[0] have[0] ditched[0] a[0] joke[1] where[0] a[0] key[0] is[0] dropped[0] into[0] a[0] baby's[0] clothes[0] and[0] instead[0] had[0] the[0] key[0] get[0] lost[0] in[0] the[0] cleavage[0] of[0] a[0] dozing[0] society[0] matron[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it would have drawn the same laugh without the squirm-inducing hint of child molestation . 	it would have drawn the same laugh without the squirm-inducing hint of child molestation .	2	-4	 it[0] would[0] have[0] drawn[0] the[0] same[0] laugh[1] without[0] the[0] squirm[-2] inducing[0] hint[0] of[0] child[0] molestation[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i also would have selected a different band for a concert sequence . 	i also would have selected a different band for a concert sequence .	1	-1	 i[0] also[0] would[0] have[0] selected[0] a[0] different[0] band[0] for[0] a[0] concert[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my god , do we really need yet another movie with smash mouth performing " all star ? " 	my god , do we really need yet another movie with smash mouth performing " all star ?<br> "	1	-2	 my[0] god[0] do[0] we[0] really[0] need[0] yet[0] another[0] movie[0] with[0] smash[-1] mouth[0] performing[0] all[0] star[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but enough carping . 	but enough carping .	1	-1	 but[0] enough[0] carping[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " rat race " is a riot , with terrific no-holds-barred performances from the diverse cast . 	 " rat race " is a riot , with terrific no-holds-barred performances from the diverse cast .	4	-2	 rat[-1] race[0] is[0] a[0] riot[0] with[0] terrific[3] no[0] holds[0] barred[0] performances[0] from[0] the[0] diverse[0] cast[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
see it , see it again and when the dvd comes out , buy it , because a movie this hilarious will surely have outtakes to die for . 	see it , see it again and when the dvd comes out , buy it , because a movie this hilarious will surely have outtakes to die for .	3	-1	 see[0] it[0] see[0] it[0] again[0] and[0] when[0] the[0] dvd[0] comes[0] out[0] buy[0] it[0] because[0] a[0] movie[0] this[0] hilarious[2] will[0] surely[0] have[0] outtakes[0] to[0] die[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
