krippendorf's tribe is a formula comedy . 	Translation	Positive	Negative	EmotionRationale
his efforts are hampered by the boasts of an over-eager colleague , veronica micelli ( jenna elfman ) , and the intense scrutiny of a rival anthropologist , ruth allen ( lily tomlin ) . 	his efforts are hampered by the boasts of an over-eager colleague , veronica micelli ( jenna elfman ) , and the intense scrutiny of a rival anthropologist , ruth allen ( lily tomlin ) .	1	-2	 his[0] efforts[0] are[0] hampered[0] by[0] the[0] boasts[-1] of[0] an[0] over[0] eager[0] colleague[0] veronica[0] micelli[0] jenna[0] elfman[0] and[0] the[0] intense[0] scrutiny[0] of[0] a[0] rival[-1] anthropologist[0] ruth[0] allen[0] lily[0] tomlin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
krippendorf's tribe does seem to require a little suspension of disbelief . 	krippendorf's tribe does seem to require a little suspension of disbelief .	1	-2	 krippendorf's[0] tribe[0] does[0] seem[0] to[0] require[0] a[0] little[0] suspension[-1] of[0] disbelief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no one seems to question the way his field documentaries seem to be shot with multiple cameras , or that his newly discovered tribesmen have startlingly blue eyes . 	no one seems to question the way his field documentaries seem to be shot with multiple cameras , or that his newly discovered tribesmen have startlingly blue eyes .	1	-2	 no[0] one[0] seems[0] to[0] question[0] the[0] way[0] his[0] field[0] documentaries[0] seem[0] to[0] be[0] shot[-1] with[0] multiple[0] cameras[0] or[0] that[0] his[0] newly[0] discovered[0] tribesmen[0] have[0] startlingly[-1] blue[0] eyes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
luckily , as the film builds momentum , that suspension of disbelief is easy to come by . 	luckily , as the film builds momentum , that suspension of disbelief is easy to come by .	3	-2	 luckily[2] as[0] the[0] film[0] builds[0] momentum[0] that[0] suspension[-1] of[0] disbelief[-1] is[0] easy[0] to[0] come[0] by[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
though there's some mild humor in the krippendorf family trying to pass themselves off as a lost tribe , the real humor of the film is in how james gets trapped in his ever increasing snowball of lies . 	though there's some mild humor in the krippendorf family trying to pass themselves off as a lost tribe , the real humor of the film is in how james gets trapped in his ever increasing snowball of lies .	3	-3	 though[0] there's[0] some[0] mild[0] humor[2] in[0] the[0] krippendorf[0] family[0] trying[0] to[0] pass[0] themselves[0] off[0] as[0] a[0] lost[0] tribe[0] the[0] real[0] humor[2] of[0] the[0] film[0] is[0] in[0] how[0] james[0] gets[0] trapped[0] in[0] his[0] ever[0] increasing[0] snowball[0] of[0] lies[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the double meanings to many of the shelmikedmu appearances are enjoyable , and the comic timing required for some of the film's latter scenes is superb . 	the double meanings to many of the shelmikedmu appearances are enjoyable , and the comic timing required for some of the film's latter scenes is superb .	3	-1	 the[0] double[0] meanings[0] to[0] many[0] of[0] the[0] shelmikedmu[0] appearances[0] are[0] enjoyable[2] and[0] the[0] comic[0] timing[0] required[0] for[0] some[0] of[0] the[0] film's[0] latter[0] scenes[0] is[0] superb[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
richard dreyfuss is terrific as the hapless professor who soon loses control of his own imaginary tribe . 	richard dreyfuss is terrific as the hapless professor who soon loses control of his own imaginary tribe .	4	-2	 richard[0] dreyfuss[0] is[0] terrific[3] as[0] the[0] hapless[-1] professor[0] who[0] soon[0] loses[-1] control[0] of[0] his[0] own[0] imaginary[0] tribe[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
jenna elfman's position as a romantic lead seems a bit forced at times , but she plays the part with extreme affability . 	jenna elfman's position as a romantic lead seems a bit forced at times , but she plays the part with extreme affability .	4	-1	 jenna[0] elfman's[0] position[0] as[0] a[0] romantic[3] lead[0] seems[0] a[0] bit[0] forced[0] at[0] times[0] but[0] she[0] plays[1] the[0] part[0] with[0] extreme[0] affability[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even the kids , who in films like this tend to be a bit on the precocious side , are endearing and humorous . 	even the kids , who in films like this tend to be a bit on the precocious side , are endearing and humorous .	3	-1	 even[0] the[0] kids[0] who[0] in[0] films[0] like[1] this[0] tend[0] to[0] be[0] a[0] bit[0] on[0] the[0] precocious[0] side[0] are[0] endearing[0] and[0] humorous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yes , the film does veer occasionally into some rather lowbrow humor , but it has the best excuse of all : it's funny . 	yes , the film does veer occasionally into some rather lowbrow humor , but it has the best excuse of all : it's funny .	3	-2	 yes[0] the[0] film[0] does[0] veer[0] occasionally[0] into[0] some[0] rather[0] lowbrow[-1] humor[2] but[0] it[0] has[0] the[0] best[1] excuse[0] of[0] all[0] it's[0] funny[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it may not go down as an all-time classic , but it certainly delivers what you expect from a comedy : plenty of laughs . 	it may not go down as an all-time classic , but it certainly delivers what you expect from a comedy : plenty of laughs .	2	-1	 it[0] may[0] not[0] go[0] down[0] as[0] an[0] all[0] time[0] classic[0] but[0] it[0] certainly[0] delivers[0] what[0] you[0] expect[0] from[0] a[0] comedy[0] plenty[0] of[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
