capsule : the best place to start if you're a jackie chan newcomer . 	Translation	Positive	Negative	EmotionRationale
there's a fun chemistry between the two of them , especially in an early scene where she tries to brief him and he keeps making wondering comments about how great she looks in that uniform . 	there's a fun chemistry between the two of them , especially in an early scene where she tries to brief him and he keeps making wondering comments about how great she looks in that uniform .	3	-1	 there's[0] a[0] fun[1] chemistry[0] between[0] the[0] two[0] of[0] them[0] especially[0] in[0] an[0] early[0] scene[0] where[0] she[0] tries[0] to[0] brief[0] him[0] and[0] he[0] keeps[0] making[0] wondering[0] comments[0] about[0] how[0] great[2] she[0] looks[0] in[0] that[0] uniform[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kevin is assigned to help spring a known gangster from jail -- all undercover , of course -- and have him lead the two of them to a noted drug boss . 	kevin is assigned to help spring a known gangster from jail - all undercover , of course - and have him lead the two of them to a noted drug boss .	1	-2	 kevin[0] is[0] assigned[0] to[0] help[0] spring[0] a[0] known[0] gangster[0] from[0] jail[-1] all[0] undercover[0] of[0] course[0] and[0] have[0] him[0] lead[0] the[0] two[0] of[0] them[0] to[0] a[0] noted[0] drug[0] boss[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the drug boss , however , has problems of his own : his wife's on trial for many of his own crimes , and she's got the key to an account with all of his drug funds . 	the drug boss , however , has problems of his own : his wife's on trial for many of his own crimes , and she's got the key to an account with all of his drug funds .	1	-2	 the[0] drug[0] boss[0] however[0] has[0] problems[-1] of[0] his[0] own[0] his[0] wife's[0] on[0] trial[0] for[0] many[0] of[0] his[0] own[0] crimes[-1] and[0] she's[0] got[0] the[0] key[0] to[0] an[0] account[0] with[0] all[0] of[0] his[0] drug[0] funds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this means , of course , endless trouble -- not the least of which is that kevin bumps into his girlfriend while he's out in the field , and she sees him with this other woman , and . . . but that's one of the movie's unique pleasures : the way it crosses from action to comedy effortlessly . 	this means , of course , endless trouble - not the least of which is that kevin bumps into his girlfriend while he's out in the field , and she sees him with this other woman , and .<br> .<br> .<br> but that's one of the movie's unique pleasures : the way it crosses from action to comedy effortlessly .	3	-2	 this[0] means[0] of[0] course[0] endless[0] trouble[-1] not[0] the[0] least[0] of[0] which[0] is[0] that[0] kevin[0] bumps[0] into[0] his[0] girlfriend[0] while[0] he's[0] out[0] in[0] the[0] field[0] and[0] she[0] sees[0] him[0] with[0] this[0] other[0] woman[0] and[0] [[Sentence=-2,1=word max, 1-5]] but[0] that's[0] one[0] of[0] the[0] movie's[0] unique[0] pleasures[2] the[0] way[0] it[0] crosses[0] from[0] action[0] to[0] comedy[0] effortlessly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
action . there is , of course , non-stop action in this movie -- everything from one-on-one kung fu to all-out gun battles to a sppedboat with eight engines ( ! ) 	action .<br> there is , of course , non-stop action in this movie - everything from one-on-one kung fu to all-out gun battles to a sppedboat with eight engines ( !<br> )	1	-2	 action[0] [[Sentence=-1,1=word max, 1-5]] there[0] is[0] of[0] course[0] non[0] stop[0] action[0] in[0] this[0] movie[0] everything[0] from[0] one[0] on[0] one[0] kung[0] fu[0] to[0] all[0] out[0] gun[-1] battles[-1] to[0] a[0] sppedboat[0] with[0] eight[0] engines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
outrunning the hong kong coast guard . 	outrunning the hong kong coast guard .	1	-1	 outrunning[0] the[0] hong[0] kong[0] coast[0] guard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is also a virtuoso climax , which features , among other things , jackie danging from a ladder tied to a helicopter , a wrong-way freeway chase ( which requires michelle to do an awesomely difficult handstand stunt ) , a fight on top of a moving train that also involves the 'copter as well as a motorcycle . 	there is also a virtuoso climax , which features , among other things , jackie danging from a ladder tied to a helicopter , a wrong-way freeway chase ( which requires michelle to do an awesomely difficult handstand stunt ) , a fight on top of a moving train that also involves the 'copter as well as a motorcycle .	3	-3	 there[0] is[0] also[0] a[0] virtuoso[2] climax[0] which[0] features[0] among[0] other[0] things[0] jackie[0] danging[0] from[0] a[0] ladder[0] tied[0] to[0] a[0] helicopter[0] a[0] wrong[-1] way[0] freeway[0] chase[-1] which[0] requires[0] michelle[0] to[0] do[0] an[0] awesomely[2] difficult[-1] handstand[0] stunt[-1] a[0] fight[-2] on[0] top[0] of[0] a[0] moving[0] train[0] that[0] also[0] involves[0] the[0] 'copter[0] as[0] well[0] as[0] a[0] motorcycle[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
you get the idea . 	you get the idea .	1	-1	 you[0] get[0] the[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is to action movies what a burger with everything on it is to fast food : quick , enjoyable , filling . 	this is to action movies what a burger with everything on it is to fast food : quick , enjoyable , filling .	3	-1	 this[0] is[0] to[0] action[0] movies[0] what[0] a[0] burger[0] with[0] everything[0] on[0] it[0] is[0] to[0] fast[0] food[0] quick[0] enjoyable[2] filling[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watch it with friends . 	watch it with friends .	2	-1	 watch[0] it[0] with[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when they stop making movies like this , the world will be a tad greyer . 	when they stop making movies like this , the world will be a tad greyer .	2	-1	 when[0] they[0] stop[0] making[0] movies[0] like[1] this[0] the[0] world[0] will[0] be[0] a[0] tad[0] greyer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
