making his directorial debut , actor jon favreau brings along his swingers co-star , vince vaughn , for this tale of two mugs on a career trajectory to nowheresville . 	Translation	Positive	Negative	EmotionRationale
the constrast in styles and the chemistry between favreau and vaughn is what makes made so enjoyable to watch . 	the constrast in styles and the chemistry between favreau and vaughn is what makes made so enjoyable to watch .	3	-1	 the[0] constrast[0] in[0] styles[0] and[0] the[0] chemistry[0] between[0] favreau[0] and[0] vaughn[0] is[0] what[0] makes[0] made[0] so[0] enjoyable[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
favreau with his hound-dog face and slow-burn personality could be a modern-day oliver hardy , only much wiser . 	favreau with his hound-dog face and slow-burn personality could be a modern-day oliver hardy , only much wiser .	1	-2	 favreau[0] with[0] his[0] hound[0] dog[0] face[0] and[0] slow[0] burn[-1] personality[0] could[0] be[0] a[0] modern[0] day[0] oliver[0] hardy[0] only[0] much[0] wiser[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
vaughn is like someone vaccinated with a phonograph needle , he just keeps yakking and yakking , unaware of the havoc he creates . 	vaughn is like someone vaccinated with a phonograph needle , he just keeps yaking and yaking , unaware of the havoc he creates .	2	-2	 vaughn[0] is[0] like[1] someone[0] vaccinated[0] with[0] a[0] phonograph[0] needle[0] he[0] just[0] keeps[0] yakking/yaking[0] and[0] yakking/yaking[0] unaware[0] of[0] the[0] havoc[-1] he[0] creates[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yet despite bobby's constant aggravation and agitation with his partner , a bond of affection and loyalty binds them . 	yet despite bobby's constant aggravation and agitation with his partner , a bond of affection and loyalty binds them .	3	-3	 yet[0] despite[0] bobby's[0] constant[0] aggravation[-2] and[0] agitation[-1] with[0] his[0] partner[0] a[0] bond[0] of[0] affection[2] and[0] loyalty[1] binds[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the contrast between the two friends is interesting to watch . 	the contrast between the two friends is interesting to watch .	2	-1	 the[0] contrast[0] between[0] the[0] two[0] friends[1] is[0] interesting[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bobby is button-downed , tightly-wound , always waiting for the next shoe -courtesy of ricky - to drop . 	bobby is button-downed , tightly-wound , always waiting for the next shoe -courtesy of ricky - to drop .	1	-2	 bobby[0] is[0] button[0] downed[0] tightly[0] wound[-1] always[0] waiting[0] for[0] the[0] next[0] shoe[0] courtesy[0] of[0] ricky[0] to[0] drop[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ricky is mostly oblivious to the problems he creates and is genuinely surprised when he comes under attack for his faux paus . 	ricky is mostly oblivious to the problems he creates and is genuinely surprised when he comes under attack for his faux paus .	1	-3	 ricky[0] is[0] mostly[0] oblivious[0] to[0] the[0] problems[-1] he[0] creates[0] and[0] is[0] genuinely[0] surprised[0] when[0] he[0] comes[0] under[0] attack[-2] for[0] his[0] faux[0] paus[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in new york , the two lackeys are like fish out of water , stumbling from one situation to another , trying to keep alive . 	in new york , the two lackeys are like fish out of water , stumbling from one situation to another , trying to keep alive .	2	-1	 in[0] new[0] york[0] the[0] two[0] lackeys[0] are[0] like[1] fish[0] out[0] of[0] water[0] stumbling[0] from[0] one[0] situation[0] to[0] another[0] trying[0] to[0] keep[0] alive[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
combs is elegant , cool and low-key menacing as the gangsta they are sent to meet . 	combs is elegant , cool and low-key menacing as the gangsta they are sent to meet .	2	-2	 combs[0] is[0] elegant[1] cool[1] and[0] low[-1] key[0] menacing[0] as[0] the[0] gangsta[0] they[0] are[0] sent[0] to[0] meet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
falk is amusing in his small role , while famke janssen nearly breaks your heart as bobby's lowlife girlfriend . 	falk is amusing in his small role , while famke janssen nearly breaks your heart as bobby's lowlife girlfriend .	2	-2	 falk[0] is[0] amusing[1] in[0] his[0] small[0] role[0] while[0] famke[0] janssen[0] nearly[0] breaks[0] your[0] heart[0] as[0] bobby's[0] lowlife[-1] girlfriend[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
more than anything , made is a movie with heart . 	more than anything , made is a movie with heart .	1	-1	 more[0] than[0] anything[0] made[0] is[0] a[0] movie[0] with[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is loud , obnoxious and very talkative . 	it is loud , obnoxious and very talkative .	1	-3	 it[0] is[0] loud[0] obnoxious[-2] and[0] very[0] talkative[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the cameraderie between bobby and ricky holds the key to its interest . 	but the cameraderie between bobby and ricky holds the key to its interest .	2	-1	 but[0] the[0] cameraderie[0] between[0] bobby[0] and[0] ricky[0] holds[0] the[0] key[0] to[0] its[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
favreau does a commendable job in his directorial debut . 	favreau does a commendable job in his directorial debut .	1	-1	 favreau[0] does[0] a[0] commendable[0] job[0] in[0] his[0] directorial[0] debut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is a player to be watched as he can only improve with experience . 	he is a player to be watched as he can only improve with experience .	2	-1	 he[0] is[0] a[0] player[0] to[0] be[0] watched[0] as[0] he[0] can[0] only[0] improve[1] with[0] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
