there's an old saying that states something about leaving the best for last . 	Translation	Positive	Negative	EmotionRationale
from a hysterical scene involving a music group to the dreaded beast outside jabba's sand barge , the effects are top notch . 	from a hysterical scene involving a music group to the dreaded beast outside jabba's sand barge , the effects are top notch .	1	-4	 from[0] a[0] hysterical[-1] scene[0] involving[0] a[0] music[0] group[0] to[0] the[0] dreaded[-3] beast[0] outside[0] jabba's[0] sand[0] barge[0] the[0] effects[0] are[0] top[0] notch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as soon as han is freed from his cryo-freeze and rescued from the clutches of the evil jabba the hutt , it's back to outer space , where the rebel alliance is about to face the empire's newest threat : a second , more powerful death star , that , if activated , could spell doom for anyone who stands against the emperor . 	as soon as han is freed from his cryo-freeze and rescued from the clutches of the evil jabba the hut , it's back to outer space , where the rebel alliance is about to face the empire's newest threat : a second , more powerful death star , that , if activated , could spell doom for anyone who stands against the emperor .	1	-3	 as[0] soon[0] as[0] han[0] is[0] freed[0] from[0] his[0] cryo[0] freeze[0] and[0] rescued[0] from[0] the[0] clutches[0] of[0] the[0] evil[-2] jabba[0] the[0] hutt/hut[0] it's[0] back[0] to[0] outer[0] space[0] where[0] the[0] rebel[-1] alliance[0] is[0] about[0] to[0] face[0] the[0] empire's[0] newest[0] threat[-2] a[0] second[0] more[0] powerful[0] death[-2] star[0] that[0] if[0] activated[0] could[0] spell[0] doom[-1] for[0] anyone[0] who[0] stands[0] against[-1] the[0] emperor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so , while the fleet prepares for the final battle , luke and company travel to the forest moon of endor to knock out the shield that defends the death star against all attacks . 	so , while the fleet prepares for the final battle , luke and company travel to the forest moon of endor to knock out the shield that defends the death star against all attacks .	1	-3	 so[0] while[0] the[0] fleet[-1] prepares[0] for[0] the[0] final[0] battle[-1] luke[0] and[0] company[0] travel[0] to[0] the[0] forest[0] moon[0] of[0] endor[0] to[0] knock[0] out[0] the[0] shield[0] that[0] defends[0] the[0] death[-2] star[0] against[-1] all[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there , they are befriended by the ewoks , the teddy bear-like native race , and luke , fearing that his presence is endangering the group , turns himself over to vader . 	there , they are befriended by the ewoks , the teddy bear-like native race , and luke , fearing that his presence is endangering the group , turns himself over to vader .	2	-3	 there[0] they[0] are[0] befriended[0] by[0] the[0] ewoks[0] the[0] teddy[0] bear[0] like[1] native[0] race[0] and[0] luke[0] fearing[-2] that[0] his[0] presence[0] is[0] endangering[-1] the[0] group[0] turns[0] himself[0] over[0] to[0] vader[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
return of the jedi has some interesting elements . 	return of the jedi has some interesting elements .	1	-1	 return[0] of[0] the[0] jedi[0] has[0] some[0] interesting[1][-1 LastWordBoosterStrength] elements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes which pitted luke against the emperor and vader are suitably tense and well-acted . 	the scenes which pitted luke against the emperor and vader are suitably tense and well-acted .	1	-3	 the[0] scenes[0] which[0] pitted[0] luke[0] against[-1] the[0] emperor[0] and[0] vader[0] are[0] suitably[0] tense[-2] and[0] well[0] acted[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from a technical point-of-view , the space battles are amazing , easily hindering anything depicted in the previous films . 	from a technical point-of-view , the space battles are amazing , easily hindering anything depicted in the previous films .	3	-2	 from[0] a[0] technical[0] point[0] of[0] view[0] the[0] space[0] battles[-1] are[0] amazing[2] easily[0] hindering[0] anything[0] depicted[0] in[0] the[0] previous[0] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
not only are there many , many more ships , but their speed and range of movement have been dramatically improved . 	not only are there many , many more ships , but their speed and range of movement have been dramatically improved .	2	-1	 not[0] only[0] are[0] there[0] many[0] many[0] more[0] ships[0] but[0] their[0] speed[0] and[0] range[0] of[0] movement[0] have[0] been[0] dramatically[0] improved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on one level , return of the jedi is almost worth watching for the special effects . 	on one level , return of the jedi is almost worth watching for the special effects .	2	-1	 on[0] one[0] level[0] return[0] of[0] the[0] jedi[0] is[0] almost[0] worth[0] watching[0] for[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the special edition , even more ships are added , making the final space battle incredibly fun to watch . 	in the special edition , even more ships are added , making the final space battle incredibly fun to watch .	4	-2	 in[0] the[0] special[1] edition[0] even[0] more[0] ships[0] are[0] added[0] making[0] the[0] final[0] space[0] battle[-1] incredibly[0] fun[1][2 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the acting in return of the jedi is stronger than in the previous films . 	the acting in return of the jedi is stronger than in the previous films .	1	-1	 the[0] acting[0] in[0] return[0] of[0] the[0] jedi[0] is[0] stronger[0] than[0] in[0] the[0] previous[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by now ( or then - 1983 ) , mark hamill , harrison ford , and carrie fisher have all matured in their on-screen personas . 	by now ( or then - 1983 ) , mark hamill , harrison ford , and carrie fisher have all matured in their on-screen personas .	1	-1	 by[0] now[0] or[0] then[0] 1983[0] mark[0] hamill[0] harrison[0] ford[0] and[0] carrie[0] fisher[0] have[0] all[0] matured[0] in[0] their[0] on[0] screen[0] personas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the chemistry amongst the trio is terrific . 	the chemistry amongst the trio is terrific .	4	-1	 the[0] chemistry[0] amongst[0] the[0] trio[0] is[0] terrific[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as in empire , billy dee williams gives us another human hero to root for . 	as in empire , billy dee williams gives us another human hero to root for .	3	-1	 as[0] in[0] empire[0] billy[0] dee[0] williams[0] gives[0] us[0] another[0] human[0] hero[2] to[0] root[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
newcomer ian mcdiarmid plays the emperor as a suitably creepy , cunning , and evil creature , although he's not as imposing as vader was in star wars . 	newcomer ian mcdiarmid plays the emperor as a suitably creepy , cunning , and evil creature , although he's not as imposing as vader was in star wars .	2	-3	 newcomer[0] ian[0] mcdiarmid[0] plays[1] the[0] emperor[0] as[0] a[0] suitably[0] creepy[0] cunning[0] and[0] evil[-2] creature[0] although[0] he's[0] not[0] as[0] imposing[0] as[0] vader[0] was[0] in[0] star[0] wars[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although it was great fun watching star wars and the empire strikes back on the big screen , return of the jedi generates a greater sense of enjoyment . 	although it was great fun watching star wars and the empire strikes back on the big screen , return of the jedi generates a greater sense of enjoyment .	3	-3	 although[0] it[0] was[0] great[2] fun[1] watching[0] star[0] wars[-2] and[0] the[0] empire[0] strikes[0] back[0] on[0] the[0] big[0] screen[0] return[0] of[0] the[0] jedi[0] generates[0] a[0] greater[2] sense[0] of[0] enjoyment[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with the spectacular , new special effects , the adorable ewoks , the sinister jabba the hutt , the evil emperor , the same old millenium falcon , darth vader's incredible betrayal , the destruction of the new death star , and the always lovable yoda , return of the jedi concludes one of the greatest trilogies ever made with a huge bang . 	with the spectacular , new special effects , the adorable ewoks , the sinister jabba the hut , the evil emperor , the same old millenium falcon , darth vader's incredible betrayal , the destruction of the new death star , and the always lovable yoda , return of the jedi concludes one of the greatest trilogies ever made with a huge bang .	4	-4	 with[0] the[0] spectacular[0] new[0] special[1] effects[0] the[0] adorable[3] ewoks[0] the[0] sinister[-3] jabba[0] the[0] hutt/hut[0] the[0] evil[-2] emperor[0] the[0] same[0] old[0] millenium[0] falcon[0] darth[0] vader's[0] incredible[0] betrayal[-2] the[0] destruction[-1] of[0] the[0] new[0] death[-2] star[0] and[0] the[0] always[0] lovable[0] yoda[0] return[0] of[0] the[0] jedi[0] concludes[0] one[0] of[0] the[0] greatest[2] trilogies[0] ever[0] made[0] with[0] a[0] huge[0] bang[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
congratulations to george lucas , whose innovative mind entertains us now and will continue to entertain generations to come . 	congratulations to george lucas , whose innovative mind entertains us now and will continue to entertain generations to come .	3	-1	 congratulations[2] to[0] george[0] lucas[0] whose[0] innovative[0] mind[0] entertains[0] us[0] now[0] and[0] will[0] continue[0] to[0] entertain[0] generations[0] to[0] come[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 , 	 ,	1	-1	[[[0,0 max of sentences]]]
