one fun activity for parents during the holidays is to suggest an old film and see if they can interest their kids . 	Translation	Positive	Negative	EmotionRationale
although the picture can be considered as little more than a 1930's james bond , the production values and the acting raise it above that level . 	although the picture can be considered as little more than a 1930's james bond , the production values and the acting raise it above that level .	2	-1	 although[0] the[0] picture[0] can[0] be[0] considered[0] as[0] little[0] more[0] than[0] a[0] 1930's[0] james[0] bond[0] the[0] production[0] values[1] and[0] the[0] acting[0] raise[0] it[0] above[0] that[0] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robin hood is a classic story of rich and poor . 	robin hood is a classic story of rich and poor .	1	-2	 robin[0] hood[0] is[0] a[0] classic[0] story[0] of[0] rich[0] and[0] poor[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robin steals from the rich and gives to the poor as every schoolchild knows . 	robin steals from the rich and gives to the poor as every schoolchild knows .	1	-3	 robin[0] steals[-2] from[0] the[0] rich[0] and[0] gives[0] to[0] the[0] poor[-1] as[0] every[0] schoolchild[0] knows[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this movie , however , he seems much less interested in income redistribution than in fighting for his king and country . 	in this movie , however , he seems much less interested in income redistribution than in fighting for his king and country .	2	-3	 in[0] this[0] movie[0] however[0] he[0] seems[0] much[0] less[0] interested[1] in[0] income[0] redistribution[0] than[0] in[0] fighting[-2] for[0] his[0] king[0] and[0] country[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
robin , with his courage and athletic skills , serves as a role model for kids . 	robin , with his courage and athletic skills , serves as a role model for kids .	2	-1	 robin[0] with[0] his[0] courage[1] and[0] athletic[0] skills[0] serves[0] as[0] a[0] role[0] model[0] for[0] kids[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and with the lovely olivia de havilland playing the dreamy-eyed lady marian fitzswalter , the story has heavy romantic overtones . 	and with the lovely olivia de havilland playing the dreamy-eyed lady marian fitzswalter , the story has heavy romantic overtones .	4	-1	 and[0] with[0] the[0] lovely[1] olivia[0] de[0] havilland[0] playing[1] the[0] dreamy[0] eyed[0] lady[0] marian[0] fitzswalter[0] the[0] story[0] has[0] heavy[0] romantic[3] overtones[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
filmed in the typical , richly oversaturated colors produced by early technicolor , the flesh tones are overly pink and there few color subtleties , which match perfectly the wonderfully exaggerated acting of the players . 	filmed in the typical , richly oversaturated colors produced by early technicolor , the flesh tones are overly pink and there few color subtleties , which match perfectly the wonderfully exaggerated acting of the players .	3	-2	 filmed[0] in[0] the[0] typical[0] richly[0] oversaturated[0] colors[0] produced[0] by[0] early[0] technicolor[0] the[0] flesh[0] tones[0] are[0] overly[0] pink[0] and[0] there[0] few[0] color[0] subtleties[0] which[0] match[0] perfectly[1] the[0] wonderfully[2] exaggerated[-1] acting[0] of[0] the[0] players[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in scene after scene the picture charms the audience . 	in scene after scene the picture charms the audience .	2	-1	 in[0] scene[0] after[0] scene[0] the[0] picture[0] charms[1] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who wouldn't fall for robin as he shows up incognito to win the archery contest , even if the outcome is so clearly preordained . 	who wouldn't fall for robin as he shows up incognito to win the archery contest , even if the outcome is so clearly preordained .	1	-1	 who[0] wouldn't[0] fall[0] for[0] robin[0] as[0] he[0] shows[0] up[0] incognito[0] to[0] win[0] the[0] archery[0] contest[0] even[0] if[0] the[0] outcome[0] is[0] so[0] clearly[0] preordained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , of course , he doesn't just win , he does so by splitting the other man's arrow . 	and , of course , he doesn't just win , he does so by splitting the other man's arrow .	1	-1	 and[0] of[0] course[0] he[0] doesn't[0] just[0] win[0] he[0] does[0] so[0] by[0] splitting[0] the[0] other[0] man's[0] arrow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching the picture today does provide some jarring moments . 	watching the picture today does provide some jarring moments .	1	-1	 watching[0] the[0] picture[0] today[0] does[0] provide[0] some[0] jarring[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sherlock holmes as the villain , sir guy of gisbourne , for example , just doesn't seem right , even if basil rathbone did have a real-life identity outside of his most famous role . 	sherlock holmes as the villain , sir guy of gisbourne , for example , just doesn't seem right , even if basil rathbone did have a real-life identity outside of his most famous role .	1	-3	 sherlock[0] holmes[0] as[0] the[0] villain[-2] sir[0] guy[0] of[0] gisbourne[0] for[0] example[0] just[0] doesn't[0] seem[0] right[0] even[0] if[0] basil[0] rathbone[0] did[0] have[0] a[0] real[0] life[0] identity[0] outside[0] of[0] his[0] most[0] famous[0] role[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and then there are those wigs from the makeup department -- so bad , they look like rejects from a mel brooks comedy . 	and then there are those wigs from the makeup department - so bad , they look like rejects from a mel brooks comedy .	2	-2	 and[0] then[0] there[0] are[0] those[0] wigs[0] from[0] the[0] makeup[0] department[0] so[0] bad[-1] they[0] look[0] like[1] rejects[-1] from[0] a[0] mel[0] brooks[0] comedy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as was popular in the cinema of that era , people die with the most gentle prick of the sword and without any nasty , bloody holes to spoil the wardrobe or the looks . 	as was popular in the cinema of that era , people die with the most gentle prick of the sword and without any nasty , bloody holes to spoil the wardrobe or the looks .	2	-3	 as[0] was[0] popular[0] in[0] the[0] cinema[0] of[0] that[0] era[0] people[0] die[0] with[0] the[0] most[0] gentle[1] prick[-2] of[0] the[0] sword[0] and[0] without[0] any[0] nasty[-2] bloody[-1] holes[0] to[0] spoil[-1] the[0] wardrobe[0] or[0] the[0] looks[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bad guys are banished rather than killed , and lovers go off hand-in-hand , doing nothing more explicitly sexual than kissing . 	bad guys are banished rather than killed , and lovers go off hand-in-hand , doing nothing more explicitly sexual than kissing .	4	-4	 bad[-1] guys[0] are[0] banished[-1] rather[0] than[0] killed[-3] and[0] lovers[3] go[0] off[0] hand[0] in[0] hand[0] doing[0] nothing[0] more[0] explicitly[0] sexual[0] than[0] kissing[2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the result is a wonderful fairy tale of a movie with delightful , cartoonish figures . 	the result is a wonderful fairy tale of a movie with delightful , cartoonish figures .	3	-1	 the[0] result[0] is[0] a[0] wonderful[2] fairy[0] tale[0] of[0] a[0] movie[0] with[0] delightful[2] cartoonish[0] figures[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hollywood rarely makes such high quality family films like this anymore , so try to savor the old ones when you can . 	hollywood rarely makes such high quality family films like this anymore , so try to savor the old ones when you can .	2	-1	 hollywood[0] rarely[0] makes[0] such[0] high[0] quality[0] family[0] films[0] like[1] this[0] anymore[0] so[0] try[0] to[0] savor[0] the[0] old[0] ones[0] when[0] you[0] can[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the adventures of robin hood runs 1 : 42 . 	the adventures of robin hood runs 1 : 42 .	1	-1	 the[0] adventures[0] of[0] robin[0] hood[0] runs[0] 1[0] 42[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not rated , but containing absolutely nothing offensive , it would get a g rating and is fine for all ages . 	it is not rated , but containing absolutely nothing offensive , it would get a grin� rating and is fine for all ages .	3	-3	 it[0] is[0] not[0] rated[0] but[0] containing[0] absolutely[0] nothing[0] offensive[-2] it[0] would[0] get[0] a[0] g[0] rating[0] and[0] is[0] fine[2] for[0] all[0] ages[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jeffrey thinks the film is " great " and gives it * * * * . 	jeffrey thinks the film is " great " and gives it * * * * .	3	-1	 jeffrey[0] thinks[0] the[0] film[0] is[0] great[2] and[0] gives[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he recommends the movie particularly for people who do not likely bloody pictures -- he hates the sight of blood in movies . 	he recommends the movie particularly for people who do not likely bloody pictures - he hates the sight of blood in movies .	2	-4	 he[0] recommends[0] the[0] movie[0] particularly[0] for[0] people[0] who[0] do[0] not[0] likely[0] bloody[-1][NegatedDueToPreviousWord] pictures[0] he[0] hates[-3] the[0] sight[0] of[0] blood[0] in[0] movies[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his favorite parts are the battles and the ending , and his favorite characters are robin and king richard ( ian hunter ) . 	his favorite parts are the battles and the ending , and his favorite characters are robin and king richard ( ian hunter ) .	2	-2	 his[0] favorite[1] parts[0] are[0] the[0] battles[-1] and[0] the[0] ending[0] and[0] his[0] favorite[1] characters[0] are[0] robin[0] and[0] king[0] richard[0] ian[0] hunter[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
