the dramatic comedy cousins has all the necessary ingredients : a witty and whimsical script , inspired performances , a great sense of humor , a large and wonderful cast , and the beautiful scenery of vancouver . 	Translation	Positive	Negative	EmotionRationale
as maria , isabella rossellini is a joy to watch ; she is shy , sensuous , and immensely alluring . 	as maria , isabella rossellini is a joy to watch ; she is shy , sensuous , and immensely alluring .	3	-3	 as[0] maria[0] isabella[0] rossellini[0] is[0] a[0] joy[2] to[0] watch[0] she[0] is[0] shy[-2] sensuous[0] and[0] immensely[0] alluring[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sean young is perfectly cast as larry's picture perfect wife , tish , a superficial and trendy make-up consultant . 	sean young is perfectly cast as larry's picture perfect wife , tish , a superficial and trendy make-up consultant .	2	-2	 sean[0] young[0] is[0] perfectly[1] cast[0] as[0] larry's[0] picture[0] perfect[1] wife[0] tish[0] a[0] superficial[-1] and[0] trendy[0] make[0] up[0] consultant[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
keith coogan , from adventures in babysitting , is wonderfully weird and eccentric as larry's rebellious son , mitch . 	keith coogan , from adventures in babysitting , is wonderfully weird and eccentric as larry's rebellious son , mitch .	3	-2	 keith[0] coogan[0] from[0] adventures[0] in[0] babysitting[0] is[0] wonderfully[2] weird[-1] and[0] eccentric[-1] as[0] larry's[0] rebellious[-1] son[0] mitch[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and finally , lloyd bridges in a tour de force performance is mitch's rambunctious grandfather ; he provides some of cousins' best lines and laughs . 	and finally , lloyd bridges in a tour de force performance is mitch's rambunctious grandfather ; he provides some of cousins' best lines and laughs .	2	-2	 and[0] finally[0] lloyd[0] bridges[0] in[0] a[0] tour[0] de[0] force[-1] performance[0] is[0] mitch's[0] rambunctious[0] grandfather[0] he[0] provides[0] some[0] of[0] cousins'[0] best[1] lines[0] and[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like moonstruck , cousins is a mix of drama and comedy . 	like moonstruck , cousins is a mix of drama and comedy .	2	-1	 like[1] moonstruck[0] cousins[0] is[0] a[0] mix[0] of[0] drama[0] and[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is larger than life and has a keen sense of the absurd . 	the film is larger than life and has a keen sense of the absurd .	1	-2	 the[0] film[0] is[0] larger[0] than[0] life[0] and[0] has[0] a[0] keen[0] sense[0] of[0] the[0] absurd[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it understands human nature extremely well and milks it for every possible laugh and heart-tug . 	it understands human nature extremely well and milks it for every possible laugh and heart-tug .	2	-1	 it[0] understands[0] human[0] nature[0] extremely[0] well[0] and[0] milks[0] it[0] for[0] every[0] possible[0] laugh[1] and[0] heart[0] tug[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how often do you see a movie where you believe that two characters truly and sincerely care for and love each other , as friends and as lovers ? 	how often do you see a movie where you believe that two characters truly and sincerely care for and love each other , as friends and as lovers ?	4	-1	 how[0] often[0] do[0] you[0] see[0] a[0] movie[0] where[0] you[0] believe[0] that[0] two[0] characters[0] truly[1] and[0] sincerely[0] care[1] for[0] and[0] love[2] each[0] other[0] as[0] friends[1] and[0] as[0] lovers[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
well , to its credit , cousins is just such a movie . 	well , to its credit , cousins is just such a movie .	1	-1	 well[0] to[0] its[0] credit[0] cousins[0] is[0] just[0] such[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's hope the french continue to provide us with the inspiration to make films like cousins 	let's hope the french continue to provide us with the inspiration to make films like cousins	3	-1	 let's[0] hope[2] the[0] french[0] continue[0] to[0] provide[0] us[0] with[0] the[0] inspiration[2] to[0] make[0] films[0] like[1] cousins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
