i love this movie , and i've just seen for the umptenth time . 	Translation	Positive	Negative	EmotionRationale
noboyd claims that kathy is their mistress , the four guys call her their 'companion' . 	noboyd claims that kathy is their mistress , the four guys call her their 'companion' .	1	-1	 noboyd[0] claims[0] that[0] kathy[0] is[0] their[0] mistress[0] the[0] four[0] guys[0] call[0] her[0] their[0] 'companion'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the censorship board here in sweden considered it to be suitable only for people above 15 years , but that only shows how long ago 1962 was . 	the censorship board here in sweden considered it to be suitable only for people above 15 years , but that only shows how long ago 1962 was .	1	-2	 the[0] censorship[-1] board[0] here[0] in[0] sweden[0] considered[0] it[0] to[0] be[0] suitable[0] only[0] for[0] people[0] above[0] 15[0] years[0] but[0] that[0] only[0] shows[0] how[0] long[0] ago[0] 1962[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
small children could watch this without being corrupted . 	small children could watch this without being corrupted .	1	-3	 small[0] children[0] could[0] watch[0] this[0] without[0] being[0] corrupted[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kim novak is as lovely as always in this movie , even if she seems to be a bit too old for a student . 	kim novak is as lovely as always in this movie , even if she seems to be a bit too old for a student .	2	-1	 kim[0] novak[0] is[0] as[0] lovely[1] as[0] always[0] in[0] this[0] movie[0] even[0] if[0] she[0] seems[0] to[0] be[0] a[0] bit[0] too[0] old[0] for[0] a[0] student[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
james garner is the playboy just like in many other movies . 	james garner is the playboy just like in many other movies .	1	-1	 james[0] garner[0] is[0] the[0] playboy[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] many[0] other[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i liked howard morris the best as howard the accountant who has to diet to support his wife . 	i liked howard morris the best as howard the accountant who has to diet to support his wife .	3	-1	 i[0] liked[2] howard[0] morris[0] the[0] best[1] as[0] howard[0] the[0] accountant[0] who[0] has[0] to[0] diet[0] to[0] support[1] his[0] wife[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tony randall is funny as always . 	tony randall is funny as always .	2	-1	 tony[0] randall[0] is[0] funny[1] as[0] always[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1962 was more than 35 years ago . 	1962 was more than 35 years ago .	1	-1	 1962[0] was[0] more[0] than[0] 35[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how many accountants , copywriters or investment bankers can today afford to live in a house in the suburb with a lot of kids and a wife who does not work ? 	how many accountants , copywriters or investment bankers can today afford to live in a house in the suburb with a lot of kids and a wife who does not work ?	1	-1	 how[0] many[0] accountants[0] copywriters[0] or[0] investment[0] bankers[0] can[0] today[0] afford[0] to[0] live[0] in[0] a[0] house[0] in[0] the[0] suburb[0] with[0] a[0] lot[0] of[0] kids[0] and[0] a[0] wife[0] who[0] does[0] not[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the white middle class , i can't remember that i saw any blacks on the commuter train they use . 	this is the white middle class , i can't remember that i saw any blacks on the commuter train they use .	1	-1	 this[0] is[0] the[0] white[0] middle[0] class[0] i[0] can't[0] remember[0] that[0] i[0] saw[0] any[0] blacks[0] on[0] the[0] commuter[0] train[0] they[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are the people who can count on their kids to live an even better life than themselves . 	these are the people who can count on their kids to live an even better life than themselves .	1	-1	 these[0] are[0] the[0] people[0] who[0] can[0] count[0] on[0] their[0] kids[0] to[0] live[0] an[0] even[0] better[0] life[0] than[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps this should also be a subject for a thesis in movie sociology ? 	perhaps this should also be a subject for a thesis in movie sociology ?	1	-1	 perhaps[0] this[0] should[0] also[0] be[0] a[0] subject[0] for[0] a[0] thesis[0] in[0] movie[0] sociology[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
