as i walked out of crouching tiger , hidden dragon i thought to myself that i had had just seen a great film . 	Translation	Positive	Negative	EmotionRationale
the paradox of oriental restraint existing side by side with all consuming passion in the same breast is projected effectively . 	the paradox of oriental restraint existing side by side with all consuming passion in the same breast is projected effectively .	3	-1	 the[0] paradox[0] of[0] oriental[0] restraint[0] existing[0] side[0] by[0] side[0] with[0] all[0] consuming[0] passion[2] in[0] the[0] same[0] breast[0] is[0] projected[0] effectively[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fight scenes are stunning balletic tours-de-force , not to be taken literally but clearly to be enjoyed as superb cinematic art , as are the prodigious leaps and flights to , from and between rooftops , the martial combat at the top of swaying bamboo branches and the combatants skipping like pebbles along the surface of a lake . 	the fight scenes are stunning balletic tours-de-force , not to be taken literally but clearly to be enjoyed as superb cinematic art , as are the prodigious leaps and flights to , from and between rooftops , the martial combat at the top of swaying bamboo branches and the combatants skipping like pebbles along the surface of a lake .	3	-3	 the[0] fight[-2] scenes[0] are[0] stunning[0] balletic[0] tours[0] de[0] force[-1] not[0] to[0] be[0] taken[0] literally[0] but[0] clearly[0] to[0] be[0] enjoyed[2] as[0] superb[0] cinematic[0] art[0] as[0] are[0] the[0] prodigious[0] leaps[0] and[0] flights[0] to[0] from[0] and[0] between[0] rooftops[0] the[0] martial[0] combat[-1] at[0] the[0] top[0] of[0] swaying[0] bamboo[0] branches[0] and[0] the[0] combatants[-1] skipping[0] like[1] pebbles[0] along[0] the[0] surface[0] of[0] a[0] lake[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there need be no question of suspended disbelief when one is in the presence of poetry . 	there need be no question of suspended disbelief when one is in the presence of poetry .	1	-2	 there[0] need[0] be[0] no[0] question[0] of[0] suspended[0] disbelief[-1] when[0] one[0] is[0] in[0] the[0] presence[0] of[0] poetry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as in a wagnerian opera there is a substantial story line , which takes place at an ordinary human level , yet the entire project is to be accepted as a work of art rooted in fantasy . 	as in a wagnerian opera there is a substantial story line , which takes place at an ordinary human level , yet the entire project is to be accepted as a work of art rooted in fantasy .	1	-1	 as[0] in[0] a[0] wagnerian[0] opera[0] there[0] is[0] a[0] substantial[0] story[0] line[0] which[0] takes[0] place[0] at[0] an[0] ordinary[0] human[0] level[0] yet[0] the[0] entire[0] project[0] is[0] to[0] be[0] accepted[0] as[0] a[0] work[0] of[0] art[0] rooted[0] in[0] fantasy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do not assume , however , that the art is limp-wristed . 	do not assume , however , that the art is limp-wristed .	1	-2	 do[0] not[0] assume[0] however[0] that[0] the[0] art[0] is[0] limp[-1] wristed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those who are put off by the " art " label this film can be confidently recommended as engrossing entertainment at the levels of adventure , action and romance . 	for those who are put off by the " art " label this film can be confidently recommended as engrossing entertainment at the levels of adventure , action and romance .	4	-1	 for[0] those[0] who[0] are[0] put[0] off[0] by[0] the[0] art[0] label[0] this[0] film[0] can[0] be[0] confidently[1] recommended[0] as[0] engrossing[0] entertainment[0] at[0] the[0] levels[0] of[0] adventure[0] action[0] and[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there are no weak performances in this movie . 	there are no weak performances in this movie .	1	-2	 there[0] are[0] no[0] weak[-1] performances[0] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michelle yeoh imbues her character with depth , humanity and wisdom . 	michelle yeoh imbues her character with depth , humanity and wisdom .	1	-1	 michelle[0] yeoh[0] imbues[0] her[0] character[0] with[0] depth[0] humanity[0] and[0] wisdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chow yon fat projects dignity and purity of heart . 	chow yon fat projects dignity and purity of heart .	2	-2	 chow[0] yon[0] fat[-1] projects[0] dignity[1] and[0] purity[0] of[0] heart[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
zhang ziyi is a budding superstar . 	zhang ziyi is a budding superstar .	1	-1	 zhang[0] ziyi[0] is[0] a[0] budding[0] superstar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is radiantly beautiful and totally persuasive in a multifaceted role . 	she is radiantly beautiful and totally persuasive in a multifaceted role .	4	-1	 she[0] is[0] radiantly[2] beautiful[2][+1 MultiplePositiveWords] and[0] totally[0] persuasive[0] in[0] a[0] multifaceted[0] role[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
cheng pei pei as the evil master and chang cheng as the bandit prince acquit themselves admirably . 	cheng pei pei as the evil master and chang cheng as the bandit prince acquit themselves admirably .	3	-3	 cheng[0] pei[0] pei[0] as[0] the[0] evil[-2] master[0] and[0] chang[0] cheng[0] as[0] the[0] bandit[-1] prince[0] acquit[0] themselves[0] admirably[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kudos to screenwriters james schamus , wang hui ling and tsai kuo jing , choreographer yuen wo-ping , photography director peter pau and music director tan dun , each of which contribute quality components to this extraordinary film . 	kudos to screenwriters james schamus , wang hui ling and tsai kuo jing , choreographer yuen wo-ping , photography director peter pau and music director tan dun , each of which contribute quality components to this extraordinary film .	1	-3	 kudos[0] to[0] screenwriters[0] james[0] schamus[0] wang[0] hui[0] ling[0] and[0] tsai[0] kuo[0] jing[0] choreographer[-2] yuen[0] wo[0] ping[0] photography[0] director[0] peter[0] pau[0] and[0] music[0] director[0] tan[0] dun[0] each[0] of[0] which[0] contribute[0] quality[0] components[0] to[0] this[0] extraordinary[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ang lee as the director , co-producer and mastermind of the project gets the lion share of the credit . 	ang lee as the director , co-producer and mastermind of the project gets the lion share of the credit .	1	-1	 ang[0] lee[0] as[0] the[0] director[0] co[0] producer[0] and[0] mastermind[0] of[0] the[0] project[0] gets[0] the[0] lion[0] share[0] of[0] the[0] credit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is destined to be one of those films that everybody likes , including those who hate martial arts movies . 	this is destined to be one of those films that everybody likes , including those who hate martial arts movies .	3	-4	 this[0] is[0] destined[0] to[0] be[0] one[0] of[0] those[0] films[0] that[0] everybody[0] likes[2] including[0] those[0] who[0] hate[-3] martial[0] arts[0] movies[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
don't miss it . 	don't miss it .	2	-1	 don't[0] miss[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
