billed as a " feminist sex fantasy " , this spirited , imaginative and thoroughly engaging film by the award-winning canadian director cynthia roberts , is destined for extreme reactions . 	Translation	Positive	Negative	EmotionRationale
making her dramatic debut , after appearing in over 300 triple x adult films , porn star nina hartley takes command of her role with considerable assurance and a screen presence which puts many other contemporary 'straight' actresses to shame . 	making her dramatic debut , after appearing in over 300 triple x adult films , porn star nina hartley takes command of her role with considerable assurance and a screen presence which puts many other contemporary 'straight' actresses to shame .	2	-3	 making[0] her[0] dramatic[0] debut[0] after[0] appearing[0] in[0] over[0] 300[0] triple[0] x[1] adult[0] films[0] porn[0] star[0] nina[0] hartley[0] takes[0] command[0] of[0] her[0] role[0] with[0] considerable[0] assurance[0] and[0] a[0] screen[0] presence[0] which[0] puts[0] many[0] other[0] contemporary[0] 'straight'[0] actresses[0] to[0] shame[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hartley has overwhelming star power , and one wonders why other non-triple-x producers haven't used her bountiful talents . 	hartley has overwhelming star power , and one wonders why other non-triple-x producers haven't used her bountiful talents .	2	-3	 hartley[0] has[0] overwhelming[-2] star[0] power[0] and[0] one[0] wonders[0] why[0] other[0] non[0] triple[0] x[1] producers[0] haven't[0] used[0] her[0] bountiful[1] talents[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is also interesting to note that hartley appears in the recent release of " boogie nights " , a film which takes a far more traditional doom-and-gloom approach to the porn industry . 	it is also interesting to note that hartley appears in the recent release of " boogie nights " , a film which takes a far more traditional doom-and-gloom approach to the porn industry .	2	-3	 it[0] is[0] also[0] interesting[1] to[0] note[0] that[0] hartley[0] appears[0] in[0] the[0] recent[0] release[0] of[0] boogie[0] nights[0] a[0] film[0] which[0] takes[0] a[0] far[0] more[0] traditional[0] doom[-1] and[0] gloom[-2] approach[0] to[0] the[0] porn[0] industry[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
making a cameo appearance in the role of god , former porn actress annie sprinkle , a true artist in her own right - gives the entire film an earthy , sensual glow and certainly solidifies and , by her very appearance , downright justifies the themes of the movie . 	making a cameo appearance in the role of god , former porn actress annie sprinkle , a true artist in her own right - gives the entire film an earthy , sensual glow and certainly solidifies and , by her very appearance , downright justifies the themes of the movie .	2	-1	 making[0] a[0] cameo[0] appearance[0] in[0] the[0] role[0] of[0] god[0] former[0] porn[0] actress[0] annie[0] sprinkle[0] a[0] true[1] artist[0] in[0] her[0] own[0] right[0] gives[0] the[0] entire[0] film[0] an[0] earthy[0] sensual[0] glow[0] and[0] certainly[0] solidifies[0] and[0] by[0] her[0] very[0] appearance[0] downright[0] justifies[0] the[0] themes[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other performances are equally solid . 	the other performances are equally solid .	1	-1	 the[0] other[0] performances[0] are[0] equally[0] solid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
daniel macivor appropriately chews up the scenery as the villainous godfrey and tracy wright lends able support with her complex role . 	daniel macivor appropriately chews up the scenery as the villainous godfrey and tracy wright lends able support with her complex role .	2	-3	 daniel[0] macivor[0] appropriately[0] chews[0] up[0] the[0] scenery[0] as[0] the[0] villainous[-2] godfrey[0] and[0] tracy[0] wright[0] lends[0] able[0] support[1] with[0] her[0] complex[0] role[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
shauny sexton , an erotic dancer and pin-up model , makes an impressive screen debut . 	shauny sexton , an erotic dancer and pin-up model , makes an impressive screen debut .	2	-1	 shauny[0] sexton[0] an[0] erotic[0] dancer[0] and[0] pin[0] up[0] model[0] makes[0] an[0] impressive[1] screen[0] debut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , bubbles galore is a film which wears its politics on its sleeve and very proudly indeed . 	overall , bubbles galore is a film which wears its politics on its sleeve and very proudly indeed .	3	-1	 overall[0] bubbles[0] galore[0] is[0] a[0] film[0] which[0] wears[0] its[0] politics[0] on[0] its[0] sleeve[0] and[0] very[0] proudly[1][1 LastWordBoosterStrength] indeed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at one point , the title character declares that " instead of trying to save women from the sex trade , we should be working to ensure that the sex trade is a safe place for women to work " . 	at one point , the title character declares that " instead of trying to save women from the sex trade , we should be working to ensure that the sex trade is a safe place for women to work " .	2	-1	 at[0] one[0] point[0] the[0] title[0] character[0] declares[0] that[0] instead[0] of[0] trying[0] to[0] save[1] women[0] from[0] the[0] sex[0] trade[0] we[0] should[0] be[0] working[0] to[0] ensure[0] that[0] the[0] sex[0] trade[0] is[0] a[0] safe[1] place[0] for[0] women[0] to[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the direction by cynthia roberts is daring and subversive . 	the direction by cynthia roberts is daring and subversive .	1	-1	 the[0] direction[0] by[0] cynthia[0] roberts[0] is[0] daring[0] and[0] subversive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roberts is not afraid to plunge the otherwise straight-ahead and simple narrative into extended and extremely avant-garde montage sequences . 	roberts is not afraid to plunge the otherwise straight-ahead and simple narrative into extended and extremely avant-garde montage sequences .	4	-1	 roberts[0] is[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] plunge[0] the[0] otherwise[0] straight[0] ahead[0] and[0] simple[0] narrative[0] into[0] extended[0] and[0] extremely[0] avant[0] garde[0] montage[0] sequences[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the love scenes between the women are especially beautiful . 	the love scenes between the women are especially beautiful .	4	-1	 the[0] love[2] scenes[0] between[0] the[0] women[0] are[0] especially[0] beautiful[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the musical score by nicholas stirling blends cool jazz and lounge stylings , while the skilful cinematography by harald bachmann terrifically captures a blend of garish 70's porn and psychedelia . 	the musical score by nicholas stirling blends cool jaz and lounge stylings , while the skilful cinematography by harald bachman terrifically captures a blend of garish 70's porn and psychedelia .	4	-2	 the[0] musical[0] score[0] by[0] nicholas[0] stirling[0] blends[0] cool[1] jazz/jaz[0] and[0] lounge[0] stylings[0] while[0] the[0] skilful[0] cinematography[0] by[0] harald[0] bachmann/bachman[0] terrifically[3] captures[-1] a[0] blend[0] of[0] garish[0] 70's[0] porn[0] and[0] psychedelia[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
amazingly , this film appears to have received a good deal of its funding from a variety of canadian government cultural agencies . 	amazingly , this film appears to have received a good deal of its funding from a variety of canadian government cultural agencies .	3	-1	 amazingly[2] this[0] film[0] appears[0] to[0] have[0] received[0] a[0] good[1] deal[0] of[0] its[0] funding[0] from[0] a[0] variety[0] of[0] canadian[0] government[0] cultural[0] agencies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this speaks volumes towards the importance of state funding for culture , as one cannot imagine such an entertaining , original and vital film being made in a traditional setting where conformity and formula rule the day . 	this speaks volumes towards the importance of state funding for culture , as one cannot imagine such an entertaining , original and vital film being made in a traditional setting where conformity and formula rule the day .	1	-1	 this[0] speaks[0] volumes[0] towards[0] the[0] importance[0] of[0] state[0] funding[0] for[0] culture[0] as[0] one[0] cannot[0] imagine[0] such[0] an[0] entertaining[0] original[0] and[0] vital[0] film[0] being[0] made[0] in[0] a[0] traditional[0] setting[0] where[0] conformity[0] and[0] formula[0] rule[0] the[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bubbles galore seems to be making the film festival rounds and does not , at present , appear to have any traditional distribution in place , so keep your eye on the alternative film listings for this one . 	bubbles galore seems to be making the film festival rounds and does not , at present , appear to have any traditional distribution in place , so keep your eye on the alternative film listings for this one .	1	-1	 bubbles[0] galore[0] seems[0] to[0] be[0] making[0] the[0] film[0] festival[0] rounds[0] and[0] does[0] not[0] at[0] present[0] appear[0] to[0] have[0] any[0] traditional[0] distribution[0] in[0] place[0] so[0] keep[0] your[0] eye[0] on[0] the[0] alternative[0] film[0] listings[0] for[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's funny , sexy and subversive . 	it's funny , sexy and subversive .	3	-1	 it's[0] funny[1] sexy[2] and[0] subversive[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it shouldn't be missed . 	and it shouldn't be missed .	1	-2	 and[0] it[0] shouldn't[0] be[0] missed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
