ingredients : starving artist lusting after a beautiful woman from his childhood 	Translation	Positive	Negative	EmotionRationale
this causes estella to 'fear the daylight' of relationships , but finn thinks it's just a case of snobbery . 	this causes estella to 'fear the daylight' of relationships , but fin thinks it's just a case of snobbery .	1	-3	 this[0] causes[0] estella[0] to[0] 'fear[0] the[0] daylight'[0] of[0] relationships[0] but[0] finn/fin[0] thinks[0] it's[0] just[0] a[0] case[0] of[0] snobbery[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when finn becomes a young man , an anonymous benefactor sets finn up in new york with the connections and publicity to be groomed into a famous artist . 	when fin becomes a young man , an anonymous benefactor sets fin up in new york with the connections and publicity to be groomed into a famous artist .	1	-1	 when[0] finn/fin[0] becomes[0] a[0] young[0] man[0] an[0] anonymous[0] benefactor[0] sets[0] finn/fin[0] up[0] in[0] new[0] york[0] with[0] the[0] connections[0] and[0] publicity[0] to[0] be[0] groomed[0] into[0] a[0] famous[0] artist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finn leaves florida with " great expectations " to be a successful artist so that some day he might become classy enough to marry the snobbish estella . 	fin leaves florida with " great expectations " to be a successful artist so that some day he might become classy enough to marry the snobbish estella .	3	-3	 finn/fin[0] leaves[0] florida[0] with[0] great[2] expectations[0] to[0] be[0] a[0] successful[2] artist[0] so[0] that[0] some[0] day[0] he[0] might[0] become[0] classy[0] enough[0] to[0] marry[0] the[0] snobbish[-2] estella[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what will happen to all of finn's " great expectations ? " 	what will happen to all of finn's " great expectations ?<br> "	3	-1	 what[0] will[0] happen[0] to[0] all[0] of[0] finn's[0] great[2] expectations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
opinion : if you're looking for a romance with a happy ending , look no further ; you've found one here . 	opinion : if you're looking for a romance with a happy ending , look no further ; you've found one here .	4	-1	 opinion[0] if[0] you're[0] looking[0] for[0] a[0] romance[3] with[0] a[0] happy[1] ending[0] look[0] no[0] further[0] you've[0] found[0] one[0] here[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
ethan hawke is romantic lead . 	ethan hawke is romantic lead .	4	-1	 ethan[0] hawke[0] is[0] romantic[3] lead[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 ( he romanced winona ryder in reality bites . 	 ( he romanced winona ryder in reality bites .	4	-1	 he[0] romanced[3] winona[0] ryder[0] in[0] reality[0] bites[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he romanced julie delpy in before sunrise . 	he romanced julie delpy in before sunrise .	4	-1	 he[0] romanced[3] julie[0] delpy[0] in[0] before[0] sunrise[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he romanced uma thurman in gattaca . 	he romanced uma thurman in gattaca .	4	-1	 he[0] romanced[3] uma[0] thurman[0] in[0] gattaca[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
now in great expectations he gets to chase gwyneth paltrow , a rail-thin blonde . ) 	now in great expectations he gets to chase gwyneth paltrow , a rail-thin blonde .<br> )	3	-2	 now[0] in[0] great[2] expectations[0] he[0] gets[0] to[0] chase[-1] gwyneth[0] paltrow[0] a[0] rail[0] thin[0] blonde[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hawke plays a lovestruck , earnest and unchanged finn throughout the film . 	hawke plays a lovestruck , earnest and unchanged fin throughout the film .	2	-1	 hawke[0] plays[1] a[0] lovestruck[0] earnest[0] and[0] unchanged[0] finn/fin[0] throughout[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile paltrow portrays estella as alternating between infuriating tease and ice princess ; estella's whole purpose is to get men to fall in love and then hurt them rather than become intimate . 	meanwhile paltrow portrays estella as alternating between infuriating tease and ice princess ; estella's whole purpose is to get men to fall in love and then hurt them rather than become intimate .	3	-3	 meanwhile[0] paltrow[0] portrays[0] estella[0] as[0] alternating[0] between[0] infuriating[0] tease[-1] and[0] ice[0] princess[0] estella's[0] whole[0] purpose[0] is[0] to[0] get[0] men[0] to[0] fall[0] in[0] love[2] and[0] then[0] hurt[-2] them[0] rather[0] than[0] become[0] intimate[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
anne bancroft goes a little overboard as the deranged and pessimistic ms . dinsmoor , while robert de niro carries off the convict part suitably . 	anne bancroft goes a little overboard as the deranged and pessimistic ms .<br> dinsmoor , while robert de niro carries off the convict part suitably .	1	-3	 anne[0] bancroft[0] goes[0] a[0] little[0] overboard[0] as[0] the[0] deranged[0] and[0] pessimistic[-2] ms[0] [[Sentence=-3,1=word max, 1-5]] dinsmoor[0] while[0] robert[0] de[0] niro[0] carries[0] off[0] the[0] convict[-1] part[0] suitably[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
the difference between the classic dickens novel and this 1998 adaptation is that the dickens novel is ripe with deep and timeless themes about class struggle and love , whereas great expectations ( 1998 ) is more artsy , less complicated story about a 1990s artist dealing with a lifetime tease . 	the difference between the classic dickens novel and this 1998 adaptation is that the dickens novel is ripe with deep and timeless themes about class struggle and love , whereas great expectations ( 1998 ) is more artsy , less complicated story about a 1990s artist dealing with a lifetime tease .	3	-2	 the[0] difference[0] between[0] the[0] classic[0] dickens[0] novel[0] and[0] this[0] 1998[0] adaptation[0] is[0] that[0] the[0] dickens[0] novel[0] is[0] ripe[0] with[0] deep[0] and[0] timeless[0] themes[0] about[0] class[0] struggle[-1] and[0] love[2] whereas[0] great[2] expectations[0] 1998[0] is[0] more[0] artsy[0] less[0] complicated[-1] story[0] about[0] a[0] 1990s[0] artist[0] dealing[0] with[0] a[0] lifetime[0] tease[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
