warren beatty's " bulworth " is a caustic political comedy that doesn't attack any particular political group , but rather the ingrained insincerity that has infected the american political system . 	Translation	Positive	Negative	EmotionRationale
at a compton church , he tells the group of african-americans that they will have no power in the u . s . unless they " put down that malt liquor and chicken wings , and get behind somebody other than a running back who stabs his wife . " 	at a compton church , he tells the group of african-americans that they will have no power in the you .<br> s .<br> unless they " put down that malt liquor and chicken wings , and get behind somebody other than a running back who stabs his wife .<br> "	1	-2	 at[0] a[0] compton[0] church[0] he[0] tells[0] the[0] group[0] of[0] african[0] americans[0] that[0] they[0] will[0] have[0] no[0] power[0] in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] unless[0] they[0] put[0] down[0] that[0] malt[0] liquor[0] and[0] chicken[0] wings[0] and[0] get[0] behind[0] somebody[0] other[0] than[0] a[0] running[0] back[0] who[0] stabs[-1] his[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later , in a particularly hilarious sequence , bulworth mixes with the hollywood elite , then insults the quality of their movies and informs them that the only reason he's there is because " my guys always put the big jews on my schedule . " 	later , in a particularly hilarious sequence , bulworth mixes with the hollywood elite , then insults the quality of their movies and informs them that the only reason he's there is because " my guys always put the big jews on my schedule .<br> "	3	-3	 later[0] in[0] a[0] particularly[0] hilarious[2] sequence[0] bulworth[0] mixes[0] with[0] the[0] hollywood[0] elite[0] then[0] insults[-2] the[0] quality[0] of[0] their[0] movies[0] and[0] informs[0] them[0] that[0] the[0] only[0] reason[0] he's[0] there[0] is[0] because[0] my[0] guys[0] always[0] put[0] the[0] big[0] jews[0] on[0] my[0] schedule[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
all throughout this physically and politically suicidal escapade , bulworth's chief of staff , dennis murphy ( oliver platt ) , follows behind in a state of constant shock and bewilderment . 	all throughout this physically and politically suicidal escapade , bulworth's chief of staff , dennis murphy ( oliver platt ) , follows behind in a state of constant shock and bewilderment .	1	-3	 all[0] throughout[0] this[0] physically[0] and[0] politically[0] suicidal[0] escapade[0] bulworth's[0] chief[0] of[0] staff[0] dennis[0] murphy[0] oliver[0] platt[0] follows[0] behind[0] in[0] a[0] state[0] of[0] constant[0] shock[-2] and[0] bewilderment[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
platt has some of the movie's funniest scenes , as he makes murphy into a politically savvy but nonetheless clueless assistant who is forced to watch his own career teeter at the brink of being flushed down the toilet . 	platt has some of the movie's funniest scenes , as he makes murphy into a politically savy but nonetheless clueless assistant who is forced to watch his own career teeter at the brink of being flushed down the toilet .	2	-1	 platt[0] has[0] some[0] of[0] the[0] movie's[0] funniest[1] scenes[0] as[0] he[0] makes[0] murphy[0] into[0] a[0] politically[0] savvy/savy[0] but[0] nonetheless[0] clueless[0] assistant[0] who[0] is[0] forced[0] to[0] watch[0] his[0] own[0] career[0] teeter[0] at[0] the[0] brink[0] of[0] being[0] flushed[0] down[0] the[0] toilet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his constant half-truth-telling and spin-doctoring to cover bulworth's stampede is equaled in its perversion only by a self-righteous reporter ( nora dunn ) who acts like murphy's refusal to explain bulworth's actions ( something he really cannot do ) is somehow an act of treason . 	his constant half-truth-telling and spin-doctoring to cover bulworth's stampede is equaled in its perversion only by a self-righteous reporter ( nora dun ) who acts like murphy's refusal to explain bulworth's actions ( something he really cannot do ) is somehow an act of treason .	2	-3	 his[0] constant[0] half[0] truth[1] telling[0] and[0] spin[0] doctoring[0] to[0] cover[0] bulworth's[0] stampede[0] is[0] equaled[0] in[0] its[0] perversion[-1] only[0] by[0] a[0] self[0] righteous[0] reporter[0] nora[0] dunn/dun[0] who[0] acts[0] like[1] murphy's[0] refusal[-1] to[0] explain[0] bulworth's[0] actions[0] something[0] he[0] really[0] cannot[0] do[0] is[0] somehow[0] an[0] act[0] of[0] treason[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when bulworth decides he wants to live after all , and therefore must constantly evade a grim-looking assassin to be who's trailing him at every turn , he hides out in the ghetto , complete with a stereotypical gangsta wardrobe which he wears to one of his television interviews . 	when bulworth decides he wants to live after all , and therefore must constantly evade a grim-looking assassin to be who's trailing him at every turn , he hides out in the ghetto , complete with a stereotypical gangsta wardrobe which he wears to one of his television interviews .	1	-3	 when[0] bulworth[0] decides[0] he[0] wants[0] to[0] live[0] after[0] all[0] and[0] therefore[0] must[0] constantly[0] evade[-1] a[0] grim[-2] looking[0] assassin[-2] to[0] be[0] who's[0] trailing[0] him[0] at[0] every[0] turn[0] he[0] hides[0] out[0] in[0] the[0] ghetto[-1] complete[0] with[0] a[0] stereotypical[0] gangsta[0] wardrobe[0] which[0] he[0] wears[0] to[0] one[0] of[0] his[0] television[0] interviews[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at this point , beatty abandons much of the political aspect and dives into a cartoonish exploration of the black inner-city experience . 	at this point , beatty abandons much of the political aspect and dives into a cartoonish exploration of the black inner-city experience .	1	-2	 at[0] this[0] point[0] beatty[0] abandons[-1] much[0] of[0] the[0] political[0] aspect[0] and[0] dives[0] into[0] a[0] cartoonish[0] exploration[0] of[0] the[0] black[0] inner[0] city[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bulworth becomes friendly with a young black woman named nina ( halle berry ) , who he meets at the harlem church rally . 	bulworth becomes friendly with a young black woman named nina ( hale berry ) , who he meets at the harlem church rally .	2	-1	 bulworth[0] becomes[0] friendly[1] with[0] a[0] young[0] black[0] woman[0] named[0] nina[0] halle/hale[0] berry[0] who[0] he[0] meets[0] at[0] the[0] harlem[0] church[0] rally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she has a tough-talking brother who is deep in debt to a local gangster named l . d . 	she has a tough-talking brother who is deep in debt to a local gangster named l .<br> d .	1	-2	 she[0] has[0] a[0] tough[-1] talking[0] brother[0] who[0] is[0] deep[0] in[0] debt[0] to[0] a[0] local[0] gangster[0] named[0] l[0] [[Sentence=-2,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( don cheadle of " boogie nights " ) , who also becomes involved in bulworth's campaign . 	 ( don cheadle of " boogie nights " ) , who also becomes involved in bulworth's campaign .	1	-1	 don[0] cheadle[0] of[0] boogie[0] nights[0] who[0] also[0] becomes[0] involved[0] in[0] bulworth's[0] campaign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the scenes in the ghetto ring true , but much of it feels like a lighter version of scenes depicted in more intense inner-city films like " boyz'n'hood " ( 1991 ) and " menace ii society " ( 1993 ) . 	some of the scenes in the ghetto ring true , but much of it feels like a lighter version of scenes depicted in more intense inner-city films like " boyz'n'hood " ( 1991 ) and " menace i society " ( 1993 ) .	2	-3	 some[0] of[0] the[0] scenes[0] in[0] the[0] ghetto[-1] ring[0] true[1] but[0] much[0] of[0] it[0] feels[0] like[1] a[0] lighter[0] version[0] of[0] scenes[0] depicted[0] in[0] more[0] intense[0] inner[0] city[0] films[0] like[1] boyz'n'hood[0] 1991[0] and[0] menace[-2] ii/i[0] society[0] 1993[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " bulworth's " chief liability is beatty's insistence on having his character adopt a clumsy style of rap as his new communication device . 	 " bulworth's " chief liability is beatty's insistence on having his character adopt a clumsy style of rap as his new communication device .	1	-3	 bulworth's[0] chief[0] liability[-2] is[0] beatty's[0] insistence[0] on[0] having[0] his[0] character[0] adopt[0] a[0] clumsy[-1] style[0] of[0] rap[0] as[0] his[0] new[0] communication[0] device[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of speaking at political rallies , he breaks into a kind of rhythmless rap style that is a reminder of why almost all hip-hop stars are black . 	instead of speaking at political rallies , he breaks into a kind of rhythmless rap style that is a reminder of why almost all hip-hop stars are black .	2	-1	 instead[0] of[0] speaking[0] at[0] political[0] rallies[0] he[0] breaks[0] into[0] a[0] kind[1] of[0] rhythmless[0] rap[0] style[0] that[0] is[0] a[0] reminder[0] of[0] why[0] almost[0] all[0] hip[0] hop[0] stars[0] are[0] black[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's hard to tell whether beatty is being humorous by being so bad , or whether he's actually that incompetent . 	it's hard to tell whether beatty is being humorous by being so bad , or whether he's actually that incompetent .	3	-3	 it's[0] hard[0] to[0] tell[0] whether[0] beatty[0] is[0] being[0] humorous[2] by[0] being[0] so[0] bad[-1] or[0] whether[0] he's[0] actually[0] that[0] incompetent[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
at any rate , the rap sounds more run d . m . c . 	at any rate , the rap sounds more run d .<br> m .<br> c .	1	-1	 at[0] any[0] rate[0] the[0] rap[0] sounds[0] more[0] run[0] d[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
than snoop doggy dogg , which makes the film seem dated instead of contemporary . 	than snoop doggy dog , which makes the film seem dated instead of contemporary .	1	-1	 than[0] snoop[0] doggy[0] dogg/dog[0] which[0] makes[0] the[0] film[0] seem[0] dated[0] instead[0] of[0] contemporary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beatty would have been better off simply adopting some of the inner-city lingo and working that into his speeches , instead of trying to sound like l . l . cool j . 	beatty would have been better off simply adopting some of the inner-city lingo and working that into his speeches , instead of trying to sound like l .<br> l .<br> cool j .	2	-1	 beatty[0] would[0] have[0] been[0] better[0] off[0] simply[0] adopting[0] some[0] of[0] the[0] inner[0] city[0] lingo[0] and[0] working[0] that[0] into[0] his[0] speeches[0] instead[0] of[0] trying[0] to[0] sound[0] like[1] l[0] [[Sentence=-1,2=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]] cool[1] j[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
other than that , " bulworth " hits all its targets with wry , hilarious accuracy . 	other than that , " bulworth " hits all its targets with wry , hilarious accuracy .	3	-1	 other[0] than[0] that[0] bulworth[0] hits[0] all[0] its[0] targets[0] with[0] wry[0] hilarious[2] accuracy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is like a letter bomb to the democratic party , and even if you don't agree with beatty's liberal message about the unrequited duties of the federal government , it is hard to deny the impact the film has in exploring the monetary and moral debauchery that infests modern politics . 	the film is like a letter bomb to the democratic party , and even if you don't agree with beatty's liberal message about the unrequited duties of the federal government , it is hard to deny the impact the film has in exploring the monetary and moral debauchery that infests modern politics .	2	-3	 the[0] film[0] is[0] like[1] a[0] letter[0] bomb[-1] to[0] the[0] democratic[0] party[0] and[0] even[0] if[0] you[0] don't[0] agree[0] with[0] beatty's[0] liberal[0] message[0] about[0] the[0] unrequited[0] duties[0] of[0] the[0] federal[0] government[0] it[0] is[0] hard[0] to[0] deny[-1] the[0] impact[0] the[0] film[0] has[0] in[0] exploring[0] the[0] monetary[0] and[0] moral[0] debauchery[0] that[0] infests[-2] modern[0] politics[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unlike " primary colors " which opened earlier this year , " bulworth " doesn't try to tip-toe around the truly painful issues that hit close to home - instead , it takes them dead-on . 	unlike " primary colors " which opened earlier this year , " bulworth " doesn't try to tip-toe around the truly painful issues that hit close to home - instead , it takes them dead-on .	2	-4	 unlike[0] primary[0] colors[0] which[0] opened[0] earlier[0] this[0] year[0] bulworth[0] doesn't[0] try[0] to[0] tip[0] toe[0] around[0] the[0] truly[1] painful[-3] issues[0] that[0] hit[0] close[0] to[0] home[0] instead[0] it[0] takes[0] them[0] dead[-2] on[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
