part one of " the strangest movies ever made " series at www . mediajunkies . com 	Translation	Positive	Negative	EmotionRationale
high technology has been replaced with organic creatures , and it provides a truly surreal setting for the characters . 	high technology has been replaced with organic creatures , and it provides a truly surreal setting for the characters .	2	-1	 high[0] technology[0] has[0] been[0] replaced[0] with[0] organic[0] creatures[0] and[0] it[0] provides[0] a[0] truly[1] surreal[0] setting[0] for[0] the[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a famous game designer , allegra geller ( a fine looking jennifer jason leigh ) , flees a demonstration of her latest game , existenz , after an assassination attempt . 	a famous game designer , allegra geller ( a fine looking jennifer jason leigh ) , flees a demonstration of her latest game , existenz , after an assassination attempt .	3	-3	 a[0] famous[0] game[0] designer[0] allegra[0] geller[0] a[0] fine[2] looking[0] jennifer[0] jason[0] leigh[0] flees[-1] a[0] demonstration[0] of[0] her[0] latest[0] game[0] existenz[0] after[0] an[0] assassination[-2] attempt[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she is on the run ( from who , i'm still not sure ) , and has to save her pod by playing her game with " someone friendly " . 	she is on the run ( from who , i'm still not sure ) , and has to save her pod by playing her game with " someone friendly " .	2	-1	 she[0] is[0] on[0] the[0] run[0] from[0] who[0] i'm[0] still[0] not[0] sure[0] and[0] has[0] to[0] save[1] her[0] pod[0] by[0] playing[1] her[0] game[0] with[0] someone[0] friendly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that someone friendly is her dubious companion and security guard , ted pikul ( jude law ) . 	that someone friendly is her dubious companion and security guard , ted pikul ( jude law ) .	2	-2	 that[0] someone[0] friendly[1] is[0] her[0] dubious[-1] companion[0] and[0] security[1] guard[0] ted[0] pikul[0] jude[0] law[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately he is lacking a fundamental requirement for playing , a bioport . 	unfortunately he is lacking a fundamental requirement for playing , a bioport .	2	-2	 unfortunately[-1] he[0] is[0] lacking[0] a[0] fundamental[0] requirement[0] for[0] playing[1] a[0] bioport[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sort of a hole in your spine ( ok , exactly like a hole in your spine ) , a bioport allows you to plug the vaguely entrail-looking wires from the pod into you , allowing you to play the game . 	sort of a hole in your spine ( ok , exactly like a hole in your spine ) , a bioport allows you to plug the vaguely entrail-looking wires from the pod into you , allowing you to play the game .	2	-2	 sort[0] of[0] a[0] hole[0] in[0] your[0] spine[0] ok[0] exactly[0] like[1] a[0] hole[0] in[0] your[0] spine[0] a[0] bioport[0] allows[0] you[0] to[0] plug[0] the[0] vaguely[-1] entrail[0] looking[0] wires[0] from[0] the[0] pod[0] into[0] you[0] allowing[0] you[0] to[0] play[0] the[0] game[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
luckily a bioport can be installed easily ( they install them in malls ) , so off they go to get one . 	luckily a bioport can be installed easily ( they install them in malls ) , so off they go to get one .	3	-1	 luckily[2] a[0] bioport[0] can[0] be[0] installed[0] easily[0] they[0] install[0] them[0] in[0] malls[0] so[0] off[0] they[0] go[0] to[0] get[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after a crazy series of events at the local country gas station , they are able to plug in and play existenz . 	after a crazy series of events at the local country gas station , they are able to plug in and play existenz .	1	-2	 after[0] a[0] crazy[-1] series[0] of[0] events[0] at[0] the[0] local[0] country[0] gas[0] station[0] they[0] are[0] able[0] to[0] plug[0] in[0] and[0] play[0] existenz[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot itself is a surreal melding of conspiracies , reality distortion , chinese restaurants , and multi appendaged amphibian things ( " it's a sign of the times " ) . 	the plot itself is a surreal melding of conspiracies , reality distortion , chinese restaurants , and multi appendaged amphibian things ( " it's a sign of the times " ) .	1	-2	 the[0] plot[0] itself[0] is[0] a[0] surreal[0] melding[0] of[0] conspiracies[0] reality[0] distortion[-1] chinese[0] restaurants[0] and[0] multi[0] appendaged[0] amphibian[0] things[0] it's[0] a[0] sign[0] of[0] the[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the plot , while cohesive in it's own creepy way is secondary to just trying to figure out what the hell is going on in this universe . 	but the plot , while cohesive in it's own creepy way is secondary to just trying to figure out what the hell is going on in this universe .	1	-2	 but[0] the[0] plot[0] while[0] cohesive[0] in[0] it's[0] own[0] creepy[0] way[0] is[0] secondary[0] to[0] just[0] trying[0] to[0] figure[0] out[0] what[0] the[0] hell[-1] is[0] going[0] on[0] in[0] this[0] universe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cronenberg just slaps this weird organic-tech world into the viewers lap , and it's up to you to figure out how all these things work . 	cronenberg just slaps this weird organic-tech world into the viewers lap , and it's up to you to figure out how all these things work .	1	-2	 cronenberg[0] just[0] slaps[-1][--1 LastWordBoosterStrength] this[0] weird[-1] organic[0] tech[0] world[0] into[0] the[0] viewers[0] lap[0] and[0] it's[0] up[0] to[0] you[0] to[0] figure[0] out[0] how[0] all[0] these[0] things[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that's the true joy of this film , entering the vaguely nightmarish world in which existenz takes place . 	and that's the true joy of this film , entering the vaguely nightmarish world in which existenz takes place .	3	-2	 and[0] that's[0] the[0] true[1] joy[2] of[0] this[0] film[0] entering[0] the[0] vaguely[-1] nightmarish[0] world[0] in[0] which[0] existenz[0] takes[0] place[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you learn a little bit piece by piece ( oh , they make pods out of those ) , and it's just enough to get you to accept the world that is presented to you . 	you learn a little bit piece by piece ( oh , they make pods out of those ) , and it's just enough to get you to accept the world that is presented to you .	1	-1	 you[0] learn[0] a[0] little[0] bit[0] piece[0] by[0] piece[0] oh[0] they[0] make[0] pods[0] out[0] of[0] those[0] and[0] it's[0] just[0] enough[0] to[0] get[0] you[0] to[0] accept[0] the[0] world[0] that[0] is[0] presented[0] to[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are all kinds of twists and turns as the characters wander around , including a fantastic scene in a chinese restaurant that will leave you trying to assemble something out of your moo goo gai pan for months afterwards . 	there are all kinds of twists and turns as the characters wander around , including a fantastic scene in a chinese restaurant that will leave you trying to assemble something out of your moo goo gai pan for months afterwards .	3	-1	 there[0] are[0] all[0] kinds[0] of[0] twists[0] and[0] turns[0] as[0] the[0] characters[0] wander[0] around[0] including[0] a[0] fantastic[2] scene[0] in[0] a[0] chinese[0] restaurant[0] that[0] will[0] leave[0] you[0] trying[0] to[0] assemble[0] something[0] out[0] of[0] your[0] moo[0] goo[0] gai[0] pan[0] for[0] months[0] afterwards[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also the bioports are occasionally used for things other than porting into existenz , the specifics of which i will leave for you to discover . 	also the bioports are occasionally used for things other than porting into existenz , the specifics of which i will leave for you to discover .	1	-1	 also[0] the[0] bioports[0] are[0] occasionally[0] used[0] for[0] things[0] other[0] than[0] porting[0] into[0] existenz[0] the[0] specifics[0] of[0] which[0] i[0] will[0] leave[0] for[0] you[0] to[0] discover[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's lots of little things that set off the weird-o-meter , like the little tiny pods that you can buy in the video game store , the two headed amphibian creature , and why that guy at the gas station's name appears to be " gas " . 	there's lots of little things that set off the weird-o-meter , like the little tiny pods that you can buy in the video game store , the two headed amphibian creature , and why that guy at the gas station's name appears to be " gas " .	2	-2	 there's[0] lots[0] of[0] little[0] things[0] that[0] set[0] off[0] the[0] weird[-1] o[0] meter[0] like[1] the[0] little[0] tiny[0] pods[0] that[0] you[0] can[0] buy[0] in[0] the[0] video[0] game[0] store[0] the[0] two[0] headed[0] amphibian[0] creature[0] and[0] why[0] that[0] guy[0] at[0] the[0] gas[0] station's[0] name[0] appears[0] to[0] be[0] gas[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it all adds up to a supremely far out trip , and given the choice i think i would rather live in the matrix's virtual world . . . 	it all adds up to a supremely far out trip , and given the choice i think i would rather live in the matrix's virtual world .<br> .<br> .	3	-1	 it[0] all[0] adds[0] up[0] to[0] a[0] supremely[2] far[0] out[0] trip[0] and[0] given[0] the[0] choice[0] i[0] think[0] i[0] would[0] rather[0] live[0] in[0] the[0] matrix's[0] virtual[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oh wait , i already do . 	oh wait , i already do .	1	-1	 oh[0] wait[0] i[0] already[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
