larry flynt is a self proclaimed smut pedlar and the owner/publisher of the multi-million dollar hustler publications company . 	Translation	Positive	Negative	EmotionRationale
the audience finds it easy to sympathise with isaacman who somehow puts up with flynt's courtroom antics . 	the audience finds it easy to sympathise with isacman who somehow puts up with flynt's courtroom antics .	1	-1	 the[0] audience[0] finds[0] it[0] easy[0] to[0] sympathise[0] with[0] isaacman/isacman[0] who[0] somehow[0] puts[0] up[0] with[0] flynt's[0] courtroom[0] antics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flynt is not only childish in the courtroom , but downright rude to the judges , and lands himself in a lot of trouble ( and even in a mental institution ) because of it . 	flynt is not only childish in the courtroom , but downright rude to the judges , and lands himself in a lot of trouble ( and even in a mental institution ) because of it .	2	-3	 flynt[0] is[0] not[0] only[0] childish[-1][NegatedDueToPreviousWord] in[0] the[0] courtroom[0] but[0] downright[0] rude[-2] to[0] the[0] judges[0] and[0] lands[0] himself[0] in[0] a[0] lot[0] of[0] trouble[-1] and[0] even[0] in[0] a[0] mental[0] institution[0] because[0] of[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
isaacman is very easy to like , and great at proving ( in quite clever ways ) his points to the court . 	isacman is very easy to like , and great at proving ( in quite clever ways ) his points to the court .	3	-1	 isaacman/isacman[0] is[0] very[0] easy[0] to[0] like[1] and[0] great[2] at[0] proving[0] in[0] quite[0] clever[0] ways[0] his[0] points[0] to[0] the[0] court[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
milos forman has done a great job in directing the people vs . larry flynt . 	milos forman has done a great job in directing the people vs .<br> larry flynt .	3	-1	 milos[0] forman[0] has[0] done[0] a[0] great[2] job[0] in[0] directing[0] the[0] people[0] vs[0] [[Sentence=-1,3=word max, 1-5]] larry[0] flynt[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
it is not really an exciting or thrilling film , but instead a highly interesting portrayal of a true story . 	it is not really an exciting or thrilling film , but instead a highly interesting portrayal of a true story .	4	-3	 it[0] is[0] not[0] really[0] an[0] exciting[2][NegatedDueToPreviousWord] or[0] thrilling[3] film[0] but[0] instead[0] a[0] highly[0] interesting[1] portrayal[0] of[0] a[0] true[1] story[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
due to larry's character it is also , at times , a very funny film . 	due to larry's character it is also , at times , a very funny film .	3	-1	 due[0] to[0] larry's[0] character[0] it[0] is[0] also[0] at[0] times[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , it is much more than that . 	however , it is much more than that .	1	-1	 however[0] it[0] is[0] much[0] more[0] than[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is about the fight for freedom of speech , anti-censorship , and the right to be able choose for oneself what to see and buy . 	it is about the fight for freedom of speech , anti-censorship , and the right to be able choose for oneself what to see and buy .	1	-3	 it[0] is[0] about[0] the[0] fight[-2] for[0] freedom[0] of[0] speech[0] anti[0] censorship[-1] and[0] the[0] right[0] to[0] be[0] able[0] choose[0] for[0] oneself[0] what[0] to[0] see[0] and[0] buy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an excellent look at flynt , his life , and his story . 	an excellent look at flynt , his life , and his story .	4	-1	 an[0] excellent[3] look[0] at[0] flynt[0] his[0] life[0] and[0] his[0] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
keep a look out for the real larry flynt who makes a cameo as judge morrissey . 	keep a look out for the real larry flynt who makes a cameo as judge morrissey .	1	-1	 keep[0] a[0] look[0] out[0] for[0] the[0] real[0] larry[0] flynt[0] who[0] makes[0] a[0] cameo[0] as[0] judge[0] morrissey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
