the muppet movie is the first , and the best movie among the ever-growing list of muppet movies . 	Translation	Positive	Negative	EmotionRationale
the two decide to team-up and continue on their way to hollywood . 	the two decide to team-up and continue on their way to hollywood .	1	-1	 the[0] two[0] decide[0] to[0] team[0] up[0] and[0] continue[0] on[0] their[0] way[0] to[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , doc hopper ( charles durning ) , the owner of a chain of french fried frog leg restaurants has a different idea . 	but , doc hopper ( charles durning ) , the owner of a chain of french fried frog leg restaurants has a different idea .	1	-1	 but[0] doc[0] hopper[0] charles[0] durning[0] the[0] owner[0] of[0] a[0] chain[0] of[0] french[0] fried[0] frog[0] leg[0] restaurants[0] has[0] a[0] different[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wants kermit to be his spokesman , but kermit is humiliated at the idea and spends the movie avoiding him and his assistants . 	he wants kermit to be his spokesman , but kermit is humiliated at the idea and spends the movie avoiding him and his assistants .	1	-4	 he[0] wants[0] kermit[0] to[0] be[0] his[0] spokesman[0] but[0] kermit[0] is[0] humiliated[-3] at[0] the[0] idea[0] and[0] spends[0] the[0] movie[0] avoiding[-1] him[0] and[0] his[0] assistants[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the trip continues , with kermit and fozzie meeting miss piggy , rowlf , gonzo , the electric mayhem band , and more muppets who all share the same wish : to make it to hollywood . 	the trip continues , with kermit and fozie meeting miss piggy , rowlf , gonzo , the electric mayhem band , and more muppets who all share the same wish : to make it to hollywood .	2	-2	 the[0] trip[0] continues[0] with[0] kermit[0] and[0] fozzie/fozie[0] meeting[0] miss[-1] piggy[0] rowlf[0] gonzo[0] the[0] electric[0] mayhem[0] band[0] and[0] more[0] muppets[0] who[0] all[0] share[0] the[0] same[0] wish[0] to[0] make[0] it[0] to[0] hollywood[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
oh , and even more celebrities continue to appear . 	oh , and even more celebrities continue to appear .	1	-1	 oh[0] and[0] even[0] more[0] celebrities[0] continue[0] to[0] appear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kermit and miss piggy continue to get to know each other a little better , including a rather funny scene at a restaurant with steve martin as the waiter . 	kermit and miss piggy continue to get to know each other a little better , including a rather funny scene at a restaurant with steve martin as the waiter .	2	-2	 kermit[0] and[0] miss[-1] piggy[0] continue[0] to[0] get[0] to[0] know[0] each[0] other[0] a[0] little[0] better[0] including[0] a[0] rather[0] funny[1] scene[0] at[0] a[0] restaurant[0] with[0] steve[0] martin[0] as[0] the[0] waiter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually , kermit and the group make it to hollywood . 	eventually , kermit and the group make it to hollywood .	1	-1	 eventually[0] kermit[0] and[0] the[0] group[0] make[0] it[0] to[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is , after kermit is finally able to elude doc hopper and proclaim his freedom . 	that is , after kermit is finally able to elude doc hopper and proclaim his freedom .	1	-1	 that[0] is[0] after[0] kermit[0] is[0] finally[0] able[0] to[0] elude[0] doc[0] hopper[0] and[0] proclaim[0] his[0] freedom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lord lew , a big-time hollywood producer portrayed by orson welles , gives kermit his shot at stardom and gives him the go-ahead to produce a movie . 	lord lew , a big-time hollywood producer portrayed by orson welles , gives kermit his shot at stardom and gives him the go-ahead to produce a movie .	2	-2	 lord[0] lew[0] a[0] big[0] time[0] hollywood[0] producer[0] portrayed[0] by[0] orson[0] welles[1] gives[0] kermit[0] his[0] shot[-1] at[0] stardom[0] and[0] gives[0] him[0] the[0] go[0] ahead[0] to[0] produce[0] a[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the muppet movie is definitely a movie that is fun for all ages . 	the muppet movie is definitely a movie that is fun for all ages .	2	-1	 the[0] muppet[0] movie[0] is[0] definitely[0] a[0] movie[0] that[0] is[0] fun[1] for[0] all[0] ages[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is also a sure-deal as one parents can watch , and enjoy along with their kids . 	it is also a sure-deal as one parents can watch , and enjoy along with their kids .	3	-1	 it[0] is[0] also[0] a[0] sure[0] deal[0] as[0] one[0] parents[0] can[0] watch[0] and[0] enjoy[2] along[0] with[0] their[0] kids[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
