hedwig ( john cameron mitchell ) was born a boy named hansel in east berlin . 	Translation	Positive	Negative	EmotionRationale
the original songs , by stephen trask ( also appearing as one of the members of the band the angry inch ) , are full of energy and variety and , even though it's not my kind of music , i found every one entertaining and fun . 	the original songs , by stephen trask ( also appearing as one of the members of the band the angry inch ) , are full of energy and variety and , even though it's not my kind of music , i found every one entertaining and fun .	2	-4	 the[0] original[0] songs[0] by[0] stephen[0] trask[0] also[0] appearing[0] as[0] one[0] of[0] the[0] members[0] of[0] the[0] band[0] the[0] angry[-3] inch[0] are[0] full[0] of[0] energy[0] and[0] variety[0] and[0] even[0] though[0] it's[0] not[0] my[0] kind[1][NegatedDueToPreviousWord] of[0] music[0] i[0] found[0] every[0] one[0] entertaining[0] and[0] fun[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the audience i saw " hedwig " with thought so , too . 	the audience i saw " hedwig " with thought so , too .	1	-1	 the[0] audience[0] i[0] saw[0] hedwig[0] with[0] thought[0] so[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main attraction to this one-man/woman show is the presence of its star . 	the main attraction to this one-man/woman show is the presence of its star .	2	-1	 the[0] main[0] attraction[1] to[0] this[0] one[0] man/woman[0] show[0] is[0] the[0] presence[0] of[0] its[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
john cameron mitchell gives a solid , sometimes fun , sometimes angry performance as a person searching for self-enlightenment and love . 	john cameron mitchell gives a solid , sometimes fun , sometimes angry performance as a person searching for self-enlightenment and love .	3	-3	 john[0] cameron[0] mitchell[0] gives[0] a[0] solid[0] sometimes[0] fun[1][-1 LastWordBoosterStrength] sometimes[0] angry[-3][--1 LastWordBoosterStrength] performance[0] as[0] a[0] person[0] searching[0] for[0] self[0] enlightenment[0] and[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as a young boy growing up in east berlin , hansel is abused by his g . i . 	as a young boy growing up in east berlin , hansel is abused by his grin� .<br> i .	1	-4	 as[0] a[0] young[0] boy[0] growing[0] up[0] in[0] east[0] berlin[0] hansel[0] is[0] abused[-3] by[0] his[0] g[0] [[Sentence=-4,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
father and raised by his german mother in a tiny flat so small that " mother would make me play in the oven " where he listened to pop music on armed forces radio . 	father and raised by his german mother in a tiny flat so small that " mother would make me play in the oven " where he listened to pop music on armed forces radio .	1	-2	 father[0] and[0] raised[0] by[0] his[0] german[-1] mother[0] in[0] a[0] tiny[0] flat[0] so[0] small[0] that[0] mother[0] would[0] make[0] me[0] play[0] in[0] the[0] oven[0] where[0] he[0] listened[0] to[0] pop[0] music[0] on[0] armed[0] forces[0] radio[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later , as a young man , he meets luther , another g . i . 	later , as a young man , he meets luther , another grin� .<br> i .	1	-1	 later[0] as[0] a[0] young[0] man[0] he[0] meets[0] luther[0] another[0] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and is swept off of his feet . 	and is swept off of his feet .	1	-1	 and[0] is[0] swept[0] off[0] of[0] his[0] feet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ensuing angry inch incident comes soon after . 	the ensuing angry inch incident comes soon after .	1	-4	 the[0] ensuing[0] angry[-3] inch[0] incident[0] comes[0] soon[0] after[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
flash forward to a trailer park in junction city , kansas , and luther is leaving hedwig for another boy . 	flash forward to a trailer park in junction city , kansas , and luther is leaving hedwig for another boy .	1	-1	 flash[0] forward[0] to[0] a[0] trailer[0] park[0] in[0] junction[0] city[0] kansas[0] and[0] luther[0] is[0] leaving[0] hedwig[0] for[0] another[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frustrated and broke , she takes on baby-sitting and the odd " job " to make ends meet . 	frustrated and broke , she takes on baby-sitting and the odd " job " to make ends meet .	2	-3	 frustrated[-2] and[0] broke[-1] she[0] takes[0] on[0] baby[1] sitting[0] and[0] the[0] odd[0] job[0] to[0] make[0] ends[0] meet[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she also forms a band with four korean housewives and the musical talent of hedwig is born . 	she also forms a band with four korean housewives and the musical talent of hedwig is born .	2	-1	 she[0] also[0] forms[0] a[0] band[0] with[0] four[0] korean[0] housewives[0] and[0] the[0] musical[0] talent[1] of[0] hedwig[0] is[0] born[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she meets , falls for and loses young tommy , who steals her songs and goes off to become a rock sensation . 	she meets , falls for and loses young tommy , who steals her songs and goes off to become a rock sensation .	2	-3	 she[0] meets[0] falls[0] for[0] and[0] loses[-1] young[0] tommy[0] who[0] steals[-2] her[0] songs[0] and[0] goes[0] off[0] to[0] become[0] a[0] rock[1] sensation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jealous and angry , hedwig and her new band begins a campaign to shadow tommy's tours and , with the help of her manager , phyllis stein ( andrea martin ) , is trying get a law suit going against the star for stealing her songs . 	jealous and angry , hedwig and her new band begins a campaign to shadow tommy's tours and , with the help of her manager , phyllis stein ( andrea martin ) , is trying get a law suit going against the star for stealing her songs .	1	-4	 jealous[-2] and[0] angry[-3] hedwig[0] and[0] her[0] new[0] band[0] begins[0] a[0] campaign[0] to[0] shadow[0] tommy's[0] tours[0] and[0] with[0] the[0] help[0] of[0] her[0] manager[0] phyllis[0] stein[0] andrea[0] martin[0] is[0] trying[0] get[0] a[0] law[0] suit[0] going[0] against[-1] the[0] star[0] for[0] stealing[-2] her[0] songs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hedwig and the angry inch get gigs , not coincidentally , at a chain of seafood restaurants that just happen to be next to the forums where tommy gnosis is playing . 	hedwig and the angry inch get gigs , not coincidentally , at a chain of seafood restaurants that just happen to be next to the forums where tommy gnosis is playing .	2	-4	 hedwig[0] and[0] the[0] angry[-3] inch[0] get[0] gigs[0] not[0] coincidentally[0] at[0] a[0] chain[0] of[0] seafood[0] restaurants[0] that[0] just[0] happen[0] to[0] be[0] next[0] to[0] the[0] forums[0] where[0] tommy[0] gnosis[0] is[0] playing[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
things finally come to a head , so to speak , in new york city . 	things finally come to a head , so to speak , in new york city .	1	-1	 things[0] finally[0] come[0] to[0] a[0] head[0] so[0] to[0] speak[0] in[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the popularity of the off-broadway musical and its offshoots have garnered a ready-made audience base for " hedwig . " 	the popularity of the off-broadway musical and its offshoots have garnered a ready-made audience base for " hedwig .<br> "	2	-1	 the[0] popularity[1] of[0] the[0] off[0] broadway[0] musical[0] and[0] its[0] offshoots[0] have[0] garnered[0] a[0] ready[0] made[0] audience[0] base[0] for[0] hedwig[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the wit , humor , music and search for identity has great appeal to young adults , but the charismatic presence of mitchell makes this a cut above what it could have been . 	the wit , humor , music and search for identity has great appeal to young adults , but the charismatic presence of mitchell makes this a cut above what it could have been .	3	-1	 the[0] wit[0] humor[2] music[0] and[0] search[0] for[0] identity[0] has[0] great[2] appeal[0] to[0] young[0] adults[0] but[0] the[0] charismatic[0] presence[0] of[0] mitchell[0] makes[0] this[0] a[0] cut[0] above[0] what[0] it[0] could[0] have[0] been[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is this one-man/woman show that casts its spotlight on its " internationally ignored " rock star and mitchell is outstanding in the role . 	it is this one-man/woman show that casts its spotlight on its " internationally ignored " rock star and mitchell is outstanding in the role .	3	-1	 it[0] is[0] this[0] one[0] man/woman[0] show[0] that[0] casts[0] its[0] spotlight[0] on[0] its[0] internationally[0] ignored[0] rock[1] star[0] and[0] mitchell[0] is[0] outstanding[2] in[0] the[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there isn't a lot going on with other characters , though there are amusing little sidebars , like hedwig's backup singer/lover , yitzak ( miriam shor ) , deciding to break away from the band to join a polynesian road show of " rent " as a puerto rican drag queen . 	there isn't a lot going on with other characters , though there are amusing little sidebars , like hedwig's backup singer/lover , yitzak ( miriam shor ) , deciding to break away from the band to join a polynesian road show of " rent " as a puerto rican drag queen .	2	-2	 there[0] isn't[0] a[0] lot[0] going[0] on[0] with[0] other[0] characters[0] though[0] there[0] are[0] amusing[1] little[0] sidebars[0] like[1] hedwig's[0] backup[0] singer/lover[0] yitzak[0] miriam[0] shor[0] deciding[0] to[0] break[0] away[0] from[0] the[0] band[0] to[0] join[0] a[0] polynesian[0] road[0] show[0] of[0] rent[0] as[0] a[0] puerto[0] rican[0] drag[-1] queen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the low budget that the moviemakers have for the production belies the quality of the film . 	the low budget that the moviemakers have for the production belies the quality of the film .	1	-2	 the[0] low[-1] budget[0] that[0] the[0] moviemakers[0] have[0] for[0] the[0] production[0] belies[0] the[0] quality[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
attention to details - hedwig's costumes and outrageous " cabaret " -like makeup ; the seedy trailer park setting ; and , the kitschy seafood restaurants - are loads of fun to watch and lend the appropriate air to the proceeds , all on what has to be a beer budget . 	attention to details - hedwig's costumes and outrageous " cabaret " -like makeup ; the seedy trailer park setting ; and , the kitschy seafood restaurants - are loads of fun to watch and lend the appropriate air to the proceeds , all on what has to be a beer budget .	2	-3	 attention[0] to[0] details[0] hedwig's[0] costumes[0] and[0] outrageous[-2] cabaret[0] like[1] makeup[0] the[0] seedy[0] trailer[0] park[0] setting[0] and[0] the[0] kitschy[0] seafood[0] restaurants[0] are[0] loads[0] of[0] fun[1] to[0] watch[0] and[0] lend[0] the[0] appropriate[0] air[0] to[0] the[0] proceeds[0] all[0] on[0] what[0] has[0] to[0] be[0] a[0] beer[0] budget[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " hedwig and the angry inch " may not be for everybody , but the energy of the effort , the songs , the imaginative sets and costumes and a fast steady pace make it a pleasure to watch . 	 " hedwig and the angry inch " may not be for everybody , but the energy of the effort , the songs , the imaginative sets and costumes and a fast steady pace make it a pleasure to watch .	3	-4	 hedwig[0] and[0] the[0] angry[-3] inch[0] may[0] not[0] be[0] for[0] everybody[0] but[0] the[0] energy[0] of[0] the[0] effort[0] the[0] songs[0] the[0] imaginative[1] sets[0] and[0] costumes[0] and[0] a[0] fast[0] steady[0] pace[0] make[0] it[0] a[0] pleasure[2] to[0] watch[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if you're a fan of contemporary , edgy music , it is an even bigger draw . 	if you're a fan of contemporary , edgy music , it is an even bigger draw .	1	-1	 if[0] you're[0] a[0] fan[0] of[0] contemporary[0] edgy[0] music[0] it[0] is[0] an[0] even[0] bigger[0] draw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i give it a b  . 	i give it a b  .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
