summary five liberal iowa graduate students share a house and carry on a tradition of a large sunday dinner . 	Translation	Positive	Negative	EmotionRationale
the back yard fills up rather quickly , its' victims including ( among others ) a right to life extremist , an anti-environmentalist and a homophobe . 	the back yard fills up rather quickly , its' victims including ( among others ) a right to life extremist , an anti-environmentalist and a homophobe .	1	-3	 the[0] back[0] yard[0] fills[0] up[0] rather[0] quickly[0] its'[0] victims[-2] including[0] among[0] others[0] a[0] right[0] to[0] life[0] extremist[0] an[0] anti[0] environmentalist[0] and[0] a[0] homophobe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the time the roommates get to their tenth victim they begin to question their methods . 	by the time the roommates get to their tenth victim they begin to question their methods .	1	-3	 by[0] the[0] time[0] the[0] roommates[0] get[0] to[0] their[0] tenth[0] victim[-2] they[0] begin[0] to[0] question[0] their[0] methods[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
are they giving the guests a chance ? 	are they giving the guests a chance ?	1	-1	 are[0] they[0] giving[0] the[0] guests[0] a[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are they even giving them good food anymore ? 	are they even giving them good food anymore ?	2	-1	 are[0] they[0] even[0] giving[0] them[0] good[1] food[0] anymore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film is what i like to call a " hidden treasure " . 	this film is what i like to call a " hidden treasure " .	2	-1	 this[0] film[0] is[0] what[0] i[0] like[1] to[0] call[0] a[0] hidden[0] treasure[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film is such a pleasant surprise . 	this film is such a pleasant surprise .	3	-1	 this[0] film[0] is[0] such[0] a[0] pleasant[2] surprise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a well written , devilish satire that is funny , sexy and original . 	a well written , devilish satire that is funny , sexy and original .	3	-2	 a[0] well[0] written[0] devilish[-1] satire[0] that[0] is[0] funny[1] sexy[2] and[0] original[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this film should be a hit , but i guess the fact that it apparently had no marketing wouldn't give it much of a chance . 	this film should be a hit , but i guess the fact that it apparently had no marketing wouldn't give it much of a chance .	1	-1	 this[0] film[0] should[0] be[0] a[0] hit[0] but[0] i[0] guess[0] the[0] fact[0] that[0] it[0] apparently[0] had[0] no[0] marketing[0] wouldn't[0] give[0] it[0] much[0] of[0] a[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i had never heard of it until i saw a copy at my video store . 	i had never heard of it until i saw a copy at my video store .	1	-1	 i[0] had[0] never[0] heard[0] of[0] it[0] until[0] i[0] saw[0] a[0] copy[0] at[0] my[0] video[0] store[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stacy title does a wonderful job directing . 	stacy title does a wonderful job directing .	3	-1	 stacy[0] title[0] does[0] a[0] wonderful[2] job[0] directing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she somehow finds the time to give all of the characters enough screen time to develop a distinct personality . 	she somehow finds the time to give all of the characters enough screen time to develop a distinct personality .	1	-1	 she[0] somehow[0] finds[0] the[0] time[0] to[0] give[0] all[0] of[0] the[0] characters[0] enough[0] screen[0] time[0] to[0] develop[0] a[0] distinct[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from the five members of the house to other key characters including sheriff stanley ( nora dunn ) , the local law closing in on the truth , and the dream dinner guest , norman arbuthnot ( ron perlman ) , a rush limbaugh clone who should be the roommates easiest kill . 	 from the five members of the house to other key characters including sheriff stanley ( nora dun ) , the local law closing in on the truth , and the dream dinner guest , norman arbuthnot ( ron perlman ) , a rush limbaugh clone who should be the roommates easiest kill .	2	-2	 from[0] the[0] five[0] members[0] of[0] the[0] house[0] to[0] other[0] key[0] characters[0] including[0] sheriff[0] stanley[0] nora[0] dunn/dun[0] the[0] local[0] law[0] closing[0] in[0] on[0] the[0] truth[1] and[0] the[0] dream[0] dinner[0] guest[0] norman[0] arbuthnot[0] ron[0] perlman[0] a[0] rush[0] limbaugh[0] clone[0] who[0] should[0] be[0] the[0] roommates[0] easiest[0] kill[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perlman gives the films' best performance . 	perlman gives the films' best performance .	2	-1	 perlman[0] gives[0] the[0] films'[0] best[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he finds the right note as the right wing big mouth who simultaneously offends and gains followers , and may just inadvertently talk his way out of death . 	he finds the right note as the right wing big mouth who simultaneously offends and gains followers , and may just inadvertently talk his way out of death .	1	-3	 he[0] finds[0] the[0] right[0] note[0] as[0] the[0] right[0] wing[0] big[0] mouth[0] who[0] simultaneously[0] offends[-2] and[0] gains[0] followers[0] and[0] may[0] just[0] inadvertently[0] talk[0] his[0] way[0] out[0] of[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the other actors are convincing as well , as all of the roommates deal with their murderous ways . 	the other actors are convincing as well , as all of the roommates deal with their murderous ways .	1	-4	 the[0] other[0] actors[0] are[0] convincing[0] as[0] well[0] as[0] all[0] of[0] the[0] roommates[0] deal[0] with[0] their[0] murderous[-3] ways[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some of the characters appear to be heading down the road towards insanity , while others grieve their decisions . 	some of the characters appear to be heading down the road towards insanity , while others grieve their decisions .	1	-4	 some[0] of[0] the[0] characters[0] appear[0] to[0] be[0] heading[0] down[0] the[0] road[0] towards[0] insanity[0] while[0] others[0] grieve[-3] their[0] decisions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when friends ask me to recommend a movie , this is usually the first one i think of . 	when friends ask me to recommend a movie , this is usually the first one i think of .	2	-1	 when[0] friends[1] ask[0] me[0] to[0] recommend[0] a[0] movie[0] this[0] is[0] usually[0] the[0] first[0] one[0] i[0] think[0] of[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i am not saying that this is my favorite movie ( although it is in my top ten ) , but because the film was such a wonderful surprise , i have a fondness for it . 	i am not saying that this is my favorite movie ( although it is in my top ten ) , but because the film was such a wonderful surprise , i have a fondness for it .	3	-1	 i[0] am[0] not[0] saying[0] that[0] this[0] is[0] my[0] favorite[1] movie[0] although[0] it[0] is[0] in[0] my[0] top[0] ten[0] but[0] because[0] the[0] film[0] was[0] such[0] a[0] wonderful[2] surprise[0] i[0] have[0] a[0] fondness[2] for[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i also try to recommend films like this : ones that have not been seen by many people , but should . 	i also try to recommend films like this : ones that have not been seen by many people , but should .	2	-1	 i[0] also[0] try[0] to[0] recommend[0] films[0] like[1] this[0] ones[0] that[0] have[0] not[0] been[0] seen[0] by[0] many[0] people[0] but[0] should[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
