you know you're in for a truly different cinematic experience the moment you realize steve buscemi has been cast as the movie in question's most normal character . 	Translation	Positive	Negative	EmotionRationale
 " the big lebowski " deserves to win the coens the same amount of acclaim that " fargo " did ; while that 1996 black comedy was certainly a better film , " lebowski " is at least as breathtakingly imaginative . 	 " the big lebowski " deserves to win the coens the same amount of acclaim that " fargo " did ; while that 1996 black comedy was certainly a better film , " lebowski " is at least as breathtakingly imaginative .	2	-1	 the[0] big[0] lebowski[0] deserves[0] to[0] win[0] the[0] coens[0] the[0] same[0] amount[0] of[0] acclaim[0] that[0] fargo[0] did[0] while[0] that[0] 1996[0] black[0] comedy[0] was[0] certainly[0] a[0] better[0] film[0] lebowski[0] is[0] at[0] least[0] as[0] breathtakingly[0] imaginative[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie boasts a mile-high absurdity level that sometimes threatens to topple over , but thankfully never does . 	the movie boasts a mile-high absurdity level that sometimes threatens to topple over , but thankfully never does .	2	-2	 the[0] movie[0] boasts[-1] a[0] mile[0] high[0] absurdity[-1] level[0] that[0] sometimes[0] threatens[-2][--1 LastWordBoosterStrength] to[0] topple[-1] over[0] but[0] thankfully[1] never[0] does[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the coens ( joel directed , ethan produced and both wrote ) keep you in stitches as they unravel their exceedingly loopy tale , and must be commended for juggling a number of people and subplots one would expect to find in a robert altman flick . 	the coens ( joel directed , ethan produced and both wrote ) keep you in stitches as they unravel their exceedingly loopy tale , and must be commended for juggling a number of people and subplots one would expect to find in a robert altman flick .	1	-1	 the[0] coens[0] joel[0] directed[0] ethan[0] produced[0] and[0] both[0] wrote[0] keep[0] you[0] in[0] stitches[0] as[0] they[0] unravel[0] their[0] exceedingly[0] loopy[0] tale[0] and[0] must[0] be[0] commended[0] for[0] juggling[0] a[0] number[0] of[0] people[0] and[0] subplots[0] one[0] would[0] expect[0] to[0] find[0] in[0] a[0] robert[0] altman[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether we're watching bridges fend off a marmet in his bathtub or moore don viking duds and dance in a busby berkeley-esque dream sequence , " the big lebowski " is immensely lively . 	whether we're watching bridges fend off a marmet in his bathtub or more don viking duds and dance in a busby berkeley-esque dream sequence , " the big lebowski " is immensely lively .	2	-1	 whether[0] we're[0] watching[0] bridges[0] fend[0] off[0] a[0] marmet[0] in[0] his[0] bathtub[0] or[0] moore/more[0] don[0] viking[0] duds[0] and[0] dance[0] in[0] a[0] busby[0] berkeley[0] esque[0] dream[0] sequence[0] the[0] big[0] lebowski[0] is[0] immensely[0] lively[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are those who will dislike this film , but not because it's boring . 	there are those who will dislike this film , but not because it's boring .	1	-3	 there[0] are[0] those[0] who[0] will[0] dislike[-2] this[0] film[0] but[0] not[0] because[0] it's[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cast has a great deal of fun with the bounteous material they're given . 	the cast has a great deal of fun with the bounteous material they're given .	3	-1	 the[0] cast[0] has[0] a[0] great[2] deal[0] of[0] fun[1] with[0] the[0] bounteous[0] material[0] they're[0] given[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bridges exudes a likeable , surprisingly sweet presence ; his dude sure isn't the cleanest guy around , but you'd still follow him to another movie . 	bridges exudes a likeable , surprisingly sweet presence ; his dude sure isn't the cleanest guy around , but you'd still follow him to another movie .	3	-1	 bridges[0] exudes[0] a[0] likeable[2] surprisingly[0] sweet[1] presence[0] his[0] dude[0] sure[0] isn't[0] the[0] cleanest[0] guy[0] around[0] but[0] you'd[0] still[0] follow[0] him[0] to[0] another[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
goodman merits 1998's first oscar consideration , as walter's manic temper is one of " the big lebowski " 's many highlights ; the same goes for moore , whose throaty , delectable performance as maude is a hilarious hoot . 	goodman merits 1998's first oscar consideration , as walter's manic temper is one of " the big lebowski " 's many highlights ; the same goes for more , whose throaty , delectable performance as maude is a hilarious hoot .	3	-3	 goodman[0] merits[1] 1998's[0] first[0] oscar[0] consideration[0] as[0] walter's[0] manic[0] temper[-2] is[0] one[0] of[0] the[0] big[0] lebowski[0] 's[0] many[0] highlights[0] the[0] same[0] goes[0] for[0] moore/more[0] whose[0] throaty[0] delectable[2] performance[0] as[0] maude[0] is[0] a[0] hilarious[2] hoot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
john turturro may very well steal the movie with his two scenes as a colorful bowler from a rival faction . 	john turturro may very well steal the movie with his two scenes as a colorful bowler from a rival faction .	1	-3	 john[0] turturro[0] may[0] very[0] well[0] steal[-2] the[0] movie[0] with[0] his[0] two[0] scenes[0] as[0] a[0] colorful[0] bowler[0] from[0] a[0] rival[-1] faction[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sam elliott's rambling narration gets the film off to a solid start . 	sam elliott's rambling narration gets the film off to a solid start .	1	-1	 sam[0] elliott's[0] rambling[0] narration[0] gets[0] the[0] film[0] off[0] to[0] a[0] solid[0] start[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and some will recognize peter stormare -- " fargo " 's silent heavy -- as carl hungus , a porn star who's really a samurai sword-wielding german nihilist and has-been pop star . 	and some will recognize peter stormare - " fargo " 's silent heavy - as carl hungus , a porn star who's really a samurai sword-wielding german nihilist and has-been pop star .	1	-2	 and[0] some[0] will[0] recognize[0] peter[0] stormare[0] fargo[0] 's[0] silent[0] heavy[0] as[0] carl[0] hungus[0] a[0] porn[0] star[0] who's[0] really[0] a[0] samurai[0] sword[0] wielding[0] german[-1] nihilist[0] and[0] has[0] been[0] pop[0] star[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only in its final third does the movie falter , with a couple of loose plot threads and some cast members who quickly disappear and never emerge for a curtain call . 	only in its final third does the movie falter , with a couple of loose plot threads and some cast members who quickly disappear and never emerge for a curtain call .	1	-2	 only[0] in[0] its[0] final[0] third[0] does[0] the[0] movie[0] falter[-1] with[0] a[0] couple[0] of[0] loose[0] plot[0] threads[0] and[0] some[0] cast[0] members[0] who[0] quickly[0] disappear[0] and[0] never[0] emerge[0] for[0] a[0] curtain[0] call[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these flaws are forgivable , though -- the coens have crafted a tale so rich with personality that it's hard to look at the final product with anything but a big grin on your face . 	these flaws are forgivable , though - the coens have crafted a tale so rich with personality that it's hard to look at the final product with anything but a big grin on your face .	2	-1	 these[0] flaws[0] are[0] forgivable[1] though[0] the[0] coens[0] have[0] crafted[0] a[0] tale[0] so[0] rich[0] with[0] personality[0] that[0] it's[0] hard[0] to[0] look[0] at[0] the[0] final[0] product[0] with[0] anything[0] but[0] a[0] big[0] grin[1] on[0] your[0] face[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
without a doubt , " the big lebowski " is the best film so far this year . 	without a doubt , " the big lebowski " is the best film so far this year .	2	-2	 without[0] a[0] doubt[-1] the[0] big[0] lebowski[0] is[0] the[0] best[1] film[0] so[0] far[0] this[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sure , we're only three months in and the competition ( " deep rising , " " desperate measures , " " the wedding singer , " etc . ) has been pretty bland , but it's still the gospel truth . 	sure , we're only three months in and the competition ( " deep rising , " " desperate measures , " " the wedding singer , " etc .<br> ) has been pretty bland , but it's still the gospel truth .	3	-3	 sure[0] we're[0] only[0] three[0] months[0] in[0] and[0] the[0] competition[0] deep[0] rising[0] desperate[-2] measures[0] the[0] wedding[0] singer[0] etc[0] [[Sentence=-3,1=word max, 1-5]] has[0] been[0] pretty[2] bland[-1] but[0] it's[0] still[0] the[0] gospel[0] truth[1] [[Sentence=-2,3=word max, 1-5]][[[3,-3 max of sentences]]]
maybe during next awards season , " lebowski " won't be a far cry from " fargo . " 	maybe during next awards season , " lebowski " won't be a far cry from " fargo .<br> "	1	-4	 maybe[0] during[0] next[0] awards[0] season[0] lebowski[0] won't[0] be[0] a[0] far[0] cry[-3] from[0] fargo[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
