synopsis : it's 1977 in a small italian american neighborhood in new york . 	Translation	Positive	Negative	EmotionRationale
everyone's different , but nobody in the film wants to be framed as " alien " to the community . 	everyone's different , but nobody in the film wants to be framed as " alien " to the community .	1	-2	 everyone's[0] different[0] but[0] nobody[0] in[0] the[0] film[0] wants[0] to[0] be[0] framed[0] as[0] alien[-1] to[0] the[0] community[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , the killings help create a climate of suspicion pits neighbor against neighbor . 	unfortunately , the killings help create a climate of suspicion pits neighbor against neighbor .	1	-2	 unfortunately[-1] the[0] killings[0] help[0] create[0] a[0] climate[0] of[0] suspicion[-1] pits[0] neighbor[0] against[-1] neighbor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
opinion : director spike lee's summer of sam is not about a psycho killer . 	opinion : director spike lee's summer of sam is not about a psycho killer .	1	-2	 opinion[0] director[0] spike[0] lee's[0] summer[0] of[0] sam[0] is[0] not[0] about[0] a[0] psycho[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nor is it about cops trying to apprehend him . 	nor is it about cops trying to apprehend him .	1	-1	 nor[0] is[0] it[0] about[0] cops[0] trying[0] to[0] apprehend[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about differences and how , given the right conditions , even close neighbors can fan the hostile flames of irrational suspicion . 	it's about differences and how , given the right conditions , even close neighbors can fan the hostile flames of irrational suspicion .	1	-3	 it's[0] about[0] differences[0] and[0] how[0] given[0] the[0] right[0] conditions[0] even[0] close[0] neighbors[0] can[0] fan[0] the[0] hostile[-2] flames[0] of[0] irrational[-2] suspicion[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one thing i found interesting in summer of sam was the use of sex . 	one thing i found interesting in summer of sam was the use of sex .	2	-1	 one[0] thing[0] i[0] found[0] interesting[1] in[0] summer[0] of[0] sam[0] was[0] the[0] use[0] of[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in other movies sex is glamorized . 	in other movies sex is glamorized .	2	-1	 in[0] other[0] movies[0] sex[0] is[0] glamorized[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , james bond gets a sexual reward for winning . 	for example , james bond gets a sexual reward for winning .	2	-1	 for[0] example[0] james[0] bond[0] gets[0] a[0] sexual[0] reward[1] for[0] winning[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or boring made-for-video " suspense " movies are spiked with gratuitous lingerie scenes just to keep the audience awake . 	or boring made-for-video " suspense " movies are spiked with gratuitous lingerie scenes just to keep the audience awake .	1	-2	 or[0] boring[-1] made[0] for[0] video[0] suspense[0] movies[0] are[0] spiked[0] with[0] gratuitous[-1] lingerie[0] scenes[0] just[0] to[0] keep[0] the[0] audience[0] awake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and every movie or soap opera character in these flicks seems to have expert sexual prowess . 	and every movie or soap opera character in these flicks seems to have expert sexual prowess .	1	-1	 and[0] every[0] movie[0] or[0] soap[0] opera[0] character[0] in[0] these[0] flicks[0] seems[0] to[0] have[0] expert[0] sexual[0] prowess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not so with summer of sam . 	not so with summer of sam .	1	-1	 not[0] so[0] with[0] summer[0] of[0] sam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a very gutsy move director spike lee shows sex without fantasy . 	in a very gutsy move director spike lee shows sex without fantasy .	1	-1	 in[0] a[0] very[0] gutsy[0] move[0] director[0] spike[0] lee[0] shows[0] sex[0] without[0] fantasy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sex is there , but it isn't gratuitous or titillating . 	sex is there , but it isn't gratuitous or titillating .	2	-1	 sex[0] is[0] there[0] but[0] it[0] isn't[0] gratuitous[-1][NegatedDueToPreviousWord] or[0] titillating[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , some of the main characters are downright lousy in bed . 	in fact , some of the main characters are downright lousy in bed .	1	-3	 in[0] fact[0] some[0] of[0] the[0] main[0] characters[0] are[0] downright[0] lousy[-2] in[0] bed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sex is in the film because ( sexual ) deviance is part of the film's major theme of " difference " breeding hostility . 	sex is in the film because ( sexual ) deviance is part of the film's major theme of " difference " breeding hostility .	1	-3	 sex[0] is[0] in[0] the[0] film[0] because[0] sexual[0] deviance[0] is[0] part[0] of[0] the[0] film's[0] major[0] theme[0] of[0] difference[0] breeding[0] hostility[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in my opinion this kind of movie sex is cutting edge for 1999 , as rare and thought-provoking in american cinema as showing a spanking . 	in my opinion this kind of movie sex is cutting edge for 199 , as rare and thought-provoking in american cinema as showing a spanking .	2	-1	 in[0] my[0] opinion[0] this[0] kind[1] of[0] movie[0] sex[0] is[0] cutting[0] edge[0] for[0] 1999/199[0] as[0] rare[0] and[0] thought[0] provoking[0] in[0] american[0] cinema[0] as[0] showing[0] a[0] spanking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
