trailing the success of brit humour in the movie industry with the likes of the semi-dramatic the commitments and the nearly slapstick a fish called wanda , the full monty is one film which delivered the depth of the former and the humour magnitude of the latter . 	Translation	Positive	Negative	EmotionRationale
in gaz's own words while looking at an add for a strip-act featuring hunky  beautiful' men ,  if women are willing to pay for this , they sure as well will pay for real-men' . 	in gaz's own words while looking at an add for a strip-act featuring hunky  beautiful' men ,  if women are willing to pay for this , they sure as well will pay for real-men' .	3	-1	 in[0] gaz's[0] own[0] words[0] while[0] looking[0] at[0] an[0] add[0] for[0] a[0] strip[0] act[0] featuring[0] hunky[0] beautiful'[2] men[0] if[0] women[0] are[0] willing[0] to[0] pay[0] for[0] this[0] they[0] sure[0] as[0] well[0] will[0] pay[0] for[0] real[0] men'[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the full monty is very simple in nature and not a trace ambitious at all . 	the full monty is very simple in nature and not a trace ambitious at all .	1	-1	 the[0] full[0] monty[0] is[0] very[0] simple[0] in[0] nature[0] and[0] not[0] a[0] trace[0] ambitious[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a small film which delves in the harsh-reality of unemployment and the desperation it drives people to . 	it is a small film which delves in the harsh-reality of unemployment and the desperation it drives people to .	1	-3	 it[0] is[0] a[0] small[0] film[0] which[0] delves[0] in[0] the[0] harsh[-1] reality[0] of[0] unemployment[0] and[0] the[0] desperation[-2] it[0] drives[0] people[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it also is a very light movie to watch despite the theme it delves in because it has a lot of human-factor going for it . 	it also is a very light movie to watch despite the theme it delves in because it has a lot of human-factor going for it .	1	-1	 it[0] also[0] is[0] a[0] very[0] light[0] movie[0] to[0] watch[0] despite[0] the[0] theme[0] it[0] delves[0] in[0] because[0] it[0] has[0] a[0] lot[0] of[0] human[0] factor[0] going[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never for once , was it trying to be manipulative at all , the full monty was true to itself all the way . 	never for once , was it trying to be manipulative at all , the full monty was true to itself all the way .	2	-2	 never[0] for[0] once[0] was[0] it[0] trying[0] to[0] be[0] manipulative[-1] at[0] all[0] the[0] full[0] monty[0] was[0] true[1] to[0] itself[0] all[0] the[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while the hilarity level of this film soared unexpectedly high , audience will find that they are in no way being cheated of a laugh , something lacking in many comedy films ( wannabes ? ) from hollywood . 	while the hilarity level of this film soared unexpectedly high , audience will find that they are in no way being cheated of a laugh , something lacking in many comedy films ( wannabes ?<br> ) from hollywood .	3	-3	 while[0] the[0] hilarity[2] level[0] of[0] this[0] film[0] soared[0] unexpectedly[-1] high[0] audience[0] will[0] find[0] that[0] they[0] are[0] in[0] no[0] way[0] being[0] cheated[-2] of[0] a[0] laugh[1] something[0] lacking[0] in[0] many[0] comedy[0] films[0] wannabes[0] [[Sentence=-3,3=word max, 1-5]] from[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
other than carlyle , who acted as the psychotic begbie in trainspotting , the rest of the actors were definitely very new to me on-screen . 	other than carlyle , who acted as the psychotic begbie in trainspotting , the rest of the actors were definitely very new to me on-screen .	1	-1	 other[0] than[0] carlyle[0] who[0] acted[0] as[0] the[0] psychotic[0] begbie[0] in[0] trainspotting[0] the[0] rest[0] of[0] the[0] actors[0] were[0] definitely[0] very[0] new[0] to[0] me[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the acting presented in this film is more than satisfying . 	however , the acting presented in this film is more than satisfying .	2	-1	 however[0] the[0] acting[0] presented[0] in[0] this[0] film[0] is[0] more[0] than[0] satisfying[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carlyle's work here is a stark contrast to his character in trainspotting , implying real acting skill and flexibility on-screen . 	carlyle's work here is a stark contrast to his character in trainspotting , implying real acting skill and flexibility on-screen .	1	-2	 carlyle's[0] work[0] here[0] is[0] a[0] stark[-1] contrast[0] to[0] his[0] character[0] in[0] trainspotting[0] implying[0] real[0] acting[0] skill[0] and[0] flexibility[0] on[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kudos to the people involved in this film , especially to director peter cattaneo for being able to put together an excellent film which is has so much potential in ending up as your just-another-striptease . 	kudos to the people involved in this film , especially to director peter cattaneo for being able to put together an excellent film which is has so much potential in ending up as your just-another-striptease .	4	-1	 kudos[0] to[0] the[0] people[0] involved[0] in[0] this[0] film[0] especially[0] to[0] director[0] peter[0] cattaneo[0] for[0] being[0] able[0] to[0] put[0] together[0] an[0] excellent[3] film[0] which[0] is[0] has[0] so[0] much[0] potential[0] in[0] ending[0] up[0] as[0] your[0] just[0] another[0] striptease[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
already a critical and financial success for such a small film , the full monty is a humble film which deserves applause throughout . 	already a critical and financial success for such a small film , the full monty is a humble film which deserves applause throughout .	3	-2	 already[0] a[0] critical[-1] and[0] financial[0] success[2] for[0] such[0] a[0] small[0] film[0] the[0] full[0] monty[0] is[0] a[0] humble[0] film[0] which[0] deserves[0] applause[1] throughout[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while titanic managed to feast the eyes and soul in an epic way , the full monty gives one the same satisfaction ? ? . in 	while titanic managed to feast the eyes and soul in an epic way , the full monty gives one the same satisfaction ?<br> ?<br> .<br> in	2	-1	 while[0] titanic[0] managed[0] to[0] feast[0] the[0] eyes[0] and[0] soul[0] in[0] an[0] epic[0] way[0] the[0] full[0] monty[0] gives[0] one[0] the[0] same[0] satisfaction[1] [[Sentence=-1,2=word max, 1-5]] in[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
half the time . 	half the time .	1	-1	 half[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
