losing a job is not an all too uncommon thing . 	Translation	Positive	Negative	EmotionRationale
covering a " fluff " story for the evening news concerning the museum cutbacks , max suddenly finds himself in the middle of the biggest-breaking news story he ever could've hoped for . 	covering a " fluff " story for the evening news concerning the museum cutbacks , max suddenly finds himself in the middle of the biggest-breaking news story he ever could've hoped for .	2	-2	 covering[0] a[0] fluff[0] story[0] for[0] the[0] evening[0] news[0] concerning[-1] the[0] museum[0] cutbacks[0] max[0] suddenly[0] finds[0] himself[0] in[0] the[0] middle[0] of[0] the[0] biggest[0] breaking[0] news[0] story[0] he[0] ever[0] could've[0] hoped[1] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
having been demoted from network newsman to smalltime affiliate reporting , max is anxious to turn this into his , and only his , story . 	having been demoted from network newsman to smalltime affiliate reporting , max is anxious to turn this into his , and only his , story .	1	-3	 having[0] been[0] demoted[0] from[0] network[0] newsman[0] to[0] smalltime[0] affiliate[0] reporting[0] max[0] is[0] anxious[-2] to[0] turn[0] this[0] into[0] his[0] and[0] only[0] his[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
max immediately bonds with sam . 	max immediately bonds with sam .	1	-1	 max[0] immediately[0] bonds[0] with[0] sam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max even coaches sam thru hostage negotiations and writes scripts for him to use with the police over the phone . 	max even coaches sam thru hostage negotiations and writes scripts for him to use with the police over the phone .	1	-1	 max[0] even[0] coaches[0] sam[0] thru[0] hostage[0] negotiations[0] and[0] writes[0] scripts[0] for[0] him[0] to[0] use[0] with[0] the[0] police[0] over[0] the[0] phone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first , max's intentions don't stretch beyond high ratings and a good boost to the ole pride factor , but as he gets to know sam more personally , he begins to sympathize and even become somewhat of an advocate for him . 	at first , max's intentions don't stretch beyond high ratings and a good boost to the ole pride factor , but as he gets to know sam more personally , he begins to sympathize and even become somewhat of an advocate for him .	2	-1	 at[0] first[0] max's[0] intentions[0] don't[0] stretch[0] beyond[0] high[0] ratings[0] and[0] a[0] good[1] boost[0] to[0] the[0] ole[0] pride[1] factor[0] but[0] as[0] he[0] gets[0] to[0] know[0] sam[0] more[0] personally[0] he[0] begins[0] to[0] sympathize[0] and[0] even[0] become[0] somewhat[0] of[0] an[0] advocate[0] for[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the media , however , is creating a frenzy that leaves the fickle public shifting gears as often as a diesel truck moving downhill . 	the media , however , is creating a frenzy that leaves the fickle public shifting gears as often as a diesel truck moving downhill .	1	-2	 the[0] media[0] however[0] is[0] creating[0] a[0] frenzy[0] that[0] leaves[0] the[0] fickle[-1] public[0] shifting[0] gears[0] as[0] often[0] as[0] a[0] diesel[0] truck[0] moving[0] downhill[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the accidental shooting of ex-co- worker cliff ( bill nunn ) , a black security guard , becomes one of the main factors in the controversy over sam's honest ambitions . 	the accidental shooting of ex-co- worker cliff ( bill nun ) , a black security guard , becomes one of the main factors in the controversy over sam's honest ambitions .	2	-2	 the[0] accidental[-1] shooting[-1] of[0] ex[0] co[0] worker[0] cliff[0] bill[0] nunn/nun[0] a[0] black[0] security[1] guard[0] becomes[0] one[0] of[0] the[0] main[0] factors[0] in[0] the[0] controversy[-1] over[0] sam's[0] honest[0] ambitions[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also involved in this film are robert prosky as lou potts , head of the news department of the station max falls directly under , and alan alda as the nationally famed reporter kevin hollander , who uses his network power to try and outshine max . 	also involved in this film are robert prosky as lou pots , head of the news department of the station max falls directly under , and alan alda as the nationally famed reporter kevin hollander , who uses his network power to try and outshine max .	1	-1	 also[0] involved[0] in[0] this[0] film[0] are[0] robert[0] prosky[0] as[0] lou[0] potts/pots[0] head[0] of[0] the[0] news[0] department[0] of[0] the[0] station[0] max[0] falls[0] directly[0] under[0] and[0] alan[0] alda[0] as[0] the[0] nationally[0] famed[0] reporter[0] kevin[0] hollander[0] who[0] uses[0] his[0] network[0] power[0] to[0] try[0] and[0] outshine[0] max[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alda and prosky both turn in fine performances that fit like gloves on their acting abilities . 	alda and prosky both turn in fine performances that fit like gloves on their acting abilities .	3	-1	 alda[0] and[0] prosky[0] both[0] turn[0] in[0] fine[2] performances[0] that[0] fit[0] like[1] gloves[0] on[0] their[0] acting[0] abilities[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then there is mia kirshner , who plays the young tv station intern laurie . 	then there is mia kirshner , who plays the young tv station intern laurie .	2	-1	 then[0] there[0] is[0] mia[0] kirshner[0] who[0] plays[1] the[0] young[0] tv[0] station[0] intern[0] laurie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she falls under max's wings only to become a student taught too well in the way of sensationalistic reporting . 	she falls under max's wings only to become a student taught too well in the way of sensationalistic reporting .	1	-1	 she[0] falls[0] under[0] max's[0] wings[0] only[0] to[0] become[0] a[0] student[0] taught[0] too[0] well[0] in[0] the[0] way[0] of[0] sensationalistic[0] reporting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kirshner's credits are relatively small for now , including roles in films like exotica and the forgettable sequel to the crow . 	kirshner's credits are relatively small for now , including roles in films like exotica and the forgettable sequel to the crow .	2	-1	 kirshner's[0] credits[0] are[0] relatively[0] small[0] for[0] now[0] including[0] roles[0] in[0] films[0] like[1] exotica[0] and[0] the[0] forgettable[0] sequel[0] to[0] the[0] crow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , kirshner's character transformation shows that she has shining ability to play both good girl and kinda-bitchy-in-a-reserved-way roles . 	still , kirshner's character transformation shows that she has shining ability to play both good girl and kinda-bitchy-in-a-reserved-way roles .	2	-2	 still[0] kirshner's[0] character[0] transformation[0] shows[0] that[0] she[0] has[0] shining[0] ability[0] to[0] play[0] both[0] good[1] girl[0] and[0] kinda[0] bitchy[-1] in[0] a[0] reserved[0] way[0] roles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i wouldn't mind seeing her in some more prevalent parts , where perhaps her talent will be able to blossom more fully onscreen . 	i wouldn't mind seeing her in some more prevalent parts , where perhaps her talent will be able to blossom more fully onscreen .	2	-1	 i[0] wouldn't[0] mind[0] seeing[0] her[0] in[0] some[0] more[0] prevalent[0] parts[0] where[0] perhaps[0] her[0] talent[1] will[0] be[0] able[0] to[0] blossom[0] more[0] fully[0] onscreen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the viewpoint of the media as a greedy , self-righteous monster has indeed been tackled before , mad city provides a solid two hours of enjoyability . 	while the viewpoint of the media as a greedy , self-righteous monster has indeed been tackled before , mad city provides a solid two hours of enjoyability .	3	-3	 while[0] the[0] viewpoint[0] of[0] the[0] media[0] as[0] a[0] greedy[-2] self[0] righteous[0] monster[-1] has[0] indeed[0] been[0] tackled[0] before[0] mad[-1] city[0] provides[0] a[0] solid[0] two[0] hours[0] of[0] enjoyability[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
hoffman and travolta are both excellent actors , and seeing them together is a real treat . 	hoffman and travolta are both excellent actors , and seeing them together is a real treat .	4	-1	 hoffman[0] and[0] travolta[0] are[0] both[0] excellent[3] actors[0] and[0] seeing[0] them[0] together[0] is[0] a[0] real[0] treat[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they both do a great job at smoothly and naturally becoming their characters , and they provide enough chemistry for us to genuinely care for both . 	they both do a great job at smoothly and naturally becoming their characters , and they provide enough chemistry for us to genuinely care for both .	3	-1	 they[0] both[0] do[0] a[0] great[2] job[0] at[0] smoothly[0] and[0] naturally[0] becoming[0] their[0] characters[0] and[0] they[0] provide[0] enough[0] chemistry[0] for[0] us[0] to[0] genuinely[0] care[1] for[0] both[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is quite a bit of humor in this film , and without it , it could've fallen into a drab , cliched social statement more likely to garner sleep from the audience than applause . 	there is quite a bit of humor in this film , and without it , it could've fallen into a drab , cliched social statement more likely to garner sleep from the audience than applause .	3	-2	 there[0] is[0] quite[0] a[0] bit[0] of[0] humor[2] in[0] this[0] film[0] and[0] without[0] it[0] it[0] could've[0] fallen[0] into[0] a[0] drab[-1] cliched[0] social[0] statement[0] more[0] likely[0] to[0] garner[0] sleep[0] from[0] the[0] audience[0] than[0] applause[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this isn't a flick that will grip at both your funny bone and your heart , but it will lightly touch both , making for a recommendable movie . 	this isn't a flick that will grip at both your funny bone and your heart , but it will lightly touch both , making for a recommendable movie .	2	-1	 this[0] isn't[0] a[0] flick[0] that[0] will[0] grip[0] at[0] both[0] your[0] funny[1] bone[0] and[0] your[0] heart[0] but[0] it[0] will[0] lightly[0] touch[0] both[0] making[0] for[0] a[0] recommendable[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if for nothing more than the opportunity to watch both hoffman and travolta at the same time , i urge you to check this one out . 	if for nothing more than the opportunity to watch both hoffman and travolta at the same time , i urge you to check this one out .	1	-1	 if[0] for[0] nothing[0] more[0] than[0] the[0] opportunity[0] to[0] watch[0] both[0] hoffman[0] and[0] travolta[0] at[0] the[0] same[0] time[0] i[0] urge[0] you[0] to[0] check[0] this[0] one[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
