it's not often that i laugh so hard at a movie that my head hurts . 	Translation	Positive	Negative	EmotionRationale
uhf satirizes anything and everything to do with television , including game shows , tabloid talk shows , children's shows , dizzy news women , and movies--everything from rambo to close encounters . 	uhf satirizes anything and everything to do with television , including game shows , tabloid talk shows , children's shows , dizy news women , and movies-everything from rambo to close encounters .	1	-1	 uhf[0] satirizes[0] anything[0] and[0] everything[0] to[0] do[0] with[0] television[0] including[0] game[0] shows[0] tabloid[0] talk[0] shows[0] children's[0] shows[0] dizzy/dizy[0] news[0] women[0] and[0] movies[0] everything[0] from[0] rambo[0] to[0] close[0] encounters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the funniest scene , the one that made my head spin , is a commercial for spatulas which has to be seen to be believed . 	the funniest scene , the one that made my head spin , is a commercial for spatulas which has to be seen to be believed .	2	-1	 the[0] funniest[1] scene[0] the[0] one[0] that[0] made[0] my[0] head[0] spin[0] is[0] a[0] commercial[0] for[0] spatulas[0] which[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like most movies in its genre , uhf is hit or miss . 	like most movies in its genre , uhf is hit or miss .	2	-2	 like[1] most[0] movies[0] in[0] its[0] genre[0] uhf[0] is[0] hit[0] or[0] miss[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for every gag that works , at least one fizzles . 	for every gag that works , at least one fizles .	1	-1	 for[0] every[0] gag[0] that[0] works[0] at[0] least[0] one[0] fizzles/fizles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , weird al's mock video of " money for nothing " by dire straits is only mildly amusing and brings the film to a grinding halt ( although it does have some nifty computer animation ) . 	for instance , weird al's mock video of " money for nothing " by dire straits is only mildly amusing and brings the film to a grinding halt ( although it does have some nifty computer animation ) .	2	-3	 for[0] instance[0] weird[-1] al's[0] mock[-2] video[0] of[0] money[0] for[0] nothing[0] by[0] dire[-1] straits[0] is[0] only[0] mildly[0] amusing[1] and[0] brings[0] the[0] film[0] to[0] a[0] grinding[0] halt[0] although[0] it[0] does[0] have[0] some[0] nifty[0] computer[0] animation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the funniest bits in uhf are so hysterical that we can forgive the ones that fail ; we know another gut wrencher is on the way . 	but the funniest bits in uhf are so hysterical that we can forgive the ones that fail ; we know another gut wrencher is on the way .	2	-3	 but[0] the[0] funniest[1] bits[0] in[0] uhf[0] are[0] so[0] hysterical[-1] that[0] we[0] can[0] forgive[1] the[0] ones[0] that[0] fail[-2] we[0] know[0] another[0] gut[0] wrencher[0] is[0] on[0] the[0] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , uhf hits the mark often enough to make it the most effective airplane-type movie since . . . 	in fact , uhf hits the mark often enough to make it the most effective airplane-type movie since .<br> .<br> .	1	-1	 in[0] fact[0] uhf[0] hits[0] the[0] mark[0] often[0] enough[0] to[0] make[0] it[0] the[0] most[0] effective[0] airplane[0] type[0] movie[0] since[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , since airplane . 	well , since airplane .	1	-1	 well[0] since[0] airplane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of the credit goes to weird al's exceptionally inventive script and to the movie's winsome cast . 	much of the credit goes to weird al's exceptionally inventive script and to the movie's winsome cast .	1	-2	 much[0] of[0] the[0] credit[0] goes[0] to[0] weird[-1] al's[0] exceptionally[0] inventive[0] script[0] and[0] to[0] the[0] movie's[0] winsome[0] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
weird al seems a little stiff at the beginning , but because he's not afraid to look silly , he ultimately has a lot of fun with his character . 	weird al seems a little stiff at the beginning , but because he's not afraid to look silly , he ultimately has a lot of fun with his character .	4	-2	 weird[-1] al[0] seems[0] a[0] little[0] stiff[0] at[0] the[0] beginning[0] but[0] because[0] he's[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] look[0] silly[-1] he[0] ultimately[0] has[0] a[0] lot[0] of[0] fun[1] with[0] his[0] character[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the real standout is michael richards as stanley , the dim-witted janitor who becomes the host of his own children's show : " stanley spadowski's playhouse . " 	the real standout is michael richards as stanley , the dim-witted janitor who becomes the host of his own children's show : " stanley spadowski's playhouse .<br> "	1	-2	 the[0] real[0] standout[0] is[0] michael[0] richards[0] as[0] stanley[0] the[0] dim[-1] witted[0] janitor[0] who[0] becomes[0] the[0] host[0] of[0] his[0] own[0] children's[0] show[0] stanley[0] spadowski's[0] playhouse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stanley's off-beat , mixed-up personality is a big hit with the audience and makes him an over-night star . 	stanley's off-beat , mixed-up personality is a big hit with the audience and makes him an over-night star .	1	-1	 stanley's[0] off[0] beat[0] mixed[0] up[0] personality[0] is[0] a[0] big[0] hit[0] with[0] the[0] audience[0] and[0] makes[0] him[0] an[0] over[0] night[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is an endearing mixture of good-natured innocence , high-energy enthusiasm , and puppy-dog cuteness . 	he is an endearing mixture of good-natured innocence , high-energy enthusiasm , and puppy-dog cuteness .	3	-1	 he[0] is[0] an[0] endearing[0] mixture[0] of[0] good[1] natured[0] innocence[1] high[0] energy[0] enthusiasm[2] and[0] puppy[0] dog[0] cuteness[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and above all , he's a good janitor who adores his work . 	and above all , he's a good janitor who adores his work .	4	-1	 and[0] above[0] all[0] he's[0] a[0] good[1] janitor[0] who[0] adores[3] his[0] work[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
another highlight is a vintage cameo by the incomparable emo philips . 	another highlight is a vintage cameo by the incomparable emo philips .	1	-1	 another[0] highlight[0] is[0] a[0] vintage[0] cameo[0] by[0] the[0] incomparable[0] emo[0] philips[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast also features gedde watanabe ( the chinese foreign-exchange student in sixteen candles ) as the karate master who hosts the hit series , " wheel of fish . " 	the cast also features gedde watanabe ( the chinese foreign-exchange student in sixteen candles ) as the karate master who hosts the hit series , " wheel of fish .<br> "	1	-2	 the[0] cast[0] also[0] features[0] gedde[0] watanabe[0] the[0] chinese[0] foreign[-1] exchange[0] student[0] in[0] sixteen[0] candles[0] as[0] the[0] karate[0] master[0] who[0] hosts[0] the[0] hit[0] series[0] wheel[0] of[0] fish[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also aboard for the ride is fran drescher , who plays pamela finklestein , channel 62's roving reporter . 	also aboard for the ride is fran drescher , who plays pamela finklestein , channel 62's roving reporter .	2	-1	 also[0] aboard[0] for[0] the[0] ride[0] is[0] fran[0] drescher[0] who[0] plays[1] pamela[0] finklestein[0] channel[0] 62's[0] roving[0] reporter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , as weird al's girlfriend , victoria jackson is wasted in a role that calls for nothing but whimpering , whining , and sulking . 	unfortunately , as weird al's girlfriend , victoria jackson is wasted in a role that calls for nothing but whimpering , whining , and sulking .	1	-3	 unfortunately[-1] as[0] weird[-1] al's[0] girlfriend[0] victoria[0] jackson[0] is[0] wasted[-1] in[0] a[0] role[0] that[0] calls[0] for[0] nothing[0] but[0] whimpering[0] whining[-2] and[0] sulking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her character is extraneous and should have been either further integrated into the story or cut from the script altogether . 	her character is extraneous and should have been either further integrated into the story or cut from the script altogether .	1	-1	 her[0] character[0] is[0] extraneous[0] and[0] should[0] have[0] been[0] either[0] further[0] integrated[0] into[0] the[0] story[0] or[0] cut[0] from[0] the[0] script[0] altogether[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while uhf is not an absolute must-see , it's definitely the ticket if you're looking for a wild and zany , whacked-out comedy . 	while uhf is not an absolute must-see , it's definitely the ticket if you're looking for a wild and zany , whacked-out comedy .	1	-1	 while[0] uhf[0] is[0] not[0] an[0] absolute[0] must[0] see[0] it's[0] definitely[0] the[0] ticket[0] if[0] you're[0] looking[0] for[0] a[0] wild[0] and[0] zany[0] whacked[0] out[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is good enough to see in the theaters , but it may work even better on television , the very medium at which it pokes fun . 	the movie is good enough to see in the theaters , but it may work even better on television , the very medium at which it pokes fun .	2	-1	 the[0] movie[0] is[0] good[1] enough[0] to[0] see[0] in[0] the[0] theaters[0] but[0] it[0] may[0] work[0] even[0] better[0] on[0] television[0] the[0] very[0] medium[0] at[0] which[0] it[0] pokes[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
