this " dumb " cowboy blondie who thinks he is a `darn' good loverboy , decides to leave his dusty ol' town somewhere in texas and go to new york . 	Translation	Positive	Negative	EmotionRationale
rico offers to make it up for him . 	rico offers to make it up for him .	1	-1	 rico[0] offers[0] to[0] make[0] it[0] up[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he invites him to his place . 	and he invites him to his place .	1	-1	 and[0] he[0] invites[0] him[0] to[0] his[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what a filthy , cold place it is . 	and what a filthy , cold place it is .	1	-2	 and[0] what[0] a[0] filthy[-1] cold[-1] place[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our cowboy falls asleep instantly in the ( junk ) bed . 	our cowboy falls asleep instantly in the ( junk ) bed .	1	-2	 our[0] cowboy[0] falls[0] asleep[0] instantly[0] in[0] the[0] junk[-1] bed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he finally wakes ( jumps ? ) 	when he finally wakes ( jumps ?<br> )	1	-1	 when[0] he[0] finally[0] wakes[0] jumps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
up , he finds rico looking at him . 	up , he finds rico looking at him .	1	-1	 up[0] he[0] finds[0] rico[0] looking[0] at[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you wanna cup'a'coffee ? " 	 " you wanna cup'a'coffee ?<br> "	1	-1	 you[0] wanna[0] cup'a'coffee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rico asks in his friendly , sleazy , somewhat-childish manner while he smokes on a ciggy . 	rico asks in his friendly , sleazy , somewhat-childish manner while he smokes on a ciggy .	2	-3	 rico[0] asks[0] in[0] his[0] friendly[1] sleazy[-2] somewhat[0] childish[-1] manner[0] while[0] he[0] smokes[0] on[0] a[0] ciggy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " what're you ? 	 " what're you ?	1	-1	 what're[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a goddamn faggot ? 	a goddamn faggot ?	1	-3	 a[0] goddamn[-2] faggot[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what do you want from me ? 	what do you want from me ?	1	-1	 what[0] do[0] you[0] want[0] from[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where are my shoes ? 	where are my shoes ?	1	-1	 where[0] are[0] my[0] shoes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what did you do to them ? " 	what did you do to them ?<br> "	1	-1	 what[0] did[0] you[0] do[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but all his doubts turn out to be unfounded . 	but all his doubts turn out to be unfounded .	1	-2	 but[0] all[0] his[0] doubts[-1] turn[0] out[0] to[0] be[0] unfounded[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rico really has a heart . 	rico really has a heart .	1	-1	 rico[0] really[0] has[0] a[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
together , they live in the junk apartment and almost freeze to death . 	together , they live in the junk apartment and almost freeze to death .	1	-3	 together[0] they[0] live[0] in[0] the[0] junk[-1] apartment[0] and[0] almost[0] freeze[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rico is convinced that the best place to be is florida , where the sun shines beautifully and there are lots of coconut trees . 	rico is convinced that the best place to be is florida , where the sun shines beautifully and there are lots of coconut trees .	3	-1	 rico[0] is[0] convinced[0] that[0] the[0] best[1] place[0] to[0] be[0] is[0] florida[0] where[0] the[0] sun[0] shines[0] beautifully[2] and[0] there[0] are[0] lots[0] of[0] coconut[0] trees[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but he falls sick and is convinced that his cure is to go to florida . 	but he falls sick and is convinced that his cure is to go to florida .	1	-2	 but[0] he[0] falls[0] sick[-1] and[0] is[0] convinced[0] that[0] his[0] cure[0] is[0] to[0] go[0] to[0] florida[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " we will soon be in miami " is the last sentence uttered in this film and what a shocking , moving end of a film it is . 	 " we will soon be in miami " is the last sentence uttered in this film and what a shocking , moving end of a film it is .	1	-3	 we[0] will[0] soon[0] be[0] in[0] miami[0] is[0] the[0] last[0] sentence[0] uttered[0] in[0] this[0] film[0] and[0] what[0] a[0] shocking[-2] moving[0] end[0] of[0] a[0] film[0] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the classic theme music : " midnight cowboy " helps bring about the feeling of attachment that most viewers will experience towards the end of the film . 	the classic theme music : " midnight cowboy " helps bring about the feeling of attachment that most viewers will experience towards the end of the film .	1	-1	 the[0] classic[0] theme[0] music[0] midnight[0] cowboy[0] helps[0] bring[0] about[0] the[0] feeling[0] of[0] attachment[0] that[0] most[0] viewers[0] will[0] experience[0] towards[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether the attachment is to the two main characters or to their dreams , is probably as debatable as whether it was the acting or the direction that makes this film so memorable . 	whether the attachment is to the two main characters or to their dreams , is probably as debatable as whether it was the acting or the direction that makes this film so memorable .	1	-2	 whether[0] the[0] attachment[0] is[0] to[0] the[0] two[0] main[0] characters[0] or[0] to[0] their[0] dreams[0] is[0] probably[0] as[0] debatable[-1] as[0] whether[0] it[0] was[0] the[0] acting[0] or[0] the[0] direction[0] that[0] makes[0] this[0] film[0] so[0] memorable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
