apocalypse now , based on the novel " hearts of darkness " , is an extremely striking , gripping , and horrifying depiction of the vietnam war from another angle . 	Translation	Positive	Negative	EmotionRationale
the men are chef ( frederic forrest ) , chief ( albert hall ) , lance johnson ( sam bottoms ) and mr . clean ( a fifteen year-old laurence fishburne ) . 	the men are chef ( frederic forest ) , chief ( albert hall ) , lance johnson ( sam bottoms ) and mr .<br> clean ( a fifteen year-old laurence fishburne ) .	1	-1	 the[0] men[0] are[0] chef[0] frederic[0] forrest/forest[0] chief[0] albert[0] hall[0] lance[0] johnson[0] sam[0] bottoms[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] clean[0] a[0] fifteen[0] year[0] old[0] laurence[0] fishburne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willard is ordered not to let them know exactly what his mission is , but they all know it is something big . 	willard is ordered not to let them know exactly what his mission is , but they all know it is something big .	1	-1	 willard[0] is[0] ordered[0] not[0] to[0] let[0] them[0] know[0] exactly[0] what[0] his[0] mission[0] is[0] but[0] they[0] all[0] know[0] it[0] is[0] something[0] big[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the men encounter many exciting , dangerous and bizarre situations . 	the men encounter many exciting , dangerous and bizarre situations .	3	-2	 the[0] men[0] encounter[0] many[0] exciting[2] dangerous[-1] and[0] bizarre[-1] situations[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but no situation is more bizarre than the infamous napalm scene with a very eccentric robert duvall as lieutenant colonel kilgore . 	but no situation is more bizarre than the infamous napalm scene with a very eccentric robert duvall as lieutenant colonel kilgore .	1	-3	 but[0] no[0] situation[0] is[0] more[0] bizarre[-1] than[0] the[0] infamous[-1] napalm[0] scene[0] with[0] a[0] very[0] eccentric[-1][-1 LastWordBoosterStrength] robert[0] duvall[0] as[0] lieutenant[0] colonel[0] kilgore[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kilgore decides to attack and overtake a certain beach area so that his men can surf . 	kilgore decides to attack and overtake a certain beach area so that his men can surf .	1	-3	 kilgore[0] decides[0] to[0] attack[-2] and[0] overtake[0] a[0] certain[0] beach[0] area[0] so[0] that[0] his[0] men[0] can[0] surf[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
surf . 	surf .	1	-1	 surf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is all inspired when kilgore is able to meet the famed california surfer lance johnson . 	this is all inspired when kilgore is able to meet the famed california surfer lance johnson .	3	-1	 this[0] is[0] all[0] inspired[2] when[0] kilgore[0] is[0] able[0] to[0] meet[0] the[0] famed[0] california[0] surfer[0] lance[0] johnson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
duvall's portrayal as lieutenant colonel kilgore is terrific , and , he provides a number of memorable quotes . 	duvall's portrayal as lieutenant colonel kilgore is terrific , and , he provides a number of memorable quotes .	4	-1	 duvall's[0] portrayal[0] as[0] lieutenant[0] colonel[0] kilgore[0] is[0] terrific[3] and[0] he[0] provides[0] a[0] number[0] of[0] memorable[0] quotes[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
eventually , captain willard encounters colonel kurtz's frightening community full of strange things everywhere you look , especially his followers . 	eventually , captain willard encounters colonel kurtz's frightening community full of strange things everywhere you look , especially his followers .	1	-4	 eventually[0] captain[0] willard[0] encounters[0] colonel[0] kurtz's[0] frightening[-3] community[0] full[0] of[0] strange[0] things[0] everywhere[0] you[0] look[0] especially[0] his[0] followers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one of his main followers is a freelance photographer ( dennis hopper ) who attempts to convey the situations to willard . 	one of his main followers is a freelance photographer ( dennis hopper ) who attempts to convey the situations to willard .	1	-1	 one[0] of[0] his[0] main[0] followers[0] is[0] a[0] freelance[0] photographer[0] dennis[0] hopper[0] who[0] attempts[0] to[0] convey[0] the[0] situations[0] to[0] willard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but willard cannot understand the madness that encompasses the colony . 	but willard cannot understand the madness that encompasses the colony .	1	-2	 but[0] willard[0] cannot[0] understand[0] the[0] madness[-1] that[0] encompasses[0] the[0] colony[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kurtz is actually well aware of willard's mission , and refers to him as " an errand boy sent by grocery clerks to collect a bill " . 	kurtz is actually well aware of willard's mission , and refers to him as " an errand boy sent by grocery clerks to collect a bill " .	1	-1	 kurtz[0] is[0] actually[0] well[0] aware[0] of[0] willard's[0] mission[0] and[0] refers[0] to[0] him[0] as[0] an[0] errand[0] boy[0] sent[0] by[0] grocery[0] clerks[0] to[0] collect[0] a[0] bill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet willard is intent on completing his mission , no matter what shocking things kurtz does . 	yet willard is intent on completing his mission , no matter what shocking things kurtz does .	1	-3	 yet[0] willard[0] is[0] intent[0] on[0] completing[0] his[0] mission[0] no[0] matter[0] what[0] shocking[-2] things[0] kurtz[0] does[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
apocalypse now , possibly one of the greatest films ever made , is a stunning vision into the madness that corresponds to the vietnam war . 	apocalypse now , possibly one of the greatest films ever made , is a stunning vision into the madness that corresponds to the vietnam war .	3	-3	 apocalypse[0] now[0] possibly[0] one[0] of[0] the[0] greatest[2] films[0] ever[0] made[0] is[0] a[0] stunning[0] vision[0] into[0] the[0] madness[-1] that[0] corresponds[0] to[0] the[0] vietnam[0] war[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a movie that will hypnotize you with it's brilliant cinematography , apocalypse now is an outstanding epic drama about the controversial and horrifying ravages of war . 	a movie that will hypnotize you with it's brilliant cinematography , apocalypse now is an outstanding epic drama about the controversial and horrifying ravages of war .	3	-4	 a[0] movie[0] that[0] will[0] hypnotize[0] you[0] with[0] it's[0] brilliant[1] cinematography[0] apocalypse[0] now[0] is[0] an[0] outstanding[2] epic[0] drama[0] about[0] the[0] controversial[-1] and[0] horrifying[-3] ravages[-1] of[0] war[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
definitely on the " do not miss " list . 	definitely on the " do not miss " list .	2	-1	 definitely[0] on[0] the[0] do[0] not[0] miss[-1][NegatedDueToPreviousWord] list[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
be prepared for a very memorable film . 	be prepared for a very memorable film .	1	-1	 be[0] prepared[0] for[0] a[0] very[0] memorable[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
