books could be , and indeed have been written about the star wars trilogy , and rightfully so . 	Translation	Positive	Negative	EmotionRationale
the audio tracks were remixed and reprocessed , with reworked sound effects by effects maven ben burtt , into glorious , booming , theater-shaking full-thx dolby digital stereo . 	the audio tracks were remixed and reprocessed , with reworked sound effects by effects maven ben burtt , into glorious , booming , theater-shaking full-thanks dolby digital stereo .	2	-2	 the[0] audio[0] tracks[0] were[0] remixed[0] and[0] reprocessed[0] with[0] reworked[0] sound[0] effects[0] by[0] effects[0] maven[0] ben[0] burtt[0] into[0] glorious[1] booming[0] theater[0] shaking[-1] full[0] thx[0] dolby[0] digital[0] stereo[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and _that_ , more than the added scenes or new special effects , is where the real value of this new version lies . 	and _that_ , more than the added scenes or new special effects , is where the real value of this new version lies .	2	-3	 and[0] _that_[0] more[0] than[0] the[0] added[0] scenes[0] or[0] new[0] special[1] effects[0] is[0] where[0] the[0] real[0] value[1] of[0] this[0] new[0] version[0] lies[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's really true what they say in the commercials : star wars loses _so much_ on the small screen . 	it's really true what they say in the commercials : star wars loses _so much_ on the small screen .	3	-3	 it's[0] really[0] true[1][1 LastWordBoosterStrength] what[0] they[0] say[0] in[0] the[0] commercials[0] star[0] wars[-2] loses[-1] _so[0] much_[0] on[0] the[0] small[0] screen[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even letterboxing doesn't make up for the decrease in size and definition . 	even letterboxing doesn't make up for the decrease in size and definition .	1	-2	 even[0] letterboxing[0] doesn't[0] make[0] up[0] for[0] the[0] decrease[-1] in[0] size[0] and[0] definition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in regard to the star wars special edition , and to the other two films of the trilogy which have yet to be released , i'll make this final recommendation : go and see it . 	in regard to the star wars special edition , and to the other two films of the trilogy which have yet to be released , i'll make this final recommendation : go and see it .	2	-3	 in[0] regard[0] to[0] the[0] star[0] wars[-2] special[1] edition[0] and[0] to[0] the[0] other[0] two[0] films[0] of[0] the[0] trilogy[0] which[0] have[0] yet[0] to[0] be[0] released[0] i'll[0] make[0] this[0] final[0] recommendation[0] go[0] and[0] see[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
go and see it more than once . . . it 	go and see it more than once .<br> .<br> .<br> it	1	-1	 go[0] and[0] see[0] it[0] more[0] than[0] once[0] [[Sentence=-1,1=word max, 1-5]] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
may be another twenty years before it comes back to the big screen after it's gone this time . 	may be another twenty years before it comes back to the big screen after it's gone this time .	1	-1	 may[0] be[0] another[0] twenty[0] years[0] before[0] it[0] comes[0] back[0] to[0] the[0] big[0] screen[0] after[0] it's[0] gone[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take along the youngsters who've never had the big-screen star wars experience--you'll enjoy seeing it through their eyes as much as they will enjoy it for the first time . 	take along the youngsters who've never had the big-screen star wars experience-you'll enjoy seeing it through their eyes as much as they will enjoy it for the first time .	3	-3	 take[0] along[0] the[0] youngsters[0] who've[0] never[0] had[0] the[0] big[0] screen[0] star[0] wars[-2] experience[0] you'll[0] enjoy[2] seeing[0] it[0] through[0] their[0] eyes[0] as[0] much[0] as[0] they[0] will[0] enjoy[2] it[0] for[0] the[0] first[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's magic in this movie--special edition or no , there can be no denying that it's still star wars , and still has the power to thrill and enthrall children of all ages , from four to four hundred . 	there's magic in this movie-special edition or no , there can be no denying that it's still star wars , and still has the power to thrill and enthrall children of all ages , from four to four hundred .	4	-3	 there's[0] magic[0] in[0] this[0] movie[0] special[1] edition[0] or[0] no[0] there[0] can[0] be[0] no[0] denying[0] that[0] it's[0] still[0] star[0] wars[-2] and[0] still[0] has[0] the[0] power[0] to[0] thrill[3] and[0] enthrall[0] children[0] of[0] all[0] ages[0] from[0] four[0] to[0] four[0] hundred[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
let's all return to that time long ago , and that galaxy far , far away . . . 	let's all return to that time long ago , and that galaxy far , far away .<br> .<br> .	1	-1	 let's[0] all[0] return[0] to[0] that[0] time[0] long[0] ago[0] and[0] that[0] galaxy[0] far[0] far[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
