national lampoon's animal house , made in 1978 and set in 1962 , remains one of the -- no , fuck that noise -- * the * funniest movie ever made . 	Translation	Positive	Negative	EmotionRationale
okay . 	okay .	1	-1	 okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you wanna crush a bunch of beer cans on your forehead and pour honey-mustard all over your chest ? 	you wanna crush a bunch of beer cans on your forehead and pour honey-mustard all over your chest ?	1	-2	 you[0] wanna[0] crush[-1] a[0] bunch[0] of[0] beer[0] cans[0] on[0] your[0] forehead[0] and[0] pour[0] honey[0] mustard[0] all[0] over[0] your[0] chest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
go right ahead . 	go right ahead .	1	-1	 go[0] right[0] ahead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the frat's leaders are otter and boon ( tim matheson and peter riegert ) . 	the frat's leaders are otter and boon ( tim matheson and peter riegert ) .	1	-1	 the[0] frat's[0] leaders[0] are[0] otter[0] and[0] boon[0] tim[0] matheson[0] and[0] peter[0] riegert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otter is the ladies' man , going out with another girl every night , and boon is the comedian . 	otter is the ladies' man , going out with another girl every night , and boon is the comedian .	1	-1	 otter[0] is[0] the[0] ladies'[0] man[0] going[0] out[0] with[0] another[0] girl[0] every[0] night[0] and[0] boon[0] is[0] the[0] comedian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's got a steady-date , katy ( karen allen ) , but she's sick of playing second-fiddle to a bottle of j . d . 	he's got a steady-date , katy ( karen allen ) , but she's sick of playing second-fiddle to a bottle of j .<br> d .	2	-2	 he's[0] got[0] a[0] steady[0] date[0] katy[0] karen[0] allen[0] but[0] she's[0] sick[-1] of[0] playing[1] second[0] fiddle[0] to[0] a[0] bottle[0] of[0] j[0] [[Sentence=-2,2=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
then there are the others : pinto , a wimp ; flounder , a blimp ; d . day , a biker ; stork , who may or may not have brain-damage ; and last but not least . . . 	then there are the others : pinto , a wimp ; flounder , a blimp ; d .<br> day , a biker ; stork , who may or may not have brain-damage ; and last but not least .<br> .<br> .	1	-3	 then[0] there[0] are[0] the[0] others[0] pinto[0] a[0] wimp[-2] flounder[-1] a[0] blimp[0] d[0] [[Sentence=-3,1=word max, 1-5]] day[0] a[0] biker[0] stork[0] who[0] may[0] or[0] may[0] not[0] have[0] brain[0] damage[0] and[0] last[0] but[0] not[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
bluto ! 	bluto !	1	-1	 bluto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bluto , played by the late , great john belushi , is the man . 	bluto , played by the late , great john belushi , is the man .	3	-1	 bluto[0] played[0] by[0] the[0] late[0] great[2] john[0] belushi[0] is[0] the[0] man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's the kind of guy who slugs back entire fifths of whiskey then proclaim , " i needed that . " 	he's the kind of guy who slugs back entire fifths of whiskey then proclaim , " i needed that .<br> "	2	-1	 he's[0] the[0] kind[1] of[0] guy[0] who[0] slugs[0] back[0] entire[0] fifths[0] of[0] whiskey[0] then[0] proclaim[0] i[0] needed[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the kind of guy who puts a cream-filled snowball into his mouth , puffs up his cheeks and spits it out , and then says " i'm a zit -- get it ? " 	the kind of guy who puts a cream-filled snowball into his mouth , puffs up his cheeks and spits it out , and then says " i'm a zit - get it ?<br> "	2	-1	 the[0] kind[1] of[0] guy[0] who[0] puts[0] a[0] cream[0] filled[0] snowball[0] into[0] his[0] mouth[0] puffs[0] up[0] his[0] cheeks[0] and[0] spits[0] it[0] out[0] and[0] then[0] says[0] i'm[0] a[0] zit[0] get[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story is as follows : the omegas are getting the deltas kicked off campus . 	the story is as follows : the omegas are getting the deltas kicked off campus .	1	-2	 the[0] story[0] is[0] as[0] follows[0] the[0] omegas[0] are[0] getting[0] the[0] deltas[0] kicked[-1] off[0] campus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the deltas , knowing that fighting the omegas is stupid , decide to go out with style , throwing a wild toga party and ruining the homecoming parade . 	the deltas , knowing that fighting the omegas is stupid , decide to go out with style , throwing a wild toga party and ruining the homecoming parade .	1	-3	 the[0] deltas[0] knowing[0] that[0] fighting[-2] the[0] omegas[0] is[0] stupid[-1] decide[0] to[0] go[0] out[0] with[0] style[0] throwing[0] a[0] wild[0] toga[0] party[0] and[0] ruining[-1] the[0] homecoming[0] parade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is the fucnniest movie int he history of the world . 	this is the fucnniest movie int he history of the world .	1	-1	 this[0] is[0] the[0] fucnniest[0] movie[0] int[0] he[0] history[0] of[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do yourself a favor and go see it . 	do yourself a favor and go see it .	2	-1	 do[0] yourself[0] a[0] favor[1] and[0] go[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
