sick : the life and death of bob flanagan , supermasochist 	Translation	Positive	Negative	EmotionRationale
flanagan's idelogy crosses the realms of rebelliousness and becomes transcendental , similar to terry zwigoff's brilliant 1994 " crumb " , which also explored the dysfunction of an artist by painting not a sympathetic portrait , but a realistic one . 	flanagan's idelogy crosses the realms of rebelliousness and becomes transcendental , similar to terry zwigoff's brilliant 1994 " crumb " , which also explored the dysfunction of an artist by painting not a sympathetic portrait , but a realistic one .	2	-2	 flanagan's[0] idelogy[0] crosses[0] the[0] realms[0] of[0] rebelliousness[-1] and[0] becomes[0] transcendental[0] similar[0] to[0] terry[0] zwigoff's[0] brilliant[1] 1994[0] crumb[0] which[0] also[0] explored[0] the[0] dysfunction[0] of[0] an[0] artist[0] by[0] painting[0] not[0] a[0] sympathetic[0] portrait[0] but[0] a[0] realistic[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
both crumb and flanagan revelled in their defects . 	both crumb and flanagan revelled in their defects .	1	-2	 both[0] crumb[0] and[0] flanagan[0] revelled[0] in[0] their[0] defects[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but flanagan was not only a man content on enduring the pain via lungs , he inflicted acts of pain on himself at a very young age , courageously defying god ( he was an irish catholic ) and turning his body into a work of art , which he unraveled in museums and lectures . 	but flanagan was not only a man content on enduring the pain via lungs , he inflicted acts of pain on himself at a very young age , courageously defying god ( he was an irish catholic ) and turning his body into a work of art , which he unraveled in museums and lectures .	2	-4	 but[0] flanagan[0] was[0] not[0] only[0] a[0] man[0] content[0] on[0] enduring[0] the[0] pain[-3] via[0] lungs[0] he[0] inflicted[0] acts[0] of[0] pain[-3] on[0] himself[0] at[0] a[0] very[0] young[0] age[0] courageously[1] defying[0] god[0] he[0] was[0] an[0] irish[0] catholic[0] and[0] turning[0] his[0] body[0] into[0] a[0] work[0] of[0] art[0] which[0] he[0] unraveled[0] in[0] museums[0] and[0] lectures[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
behold these works of physical art . 	behold these works of physical art .	1	-1	 behold[0] these[0] works[0] of[0] physical[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among them is a metal ball inserted inside his anus , and , --the most disturbing scene of the decade-- , nailing his penis to a board . 	among them is a metal ball inserted inside his anus , and , -the most disturbing scene of the decade- , nailing his penis to a board .	1	-2	 among[0] them[0] is[0] a[0] metal[0] ball[0] inserted[0] inside[0] his[0] anus[0] and[0] the[0] most[0] disturbing[-1] scene[0] of[0] the[0] decade[0] nailing[0] his[0] penis[0] to[0] a[0] board[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
flanagan was a man of great intelligence , wit and humor , as well as adopting a sense of candidness scarcely seen in modern filmmaking . 	flanagan was a man of great intelligence , wit and humor , as well as adopting a sense of candidness scarcely seen in modern filmmaking .	3	-1	 flanagan[0] was[0] a[0] man[0] of[0] great[2] intelligence[0] wit[0] and[0] humor[2] as[0] well[0] as[0] adopting[0] a[0] sense[0] of[0] candidness[0] scarcely[0] seen[0] in[0] modern[0] filmmaking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not only did he approach his disease with humor , peforming burlesque acts in front of an audience , he was also revitalized by his approachment . 	not only did he approach his disease with humor , peforming burlesque acts in front of an audience , he was also revitalized by his approachment .	3	-3	 not[0] only[0] did[0] he[0] approach[0] his[0] disease[-2] with[0] humor[2] peforming[0] burlesque[0] acts[0] in[0] front[0] of[0] an[0] audience[0] he[0] was[0] also[0] revitalized[0] by[0] his[0] approachment[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
most with cystic fibrosis do not make it past their earlier twenties ( there's also a subplot involving a female devotee who knew death was awaiting her . 	most with cystic fibrosis do not make it past their earlier twenties ( there's also a subplot involving a female devotee who knew death was awaiting her .	3	-3	 most[0] with[0] cystic[0] fibrosis[0] do[0] not[0] make[0] it[0] past[0] their[0] earlier[0] twenties[0] there's[0] also[0] a[0] subplot[0] involving[0] a[0] female[0] devotee[2] who[0] knew[0] death[-2] was[0] awaiting[0] her[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ) 	 )	1	-1	[[[0,0 max of sentences]]]
but the most outstanding thing about " sick " is flanagan's relationship with sheree . 	but the most outstanding thing about " sick " is flanagan's relationship with sheree .	3	-2	 but[0] the[0] most[0] outstanding[2] thing[0] about[0] sick[-1] is[0] flanagan's[0] relationship[0] with[0] sheree[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
brimming with honesty , sensual stimulation and unapologetically sad moments of pain , their powerful bond lifts " sick " into a rare cinematic high , where we forget we are in an auditorium and become a part of these people . 	brimming with honesty , sensual stimulation and unapologetically sad moments of pain , their powerful bond lifts " sick " into a rare cinematic high , where we forget we are in an auditorium and become a part of these people .	2	-4	 brimming[0] with[0] honesty[1] sensual[0] stimulation[0] and[0] unapologetically[0] sad[-3] moments[0] of[0] pain[-3] their[0] powerful[0] bond[0] lifts[0] sick[-1] into[0] a[0] rare[0] cinematic[0] high[0] where[0] we[0] forget[0] we[0] are[0] in[0] an[0] auditorium[0] and[0] become[0] a[0] part[0] of[0] these[0] people[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the last scene , where we see the hero murmuring the last words to his wife in a hospital bed , as he struggles for his last moments of life , is raw , tender , hideous . 	the last scene , where we see the hero murmuring the last words to his wife in a hospital bed , as he struggles for his last moments of life , is raw , tender , hideous .	3	-2	 the[0] last[0] scene[0] where[0] we[0] see[0] the[0] hero[2] murmuring[0] the[0] last[0] words[0] to[0] his[0] wife[0] in[0] a[0] hospital[0] bed[0] as[0] he[0] struggles[-1] for[0] his[0] last[0] moments[0] of[0] life[0] is[0] raw[0] tender[2] hideous[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it goes a step beyond cinematic intimacy . 	it goes a step beyond cinematic intimacy .	1	-1	 it[0] goes[0] a[0] step[0] beyond[0] cinematic[0] intimacy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
