i'll be the first to admit i didn't expect much from the emperor's new groove : more celine dion-esque song-and-dance numbers , cuddly characters that become cross-promotion devices in mcdonald's happy meals , and hollywood stars trying to gain credibility by adding a voice-over job to their resume . 	Translation	Positive	Negative	EmotionRationale
when kuzco fires his power-hungry advisor , yzma ( eartha kitt ) , she and her " assistant " kronk ( seinfeld's patrick warburton ) change him into a llama . 	when kuzco fires his power-hungry advisor , yzma ( eartha kit ) , she and her " assistant " kronk ( seinfeld's patrick warburton ) change him into a llama .	1	-2	 when[0] kuzco[0] fires[0] his[0] power[0] hungry[-1] advisor[0] yzma[0] eartha[0] kitt/kit[0] she[0] and[0] her[0] assistant[0] kronk[0] seinfeld's[0] patrick[0] warburton[0] change[0] him[0] into[0] a[0] llama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kuzco then gets stranded in the jungle and must rely on pacha ( john goodman ) , a llama-herder whose home was to be replaced by kuzco's water world theme park , to save him . 	kuzco then gets stranded in the jungle and must rely on pacha ( john goodman ) , a llama-herder whose home was to be replaced by kuzco's water world theme park , to save him .	2	-1	 kuzco[0] then[0] gets[0] stranded[0] in[0] the[0] jungle[0] and[0] must[0] rely[0] on[0] pacha[0] john[0] goodman[0] a[0] llama[0] herder[0] whose[0] home[0] was[0] to[0] be[0] replaced[0] by[0] kuzco's[0] water[0] world[0] theme[0] park[0] to[0] save[1] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then the fun starts . 	then the fun starts .	2	-1	 then[0] the[0] fun[1] starts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the next sixty minutes , the audience is treated to something unheard of in disney films these days : imagination . 	for the next sixty minutes , the audience is treated to something unheard of in disney films these days : imagination .	1	-1	 for[0] the[0] next[0] sixty[0] minutes[0] the[0] audience[0] is[0] treated[0] to[0] something[0] unheard[0] of[0] in[0] disney[0] films[0] these[0] days[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yzma , voiced by the talented singer eartha kitt , looks like a cross between norma desmond , joan crawford , and a really old vegas showgirl . 	yzma , voiced by the talented singer eartha kit , looks like a cross between norma desmond , joan crawford , and a really old vegas showgirl .	2	-2	 yzma[0] voiced[0] by[0] the[0] talented[1] singer[0] eartha[0] kitt/kit[0] looks[0] like[1] a[0] cross[-1] between[0] norma[0] desmond[0] joan[0] crawford[0] and[0] a[0] really[0] old[0] vegas[0] showgirl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the dialogue between her and her oblivious assistant kronk is quick , sharp , and feels like an episode of seinfeld ( which would make sense ) . 	the dialogue between her and her oblivious assistant kronk is quick , sharp , and feels like an episode of seinfeld ( which would make sense ) .	2	-1	 the[0] dialogue[0] between[0] her[0] and[0] her[0] oblivious[0] assistant[0] kronk[0] is[0] quick[0] sharp[0] and[0] feels[0] like[1] an[0] episode[0] of[0] seinfeld[0] which[0] would[0] make[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
david spade and john goodman's character interactions make you feel like you're watching an old hope/crosby film . 	david spade and john goodman's character interactions make you feel like you're watching an old hope/crosby film .	2	-1	 david[0] spade[0] and[0] john[0] goodman's[0] character[0] interactions[0] make[0] you[0] feel[0] like[1] you're[0] watching[0] an[0] old[0] hope/crosby[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spade is beyond dry with his humor and shoots below the belt on several occasions , and i laughed out loud several times . 	spade is beyond dry with his humor and shoots below the belt on several occasions , and i laughed out loud several times .	3	-2	 spade[0] is[0] beyond[0] dry[0] with[0] his[0] humor[2] and[0] shoots[-1] below[0] the[0] belt[0] on[0] several[0] occasions[0] and[0] i[0] laughed[1] out[0] loud[0] several[0] times[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
needless to say , that is an extremely rare thing in disney screenings these days . 	needless to say , that is an extremely rare thing in disney screenings these days .	1	-1	 needless[0] to[0] say[0] that[0] is[0] an[0] extremely[0] rare[0] thing[0] in[0] disney[0] screenings[0] these[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best part about the emperor's new groove is how audacious the film is . 	the best part about the emperor's new groove is how audacious the film is .	2	-1	 the[0] best[1] part[0] about[0] the[0] emperor's[0] new[0] groove[0] is[0] how[0] audacious[0] the[0] film[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sheer weirdness factor is very high . 	the sheer weirdness factor is very high .	1	-2	 the[0] sheer[0] weirdness[-1] factor[0] is[0] very[0] high[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cross-dressing , schizophrenia , duality of soul , people being turned into every animal on noah's boat , llama cpr , homoerotic tendencies , an emperor with his own theme song and singer , michael jackson dance moves , and a guy that can communicate with a squirrel are only a few of the oddities that make the film a true orginal . 	cross-dressing , schizophrenia , duality of soul , people being turned into every animal on noah's boat , llama cpr , homoerotic tendencies , an emperor with his own theme song and singer , michael jackson dance moves , and a guy that can communicate with a squirrel are only a few of the oddities that make the film a true orginal .	2	-2	 cross[-1] dressing[0] schizophrenia[0] duality[0] of[0] soul[0] people[0] being[0] turned[0] into[0] every[0] animal[0] on[0] noah's[0] boat[0] llama[0] cpr[0] homoerotic[0] tendencies[0] an[0] emperor[0] with[0] his[0] own[0] theme[0] song[0] and[0] singer[0] michael[0] jackson[0] dance[0] moves[0] and[0] a[0] guy[0] that[0] can[0] communicate[0] with[0] a[0] squirrel[0] are[0] only[0] a[0] few[0] of[0] the[0] oddities[0] that[0] make[0] the[0] film[0] a[0] true[1] orginal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
simply put , the emperor's new groove is one of the best children's films out for this holiday season . 	simply put , the emperor's new groove is one of the best children's films out for this holiday season .	2	-1	 simply[0] put[0] the[0] emperor's[0] new[0] groove[0] is[0] one[0] of[0] the[0] best[1] children's[0] films[0] out[0] for[0] this[0] holiday[0] season[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kids will enjoy the adventures , and parents will enjoy the story and dialogue . 	kids will enjoy the adventures , and parents will enjoy the story and dialogue .	3	-1	 kids[0] will[0] enjoy[2] the[0] adventures[0] and[0] parents[0] will[0] enjoy[2] the[0] story[0] and[0] dialogue[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that's a tough thing to pull off in a single package , but this emperor manages to do it . 	that's a tough thing to pull off in a single package , but this emperor manages to do it .	1	-2	 that's[0] a[0] tough[-1] thing[0] to[0] pull[0] off[0] in[0] a[0] single[0] package[0] but[0] this[0] emperor[0] manages[0] to[0] do[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
