to paraphrase a song title from an earlier disney movie , mulan is a whole new world . 	Translation	Positive	Negative	EmotionRationale
also adding to the proceedings is eddie murphy as mushu the dragon , sent by mulan's ancestors to watch over and help the young woman . 	also adding to the proceedings is eddie murphy as mushu the dragon , sent by mulan's ancestors to watch over and help the young woman .	1	-1	 also[0] adding[0] to[0] the[0] proceedings[0] is[0] eddie[0] murphy[0] as[0] mushu[0] the[0] dragon[0] sent[0] by[0] mulan's[0] ancestors[0] to[0] watch[0] over[0] and[0] help[0] the[0] young[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his fast , wise-cracking , hip-talking mushu may seem out of place , but it's a crowd pleasing performance , especially for the youngsters . 	his fast , wise-cracking , hip-talking mushu may seem out of place , but it's a crowd pleasing performance , especially for the youngsters .	3	-1	 his[0] fast[0] wise[0] cracking[0] hip[0] talking[0] mushu[0] may[0] seem[0] out[0] of[0] place[0] but[0] it's[0] a[0] crowd[0] pleasing[2] performance[0] especially[0] for[0] the[0] youngsters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie features only a couple of songs , fewer than most previous disney animated flicks , but mulan's are winners . 	the movie features only a couple of songs , fewer than most previous disney animated flicks , but mulan's are winners .	2	-1	 the[0] movie[0] features[0] only[0] a[0] couple[0] of[0] songs[0] fewer[0] than[0] most[0] previous[0] disney[0] animated[0] flicks[0] but[0] mulan's[0] are[0] winners[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music by matthew wilder and lyrics by david zippel fit nicely into the plot . 	the music by matthew wilder and lyrics by david zippel fit nicely into the plot .	2	-1	 the[0] music[0] by[0] matthew[0] wilder[0] and[0] lyrics[0] by[0] david[0] zippel[0] fit[0] nicely[1] into[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the overall score by jerry goldsmith also is a plus . 	the overall score by jerry goldsmith also is a plus .	1	-1	 the[0] overall[0] score[0] by[0] jerry[0] goldsmith[0] also[0] is[0] a[0] plus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mulan is a treat , more powerful than hercules , with more heart than the hunchback of notre dame . 	mulan is a treat , more powerful than hercules , with more heart than the hunchback of notre dame .	2	-1	 mulan[0] is[0] a[0] treat[1] more[0] powerful[0] than[0] hercules[0] with[0] more[0] heart[0] than[0] the[0] hunchback[0] of[0] notre[0] dame[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at about 85 minutes , mulan moves rapidly , and will hold the attention of youngsters from beginning to the end . 	at about 85 minutes , mulan moves rapidly , and will hold the attention of youngsters from beginning to the end .	1	-1	 at[0] about[0] 85[0] minutes[0] mulan[0] moves[0] rapidly[0] and[0] will[0] hold[0] the[0] attention[0] of[0] youngsters[0] from[0] beginning[0] to[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mulan will set a new standard by which future animated efforts by disney and other studios will have to work hard to attain . 	mulan will set a new standard by which future animated efforts by disney and other studios will have to work hard to attain .	1	-1	 mulan[0] will[0] set[0] a[0] new[0] standard[0] by[0] which[0] future[0] animated[0] efforts[0] by[0] disney[0] and[0] other[0] studios[0] will[0] have[0] to[0] work[0] hard[0] to[0] attain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , it is hoped that the success of mulan , and there is no doubt that it will prove to be a popular vehicle , will spur an interest for more movies with oriential or asian-american themes so as to provide more substantial roles for the talented performers who gave their voices for this production . 	also , it is hoped that the success of mulan , and there is no doubt that it will prove to be a popular vehicle , will spur an interest for more movies with oriential or asian-american themes so as to provide more substantial roles for the talented performers who gave their voices for this production .	3	-2	 also[0] it[0] is[0] hoped[1] that[0] the[0] success[2] of[0] mulan[0] and[0] there[0] is[0] no[0] doubt[-1] that[0] it[0] will[0] prove[0] to[0] be[0] a[0] popular[0] vehicle[0] will[0] spur[0] an[0] interest[1] for[0] more[0] movies[0] with[0] oriential[0] or[0] asian[0] american[0] themes[0] so[0] as[0] to[0] provide[0] more[0] substantial[0] roles[0] for[0] the[0] talented[1] performers[0] who[0] gave[0] their[0] voices[0] for[0] this[0] production[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it would be nice to see them on screen as well as hear them . 	it would be nice to see them on screen as well as hear them .	2	-1	 it[0] would[0] be[0] nice[1] to[0] see[0] them[0] on[0] screen[0] as[0] well[0] as[0] hear[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
committed to lifelong learning through effective communication 	committed to lifelong learning through effective communication	1	-1	 committed[0] to[0] lifelong[0] learning[0] through[0] effective[0] communication[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
